en 14764 97370 0.151628
zh 7 97370 0.000072
vi 3 97370 0.000031
is 19 97370 0.000195
it 195 97370 0.002003
iw 2 97370 0.000021
eu 58 97370 0.000596
cy 25 97370 0.000257
ar 242 97370 0.002485
in 382 97370 0.003923
cs 174 97370 0.001787
et 115 97370 0.001181
es 1453 97370 0.014922
ru 2081 97370 0.021372
nl 706 97370 0.007251
pt 375 97370 0.003851
no 51 97370 0.000524
tr 648 97370 0.006655
lt 58 97370 0.000596
lv 55 97370 0.000565
tl 218 97370 0.002239
th 23 97370 0.000236
ro 93 97370 0.000955
pl 65203 97370 0.669642
ta 1 97370 0.000010
fr 505 97370 0.005186
bg 7 97370 0.000072
de 246 97370 0.002526
ht 80 97370 0.000822
hu 94 97370 0.000965
fa 3 97370 0.000031
hi 16 97370 0.000164
fi 120 97370 0.001232
da 64 97370 0.000657
ja 134 97370 0.001376
te 1 97370 0.000010
sr 3 97370 0.000031
ko 56 97370 0.000575
sv 87 97370 0.000893
und 8490 97370 0.087193
uk 484 97370 0.004971
sl 29 97370 0.000298
