en 11090 12917 0.858558
vi 3 12917 0.000232
is 1 12917 0.000077
it 22 12917 0.001703
eu 5 12917 0.000387
cy 9 12917 0.000697
in 51 12917 0.003948
cs 4 12917 0.000310
et 11 12917 0.000852
es 173 12917 0.013393
ru 3 12917 0.000232
nl 12 12917 0.000929
pt 14 12917 0.001084
no 6 12917 0.000465
tr 8 12917 0.000619
lt 3 12917 0.000232
lv 2 12917 0.000155
tl 83 12917 0.006426
ro 10 12917 0.000774
pl 10 12917 0.000774
fr 29 12917 0.002245
bg 2 12917 0.000155
de 18 12917 0.001394
ht 89 12917 0.006890
da 11 12917 0.000852
hi 6 12917 0.000465
fi 5 12917 0.000387
hu 11 12917 0.000852
ja 3 12917 0.000232
sv 6 12917 0.000465
und 1211 12917 0.093752
uk 4 12917 0.000310
sl 2 12917 0.000155
