day total blank BD BF BG BA BB BE BL BM BN BO BH BI BJ BT JM BV BW WS BQ BR BS JE BY BZ RU RW RS LT RE TM TJ RO TK GW GU GT GS GR GQ GP JP GY GG GF GE GD GB GA GN GM GL GI GH OM TN JO WF HR HT HU HK HN HM VE PR PS PW PT KN AF IQ PA PF PG PE PK PH PN PL PM ZM EH EE EG ZA EC IT VN SB ET SO ZW SA ES ER ME MD MG MF MA MC UZ MM ML MO MN MH MK MU MT MW MV MQ MP MS MR IM UG MY MX IL FR AW SH AX SJ FI FJ FK FM FO NI NL NO NA VU NC NE NF NG NZ NP NR NU CK XK CI CH CO CN CM CL CC CA CG CF CD CZ CY CX CR PY CW CV CU SZ SY SX KG KE SS SR KI KH SV KM ST SK KR SI KP KW SN SM SL SC KZ KY SG SE SD DO DM DJ DK DE YE DZ US UY YT UM LB LC LA TV TW TT TR LK LI LV TO TL LU LR LS TH TF TG TD TC LY VA VC AE AD AG VG AI VI IS IR AM AL AO AN AQ AS AR AU AT IO IN TZ AZ IE ID UA QA MZ 
0 158723 2 14 2 4 13 43 45 0 3 27 43 32 0 10 1 92 0 2 1 0 50134 41 0 15 2 367 1 29 2 0 0 2 5 0 0 28 172 0 29 0 18 4974 8 0 5 2 0 2187 0 3 0 1 1 85 13 19 11 0 12 34 6 84 49 0 1294 11 0 0 507 5 0 22 187 5 2 418 64 3523 0 30 0 9 0 0 713 267 733 209 41 0 3 2 1 943 899 0 5 2 6 0 11 1 1 7 3 2 25 0 0 0 2 3 1 27 2 1 1 1 1 1421 3659 25 990 3 0 0 0 32 0 0 0 0 153 134 31 5 1 0 0 0 247 192 28 0 0 0 6 34 36 1683 162 27 1510 0 3002 1 0 10 11 9 0 293 579 3 2 8 0 2 0 0 33 0 2 0 14 64 0 0 1 426 1 2 200 163 1 1 0 3 1 205 38 24 302 1 0 40 218 15 21 60671 840 0 0 16 27 3 0 75 73 815 28 0 9 1 0 2 3 0 905 0 0 0 16 59 1 17 115 1 9 0 0 5 23 19 1 2 11 0 4 0 6807 1024 39 0 476 13 21 174 1490 38 61 0 
1 158912 3 17 1 15 5 87 23 0 10 15 25 34 0 1 1 180 0 0 3 1 48268 41 0 28 2 329 3 9 1 2 0 2 2 1 0 25 158 0 24 0 25 5548 5 0 6 2 0 1190 0 0 1 1 0 51 47 13 11 0 12 41 6 85 76 0 1339 7 0 1 185 4 4 20 171 4 2 474 139 3800 0 32 0 4 0 1 427 190 951 148 44 0 0 1 7 835 505 0 3 1 2 0 14 2 5 7 1 11 36 1 7 1 1 1 9 41 4 0 1 0 4 1697 4057 12 692 8 0 0 0 29 0 0 0 0 196 76 19 1 0 25 2 0 216 170 54 0 0 1 4 13 12 2017 188 11 1644 0 2770 2 0 6 13 3 0 317 633 2 0 8 0 0 0 1 83 0 2 0 11 88 0 0 0 375 2 2 118 85 0 0 1 13 3 229 66 24 292 7 1 16 153 5 19 62194 978 1 1 5 23 4 0 86 58 474 41 0 4 8 2 0 0 1 1114 0 1 0 7 36 4 4 180 0 6 5 0 0 4 14 0 0 19 0 1 1 7413 973 25 0 903 14 6 95 1652 15 56 2 
2 157272 10 59 1 11 5 66 23 0 6 24 24 36 1 0 0 257 0 3 0 0 34192 34 0 8 4 487 1 7 1 2 1 1 17 0 0 23 171 0 17 0 79 6296 1 0 5 4 6 843 0 0 1 1 0 45 71 6 16 0 7 48 7 159 96 0 1245 15 0 0 107 4 3 15 224 1 8 601 169 4485 0 18 0 2 0 0 323 187 675 118 89 0 0 5 6 944 290 0 2 1 5 0 10 2 3 13 1 3 39 1 0 0 1 0 11 33 6 0 1 0 8 2030 5044 35 425 4 0 0 0 41 1 0 1 0 235 107 36 2 1 1 1 0 128 177 47 0 0 0 3 8 33 2206 216 3 2043 0 2900 1 0 2 8 3 0 442 350 0 0 11 0 3 0 3 77 0 1 0 15 83 1 1 1 478 1 2 164 68 0 4 0 12 3 257 47 7 384 4 1 19 142 2 8 68843 1019 1 0 12 8 7 0 97 96 887 97 0 3 2 0 0 0 1 1505 0 0 0 15 17 2 18 283 0 22 2 0 0 4 40 0 0 1 0 1 2 7853 1155 22 0 1533 25 1 87 2208 27 60 2 
3 155308 8 59 0 14 0 74 18 0 7 16 19 77 0 1 6 187 0 17 1 0 21404 49 0 32 2 585 1 4 2 6 0 1 31 1 0 14 276 0 44 0 37 9112 1 0 0 2 3 718 1 5 1 0 0 29 107 4 36 0 9 37 23 108 94 0 815 15 0 0 63 3 8 30 226 3 11 713 203 4282 1 55 0 8 0 1 226 381 520 131 56 0 9 2 12 1662 313 3 0 0 3 0 1 0 4 16 1 5 62 2 1 0 2 4 16 15 3 0 1 0 26 2048 6296 52 441 8 0 0 0 95 1 0 1 0 228 156 29 2 1 1 0 0 176 200 56 0 0 0 0 1 41 2229 205 7 1204 0 2540 0 0 2 13 6 0 414 206 0 0 15 1 3 1 13 209 0 3 0 13 75 0 0 4 476 5 0 288 92 1 0 2 24 4 244 59 15 354 2 1 11 203 5 5 76792 850 0 1 24 7 2 0 109 53 637 82 0 19 1 0 0 0 2 1615 0 0 0 16 31 4 15 393 5 21 2 0 3 9 28 5 0 4 0 2 2 6709 1258 17 0 2055 37 5 40 2188 36 129 6 
4 151266 25 89 1 16 2 34 123 0 1 11 17 110 0 3 3 138 0 46 0 0 12480 38 0 107 0 939 12 36 6 1 0 0 23 1 0 27 272 0 99 0 9 7502 1 0 0 3 5 928 4 2 0 2 0 52 157 4 56 0 15 22 22 106 103 0 723 11 0 1 60 0 11 40 218 4 5 533 263 5020 0 96 0 10 0 14 276 1030 462 424 82 1 11 7 35 1948 638 0 0 12 2 0 5 4 6 11 0 9 78 1 8 7 6 4 25 11 5 0 0 0 65 2653 5841 96 652 9 0 0 0 178 1 0 0 0 227 327 41 10 1 1 0 0 290 241 81 0 0 1 0 1 51 1786 265 9 552 0 2517 2 1 7 58 21 0 430 104 0 0 2 0 10 0 8 249 0 0 0 12 79 0 0 2 534 10 0 589 19 2 0 2 27 2 295 145 37 179 0 1 48 544 8 8 80335 594 0 1 71 2 7 0 128 71 1512 94 0 16 0 1 3 0 4 1948 0 0 3 2 18 3 17 533 0 6 0 0 1 2 18 3 0 6 0 6 1 3963 1165 27 0 2760 64 17 63 2267 92 183 31 
5 127820 15 112 2 59 21 24 295 0 1 25 19 175 2 10 0 152 0 94 0 0 7728 37 0 128 1 1503 19 101 7 10 0 0 52 0 0 37 206 0 185 1 4 7939 0 1 4 25 1 2570 1 1 0 1 5 76 216 18 77 1 48 8 50 110 49 0 443 13 0 0 148 0 19 104 102 3 4 373 450 5636 0 284 0 30 0 36 370 1666 287 992 88 0 16 9 50 2244 2251 0 6 7 10 0 19 4 10 12 0 14 65 0 10 5 13 3 10 6 3 0 1 0 96 3272 3614 141 1952 3 1 2 0 279 0 0 0 0 169 654 81 10 0 2 3 0 704 286 72 0 1 0 4 5 146 1025 306 42 312 0 1688 2 0 8 92 50 0 371 37 1 1 4 1 4 0 12 424 0 0 1 19 58 1 1 16 630 25 0 631 10 3 1 5 25 2 355 274 52 78 3 0 109 871 12 38 52354 418 0 1 118 0 10 0 159 47 2823 73 1 34 1 2 6 0 0 2440 0 1 1 5 31 3 0 841 2 0 1 0 0 4 61 10 2 20 0 3 2 2421 1481 73 0 3867 91 26 150 2562 208 178 29 
6 109747 20 79 2 44 51 19 416 0 0 18 11 157 1 10 2 62 1 62 0 1 4149 9 0 159 0 1688 20 162 16 3 0 6 79 1 2 26 95 2 237 0 4 8867 1 1 5 68 0 5743 0 12 1 1 6 245 248 20 112 0 51 4 80 113 40 0 203 10 0 0 607 1 9 108 64 2 2 184 569 5309 0 356 0 58 0 38 483 2200 132 1404 94 0 17 11 51 2479 3605 0 8 7 4 0 27 3 13 7 7 12 140 0 9 17 17 12 26 11 4 0 0 8 117 3228 1848 215 2802 0 0 0 0 338 1 0 2 1 42 915 122 27 2 31 1 0 944 321 51 0 0 0 10 22 233 407 286 58 208 1 1257 6 1 4 143 64 0 175 17 0 0 3 2 19 0 17 684 0 0 0 29 14 1 0 20 675 43 5 897 7 0 3 0 47 4 326 390 52 34 0 1 118 1396 12 80 30460 312 0 1 121 0 9 0 167 9 3640 78 0 61 2 0 24 3 2 2608 0 1 1 3 12 3 0 756 1 11 0 0 8 13 59 6 5 38 0 2 10 1181 1770 110 0 3935 110 35 401 2804 248 212 37 
7 104974 19 96 0 90 41 6 438 0 0 24 11 207 8 5 1 65 0 97 0 0 4218 3 0 178 0 2078 41 115 9 21 1 2 60 1 0 25 44 0 289 0 0 9866 0 1 2 16 0 8618 3 3 1 0 5 241 244 21 100 0 95 3 84 107 7 0 143 11 0 1 601 0 9 139 37 1 2 88 501 5565 0 468 0 66 0 41 595 2639 64 1795 96 1 18 6 77 2425 4685 0 12 4 7 0 40 10 10 14 8 20 69 1 33 4 17 17 19 2 9 0 2 5 121 3211 883 273 3597 1 0 0 0 366 0 0 1 1 24 1091 202 73 1 6 2 0 1129 355 66 0 0 0 13 46 217 221 250 85 129 0 736 4 1 9 172 72 0 99 70 1 2 1 7 9 1 8 694 0 0 0 28 6 0 0 18 702 38 2 865 12 0 1 2 37 2 294 513 76 29 0 0 163 1546 12 34 19183 81 0 0 151 0 2 0 147 19 3986 120 0 80 1 1 23 0 17 2712 0 5 0 0 24 1 0 863 5 3 0 0 0 16 110 5 2 8 0 7 4 641 1828 135 0 3955 125 56 664 2606 365 213 52 
8 115295 18 77 1 64 43 3 448 0 1 20 10 199 3 2 1 44 0 61 1 0 10795 1 0 178 0 1865 28 150 9 14 1 1 66 1 0 25 25 0 295 0 0 17724 1 0 0 12 0 9822 5 2 1 1 7 308 219 26 104 0 70 2 76 130 9 0 203 10 0 0 540 0 14 112 16 5 1 48 414 6371 0 660 0 64 0 53 667 2685 27 1838 167 0 22 14 78 2487 5000 0 19 11 4 4 61 15 4 8 5 29 62 0 54 1 10 19 34 4 9 0 2 4 143 3351 394 220 4372 1 0 0 0 304 1 1 0 0 14 1316 202 92 3 4 4 0 1167 344 70 0 0 0 10 45 228 279 269 56 136 0 508 20 2 20 161 83 0 42 68 6 5 5 7 15 0 16 633 0 0 0 15 13 0 0 33 715 32 3 767 16 0 1 0 34 0 384 499 90 20 0 1 160 1567 14 38 12430 50 1 1 90 0 4 0 189 6 4268 122 0 65 0 0 39 2 1 2826 0 7 1 11 62 0 2 832 5 0 0 0 0 22 127 5 8 24 0 5 5 628 1890 160 0 3368 132 28 707 2574 371 195 33 
9 120520 14 78 0 66 32 3 458 0 0 32 8 205 2 15 2 18 0 42 1 0 14853 5 0 189 2 2014 21 200 14 11 1 1 65 1 0 33 20 0 239 0 8 15158 2 0 3 6 4 10749 1 2 7 4 7 350 211 50 111 0 80 2 74 146 5 0 366 8 0 0 605 1 10 107 18 0 3 50 479 7464 0 656 0 51 0 46 741 2473 30 1944 153 0 26 2 137 2699 5360 1 14 6 5 0 71 8 6 16 4 30 35 0 27 3 17 18 16 9 8 0 1 12 121 3222 329 167 4759 0 0 0 0 255 0 0 0 1 6 1280 206 94 0 1 1 0 1227 255 94 0 0 0 31 36 224 228 333 63 379 1 499 10 1 11 168 85 1 26 207 2 9 6 9 11 0 13 614 0 2 0 38 8 0 1 43 810 35 1 888 20 0 2 2 43 0 404 565 76 26 0 2 148 1615 15 51 10679 113 0 0 109 3 11 0 200 21 4562 109 1 57 0 3 36 3 21 2711 0 3 0 5 71 4 5 720 14 2 0 0 7 27 77 12 19 35 0 4 4 1393 2393 178 0 3284 151 30 802 2696 304 290 32 
