day total gv gu gd ga gn gl lg lb la ln lo tt tr ts li lv to lt lu tk th ti tg te ta yi yo de da oj dz st dv qu kn el eo en zh ee za mh eu et es ru rw rm rn ro jv be bg ba wa wo bm bn bo bh bi br bs ja om ms ty oc und tw os or xh ch co ca ce cy cs cr cv cu ve ps pt unknown tl pa pi ak pl hz hy hr iu ht hu hi ho ha he mg uz ml mn mi ik mk ur mt uk mr ug my ki aa ab ae ss af tn vi is in am it iw an ii ia as ar su io av ay az ie id ig sk nl nn no na nb nd ne ng ny vo zu so nr nv sn fr sm fy fa ff fi fj sa fo ka kg ckb kk sr sq ko sv km kl ks kr si kj kw kv ku sl sc ky sg sw se sd 
0 158723 0 0 0 0 0 0 0 0 0 0 0 0 900 0 0 67 0 73 0 0 709 0 0 0 5 0 0 263 82 0 0 0 0 0 1 18 0 65050 130 0 0 0 94 216 19932 377 0 0 0 80 0 0 3 0 0 0 0 2 0 0 0 0 0 4824 0 0 0 0 10996 0 0 0 0 0 0 0 0 112 61 0 0 0 0 1 44149 0 2243 1 0 0 97 0 0 0 0 374 75 185 0 0 0 0 0 2 0 0 0 0 22 0 10 10 0 0 0 0 0 0 0 0 0 26 63 2686 0 520 4 0 0 0 0 1956 0 0 0 0 0 0 0 0 0 250 0 57 0 0 0 26 0 0 0 0 0 0 0 0 1366 0 0 29 0 143 0 0 0 0 0 0 0 0 0 340 72 0 0 0 0 4 0 0 0 0 17 0 0 0 0 0 0 
1 158912 0 3 0 0 0 0 0 0 0 0 1 0 547 0 0 64 0 74 0 0 862 0 0 3 27 0 0 202 62 0 0 0 0 0 6 5 0 65295 149 0 0 0 112 217 20848 348 0 0 0 82 0 0 3 0 0 0 0 4 0 0 0 0 0 5315 0 0 0 0 10963 0 0 0 0 0 0 0 0 97 61 0 0 0 0 0 43334 0 2470 0 0 0 112 0 0 0 0 385 68 282 0 0 0 0 0 3 0 0 0 0 68 0 10 8 0 0 0 0 0 0 0 0 0 41 30 2926 0 429 1 0 0 0 0 1496 0 0 0 0 0 0 0 0 0 217 0 58 0 0 0 53 0 0 0 0 0 0 0 0 1059 0 0 24 0 112 0 0 0 0 0 0 0 0 0 284 72 0 0 0 0 7 0 0 0 0 13 0 0 0 0 0 0 
2 157272 0 6 0 0 0 0 0 0 0 0 2 0 982 0 0 50 0 54 0 0 1192 0 0 4 30 0 0 209 79 0 0 0 0 0 4 6 0 71926 150 0 0 0 90 226 21748 505 0 0 0 48 0 0 4 0 0 0 0 12 0 0 0 0 0 6071 0 0 0 0 11520 0 0 3 0 0 0 0 0 99 45 0 0 0 0 0 30783 0 2886 2 0 0 100 0 0 0 0 403 52 463 0 0 0 0 0 3 0 0 0 0 53 0 9 16 0 5 0 0 0 0 0 0 0 55 40 3453 0 372 15 0 0 0 0 1628 0 0 0 0 0 0 0 0 0 205 0 57 0 0 0 40 0 0 0 0 0 0 0 0 849 0 0 37 0 136 0 0 0 0 0 0 0 1 0 407 79 0 0 0 0 30 0 0 0 0 28 0 0 0 0 0 0 
3 155308 0 14 0 0 0 0 0 0 0 0 1 0 700 0 0 59 0 84 0 0 1261 0 0 5 53 0 0 274 91 0 0 0 0 0 15 34 0 76934 169 0 0 0 115 232 20898 650 0 0 0 63 0 0 4 0 0 0 0 8 0 0 0 0 0 8931 0 0 0 0 12308 0 0 4 0 0 0 0 0 172 52 0 0 0 0 0 19335 0 2886 1 0 0 136 0 0 0 0 503 82 590 0 0 0 0 0 8 0 0 0 0 70 0 13 18 0 0 0 0 0 0 0 0 0 36 46 3476 0 342 27 0 0 0 0 2377 0 0 0 0 0 0 0 0 0 588 0 77 0 0 0 49 0 0 0 0 0 0 0 0 793 0 0 29 0 166 0 0 0 0 0 0 0 2 0 361 132 2 0 0 0 16 0 0 0 0 16 0 0 0 0 0 0 
4 151266 0 17 0 0 0 0 0 0 0 0 0 0 1487 0 0 52 0 52 0 0 1514 0 0 3 47 0 0 517 211 0 0 0 0 0 3 59 0 84208 178 0 0 0 88 266 15970 1147 0 0 0 59 0 0 7 0 0 0 0 18 0 0 0 0 0 7325 0 0 0 0 11805 0 0 1 0 0 0 0 0 88 71 0 0 0 0 2 11157 0 3335 1 0 0 168 0 0 0 0 422 79 629 0 0 0 0 0 11 0 0 0 0 73 0 21 14 0 2 0 0 0 0 0 0 0 43 25 3927 0 514 53 0 0 0 0 2953 0 0 0 0 0 0 0 0 0 443 0 206 0 0 0 57 0 0 0 0 0 0 0 0 987 0 0 23 0 234 0 0 0 0 0 1 0 6 0 457 176 0 0 0 0 24 0 0 0 0 30 0 0 0 0 0 0 
5 127820 0 29 0 0 0 0 0 0 0 0 0 0 2725 0 0 56 0 58 0 0 1858 0 0 3 50 0 0 670 117 0 0 0 0 0 7 117 0 64149 249 0 0 0 65 273 11040 1736 0 0 0 69 0 0 25 0 0 0 0 13 0 0 0 0 0 7780 0 0 0 0 10719 0 0 0 0 0 0 0 0 65 66 0 0 0 0 1 7260 0 3577 1 0 0 309 0 1 0 0 366 85 927 0 0 0 0 0 3 0 0 0 0 165 0 72 16 0 1 0 0 0 0 0 0 0 48 24 4711 0 837 65 0 0 0 0 3540 0 0 0 0 0 0 0 0 0 638 0 72 0 0 0 56 0 0 0 0 0 0 0 0 1915 0 0 79 0 322 0 0 0 0 0 1 0 9 0 497 233 0 0 0 0 9 0 0 0 0 41 0 0 0 0 0 0 
6 109747 0 19 0 0 0 0 0 0 0 0 3 0 3398 0 0 62 0 42 0 0 1919 0 0 6 62 0 0 857 114 0 0 0 1 0 9 195 0 49767 239 0 0 0 80 238 7457 2062 0 0 0 75 0 0 36 0 0 0 0 21 0 0 0 0 0 8657 0 0 0 0 8961 0 0 1 0 0 0 0 0 70 101 0 0 0 0 3 4427 0 3582 4 0 0 363 0 0 0 0 304 71 1024 0 0 0 0 0 12 0 0 0 0 204 0 85 24 0 2 0 0 0 0 0 0 0 84 20 4942 5 1048 78 0 0 0 0 4094 0 0 0 0 0 0 0 0 0 895 0 95 0 0 0 33 0 0 0 0 0 0 0 0 2599 0 0 68 0 344 0 0 0 2 0 2 0 13 0 520 285 0 0 0 0 3 0 0 0 0 60 0 0 0 0 0 0 
7 104974 0 39 0 0 0 0 0 0 0 0 0 0 3778 0 0 79 0 35 0 0 2103 0 0 5 39 0 0 1099 145 0 0 0 0 0 10 205 0 43273 225 0 0 0 61 270 6171 2299 0 0 0 79 0 0 61 0 0 0 0 20 0 0 0 0 0 9592 0 0 0 0 8368 0 0 0 0 0 0 0 0 78 130 0 0 0 0 1 4512 0 3579 1 0 0 461 0 0 0 0 271 97 971 0 0 0 0 0 5 0 0 0 0 158 0 158 11 0 2 0 0 0 0 0 0 0 62 27 4727 0 1371 90 0 0 0 0 4334 0 0 0 0 0 0 0 0 0 986 0 118 0 0 0 36 0 0 0 0 0 0 0 0 3391 0 0 101 0 335 0 0 0 0 0 1 0 19 0 563 361 0 0 0 0 7 0 0 0 0 54 0 0 0 0 0 0 
8 115295 0 28 0 0 0 0 0 0 0 0 2 0 3910 0 0 89 0 44 0 0 2221 0 0 2 49 0 0 1161 149 0 0 0 0 0 8 194 0 39233 214 0 0 0 81 276 5843 2221 0 0 0 83 0 0 39 0 0 0 0 15 0 0 0 0 0 17294 0 0 0 0 8529 0 0 3 0 0 0 0 0 72 115 0 0 0 0 0 10385 0 3766 1 0 0 561 0 1 0 0 284 81 660 0 0 0 0 0 15 0 0 0 0 119 0 137 22 0 4 0 0 0 0 0 0 0 97 36 4764 1 1356 95 0 0 0 0 4320 0 0 0 0 0 0 0 0 0 1028 0 123 0 0 0 38 0 0 0 0 0 0 0 0 4062 0 0 109 0 271 0 0 0 1 0 8 0 66 0 622 332 0 0 0 0 15 0 0 0 0 40 0 0 0 0 0 0 
9 120520 0 16 0 0 0 0 0 0 0 0 0 0 4147 0 0 93 0 42 0 0 2169 0 0 9 53 0 0 1201 156 0 0 0 0 0 15 144 0 39229 253 0 0 0 90 244 7319 2298 0 0 0 95 0 0 30 0 0 0 0 17 0 0 0 0 0 14921 0 0 0 0 8862 0 0 6 0 0 0 0 0 62 106 0 0 0 0 2 14139 0 4629 2 0 0 585 0 3 0 0 262 68 644 0 0 0 0 0 7 0 0 0 0 161 0 138 15 0 1 0 0 0 0 0 0 0 92 22 4720 0 1542 100 0 0 0 0 4656 0 0 0 0 0 0 0 0 0 1106 0 155 0 0 0 71 0 0 0 0 0 0 0 0 4347 0 0 91 0 249 0 0 0 2 0 4 0 52 0 642 377 2 0 0 0 10 0 0 0 0 46 0 0 0 0 0 1 
