hr total blank BD BF BG BA BB BE BL BM BN BO BH BI BJ BT JM BV BW WS BQ BR BS JE BY BZ RU RW RS LT RE TM TJ RO TK GW GU GT GS GR GQ GP JP GY GG GF GE GD GB GA GN GM GL GI GH OM TN JO WF HR HT HU HK HN HM VE PR PS PW PT KN AF IQ PA PF PG PE PK PH PN PL PM ZM EH EE EG ZA EC IT VN SB ET SO ZW SA ES ER ME MD MG MF MA MC UZ MM ML MO MN MH MK MU MT MW MV MQ MP MS MR IM UG MY MX IL FR AW SH AX SJ FI FJ FK FM FO NI NL NO NA VU NC NE NF NG NZ NP NR NU CK XK CI CH CO CN CM CL CC CA CG CF CD CZ CY CX CR PY CW CV CU SZ SY SX KG KE SS SR KI KH SV KM ST SK KR SI KP KW SN SM SL SC KZ KY SG SE SD DO DM DJ DK DE YE DZ US UY YT UM LB LC LA TV TW TT TR LK LI LV TO TL LU LR LS TH TF TG TD TC LY VA VC AE AD AG VG AI VI IS IR AM AL AO AN AQ AS AR AU AT IO IN TZ AZ IE ID UA QA MZ 
0 1722564 70 207 13 92 49 537 933 2 60 149 414 515 4 29 16 1330 0 59 13 2 434108 531 1 222 34 4702 11 536 48 10 7 16 180 6 0 231 1758 0 385 3 341 72257 66 0 73 104 53 31851 16 21 36 8 8 847 218 186 326 0 187 457 221 835 737 0 13721 145 0 0 8405 53 11 303 2093 35 36 5612 736 40424 1 873 0 44 0 34 8472 3162 4394 3263 513 1 13 51 34 12876 15158 2 81 11 9 4 397 10 16 85 18 45 248 7 86 2 42 17 42 387 67 5 16 27 56 17154 41530 407 15438 85 1 0 0 525 16 0 0 4 1496 1997 417 56 10 133 13 1 2932 2095 267 0 0 2 79 333 612 21156 1990 148 15598 1 34258 18 3 102 259 199 0 3357 4845 42 20 156 2 39 11 12 311 0 47 0 121 778 0 0 26 4216 47 12 3041 757 1 11 3 43 35 2252 968 291 3275 20 4 298 3537 126 354 692728 9957 2 5 361 226 44 0 964 839 12248 422 6 90 5 4 30 14 3 10899 1 8 3 99 793 41 90 1528 13 288 30 1 23 288 304 28 21 157 0 55 12 82304 11792 356 0 5473 210 71 2776 17587 550 821 22 
1 1631623 66 250 6 102 41 538 621 1 65 133 415 403 0 11 12 1310 0 33 16 1 406816 470 0 154 21 3957 7 227 23 14 0 23 143 9 0 241 1798 0 282 0 334 76697 46 0 45 31 47 17388 0 14 5 9 2 486 461 99 154 0 118 521 120 971 772 0 12299 133 0 4 4488 65 48 211 2116 11 57 5421 1175 45231 0 537 0 33 0 14 5008 2038 5064 1816 599 4 3 30 46 9117 8081 1 11 15 7 3 180 7 55 85 18 70 456 12 49 14 27 6 69 439 85 0 10 21 53 18740 42576 327 9264 53 0 0 0 418 4 1 1 0 1583 1211 338 48 7 48 14 0 2178 2134 502 0 0 2 27 159 318 21670 2092 109 15923 0 32184 23 2 72 190 136 0 3527 4703 35 8 108 6 31 8 30 463 0 20 0 147 815 4 1 22 4457 28 5 1858 715 0 7 9 79 44 2300 665 149 3054 45 4 166 2111 66 452 667646 10250 1 3 131 184 54 0 1209 779 7185 444 3 43 11 8 25 5 1 12900 0 4 2 75 421 21 62 1748 3 239 29 0 5 204 177 4 8 82 0 25 24 83318 11483 265 0 10048 158 27 1477 18405 288 638 28 
2 1715779 132 368 4 104 25 437 423 0 44 177 382 470 1 16 15 1517 0 38 6 1 374667 417 3 121 29 5047 6 138 14 49 9 14 109 5 0 250 2027 0 392 1 333 87645 29 0 41 20 45 11776 9 24 4 14 12 311 886 67 167 0 95 423 113 1184 930 0 12942 129 0 1 2579 37 57 203 2158 17 52 6016 1581 53692 0 368 0 36 0 17 3388 2218 5418 1464 803 1 15 56 44 11411 5062 0 30 9 54 1 116 4 26 125 12 83 546 11 13 17 29 14 96 367 109 10 2 10 61 23821 49771 369 5238 67 0 0 0 455 13 2 3 2 2022 1077 281 20 8 73 9 0 1704 1977 705 0 0 4 27 91 274 25171 2276 46 17784 0 31363 8 4 30 143 71 3 4358 4109 27 5 81 12 28 26 37 867 0 29 1 184 963 9 8 16 5338 23 13 2196 319 0 6 2 147 44 2635 585 101 3359 28 15 148 1802 81 174 725394 11948 12 2 164 161 48 0 1340 791 5384 780 0 42 9 6 10 4 1 16080 0 2 3 122 230 23 73 2679 8 290 24 0 8 123 287 9 5 31 0 31 21 95283 12393 186 0 18151 232 36 1003 23893 319 954 26 
3 1661961 175 591 1 149 42 441 356 1 28 183 260 1051 11 27 25 1475 0 115 7 0 253176 410 0 276 34 7256 39 163 34 89 0 27 182 10 0 272 2451 0 546 0 224 120594 13 1 33 66 25 9620 3 14 13 6 10 238 1306 42 317 0 114 267 172 1190 1093 0 10220 134 0 4 1386 43 57 394 2365 19 66 6413 2121 60221 1 566 0 79 0 42 2769 4563 4990 1763 844 3 51 40 168 19001 4571 23 7 19 52 3 74 5 57 167 7 83 461 9 12 42 16 65 153 368 91 0 3 3 191 27514 57139 680 4507 72 0 0 0 743 9 0 3 2 2465 1193 293 35 5 33 5 0 1972 2351 703 0 3 5 16 97 358 24494 2410 49 12491 0 28218 9 3 91 187 94 2 4899 2644 16 0 98 17 48 13 99 2057 0 16 0 178 855 0 3 17 5871 34 12 3357 241 3 3 11 236 42 3131 632 189 3404 19 5 209 2295 73 187 739549 10443 1 8 328 81 62 1 1476 698 7366 865 1 143 7 3 12 1 20 19828 0 3 6 103 249 34 79 3992 10 200 14 0 18 115 294 45 7 36 0 38 44 76867 13798 195 0 25428 404 66 630 25693 447 1520 83 
4 1491500 202 930 11 193 42 262 788 2 19 199 199 1186 0 21 34 1276 0 276 8 4 163348 327 0 802 17 10517 82 329 54 92 1 12 333 8 1 304 2654 0 959 1 129 106327 24 0 37 64 27 10707 12 17 7 4 16 310 1674 52 479 1 159 163 241 1356 1392 0 7543 94 0 4 1108 21 73 615 1986 30 46 5900 2949 66451 0 1016 0 146 0 77 2870 10883 4477 3724 976 4 43 52 413 21563 6889 0 22 55 34 0 71 14 75 171 9 114 523 15 54 71 46 74 200 196 96 1 2 1 409 33303 57470 1181 6218 49 0 0 0 1321 6 0 4 1 2248 2336 476 116 2 87 4 0 3475 2686 795 1 0 12 26 41 558 20075 2908 112 7128 0 24128 31 28 100 540 209 0 4872 1524 29 0 80 14 47 31 92 2901 0 22 0 206 820 0 6 36 6949 50 2 7063 182 5 4 15 316 26 3804 1279 302 1758 11 9 475 4707 68 110 641416 7258 3 6 619 70 87 0 1799 587 17191 991 0 173 6 5 40 4 43 24554 0 2 15 66 220 34 48 5396 6 112 16 0 9 53 436 36 8 60 0 36 30 51898 14143 387 0 33880 733 125 710 27063 1070 1954 201 
5 1163826 163 859 21 391 115 170 1542 0 23 233 145 1331 5 60 21 1005 0 467 7 1 86210 190 2 996 18 12594 125 613 94 102 0 7 446 8 0 319 1789 0 1504 10 46 94635 9 2 13 114 12 17344 14 16 6 6 48 487 1790 117 716 9 305 67 482 1285 708 0 3916 93 0 1 1164 9 109 779 1256 28 27 3507 3633 59263 0 1922 0 324 0 135 3252 15179 2383 7324 718 1 70 65 380 18757 14095 4 52 34 64 1 90 15 79 164 2 76 441 5 82 65 106 84 196 105 94 0 8 13 549 31141 38937 1475 11625 25 9 11 0 1808 10 0 2 3 1495 4210 628 187 0 64 36 1 5937 2551 714 0 9 9 41 62 954 10143 2553 159 3721 0 15596 22 5 72 967 387 4 3105 722 13 3 80 29 47 10 134 3446 0 13 10 216 483 6 15 96 6212 196 9 6055 383 16 6 28 334 17 3584 2116 421 1036 8 3 614 6320 112 288 448040 4053 0 13 868 32 87 1 1599 312 25071 809 9 306 17 7 72 6 19 24294 0 23 9 36 248 41 22 6034 14 62 4 1 4 89 535 64 40 96 0 20 68 27370 13419 689 0 34880 854 211 1053 25414 1516 1680 159 
6 1118874 147 978 14 412 256 94 2668 1 16 212 95 1608 23 54 23 658 1 599 20 2 55098 100 1 1381 28 17535 174 1122 105 106 12 21 692 9 11 374 1126 13 2226 0 43 112413 7 12 16 223 1 41898 20 58 12 6 62 1670 2251 128 949 0 421 52 596 1349 454 0 2288 123 0 1 3682 8 97 819 681 28 34 2188 4617 61954 0 3319 0 466 0 178 4764 21638 1408 12348 850 1 112 98 564 22688 26494 2 58 38 89 0 556 46 108 160 37 111 633 10 121 124 152 139 276 82 94 0 5 30 920 34824 24787 2346 20927 27 0 1 0 2636 3 0 13 3 773 7535 1004 350 16 217 22 0 9527 3342 696 0 0 6 71 240 1790 5018 2812 326 2733 1 11491 36 13 103 1239 594 1 1972 331 25 1 33 78 70 12 117 4721 0 4 0 230 222 5 7 129 6944 322 9 8158 521 5 37 16 441 23 3454 3632 548 478 6 6 1019 10145 89 607 319342 2530 3 11 1187 17 113 0 1823 222 39430 878 7 481 19 12 188 35 47 25928 0 21 6 23 265 53 4 7759 62 79 0 0 9 117 782 67 22 164 0 41 69 16042 17202 1088 0 38842 1080 363 2442 27682 2511 2181 248 
7 1094477 186 1008 13 553 279 59 3661 0 13 229 59 1751 37 52 9 383 3 610 16 1 48748 63 3 1672 5 19095 220 1283 143 145 6 31 754 10 1 352 529 0 2867 2 31 122168 10 28 8 173 3 75606 31 24 21 6 55 2144 2247 215 1054 0 551 35 837 1454 217 0 1647 128 0 11 5712 12 101 1009 397 24 53 1124 4999 63483 2 4746 0 534 0 279 5708 24010 717 17164 1058 12 107 101 629 22889 40254 5 110 94 62 0 501 77 94 150 31 139 548 16 215 65 171 133 279 60 126 0 14 84 917 35361 13433 2501 31562 9 0 6 0 2930 12 0 14 18 401 10268 1381 461 10 36 21 4 11280 3596 751 0 0 7 136 401 2090 2836 2907 472 1698 0 7707 35 6 105 1545 656 0 1132 535 8 16 19 70 108 24 116 5064 0 3 0 264 121 6 8 178 8052 403 8 8302 204 17 14 14 443 25 3665 4349 654 354 2 12 1289 13862 118 688 219760 1321 3 5 1608 10 86 0 1896 147 45701 978 11 626 15 3 169 25 38 27062 0 30 13 17 351 59 15 8290 77 27 0 0 0 202 868 103 58 172 0 45 48 10256 17504 1646 0 37107 1142 456 4570 27595 3085 2174 271 
8 1224001 182 1199 19 561 377 43 4985 1 4 298 44 2012 29 51 14 255 3 728 12 0 98318 60 5 1878 3 21961 219 1581 146 132 5 25 859 11 2 415 352 1 3047 7 27 156330 4 20 12 194 2 104151 39 43 25 12 74 3104 2307 322 1140 0 698 25 1038 1656 123 0 1730 116 0 3 6530 5 99 1294 278 42 40 799 4860 72552 0 5825 1 609 0 308 7505 26992 506 20896 1348 8 135 148 692 25793 53032 2 177 108 51 4 648 67 100 142 33 168 636 11 288 70 215 172 454 59 152 0 7 75 1046 38360 7456 2393 43239 10 1 4 0 3017 15 10 6 8 191 12713 1736 482 8 77 23 0 13564 3676 801 0 2 5 199 434 2587 2015 3258 562 1590 0 5996 71 16 165 1826 850 0 615 552 20 30 45 72 145 4 121 6173 0 14 0 250 77 6 3 270 9118 395 27 9292 305 14 25 16 467 14 4022 5199 721 244 16 30 1601 16362 147 773 153938 974 12 4 1573 5 61 0 2188 140 56112 1080 12 698 10 11 299 32 40 29611 0 48 9 17 534 55 19 8819 92 18 1 1 9 323 1043 153 101 207 0 64 78 9683 19344 1904 0 36303 1261 468 6745 29203 3773 2367 324 
9 1310499 214 1061 22 670 366 67 5325 0 9 305 91 2344 35 83 38 181 12 659 11 3 131960 84 6 2044 7 23415 196 1902 164 135 6 18 871 10 1 494 185 3 2964 11 53 166459 19 16 36 193 30 118108 51 58 64 34 80 3308 2352 356 1236 0 701 34 1116 1640 81 0 3353 120 0 0 8357 7 99 1187 280 26 29 614 5454 85246 0 6692 2 533 0 290 7797 26236 462 22013 1418 0 147 76 776 27998 58876 14 196 109 59 2 752 97 82 198 48 175 549 12 301 79 340 169 248 42 140 0 16 77 998 39892 5147 2615 50556 13 0 3 0 2813 18 1 3 18 97 13236 1855 516 11 74 49 0 14343 3247 840 0 0 4 244 406 2591 2221 3518 542 2976 11 5837 84 17 164 1904 869 11 398 1536 5 60 60 81 123 6 154 5470 0 22 0 230 60 4 4 304 9350 352 4 10104 234 5 34 25 480 5 4331 5666 711 432 18 20 1747 17593 94 897 125858 1456 4 4 1451 22 84 0 2401 191 58792 1114 5 600 12 17 326 35 78 31434 0 38 6 9 705 38 25 9039 110 12 15 0 14 358 1037 201 133 224 0 39 60 15765 20499 2060 0 35140 1339 507 7586 30776 3779 2820 361 
