day total blank BD BF BG BA BB BE BL BM BN BO BH BI BJ BT JM BV BW WS BQ BR BS JE BY BZ RU RW RS LT RE TM TJ RO TK GW GU GT GS GR GQ GP JP GY GG GF GE GD GB GA GN GM GL GI GH OM TN JO WF HR HT HU HK HN HM VE PR PS PW PT KN AF IQ PA PF PG PE PK PH PN PL PM ZM EH EE EG ZA EC IT VN SB ET SO ZW SA ES ER ME MD MG MF MA MC UZ MM ML MO MN MH MK MU MT MW MV MQ MP MS MR IM UG MY MX IL FR AW SH AX SJ FI FJ FK FM FO NI NL NO NA VU NC NE NF NG NZ NP NR NU CK XK CI CH CO CN CM CL CC CA CG CF CD CZ CY CX CR PY CW CV CU SZ SY SX KG KE SS SR KI KH SV KM ST SK KR SI KP KW SN SM SL SC KZ KY SG SE SD DO DM DJ DK DE YE DZ US UY YT UM LB LC LA TV TW TT TR LK LI LV TO TL LU LR LS TH TF TG TD TC LY VA VC AE AD AG VG AI VI IS IR AM AL AO AN AQ AS AR AU AT IO IN TZ AZ IE ID UA QA MZ 
0 1956 0 0 0 0 0 0 0 0 0 0 0 22 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 46 0 0 0 0 0 0 9 8 7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 14 0 0 0 0 0 0 0 0 0 0 0 0 554 0 0 1 0 0 0 0 0 809 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 15 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 2 0 0 159 0 0 0 0 0 0 0 0 20 0 0 0 0 7 8 3 70 0 0 0 9 0 0 0 1 0 6 0 0 0 0 0 0 0 0 0 0 0 0 0 49 0 0 67 0 0 0 0 0 0 0 0 0 0 0 0 0 0 7 0 0 0 0 0 7 2 2 41 0 
1 1496 0 0 0 0 0 0 0 0 0 0 0 29 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 24 0 0 0 0 0 0 40 10 8 0 0 0 0 1 0 0 0 0 0 0 0 0 0 9 0 0 0 0 4 0 0 1 0 0 0 0 326 0 4 3 0 0 0 0 0 643 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 10 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 87 0 0 0 0 0 0 0 1 16 0 0 0 0 3 4 5 77 0 0 0 4 0 0 0 0 0 2 0 0 0 0 0 0 0 0 1 0 0 0 0 27 0 0 100 0 0 0 0 0 0 3 0 0 0 0 0 0 0 7 1 0 1 0 0 0 2 0 37 0 
2 1628 0 0 0 0 0 0 0 0 0 0 0 28 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 27 0 0 0 0 0 0 43 1 12 0 0 0 0 0 0 0 0 0 0 0 0 0 0 8 0 0 0 0 2 1 0 0 0 0 0 0 259 0 0 1 0 0 0 0 0 777 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 4 0 1 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 2 0 1 0 0 0 7 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 4 0 0 119 0 0 0 0 0 0 1 1 3 0 0 0 2 4 2 8 75 0 0 0 6 0 0 0 0 0 3 0 0 0 0 0 0 0 0 1 0 0 0 0 11 0 0 150 0 0 0 0 0 0 3 0 0 0 0 0 0 0 8 1 0 1 0 0 2 4 1 38 0 
3 2377 0 0 0 0 0 0 0 0 0 0 0 57 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 11 0 0 0 0 0 0 74 0 23 0 0 0 0 0 0 0 0 0 0 0 0 0 0 16 0 0 0 0 0 3 0 0 0 0 0 0 170 0 0 0 0 0 0 0 0 1370 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 1 1 0 0 0 0 0 0 0 0 0 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 1 0 0 0 8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 196 0 0 0 0 0 0 0 0 12 0 0 0 0 10 4 2 78 0 0 0 9 0 0 0 0 0 6 0 0 0 0 0 0 0 0 3 0 0 0 0 26 0 0 176 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6 0 0 4 0 0 1 4 0 90 0 
4 2953 0 1 0 0 0 0 0 0 0 0 0 80 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 13 0 0 0 0 0 0 105 0 36 0 0 0 0 0 0 0 0 0 0 0 0 0 0 22 0 0 0 0 1 0 0 0 0 0 0 0 203 0 1 0 0 0 0 0 0 1483 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6 0 0 2 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 3 0 0 0 7 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 356 0 0 0 0 0 0 0 1 28 0 0 0 8 14 5 1 107 0 0 0 35 0 0 0 0 0 6 0 0 0 0 0 0 0 0 6 0 0 0 0 11 0 0 254 0 0 0 0 0 0 0 0 0 0 0 0 0 0 14 1 0 3 1 0 0 2 0 130 0 
5 3540 0 0 0 0 0 0 1 0 0 0 0 128 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 1 0 14 0 0 0 0 0 0 162 9 46 0 0 0 1 1 0 0 0 0 0 0 0 0 0 61 0 0 0 1 3 1 0 0 0 0 0 0 254 1 0 0 0 0 0 0 0 1732 0 0 0 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 13 13 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 2 0 5 0 0 0 7 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 10 0 0 371 0 0 0 0 0 0 0 0 32 0 0 0 1 13 7 11 84 0 0 0 52 0 0 0 0 0 24 0 0 0 0 0 0 0 0 2 0 0 0 0 16 0 0 302 0 0 0 0 0 0 4 0 0 0 0 0 0 0 10 3 0 3 0 0 1 3 0 122 0 
6 4094 0 0 0 0 2 0 3 0 0 0 0 109 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 48 0 0 0 0 0 0 174 6 78 0 0 0 0 0 0 0 0 0 0 0 0 0 0 74 0 0 0 0 2 3 0 5 0 0 0 0 338 0 0 2 0 0 0 0 0 1939 1 0 0 0 0 0 5 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 16 11 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 8 0 0 0 0 2 0 0 0 0 0 0 0 10 0 0 0 0 0 0 0 0 0 0 0 5 0 0 514 0 0 0 0 1 0 0 1 27 0 0 0 0 18 10 28 126 0 0 0 56 0 0 0 0 0 21 0 0 0 0 0 0 0 0 10 0 0 0 0 7 0 0 282 0 0 0 0 0 0 4 0 0 0 0 0 0 1 14 2 0 3 0 0 1 1 0 118 0 
7 4334 0 0 0 0 5 0 3 0 0 0 0 152 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 54 0 0 0 0 0 0 175 8 66 0 0 0 0 0 0 0 0 0 0 0 0 0 0 93 0 0 0 0 1 1 0 1 0 0 0 0 455 2 0 2 0 0 0 0 0 1898 5 0 0 0 0 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 9 10 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 3 0 0 0 10 0 0 0 0 2 0 0 0 0 0 0 0 5 0 0 0 0 0 0 0 0 0 0 0 5 0 0 503 0 0 0 0 0 0 1 0 38 0 0 0 0 15 10 17 89 0 0 0 74 0 0 0 1 0 20 0 0 0 0 0 0 0 0 6 0 0 0 0 18 0 0 375 0 0 0 0 0 0 13 0 0 0 0 0 0 0 12 9 0 2 0 1 5 3 0 144 0 
8 4320 0 0 0 0 0 0 2 0 0 0 0 148 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 4 0 0 0 0 0 47 0 0 0 0 0 0 155 9 63 0 0 0 0 1 0 0 0 0 0 0 0 0 0 63 0 0 0 0 1 7 0 2 0 0 0 0 482 0 0 9 1 0 0 1 0 2021 13 0 0 0 0 0 10 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 11 0 11 14 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 5 0 0 0 9 0 0 0 2 0 0 0 0 0 0 0 0 11 0 0 0 0 0 0 0 0 0 0 0 1 0 0 400 0 0 0 0 0 0 1 1 59 0 0 0 0 6 13 9 77 0 0 0 54 0 0 0 1 0 22 0 0 0 0 0 0 0 0 7 0 0 0 0 54 0 0 364 0 0 0 0 0 0 8 0 0 0 0 0 0 0 13 4 0 3 0 0 2 4 0 108 0 
9 4656 0 0 0 0 1 0 4 0 0 0 0 155 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 53 0 0 0 0 0 0 149 7 82 0 0 0 2 1 0 0 0 0 0 0 0 0 1 71 0 0 0 0 1 0 0 0 0 0 0 0 518 0 0 13 0 0 0 0 0 2177 7 0 0 0 0 0 9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 8 0 9 5 0 0 0 0 0 0 0 0 0 0 9 1 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 1 0 0 0 9 0 0 0 2 0 0 0 0 0 0 0 0 7 0 0 0 0 0 0 0 0 0 0 0 2 0 0 503 0 0 0 0 0 0 1 1 41 0 0 2 0 18 8 16 71 0 0 0 64 0 0 0 0 0 38 0 0 0 0 0 0 0 0 4 0 0 0 0 40 0 0 316 0 0 0 0 0 1 0 0 0 0 0 0 0 0 12 8 0 3 0 1 2 6 1 187 0 
10 5119 0 0 0 0 0 0 1 0 0 0 0 137 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 62 0 0 0 0 0 0 189 19 64 0 0 0 1 0 0 0 0 0 0 0 0 0 0 63 0 0 0 0 1 2 0 0 0 0 0 0 521 0 0 7 0 0 0 1 0 2540 11 0 0 0 0 0 32 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 8 7 0 0 0 0 0 0 0 0 0 0 10 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 2 0 0 0 2 0 0 0 1 3 0 0 0 0 0 0 0 5 0 0 3 0 0 0 0 0 0 0 0 1 0 0 525 0 0 0 0 0 0 1 5 37 0 0 7 0 13 4 29 75 0 0 0 84 0 0 0 1 0 21 0 0 0 0 0 0 0 0 12 0 0 0 0 37 0 0 382 0 0 0 0 0 0 3 0 0 0 0 0 0 0 13 5 0 4 1 1 9 1 1 145 0 
11 5018 0 0 0 0 0 0 3 0 0 0 0 146 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 68 0 0 0 0 0 0 126 14 83 0 0 0 1 0 0 0 0 0 0 0 0 0 0 92 0 0 0 0 0 3 0 0 0 0 0 0 594 0 0 5 0 0 0 0 0 2361 2 0 0 0 0 0 14 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 6 24 0 0 0 0 1 0 0 0 0 0 12 0 0 0 0 0 0 1 0 0 0 0 0 0 1 1 0 4 0 0 0 6 0 0 0 0 0 0 0 0 0 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0 1 0 0 574 0 0 0 0 0 0 0 1 31 0 0 0 1 11 25 27 70 0 0 0 68 0 0 0 0 0 20 1 0 0 0 0 0 0 0 11 0 0 0 0 82 0 0 325 0 0 0 0 0 0 6 0 0 0 0 0 0 0 11 8 0 0 0 0 2 6 1 159 0 
12 4154 0 0 0 0 0 0 0 0 0 0 0 113 0 0 0 0 0 0 0 0 3 0 0 0 0 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 51 0 0 0 0 0 0 101 29 59 0 0 0 2 0 0 0 0 0 0 0 0 0 0 55 0 0 0 0 0 3 0 1 0 0 0 0 513 0 2 2 0 0 0 0 0 1876 6 0 0 0 0 0 13 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 4 6 0 0 0 0 0 0 0 0 0 0 8 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 1 0 0 0 13 0 0 0 1 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 478 0 0 0 0 0 0 0 3 31 0 0 0 0 10 20 37 37 0 0 0 64 0 0 0 0 0 28 0 0 0 0 0 1 0 0 9 0 0 0 0 39 0 0 336 0 0 0 0 0 0 6 0 0 0 0 0 0 0 16 5 0 5 0 0 5 5 1 140 0 
13 4064 0 0 0 0 0 0 0 0 0 0 0 104 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 41 0 0 0 0 0 1 105 16 56 0 0 0 1 0 0 0 0 0 0 0 0 0 0 71 0 0 0 0 1 0 0 1 0 0 0 0 521 0 0 4 0 0 0 0 0 1952 8 0 0 0 0 0 23 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 3 6 0 0 0 0 0 0 0 0 0 0 7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6 0 0 0 2 0 0 0 0 0 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0 3 0 0 420 0 0 0 0 1 0 1 1 28 0 0 0 1 5 24 31 56 0 0 0 64 0 0 0 1 0 22 2 0 0 0 0 0 0 0 3 0 0 0 0 46 0 0 252 0 0 0 0 0 0 10 0 0 0 0 0 0 0 13 4 0 0 0 2 6 5 0 126 0 
14 3765 0 0 0 0 0 0 1 0 0 0 0 112 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 2 0 1 0 0 0 0 0 47 0 0 0 0 0 0 103 9 49 0 0 0 1 0 0 0 0 0 0 0 0 0 0 49 0 0 0 0 1 0 0 0 0 0 0 0 581 5 0 14 0 0 0 1 0 1613 9 0 0 0 0 0 20 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 6 0 4 15 0 0 0 0 0 0 0 0 0 0 2 1 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 5 0 0 0 6 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 374 0 0 0 0 0 0 0 2 24 0 0 0 2 12 16 23 72 0 0 0 55 0 0 0 0 0 36 0 0 0 0 0 1 0 0 8 0 0 0 0 48 0 0 296 0 0 0 0 0 0 7 0 0 0 0 0 0 0 13 2 0 5 0 1 1 3 0 98 0 
