day total blank BD BF BG BA BB BE BL BM BN BO BH BI BJ BT JM BV BW WS BQ BR BS JE BY BZ RU RW RS LT RE TM TJ RO TK GW GU GT GS GR GQ GP JP GY GG GF GE GD GB GA GN GM GL GI GH OM TN JO WF HR HT HU HK HN HM VE PR PS PW PT KN AF IQ PA PF PG PE PK PH PN PL PM ZM EH EE EG ZA EC IT VN SB ET SO ZW SA ES ER ME MD MG MF MA MC UZ MM ML MO MN MH MK MU MT MW MV MQ MP MS MR IM UG MY MX IL FR AW SH AX SJ FI FJ FK FM FO NI NL NO NA VU NC NE NF NG NZ NP NR NU CK XK CI CH CO CN CM CL CC CA CG CF CD CZ CY CX CR PY CW CV CU SZ SY SX KG KE SS SR KI KH SV KM ST SK KR SI KP KW SN SM SL SC KZ KY SG SE SD DO DM DJ DK DE YE DZ US UY YT UM LB LC LA TV TW TT TR LK LI LV TO TL LU LR LS TH TF TG TD TC LY VA VC AE AD AG VG AI VI IS IR AM AL AO AN AQ AS AR AU AT IO IN TZ AZ IE ID UA QA MZ 
0 65050 2 7 0 1 3 37 18 0 2 18 2 2 0 1 1 73 0 0 1 0 1030 34 0 1 2 23 1 6 0 0 0 2 3 0 0 26 13 0 12 0 4 147 5 0 0 0 0 1812 0 0 0 1 1 57 2 4 3 0 5 11 2 33 5 0 52 2 0 0 61 4 0 1 19 3 2 31 38 1356 0 6 0 9 0 0 65 193 10 55 18 0 3 2 1 31 108 0 0 0 6 0 7 0 1 2 3 0 2 0 0 0 1 0 1 1 2 1 0 1 1 403 282 8 123 1 0 0 0 8 0 0 0 0 11 64 15 5 1 0 0 0 220 157 7 0 0 0 1 5 13 66 54 2 52 0 2539 0 0 2 3 4 0 22 22 2 0 3 0 0 0 0 28 0 2 0 11 3 0 0 0 47 0 2 22 37 1 1 0 0 1 169 12 2 27 0 0 19 77 0 3 52875 28 0 0 7 21 0 0 22 65 26 17 0 6 1 0 2 1 0 88 0 0 0 14 2 1 15 24 0 9 0 0 5 11 6 0 1 0 0 1 0 153 884 14 0 262 3 0 137 236 3 8 0 
1 65295 1 8 0 11 1 72 8 0 9 10 1 4 0 0 0 158 0 0 1 0 1032 34 0 0 1 27 1 3 1 0 0 2 0 0 0 22 12 0 10 0 3 184 5 0 1 0 0 971 0 0 1 1 0 45 2 1 2 0 1 11 2 42 5 0 43 1 0 0 18 4 1 2 8 1 1 25 64 1441 0 5 0 2 0 0 47 145 13 41 22 0 0 1 5 40 75 0 0 1 1 0 6 2 5 5 1 5 2 1 2 1 0 1 4 6 4 0 0 0 4 444 256 6 125 5 0 0 0 5 0 0 0 0 19 27 10 1 0 24 2 0 173 142 9 0 0 1 3 0 7 67 89 7 51 0 2283 2 0 2 1 1 0 32 13 2 0 3 0 0 0 1 72 0 1 0 7 3 0 0 0 62 0 2 17 17 0 0 1 1 3 184 20 4 35 6 1 9 72 0 1 54005 21 1 1 1 21 0 0 16 48 10 15 0 0 5 1 0 0 1 94 0 0 0 7 2 2 4 33 0 5 4 0 0 0 5 0 0 5 0 0 1 160 843 13 0 478 2 1 82 270 3 10 1 
2 71926 5 39 0 9 1 59 9 0 5 20 2 6 1 0 0 218 0 2 0 0 726 27 0 0 4 37 1 1 1 0 1 0 1 0 0 19 12 0 5 0 13 193 1 0 0 1 6 695 0 0 0 1 0 35 12 1 1 0 1 4 3 100 5 0 52 3 0 0 15 4 2 6 17 1 4 43 80 1705 0 3 0 2 0 0 27 135 11 51 49 0 0 5 5 46 50 0 0 0 5 0 9 2 1 2 1 0 2 0 0 0 1 0 7 2 5 0 0 0 6 601 336 16 92 4 0 0 0 2 1 0 1 0 12 52 22 2 1 0 1 0 116 147 12 0 0 0 2 2 11 82 90 1 58 0 2384 0 0 0 2 1 0 34 17 0 0 2 0 0 0 0 46 0 1 0 10 5 1 1 0 53 1 2 13 12 0 0 0 1 3 174 19 1 43 4 1 12 41 0 0 59821 24 1 0 5 8 2 0 15 89 17 25 0 0 2 0 0 0 1 114 0 0 0 9 2 2 18 65 0 17 2 0 0 1 14 0 0 0 0 1 2 159 987 14 0 828 10 0 72 362 0 4 1 
3 76934 3 40 0 6 0 65 6 0 7 13 3 12 0 1 4 159 0 12 0 0 563 43 0 4 1 46 1 0 0 0 0 0 6 0 0 14 29 0 8 0 1 196 1 0 0 1 2 610 1 0 0 0 0 21 15 1 3 0 0 5 3 59 5 0 30 2 0 0 7 3 7 6 18 2 5 50 85 1493 1 15 0 7 0 1 22 296 14 37 26 0 7 1 9 83 50 3 0 0 2 0 1 0 1 7 0 1 1 2 0 0 1 3 11 2 3 0 0 0 23 551 370 12 132 4 0 0 0 17 1 0 1 0 28 52 12 2 1 0 0 0 150 169 13 0 0 0 0 0 18 100 75 1 44 0 2073 0 0 2 6 1 0 32 7 0 0 10 1 3 1 1 120 0 0 0 6 3 0 0 3 74 2 0 49 24 0 0 1 2 2 177 14 3 43 2 1 4 53 1 0 64851 24 0 1 8 7 1 0 28 46 28 29 0 1 1 0 0 0 1 128 0 0 0 13 4 4 12 154 0 19 2 0 2 4 6 5 0 1 0 1 1 154 1113 5 0 1047 11 0 29 364 1 19 3 
4 84208 13 50 1 6 0 29 42 0 1 10 3 19 0 0 3 123 0 25 0 0 349 34 0 6 0 37 6 2 4 0 0 0 13 0 0 25 13 0 18 0 2 207 1 0 0 2 4 828 0 1 0 1 0 46 31 3 9 0 2 7 6 55 8 0 37 1 0 1 6 0 11 5 20 2 4 55 132 1744 0 15 0 10 0 3 19 767 15 71 43 0 10 6 28 150 88 0 0 1 1 0 2 3 0 9 0 2 3 1 0 5 3 3 15 0 4 0 0 0 58 719 378 27 95 5 0 0 0 33 0 0 0 0 20 103 15 10 1 0 0 0 248 197 18 0 0 1 0 0 28 74 107 4 23 0 2077 2 1 2 37 8 0 45 4 0 0 1 0 5 0 1 177 0 0 0 9 5 0 0 1 57 4 0 141 6 0 0 2 2 2 211 42 8 27 0 0 20 99 0 1 69826 20 0 1 19 2 4 0 33 65 67 30 0 2 0 0 2 0 0 153 0 0 3 1 3 3 13 199 0 5 0 0 1 0 1 1 0 2 0 2 1 79 1011 9 0 1505 22 5 50 469 9 24 7 
5 64149 10 53 2 18 8 19 78 0 1 12 4 30 0 6 0 125 0 61 0 0 202 32 0 1 0 72 11 14 4 0 0 0 30 0 0 36 11 0 30 1 0 208 0 1 4 6 1 2250 1 0 0 0 5 66 20 5 16 1 13 4 10 62 3 0 13 0 0 0 8 0 8 15 8 0 2 21 178 2087 0 55 0 25 0 16 47 1255 13 190 50 0 11 9 36 139 209 0 1 1 3 0 4 3 5 7 0 9 1 0 5 4 10 2 7 2 3 0 0 0 91 789 243 42 258 0 1 2 0 54 0 0 0 0 19 195 30 7 0 1 3 0 599 237 20 0 1 0 0 0 61 85 132 27 16 0 1406 0 0 2 63 17 0 25 0 0 1 0 1 1 0 0 292 0 0 1 13 4 0 1 10 82 7 0 141 4 2 0 5 1 1 271 62 10 13 3 0 57 205 1 7 45332 11 0 1 33 0 5 0 31 38 100 30 1 7 1 2 1 0 0 192 0 1 0 5 6 2 0 444 0 0 1 0 0 2 4 5 1 0 0 0 2 62 1286 31 0 2143 31 6 128 491 19 29 5 
6 49767 17 34 1 11 2 13 98 0 0 12 0 24 0 4 2 54 1 40 0 1 122 7 0 4 0 93 13 11 12 0 0 2 37 0 2 23 4 2 36 0 0 191 0 1 2 56 0 5114 0 3 1 0 5 222 34 2 20 0 8 1 21 58 3 0 6 0 0 0 57 1 3 12 5 1 1 18 247 1887 0 58 0 46 0 21 36 1608 9 255 30 0 11 6 39 143 342 0 0 1 0 0 13 1 2 2 3 9 5 0 2 7 10 9 13 5 4 0 0 7 102 804 171 44 422 0 0 0 0 69 1 0 2 1 2 260 58 18 2 31 1 0 808 279 16 0 0 0 3 11 89 34 106 14 5 1 992 1 0 2 56 24 0 19 1 0 0 1 2 3 0 1 476 0 0 0 21 1 0 0 12 86 5 5 222 2 0 3 0 4 3 230 112 10 12 0 1 58 571 0 16 26450 6 0 0 38 0 3 0 32 9 107 41 0 1 2 0 14 3 2 242 0 0 1 3 1 3 0 286 1 7 0 0 5 8 8 5 1 2 0 0 8 44 1589 39 0 2167 32 3 356 461 23 61 5 
7 43273 11 44 0 21 9 5 106 0 0 10 8 20 0 3 1 53 0 68 0 0 115 3 0 4 0 174 31 23 4 1 0 2 40 0 0 22 4 0 65 0 0 245 0 1 0 9 0 7690 0 1 1 0 4 203 34 4 17 0 36 1 29 63 1 0 8 0 0 1 74 0 3 12 9 0 2 9 219 1960 0 63 0 57 0 24 56 1959 5 316 52 1 14 4 61 129 351 0 2 1 1 0 13 1 1 5 0 6 2 1 0 3 16 16 8 0 6 0 1 5 106 851 93 144 456 1 0 0 0 81 0 0 1 1 2 277 93 60 1 1 0 0 974 276 18 0 0 0 5 5 74 17 95 7 1 0 570 1 0 5 49 23 0 3 1 0 1 0 3 2 1 1 489 0 0 0 21 0 0 0 10 79 10 0 217 4 0 1 1 5 2 214 127 23 8 0 0 64 451 0 9 16650 4 0 0 60 0 0 0 36 18 145 41 0 9 1 0 6 0 14 221 0 5 0 0 0 0 0 287 0 2 0 0 0 10 14 5 1 0 0 4 4 27 1592 43 0 2208 32 4 589 433 26 41 8 
8 39233 11 34 1 13 6 3 181 0 1 14 0 25 0 0 1 40 0 45 1 0 305 1 0 9 0 94 19 14 5 0 1 1 40 0 0 23 1 0 56 0 0 267 1 0 0 7 0 8777 5 0 1 1 6 243 24 8 21 0 25 0 38 63 0 0 7 0 0 0 74 0 8 31 0 2 1 4 195 2349 0 106 0 53 0 38 80 2027 2 321 85 0 14 13 64 142 440 0 7 2 3 0 14 6 2 6 1 4 1 0 5 0 8 10 22 0 7 0 0 4 129 890 58 86 478 1 0 0 0 86 1 1 0 0 1 372 57 66 3 3 3 0 1017 289 14 0 0 0 2 18 80 37 98 8 5 0 370 3 2 4 52 47 0 1 2 2 4 1 3 3 0 2 444 0 0 0 10 0 0 0 17 80 7 2 199 6 0 1 0 1 0 290 155 14 8 0 1 71 445 0 13 10810 1 0 1 26 0 1 0 42 6 186 53 0 10 0 0 11 2 1 218 0 3 0 9 3 0 2 264 0 0 0 0 0 8 24 4 4 3 0 1 5 18 1630 51 0 1973 41 2 629 423 21 45 4 
9 39229 10 36 0 21 4 3 154 0 0 20 5 23 1 3 2 15 0 35 1 0 422 4 0 9 0 90 13 15 5 2 0 0 34 0 0 31 2 0 49 0 2 243 2 0 1 2 4 9586 1 0 5 2 6 302 31 29 9 0 26 0 33 67 0 0 10 0 0 0 87 1 3 6 1 0 2 5 200 2535 0 87 0 36 0 22 112 1902 3 287 77 0 24 2 119 177 528 1 3 1 2 0 23 1 2 13 1 6 2 0 4 2 13 16 10 2 3 0 0 12 108 892 45 52 533 0 0 0 0 63 0 0 0 0 0 301 85 61 0 1 0 0 1083 192 14 0 0 0 12 8 80 19 140 11 14 1 352 1 1 3 60 48 1 4 2 2 3 4 5 3 0 0 428 0 1 0 14 0 0 1 25 88 11 0 208 6 0 2 2 1 0 295 150 14 4 0 0 61 414 4 8 9251 1 0 0 29 3 5 0 53 19 219 43 1 5 0 2 6 3 18 185 0 0 0 5 7 3 3 271 0 2 0 0 7 10 9 9 9 3 0 0 2 70 2048 40 0 1859 58 1 684 506 27 57 7 
