day total blank BD BF BG BA BB BE BL BM BN BO BH BI BJ BT JM BV BW WS BQ BR BS JE BY BZ RU RW RS LT RE TM TJ RO TK GW GU GT GS GR GQ GP JP GY GG GF GE GD GB GA GN GM GL GI GH OM TN JO WF HR HT HU HK HN HM VE PR PS PW PT KN AF IQ PA PF PG PE PK PH PN PL PM ZM EH EE EG ZA EC IT VN SB ET SO ZW SA ES ER ME MD MG MF MA MC UZ MM ML MO MN MH MK MU MT MW MV MQ MP MS MR IM UG MY MX IL FR AW SH AX SJ FI FJ FK FM FO NI NL NO NA VU NC NE NF NG NZ NP NR NU CK XK CI CH CO CN CM CL CC CA CG CF CD CZ CY CX CR PY CW CV CU SZ SY SX KG KE SS SR KI KH SV KM ST SK KR SI KP KW SN SM SL SC KZ KY SG SE SD DO DM DJ DK DE YE DZ US UY YT UM LB LC LA TV TW TT TR LK LI LV TO TL LU LR LS TH TF TG TD TC LY VA VC AE AD AG VG AI VI IS IR AM AL AO AN AQ AS AR AU AT IO IN TZ AZ IE ID UA QA MZ 
0 19932 0 0 1 0 0 0 2 0 0 0 29 0 0 0 0 3 0 0 0 0 1999 2 0 0 0 4 0 0 0 0 0 0 0 0 0 0 146 0 0 0 0 10 0 0 0 0 0 26 0 0 0 0 0 0 0 0 0 0 0 0 0 2 39 0 1099 8 0 0 13 0 0 0 150 0 0 339 1 28 0 0 0 0 0 0 1 2 652 13 1 0 0 0 0 1 596 0 1 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 2922 1 22 2 0 0 0 0 0 0 0 0 120 2 1 0 0 0 0 0 1 8 0 0 0 0 0 0 3 1456 2 0 1313 0 40 0 0 1 0 0 0 228 457 0 0 3 0 0 0 0 0 0 0 0 0 48 0 0 0 1 0 0 0 2 0 0 0 0 0 2 0 0 230 0 0 0 9 0 0 1073 711 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 5 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 6061 6 1 0 1 0 0 5 8 8 0 0 
1 20848 0 0 0 0 0 0 1 0 0 1 21 0 0 0 0 1 0 0 0 1 1277 2 0 0 1 0 0 0 0 0 0 0 0 0 0 0 130 0 0 0 0 14 0 0 0 0 0 23 0 0 0 0 0 0 0 0 0 0 0 0 1 3 61 0 1176 5 0 1 4 0 0 0 138 0 0 382 1 30 0 3 0 0 0 1 0 1 836 6 0 0 0 0 0 0 326 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 13 3338 0 11 1 0 0 0 0 0 0 0 0 153 2 0 0 0 0 0 0 0 3 0 0 0 0 0 1 0 1720 3 0 1443 0 28 0 0 0 2 0 0 247 535 0 0 4 0 0 0 0 0 0 0 0 0 73 0 0 0 4 0 0 0 0 0 0 0 0 0 1 1 0 210 0 0 0 4 0 0 1154 836 0 0 0 0 0 0 3 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 2 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6580 7 0 0 0 0 0 0 7 4 0 0 
2 21748 0 0 0 0 0 1 3 0 1 2 17 0 0 0 0 0 0 0 0 0 775 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 139 0 1 0 2 23 0 0 0 1 0 20 0 0 0 0 0 0 0 0 0 0 0 0 0 5 78 0 1066 12 0 0 0 0 0 0 181 0 0 484 0 34 0 0 0 0 0 0 0 3 579 2 0 0 0 0 0 0 163 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 6 4094 2 6 0 0 0 0 0 0 0 0 0 200 0 0 0 0 0 0 0 0 7 1 0 0 0 0 0 1 1907 4 0 1778 0 54 0 0 1 0 0 0 363 252 0 0 5 0 0 0 0 0 0 0 0 0 70 0 0 0 0 0 0 0 4 0 0 0 0 0 1 1 0 270 0 0 0 5 0 0 1238 886 0 0 0 0 0 0 2 1 5 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 6924 12 0 0 1 1 0 0 40 0 0 0 
3 20898 4 2 0 0 0 0 0 0 0 0 11 0 0 0 0 1 0 0 1 0 486 1 0 0 0 1 0 0 0 0 0 0 1 0 0 0 232 0 0 0 0 10 0 0 0 0 1 9 0 0 0 0 0 0 0 1 0 0 0 0 0 0 74 0 726 12 0 0 0 0 0 0 170 0 0 558 0 39 0 0 0 0 0 0 0 3 434 5 0 0 0 0 0 0 161 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 12 5195 3 11 1 0 0 0 1 0 0 0 0 167 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1914 3 0 1039 0 48 0 0 0 0 0 0 319 153 0 0 2 0 0 0 0 1 0 1 0 0 64 0 0 0 1 0 0 0 0 0 0 0 0 1 3 1 0 239 0 0 0 3 0 0 2110 733 0 0 1 0 0 0 2 0 6 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 5856 10 1 0 10 3 0 0 27 0 0 0 
4 15970 3 0 0 0 0 0 4 0 0 0 12 0 0 0 0 1 0 1 0 0 254 0 0 0 0 1 1 0 1 0 0 0 1 0 0 0 237 0 2 0 0 10 0 0 0 0 0 7 0 0 0 0 0 0 0 0 0 0 0 0 0 2 80 0 595 8 0 0 2 0 0 0 163 0 0 378 1 48 0 0 0 0 0 0 1 11 374 10 0 0 0 0 0 0 384 0 0 6 0 0 0 0 0 0 0 2 0 0 0 0 1 1 0 0 0 0 0 0 0 11 4808 3 5 2 0 0 0 0 0 0 0 0 186 3 2 0 0 0 0 0 0 2 0 0 0 0 0 0 0 1527 2 0 453 0 49 0 0 2 0 0 0 325 77 0 0 1 0 0 0 0 0 0 0 0 0 65 0 0 0 2 1 0 1 0 0 0 0 0 0 2 3 0 138 0 0 0 4 0 0 1658 507 0 0 1 0 0 0 3 0 3 0 0 0 0 0 0 0 0 2 0 0 0 0 1 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 3476 11 0 0 6 1 0 4 11 0 0 1 
5 11040 0 0 0 0 0 0 7 0 0 0 8 1 0 0 0 0 0 1 0 0 154 0 0 0 0 0 0 1 0 0 0 0 3 0 0 0 167 0 3 0 0 12 0 0 0 1 0 16 0 0 0 0 0 1 0 1 0 0 0 0 1 2 36 0 368 11 0 0 1 0 0 0 73 0 0 301 0 58 0 1 0 0 0 0 2 3 243 35 1 0 0 0 0 0 1523 0 0 1 0 0 2 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 15 2971 4 21 2 0 0 0 1 0 0 0 0 131 1 0 0 0 0 0 0 4 5 0 0 0 0 0 0 3 823 1 0 256 0 29 0 0 0 1 0 0 288 25 1 0 4 0 0 0 0 5 0 0 0 0 42 0 0 0 1 0 0 0 1 0 0 0 0 0 2 2 0 55 0 0 1 14 0 1 745 354 0 0 0 0 0 0 1 1 10 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 3 1 0 0 0 0 0 0 0 0 1 0 0 0 2137 2 0 0 12 0 0 3 11 0 0 2 
6 7457 0 0 0 2 0 0 16 0 0 0 3 0 0 0 0 0 0 0 0 0 87 0 0 0 0 4 0 0 0 0 0 0 0 0 0 0 79 0 3 0 0 8 0 0 0 0 0 25 0 0 0 0 0 1 0 0 0 0 0 0 3 2 31 0 162 8 0 0 21 0 0 0 41 0 0 144 1 51 0 3 0 0 0 2 2 15 100 29 0 0 0 0 2 3 2546 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 4 0 0 0 0 0 0 0 2 11 1477 45 30 0 0 0 0 1 0 0 0 0 34 7 1 0 0 0 0 0 9 6 0 0 0 0 0 0 4 319 8 0 167 0 21 0 0 0 6 1 0 133 9 0 0 1 0 0 0 0 6 0 0 0 1 9 0 0 0 2 1 0 2 0 0 0 0 0 0 2 1 0 19 0 0 3 14 0 0 353 275 0 0 1 0 0 0 1 0 18 0 0 0 0 0 0 0 0 4 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 1 0 0 0 1005 10 7 0 6 1 0 2 12 0 3 1 
7 6171 1 1 0 1 0 0 9 0 0 0 2 0 0 0 0 0 0 0 0 0 73 0 0 0 0 6 0 1 0 0 1 0 4 0 0 0 30 0 4 0 0 8 0 0 0 0 0 37 0 0 0 0 1 3 0 0 0 0 12 0 1 3 5 0 108 8 0 0 25 0 0 0 21 0 0 56 0 60 0 3 0 0 0 7 0 8 51 48 0 0 0 0 0 1 3358 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 8 709 3 33 0 0 0 0 0 0 0 0 0 21 17 1 0 0 0 0 0 4 5 0 0 0 0 0 0 9 170 1 0 115 0 10 1 0 0 3 0 0 70 42 1 0 1 0 0 0 0 5 0 0 0 1 5 0 0 4 3 0 0 0 0 0 0 1 0 0 4 5 0 19 0 0 1 17 0 1 231 67 0 0 1 0 1 0 1 0 15 0 0 0 0 0 0 0 0 4 0 0 0 0 0 0 0 6 1 0 0 0 0 0 0 0 0 1 0 0 0 543 6 1 0 13 4 0 6 18 0 1 2 
8 5843 0 1 0 0 0 0 8 0 0 0 8 0 0 0 0 0 0 0 0 0 221 0 0 0 0 10 0 0 0 0 0 0 6 0 0 0 18 0 2 0 0 28 0 0 0 0 0 31 0 0 0 0 0 1 0 0 0 0 1 0 0 0 8 0 149 8 0 0 19 0 0 0 15 0 0 38 1 58 0 7 0 0 0 0 1 12 15 29 2 0 0 0 0 2 3520 0 0 0 0 0 4 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 1 0 2 14 297 1 54 0 0 0 0 3 0 0 0 0 8 17 2 0 0 0 0 0 3 8 0 0 0 0 1 1 7 188 0 0 115 0 9 0 0 0 4 0 0 36 65 4 0 0 0 0 0 0 1 0 0 0 0 11 0 0 1 1 0 0 1 0 0 0 0 0 0 3 5 0 10 0 0 0 19 0 0 106 47 0 0 0 0 0 0 0 0 7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 1 0 0 0 0 0 0 0 0 0 0 0 0 516 7 0 0 9 1 0 2 14 6 0 2 
9 7319 0 0 0 0 0 0 16 0 0 0 2 0 0 0 0 0 0 0 0 0 286 0 0 0 0 2 0 0 0 0 0 0 11 0 0 0 15 0 1 0 0 12 0 0 0 0 0 55 0 0 0 0 0 1 0 0 2 0 0 0 2 3 3 0 308 8 0 0 21 0 0 0 15 0 0 41 1 70 0 7 0 1 0 2 4 15 24 65 1 0 0 0 1 0 3634 0 0 0 0 0 1 1 0 1 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 9 251 3 69 0 0 0 0 3 0 0 0 0 5 10 2 1 0 0 0 0 8 1 1 0 0 0 0 2 5 181 3 1 340 0 10 0 0 0 1 0 0 17 164 0 0 0 0 0 0 0 1 0 0 0 0 8 0 0 0 2 1 0 1 2 0 0 0 0 0 3 7 0 21 0 0 1 27 0 5 122 106 0 0 0 0 0 0 0 0 12 0 0 0 0 0 1 0 1 4 0 0 0 0 1 0 0 4 1 0 0 0 0 4 0 0 1 1 0 0 0 1195 13 4 0 17 2 0 5 20 0 0 2 
