day total blank BD BF BG BA BB BE BL BM BN BO BH BI BJ BT JM BV BW WS BQ BR BS JE BY BZ RU RW RS LT RE TM TJ RO TK GW GU GT GS GR GQ GP JP GY GG GF GE GD GB GA GN GM GL GI GH OM TN JO WF HR HT HU HK HN HM VE PR PS PW PT KN AF IQ PA PF PG PE PK PH PN PL PM ZM EH EE EG ZA EC IT VN SB ET SO ZW SA ES ER ME MD MG MF MA MC UZ MM ML MO MN MH MK MU MT MW MV MQ MP MS MR IM UG MY MX IL FR AW SH AX SJ FI FJ FK FM FO NI NL NO NA VU NC NE NF NG NZ NP NR NU CK XK CI CH CO CN CM CL CC CA CG CF CD CZ CY CX CR PY CW CV CU SZ SY SX KG KE SS SR KI KH SV KM ST SK KR SI KP KW SN SM SL SC KZ KY SG SE SD DO DM DJ DK DE YE DZ US UY YT UM LB LC LA TV TW TT TR LK LI LV TO TL LU LR LS TH TF TG TD TC LY VA VC AE AD AG VG AI VI IS IR AM AL AO AN AQ AS AR AU AT IO IN TZ AZ IE ID UA QA MZ 
0 2686 0 2 1 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 323 0 0 2 0 2 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 21 0 0 0 0 0 6 0 0 0 0 0 2 0 0 1 0 0 0 0 4 0 0 2 0 0 0 3 0 0 0 1 0 0 3 1 79 0 0 0 0 0 0 7 6 3 3 2 0 0 0 0 0 8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 857 19 0 7 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 3 2 0 0 0 0 1 0 1 2 1 0 8 0 3 0 0 0 0 0 0 3 3 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 7 0 0 0 7 0 0 0 0 0 5 0 0 2 0 0 0 3 0 0 140 2 0 0 0 0 0 0 4 0 3 1 0 0 0 0 0 0 0 18 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 31 3 0 0 12 1 0 0 1040 0 1 0 
1 2926 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 2 0 0 0 0 196 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 16 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 1 2 0 5 0 0 0 0 0 0 0 0 0 0 5 6 81 0 0 0 0 0 0 1 6 7 2 1 0 0 0 0 0 6 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1056 12 0 10 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 2 1 0 0 0 0 0 0 0 2 4 0 3 0 8 0 0 0 0 0 0 1 4 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 8 0 0 1 2 0 0 0 0 0 9 1 0 2 0 0 0 3 0 0 166 1 0 0 0 0 0 0 5 3 2 4 0 1 1 0 0 0 0 32 0 0 0 0 1 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 30 4 1 0 16 1 0 0 1172 0 0 0 
2 3453 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 4 0 0 0 0 126 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 19 0 0 0 0 0 6 0 0 0 0 0 1 1 0 0 0 0 0 1 6 1 0 8 0 0 0 0 0 0 0 0 0 0 2 9 100 0 0 0 0 0 0 2 5 1 1 1 0 0 0 0 1 4 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1167 16 0 5 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 2 2 1 0 0 0 0 0 0 8 6 0 8 0 11 0 0 0 0 0 0 3 3 0 0 0 0 0 0 0 5 0 0 0 1 0 0 0 0 5 0 0 0 1 0 0 0 0 0 20 0 1 3 0 0 0 1 0 0 213 5 0 0 0 0 0 0 6 0 3 1 0 0 0 0 0 0 0 39 0 0 0 1 0 0 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 24 15 0 0 38 1 0 0 1512 0 1 0 
3 3476 0 1 0 1 0 1 0 0 0 1 0 1 0 0 0 1 0 1 0 0 78 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 34 0 0 0 0 0 2 0 0 0 0 0 0 0 1 2 0 0 0 0 3 0 0 3 0 0 0 2 0 0 0 0 0 0 3 6 86 0 1 0 0 0 0 5 9 2 2 3 0 0 0 0 1 4 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 1 0 0 0 1 0 0 1231 19 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 1 0 0 0 0 0 0 0 6 1 0 5 0 15 0 0 0 1 0 0 1 1 0 0 0 0 0 0 0 26 0 0 0 0 1 0 0 0 17 0 0 1 3 0 0 0 0 0 23 0 0 1 0 0 0 1 0 0 235 1 0 0 0 0 0 0 0 0 2 3 0 0 0 0 0 0 0 41 0 0 0 1 0 0 1 6 0 0 0 0 0 0 0 0 0 0 0 0 0 18 11 0 0 33 8 0 0 1488 0 0 0 
4 3927 2 0 0 0 0 0 1 0 0 1 0 1 0 0 0 1 0 6 0 0 40 0 0 1 0 1 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 17 0 0 0 0 0 2 0 0 0 0 0 0 0 0 2 0 0 0 0 3 0 0 2 0 0 0 0 0 0 0 1 0 0 2 11 124 0 0 0 0 0 0 2 36 0 1 3 0 0 0 1 14 5 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 1 0 0 0 1 1625 16 0 7 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 7 3 1 0 0 0 0 0 0 5 5 0 2 0 4 0 0 1 0 1 0 1 1 0 0 0 0 0 0 0 20 0 0 0 0 0 0 0 0 6 0 0 14 0 0 0 0 0 0 19 0 0 0 0 0 0 4 0 0 215 5 0 0 1 0 0 0 3 0 6 6 0 0 0 1 0 0 0 68 0 0 0 0 0 0 0 7 0 0 0 0 0 0 1 0 0 0 0 0 0 14 7 0 0 62 15 0 0 1469 0 0 1 
5 4711 2 3 0 0 0 0 0 0 0 4 1 2 0 0 0 1 0 5 0 0 31 0 0 0 0 3 2 2 0 0 0 0 0 0 0 0 1 0 0 0 1 28 0 0 0 0 0 8 0 0 0 0 0 0 5 0 1 0 0 0 1 1 1 0 3 0 0 0 2 0 0 1 1 0 0 0 21 158 0 0 0 0 0 0 9 62 0 2 2 0 0 0 1 12 4 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 2031 8 0 14 0 0 0 0 3 0 0 0 0 3 3 0 1 0 0 0 0 23 2 1 0 0 0 0 0 3 3 2 0 3 0 8 0 0 0 1 0 0 2 0 0 0 0 0 0 0 0 20 0 0 0 0 0 0 0 0 9 0 0 7 0 0 1 0 0 0 26 0 1 0 0 0 0 5 1 0 149 1 0 0 1 0 0 0 2 2 17 4 0 0 0 0 0 0 0 106 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 8 9 0 0 92 21 0 0 1717 1 1 0 
6 4942 1 3 0 0 0 0 0 0 0 3 0 1 0 0 0 0 0 5 0 0 15 1 0 1 0 3 5 2 0 0 0 0 0 0 0 0 0 0 0 0 0 36 0 0 0 2 0 8 0 0 0 0 0 2 4 0 0 0 1 1 0 3 0 0 1 0 0 0 4 0 1 1 13 0 0 2 31 132 0 1 0 0 0 0 10 80 0 9 2 0 0 0 1 10 13 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 2 2017 5 0 12 0 0 0 0 1 0 0 0 0 0 3 0 0 0 0 0 0 26 1 0 0 0 0 0 1 2 3 3 0 1 0 1 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 37 0 0 0 1 0 0 0 0 6 0 0 8 0 0 0 0 0 0 34 0 1 0 0 0 0 4 0 0 95 1 0 0 2 0 0 0 6 0 22 6 0 0 0 0 1 0 0 77 0 1 0 0 0 0 0 12 0 0 0 0 0 0 0 0 0 2 0 0 1 4 17 0 0 116 26 0 1 1956 0 2 0 
7 4727 1 2 0 0 0 1 0 0 0 7 0 2 0 0 0 1 0 4 0 0 19 0 0 0 0 2 9 0 0 0 0 0 2 0 0 0 0 0 1 0 0 36 0 0 0 0 0 22 0 0 0 0 0 2 2 0 1 0 0 0 0 2 0 0 0 0 0 0 2 0 0 0 3 0 0 2 27 149 0 1 0 1 0 0 8 63 0 4 0 0 0 0 3 9 25 0 0 0 0 0 1 0 1 3 0 1 0 0 0 0 0 0 1 0 0 0 0 0 4 1925 2 0 20 0 0 0 0 0 0 0 0 0 0 6 2 1 0 0 0 0 27 6 2 0 0 0 0 0 0 2 4 1 0 0 2 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 55 0 0 0 0 1 0 0 0 13 0 0 10 0 0 0 0 0 0 26 3 2 0 0 0 1 9 0 0 48 1 0 0 0 0 0 0 2 0 20 9 0 0 0 0 0 0 0 68 0 0 0 0 0 0 0 4 0 0 0 0 0 0 1 0 1 0 0 0 0 3 24 4 0 134 33 0 1 1814 0 2 0 
8 4764 3 2 0 2 0 0 1 0 0 3 0 3 0 0 0 1 0 4 0 0 55 0 0 1 0 5 4 2 0 1 0 0 1 0 0 0 0 0 0 0 0 34 0 0 0 1 0 21 0 0 0 0 0 5 3 0 7 0 0 0 1 4 0 0 0 0 0 0 2 0 0 0 0 1 0 0 19 152 0 0 0 1 0 0 18 68 0 10 2 0 0 0 1 12 31 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 3 2 0 1 0 0 0 3 2024 1 2 23 0 0 0 0 1 0 0 0 0 0 3 1 4 0 0 0 0 28 2 0 0 0 0 2 1 5 0 3 1 1 0 3 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 41 0 0 0 1 0 0 0 0 4 0 0 6 1 0 0 0 0 0 20 0 3 0 0 0 1 11 0 0 27 0 0 0 0 0 0 0 6 0 23 5 0 0 0 0 0 0 0 70 0 0 1 0 0 0 0 19 0 0 0 0 0 0 0 0 0 0 0 0 0 1 25 0 0 79 43 1 2 1762 0 2 1 
9 4720 1 1 0 0 0 0 3 0 0 7 0 1 0 0 0 0 0 1 0 0 55 0 0 0 0 4 1 2 2 0 0 0 0 0 0 0 0 0 0 0 0 39 0 0 0 0 0 29 0 0 0 2 0 1 2 0 3 0 1 0 0 1 0 0 0 0 0 0 2 0 1 0 0 0 0 0 22 205 0 4 0 3 0 0 16 64 0 8 9 0 0 0 3 15 13 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 1905 2 0 33 0 0 0 0 0 0 0 0 0 0 5 0 2 0 0 0 0 20 2 3 0 0 0 2 0 2 0 3 1 1 0 4 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 49 0 0 0 1 0 0 0 0 9 0 0 12 0 0 0 0 0 0 29 2 7 0 0 0 0 8 0 1 33 0 0 0 0 0 1 0 5 0 27 9 0 0 0 0 0 0 1 62 0 0 0 0 1 0 0 6 0 0 0 0 0 0 2 0 0 0 0 0 1 3 21 2 0 69 40 1 3 1794 0 0 0 
