day total blank BD BF BG BA BB BE BL BM BN BO BH BI BJ BT JM BV BW WS BQ BR BS JE BY BZ RU RW RS LT RE TM TJ RO TK GW GU GT GS GR GQ GP JP GY GG GF GE GD GB GA GN GM GL GI GH OM TN JO WF HR HT HU HK HN HM VE PR PS PW PT KN AF IQ PA PF PG PE PK PH PN PL PM ZM EH EE EG ZA EC IT VN SB ET SO ZW SA ES ER ME MD MG MF MA MC UZ MM ML MO MN MH MK MU MT MW MV MQ MP MS MR IM UG MY MX IL FR AW SH AX SJ FI FJ FK FM FO NI NL NO NA VU NC NE NF NG NZ NP NR NU CK XK CI CH CO CN CM CL CC CA CG CF CD CZ CY CX CR PY CW CV CU SZ SY SX KG KE SS SR KI KH SV KM ST SK KR SI KP KW SN SM SL SC KZ KY SG SE SD DO DM DJ DK DE YE DZ US UY YT UM LB LC LA TV TW TT TR LK LI LV TO TL LU LR LS TH TF TG TD TC LY VA VC AE AD AG VG AI VI IS IR AM AL AO AN AQ AS AR AU AT IO IN TZ AZ IE ID UA QA MZ 
0 44149 0 0 0 1 0 0 0 0 0 0 7 0 0 4 0 1 0 1 0 0 43126 0 0 2 0 6 0 1 0 0 0 0 0 0 0 0 2 0 0 0 0 7 0 0 0 0 0 17 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 11 0 0 0 393 0 0 0 0 0 0 3 0 9 0 2 0 0 0 0 0 0 9 22 0 0 0 0 0 0 18 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 4 44 2 6 0 0 0 0 0 0 0 0 0 6 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 31 0 0 21 0 20 0 0 0 0 0 0 5 15 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 2 6 0 0 0 0 0 0 2 0 4 0 0 13 3 0 0 178 21 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 9 0 2 0 80 4 1 0 0 2 0 2 1 0 0 0 
1 43334 0 0 0 2 0 0 0 0 0 1 2 0 0 0 0 0 0 0 0 0 42471 0 0 0 0 10 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 11 0 0 0 0 0 18 0 0 0 0 0 0 0 0 0 0 0 0 0 2 1 0 11 0 0 0 135 0 0 0 2 0 0 8 0 9 0 0 0 0 0 0 0 0 15 6 0 0 0 0 0 0 17 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 43 1 7 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 31 1 0 28 0 23 0 0 0 0 0 0 3 18 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 1 0 0 0 2 0 0 0 0 0 1 7 0 6 0 0 3 1 0 0 233 40 0 0 0 0 0 0 0 0 0 3 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 2 0 1 0 0 0 0 0 0 0 10 0 0 0 113 5 0 0 3 3 0 0 3 0 0 0 
2 30783 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 30053 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 3 0 0 0 0 11 0 0 0 0 0 10 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 9 0 0 0 80 0 1 0 1 0 0 0 0 5 0 0 0 0 0 0 0 2 16 0 1 0 0 0 0 0 9 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 2 64 0 5 0 0 0 0 0 0 0 0 0 5 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 1 36 2 0 17 0 21 0 0 0 0 0 0 2 23 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 5 0 0 0 1 0 0 0 0 0 2 1 0 7 0 0 1 3 0 0 173 20 0 0 0 0 0 0 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 144 12 0 0 1 5 0 0 4 1 0 0 
3 19335 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 1 0 0 0 0 18730 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 7 0 0 0 0 0 5 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 1 0 0 0 43 0 0 0 5 0 0 10 0 8 0 0 0 0 0 0 0 4 12 3 0 0 0 0 0 0 15 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 72 0 5 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 2 25 0 0 5 0 36 0 0 0 0 0 0 5 14 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 3 0 1 1 0 4 0 0 0 2 0 1 145 28 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 94 5 0 0 3 2 0 0 4 0 0 1 
4 11157 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 10616 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 5 0 0 0 0 0 4 0 0 0 1 0 0 0 0 0 0 0 0 0 1 1 0 15 0 0 0 48 0 0 0 5 0 0 9 0 13 0 0 0 0 0 0 0 2 4 1 0 0 0 0 0 0 3 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 2 75 4 6 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 4 21 2 0 8 0 14 0 0 0 0 0 0 3 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 0 0 0 0 0 0 0 0 2 1 0 2 0 0 0 3 0 0 140 20 0 0 0 0 0 0 0 1 1 2 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 4 0 0 0 61 0 0 0 1 0 0 1 4 0 0 15 
5 7260 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 1 0 0 6696 0 0 0 0 3 0 1 0 0 0 0 2 0 0 0 4 0 0 0 0 0 0 0 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6 0 0 0 121 0 0 0 1 0 0 6 0 10 0 0 0 0 0 0 0 4 3 6 1 0 0 0 0 1 34 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 7 45 0 7 0 0 0 0 1 0 0 0 0 2 4 0 0 0 0 0 0 0 6 0 0 0 0 0 0 2 11 5 0 9 0 13 0 0 1 1 0 0 8 2 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 4 11 0 0 90 16 0 0 2 0 0 0 0 0 0 1 0 0 0 0 1 0 0 1 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 1 0 11 0 1 0 48 1 0 0 3 0 0 2 4 0 0 15 
6 4427 0 1 0 0 0 0 1 0 0 0 7 1 0 0 0 0 0 0 0 0 3577 0 0 0 0 3 0 0 0 0 0 0 1 0 0 0 5 0 0 0 0 6 0 0 0 0 0 15 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 7 0 0 0 473 0 0 0 2 0 0 2 0 11 0 1 0 0 0 0 0 5 7 9 0 0 0 0 0 0 31 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 22 1 11 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 2 7 2 0 14 0 7 0 0 0 2 0 0 2 2 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 2 0 1 0 0 1 6 0 0 65 10 0 0 0 0 0 0 0 0 0 1 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 28 0 1 0 17 2 0 0 3 2 3 0 4 0 0 23 
7 4512 0 1 0 1 0 0 2 0 0 0 1 0 0 0 0 1 0 2 0 0 3729 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 8 0 0 0 0 0 31 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 2 0 0 0 452 0 0 0 0 0 0 0 1 20 0 1 0 0 0 0 1 11 1 22 0 0 0 0 1 0 34 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 10 2 12 0 0 0 0 1 0 0 0 0 0 2 0 0 0 0 0 0 2 0 0 0 0 0 0 0 3 1 0 0 4 0 12 0 0 0 4 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 0 0 0 0 5 0 0 27 2 0 0 0 0 0 0 0 0 1 2 0 0 0 0 1 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 2 0 11 4 1 0 6 4 0 4 4 0 0 25 
8 10385 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 9689 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 3 0 3 0 0 9 0 0 0 0 0 19 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 2 0 0 0 351 0 0 0 0 0 0 0 2 18 0 1 0 0 0 0 0 5 1 15 0 0 1 0 1 0 57 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 3 0 23 0 0 0 0 2 0 0 0 0 0 1 0 0 0 0 0 0 1 2 0 0 0 0 0 0 3 4 0 0 2 0 4 0 0 0 2 0 0 0 0 0 1 0 0 0 0 0 3 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 2 2 1 1 0 0 1 8 0 1 26 1 0 0 0 0 0 0 1 0 9 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 16 0 1 0 9 7 0 0 4 4 0 3 4 1 0 22 
9 14139 0 0 0 1 0 0 5 0 0 1 0 0 0 0 0 0 0 0 0 0 13319 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 3 0 4 0 0 10 0 0 0 0 0 29 0 0 0 0 0 4 0 1 0 0 0 0 1 0 0 0 0 0 0 0 423 0 0 0 1 0 0 1 0 20 0 2 0 0 0 0 0 7 0 21 1 0 0 0 0 2 57 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 3 2 14 0 0 0 0 0 0 0 0 0 0 7 0 1 0 0 0 0 3 2 0 0 0 0 0 0 4 1 4 0 2 0 17 0 0 0 1 0 0 0 5 0 1 0 0 0 0 0 2 0 1 0 0 0 0 0 1 5 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 8 0 0 18 1 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 27 0 1 0 16 11 0 0 7 3 0 6 5 0 0 18 
