day total blank BD BF BG BA BB BE BL BM BN BO BH BI BJ BT JM BV BW WS BQ BR BS JE BY BZ RU RW RS LT RE TM TJ RO TK GW GU GT GS GR GQ GP JP GY GG GF GE GD GB GA GN GM GL GI GH OM TN JO WF HR HT HU HK HN HM VE PR PS PW PT KN AF IQ PA PF PG PE PK PH PN PL PM ZM EH EE EG ZA EC IT VN SB ET SO ZW SA ES ER ME MD MG MF MA MC UZ MM ML MO MN MH MK MU MT MW MV MQ MP MS MR IM UG MY MX IL FR AW SH AX SJ FI FJ FK FM FO NI NL NO NA VU NC NE NF NG NZ NP NR NU CK XK CI CH CO CN CM CL CC CA CG CF CD CZ CY CX CR PY CW CV CU SZ SY SX KG KE SS SR KI KH SV KM ST SK KR SI KP KW SN SM SL SC KZ KY SG SE SD DO DM DJ DK DE YE DZ US UY YT UM LB LC LA TV TW TT TR LK LI LV TO TL LU LR LS TH TF TG TD TC LY VA VC AE AD AG VG AI VI IS IR AM AL AO AN AQ AS AR AU AT IO IN TZ AZ IE ID UA QA MZ 
0 10996 0 3 0 1 0 4 6 0 0 4 5 4 0 1 0 12 0 1 0 0 2497 3 0 0 0 29 0 17 0 0 0 0 0 0 0 2 8 0 0 0 1 102 1 0 0 0 0 202 0 1 0 0 0 23 2 4 0 0 7 3 1 15 5 0 115 1 0 0 24 1 0 6 16 0 0 32 7 254 0 4 0 0 0 0 73 40 45 20 7 0 0 0 0 89 137 0 3 0 0 0 1 1 0 3 0 0 2 0 0 0 0 0 0 1 0 0 0 0 0 62 311 10 93 0 0 0 0 1 0 0 0 0 12 7 3 0 0 0 0 0 15 11 1 0 0 0 4 2 1 101 20 4 82 0 184 0 0 0 2 0 0 24 55 1 0 1 0 0 0 0 1 0 0 0 0 13 0 0 1 32 0 0 12 8 0 0 0 0 0 8 6 2 26 1 0 5 21 7 7 5111 58 0 0 0 4 1 0 4 6 55 4 0 1 0 0 0 2 0 88 0 0 0 2 8 0 1 16 0 0 0 0 0 2 0 0 1 1 0 0 0 363 71 2 0 73 1 2 13 95 0 6 0 
1 10963 2 6 0 2 0 11 3 0 0 0 1 1 0 0 1 13 0 0 1 0 2357 5 0 20 0 22 0 6 0 0 0 0 2 1 0 2 11 0 2 0 6 141 0 0 0 0 0 101 0 0 0 0 0 5 4 1 1 0 11 2 0 4 7 0 75 0 0 0 6 0 0 4 16 0 0 39 12 254 0 4 0 1 0 0 42 22 63 25 1 0 0 0 1 129 60 0 2 0 0 0 0 0 0 2 0 1 4 0 5 0 0 0 2 9 0 0 0 0 0 83 325 2 70 1 0 0 0 0 0 0 0 0 20 4 1 0 0 0 0 0 19 12 4 0 0 0 1 2 1 160 6 1 91 0 194 0 0 0 1 0 0 28 44 0 0 0 0 0 0 0 4 0 1 0 4 9 0 0 0 20 0 0 13 4 0 0 0 1 0 15 7 2 20 1 0 3 13 1 12 5216 60 0 0 0 2 2 0 7 7 33 6 0 0 0 0 0 0 0 109 0 0 0 0 4 0 0 35 0 0 1 0 0 0 0 0 0 4 0 0 0 412 62 1 0 143 0 1 8 108 0 6 1 
2 11520 0 9 0 1 0 5 2 0 0 1 2 2 0 0 0 27 0 0 0 0 1850 3 0 0 0 32 0 5 0 0 0 0 2 0 0 0 13 0 3 0 23 124 0 0 0 0 0 58 0 0 1 0 0 6 11 1 3 0 6 10 1 6 10 0 76 0 0 0 7 0 0 1 18 0 0 45 13 293 0 1 0 0 0 0 31 27 57 16 5 0 0 0 1 114 44 0 1 0 0 0 0 0 1 2 0 0 0 0 0 0 0 0 0 1 0 0 0 0 2 80 406 3 37 0 0 0 0 2 0 0 0 0 14 13 6 0 0 0 0 0 5 9 1 0 0 0 0 1 7 144 11 0 132 0 211 0 0 0 2 0 0 26 42 0 0 2 0 0 0 0 10 0 0 0 4 8 0 0 0 18 0 0 26 3 0 4 0 2 0 16 14 1 44 0 0 2 10 0 0 5888 67 0 0 0 0 0 0 6 6 27 23 0 2 0 0 0 0 0 160 0 0 0 4 3 0 0 46 0 5 0 0 0 1 3 0 0 0 0 0 0 493 69 1 0 221 1 0 9 184 3 7 0 
3 12308 1 6 0 3 0 4 2 0 0 2 1 7 0 0 0 19 0 0 0 0 1136 3 0 0 1 37 0 2 0 0 0 0 6 1 0 0 6 0 3 0 3 159 0 0 0 0 0 46 0 0 1 0 0 5 13 0 8 0 9 1 1 4 10 0 37 0 0 0 10 0 0 4 26 0 3 54 30 309 0 5 0 1 0 0 19 46 51 17 8 0 1 1 0 187 58 0 0 0 0 0 0 0 1 0 0 0 1 0 1 0 0 1 0 0 0 0 0 0 3 105 481 6 39 2 0 0 0 2 0 0 0 0 26 10 3 0 0 1 0 0 11 13 7 0 0 0 0 0 1 153 15 0 94 0 183 0 0 0 1 0 0 47 25 0 0 2 0 0 0 2 28 0 1 0 4 6 0 0 0 20 2 0 33 7 0 0 1 7 1 19 8 0 49 0 0 0 20 0 1 7157 49 0 0 3 0 0 0 9 4 45 18 0 1 0 0 0 0 1 169 0 0 0 1 1 0 0 30 5 1 0 0 1 0 4 0 0 0 0 0 0 455 63 0 0 250 4 2 9 195 3 14 2 
4 11805 0 21 0 6 2 4 17 0 0 0 1 8 0 0 0 7 0 5 0 0 889 4 0 2 0 50 1 21 0 0 0 0 2 0 0 2 16 0 11 0 2 150 0 0 0 1 1 53 0 0 0 0 0 5 16 0 8 0 11 3 2 3 11 0 57 0 0 0 3 0 0 9 25 0 0 45 42 335 0 7 0 0 0 1 44 126 60 65 3 0 1 1 4 276 131 0 0 0 0 0 2 0 2 0 0 0 3 0 5 0 0 0 4 1 0 0 0 0 4 124 434 8 76 1 0 0 0 5 1 0 0 0 14 16 1 0 0 0 0 0 16 16 6 0 0 0 0 0 1 137 9 1 53 0 199 0 0 0 2 1 0 48 14 0 0 0 0 2 0 1 20 0 0 0 0 8 0 0 1 33 2 0 55 4 1 0 0 3 0 26 15 1 9 0 0 1 42 3 0 6424 29 0 0 6 0 2 0 3 5 106 17 0 3 0 0 0 0 4 207 0 0 0 1 3 0 2 36 0 0 0 0 0 0 2 1 0 0 0 0 0 261 59 2 0 403 5 3 7 177 6 23 5 
5 10719 1 42 0 21 13 5 20 0 0 3 3 10 1 0 0 20 0 7 0 0 485 4 0 5 1 105 1 63 0 0 0 0 2 0 0 0 19 0 33 0 0 208 0 0 0 2 0 206 0 1 0 0 0 7 27 2 10 0 32 1 5 9 8 0 41 1 0 0 6 0 9 16 17 0 2 33 59 378 0 22 0 4 0 0 48 214 24 105 7 0 1 0 12 325 373 0 5 0 1 0 2 0 0 2 0 0 3 0 2 0 1 0 0 0 0 0 0 0 1 157 283 10 185 1 0 0 0 12 0 0 0 0 10 30 1 2 0 1 0 0 40 14 2 0 0 0 2 0 17 90 37 3 20 0 130 1 0 0 1 3 0 39 5 0 0 0 0 0 0 0 51 0 0 0 3 8 0 0 5 33 2 0 93 0 0 0 0 3 1 15 15 9 6 0 0 4 64 2 9 4684 30 0 0 21 0 0 0 8 4 154 18 0 10 0 0 1 0 0 263 0 0 0 0 6 0 0 48 1 0 0 0 0 1 6 0 1 8 0 0 0 125 98 5 0 467 11 2 10 180 17 15 6 
6 8961 2 23 0 3 27 6 20 0 0 0 0 19 0 1 0 6 0 8 0 0 261 1 0 6 0 114 1 123 0 0 0 0 26 0 0 2 6 0 25 0 0 212 0 0 0 2 0 390 0 1 0 0 1 9 29 2 9 0 40 0 20 1 6 0 21 0 0 0 27 0 4 10 3 0 1 14 65 355 0 21 0 11 0 3 85 314 15 153 10 0 0 4 7 341 540 0 6 0 1 0 2 0 2 1 1 1 2 0 0 2 1 1 3 1 0 0 0 1 8 143 137 20 235 0 0 0 0 12 0 0 0 0 3 50 4 5 0 0 0 0 63 16 4 0 0 0 3 0 18 28 25 8 16 0 80 1 0 0 17 7 0 15 5 0 0 1 0 5 0 0 79 0 0 0 4 2 0 0 5 39 6 0 110 0 0 0 0 6 1 20 20 9 1 0 0 0 70 2 23 2549 17 0 0 19 0 0 0 8 0 252 10 0 11 0 0 2 0 0 281 0 0 0 0 4 0 0 65 0 3 0 0 3 1 9 1 1 2 0 0 0 83 72 17 0 486 10 2 34 223 9 23 4 
7 8368 4 30 0 12 25 0 17 0 0 0 0 21 0 0 0 7 0 10 0 0 212 0 0 19 0 148 0 79 0 3 0 0 1 1 0 2 9 0 31 0 0 181 0 0 0 3 0 593 0 0 0 0 0 27 23 5 13 0 36 0 10 4 1 0 21 0 0 0 19 0 5 26 4 0 0 12 60 378 0 25 0 7 0 5 53 363 5 157 2 0 0 1 5 345 745 0 8 0 0 0 0 1 1 2 0 0 3 0 4 1 1 0 3 0 1 0 0 0 5 165 54 12 273 0 0 0 0 11 0 0 0 0 1 88 10 9 0 0 0 0 62 30 9 0 0 0 3 2 45 26 12 3 8 0 63 0 0 0 10 4 0 21 4 0 0 0 2 1 0 0 67 0 0 0 5 0 0 0 1 49 2 0 100 1 0 0 0 3 0 22 24 8 1 0 0 27 67 2 7 1609 7 0 0 12 0 1 0 5 1 247 20 0 12 0 1 5 0 3 257 0 0 0 0 5 0 0 99 3 0 0 0 0 3 10 0 0 2 0 0 0 46 92 14 0 465 9 2 36 199 54 18 16 
8 8529 2 28 0 17 30 0 22 0 0 0 1 18 0 0 0 1 0 6 0 0 391 0 0 17 0 156 0 88 0 1 0 0 8 1 0 2 1 0 25 0 0 299 0 0 0 2 0 648 0 0 0 0 1 44 36 5 12 0 37 0 5 10 1 0 38 2 0 0 59 0 3 14 1 0 0 5 48 532 0 49 0 6 0 4 64 379 9 214 9 0 6 0 8 271 750 0 9 2 0 0 6 1 0 0 0 2 1 0 13 0 0 3 5 0 0 0 0 0 6 168 27 8 346 0 0 0 0 9 0 0 0 0 4 95 9 12 0 0 0 0 74 21 8 0 0 0 1 2 11 32 29 6 7 0 34 0 0 1 14 4 0 3 0 0 0 0 2 0 0 0 70 0 0 0 1 2 0 0 13 30 4 0 126 0 0 0 0 1 0 33 27 13 1 0 0 11 94 1 6 997 0 0 0 7 0 0 0 13 0 302 25 0 2 0 0 10 0 0 291 0 1 0 2 5 0 0 100 3 0 0 0 0 3 12 0 2 4 0 1 0 69 110 17 0 411 9 3 47 216 31 33 3 
9 8862 1 22 0 29 20 0 27 0 0 2 1 17 0 0 0 1 0 4 0 0 549 1 0 12 2 162 4 129 0 1 0 0 7 0 0 2 0 0 37 0 1 247 0 0 0 0 0 671 0 0 2 0 1 28 23 4 10 0 51 0 2 11 2 0 48 0 0 0 44 0 3 23 1 0 1 2 46 541 0 50 0 7 0 4 71 287 2 185 13 0 1 0 10 297 905 0 8 1 1 0 7 0 2 1 0 1 2 0 5 0 1 2 2 0 0 0 0 0 11 160 19 6 402 0 0 0 0 13 0 0 0 0 1 71 7 18 0 0 0 0 62 19 9 0 0 0 10 1 18 21 17 7 19 0 42 0 0 1 13 4 0 5 27 0 0 0 3 0 0 1 69 0 0 0 6 0 0 0 11 36 2 0 140 0 0 0 0 6 0 28 41 11 1 0 0 4 118 3 5 873 3 0 0 10 0 3 0 14 2 360 12 0 4 0 0 10 0 1 270 0 2 0 0 20 0 2 62 10 0 0 0 0 1 15 0 5 4 0 0 1 91 160 27 0 469 13 5 55 178 23 27 2 
