hr total blank BD BF BG BA BB BE BL BM BN BO BH BI BJ BT JM BV BW WS BQ BR BS JE BY BZ RU RW RS LT RE TM TJ RO TK GW GU GT GS GR GQ GP JP GY GG GF GE GD GB GA GN GM GL GI GH OM TN JO WF HR HT HU HK HN HM VE PR PS PW PT KN AF IQ PA PF PG PE PK PH PN PL PM ZM EH EE EG ZA EC IT VN SB ET SO ZW SA ES ER ME MD MG MF MA MC UZ MM ML MO MN MH MK MU MT MW MV MQ MP MS MR IM UG MY MX IL FR AW SH AX SJ FI FJ FK FM FO NI NL NO NA VU NC NE NF NG NZ NP NR NU CK XK CI CH CO CN CM CL CC CA CG CF CD CZ CY CX CR PY CW CV CU SZ SY SX KG KE SS SR KI KH SV KM ST SK KR SI KP KW SN SM SL SC KZ KY SG SE SD DO DM DJ DK DE YE DZ US UY YT UM LB LC LA TV TW TT TR LK LI LV TO TL LU LR LS TH TF TG TD TC LY VA VC AE AD AG VG AI VI IS IR AM AL AO AN AQ AS AR AU AT IO IN TZ AZ IE ID UA QA MZ 
0 26442 0 3 0 0 0 0 0 0 0 1 0 388 0 0 0 0 0 0 0 0 2 0 0 0 0 3 0 0 0 0 0 1 0 0 0 0 0 0 3 2 0 12 0 0 0 3 0 661 0 0 0 0 0 0 150 72 247 0 0 0 4 7 0 0 0 0 0 0 0 0 0 153 0 0 0 6 2 5 0 4 0 0 0 0 6587 4 6 36 1 0 0 0 0 11117 25 0 0 0 0 0 139 0 0 0 0 0 0 0 0 0 3 0 1 0 0 0 7 0 0 30 0 34 55 0 0 0 0 2 0 0 0 0 0 10 2 0 0 0 0 0 1 3 0 0 0 0 0 0 27 0 122 0 0 0 148 0 1 0 5 3 0 0 1 0 0 0 0 18 0 0 0 0 0 0 0 0 0 0 0 9 0 0 2320 1 0 0 0 0 0 0 4 205 0 0 0 3 126 96 84 941 0 0 0 92 0 0 0 15 0 68 1 0 0 0 0 0 0 0 19 0 0 0 0 668 0 0 864 0 0 0 0 0 1 22 0 0 0 0 0 0 1 56 7 0 4 0 1 70 17 6 618 0 
1 17996 0 0 0 0 0 0 2 0 0 0 0 313 0 0 0 0 0 0 0 0 9 0 0 0 0 4 0 0 0 0 0 2 2 0 0 0 0 0 0 0 0 7 0 0 0 2 0 407 0 0 0 0 0 0 340 44 105 0 0 2 2 5 0 0 0 0 0 0 0 0 0 106 0 0 0 0 13 14 0 3 0 0 0 0 3803 1 12 16 0 0 0 0 0 7679 17 0 1 0 0 0 50 0 0 0 0 0 0 0 0 0 1 0 2 0 0 0 2 0 0 19 0 25 28 0 0 0 0 0 0 0 0 0 0 14 0 0 0 0 0 0 0 1 0 0 0 0 0 0 6 0 114 0 0 0 89 0 0 0 1 0 0 0 0 0 0 0 0 18 0 0 0 0 0 0 0 0 0 0 0 14 0 0 1373 3 0 0 0 0 0 5 8 89 0 0 0 1 40 51 24 884 0 0 0 55 0 0 0 170 0 33 0 0 0 0 0 0 0 0 18 0 0 0 0 330 0 0 1009 0 0 0 0 0 0 15 0 0 0 0 0 0 0 64 3 0 8 0 0 19 24 2 473 0 
2 19230 0 0 0 1 1 0 2 0 0 4 0 315 0 0 0 0 0 0 0 0 5 0 0 0 0 2 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 23 0 0 0 0 0 327 0 0 0 0 0 0 665 19 115 0 0 1 0 2 1 0 0 0 0 0 0 0 0 135 0 0 0 0 19 11 0 2 0 0 0 0 2602 0 8 7 0 0 0 2 0 9509 9 0 0 0 0 0 12 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 41 1 25 27 0 0 0 0 3 0 0 0 0 0 9 0 0 0 0 0 0 0 7 0 0 0 0 0 0 6 0 15 0 0 0 90 0 0 0 1 0 2 0 0 0 0 0 0 11 0 1 0 0 0 0 0 0 0 0 0 18 0 0 1640 2 0 0 0 0 0 3 3 59 0 0 0 2 39 68 29 858 0 0 0 95 0 0 0 7 0 56 0 0 0 0 0 0 0 0 24 0 0 0 0 161 0 0 1323 0 0 0 0 0 0 13 0 0 0 0 0 0 0 75 3 0 9 0 1 27 20 7 647 0 
3 27686 2 0 0 0 1 0 1 0 0 0 0 768 0 0 0 0 0 0 0 0 2 0 0 0 0 4 0 0 0 0 0 1 0 0 0 0 0 0 6 0 0 5 0 0 0 3 0 253 0 0 0 0 0 0 916 11 175 0 0 0 0 3 0 0 0 0 0 0 0 0 0 227 0 0 0 2 14 11 0 0 0 0 0 0 2060 0 8 5 0 0 0 1 0 15456 13 0 0 0 0 0 2 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 71 0 36 19 0 0 0 0 1 0 0 0 0 0 15 0 0 0 0 0 0 0 10 0 0 0 0 0 0 9 0 21 0 0 0 98 0 0 0 0 2 0 0 0 0 0 0 0 8 0 0 2 0 0 0 0 0 0 0 0 11 0 0 2289 0 0 0 0 0 0 6 2 101 0 0 0 3 68 62 13 1081 0 0 0 159 0 0 0 0 0 65 0 0 0 0 0 0 0 0 21 0 0 1 0 209 0 0 2106 0 0 0 0 0 0 12 0 0 0 0 0 0 0 97 3 0 11 1 1 15 29 7 1068 0 
4 33080 0 3 0 2 1 0 3 0 0 0 0 886 0 0 0 0 0 0 0 0 1 0 0 0 0 2 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 5 0 0 0 4 0 196 0 0 0 0 0 0 1227 21 300 0 0 0 0 0 1 0 0 0 0 0 2 0 0 452 1 0 0 0 11 11 0 0 0 0 0 0 2046 0 11 5 0 0 1 4 0 16696 11 0 0 0 0 0 11 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 64 0 45 16 0 0 0 0 1 0 0 0 0 0 8 0 0 0 0 0 0 0 5 0 0 0 0 0 0 8 0 47 0 2 0 87 0 0 0 0 4 0 0 1 0 0 1 0 19 0 0 5 0 0 0 0 0 0 0 0 22 0 0 4361 3 0 0 1 2 0 4 9 183 0 0 0 31 75 48 36 1261 1 0 0 309 0 0 0 0 0 116 2 0 0 0 0 0 0 0 36 0 0 0 0 153 0 0 2569 0 0 0 0 0 0 21 0 0 0 0 0 0 0 124 9 0 23 2 1 6 28 2 1412 0 
5 31064 0 0 0 0 1 0 1 0 0 1 0 973 0 0 0 0 0 0 0 0 1 0 0 2 0 2 0 1 0 0 0 0 0 0 0 0 0 0 3 0 0 12 0 0 0 3 0 144 0 0 0 0 0 1 1247 52 432 0 1 0 2 2 0 0 0 0 0 0 1 0 3 571 0 0 0 1 13 10 0 1 0 0 0 0 2334 4 4 41 2 0 1 1 0 14736 12 0 0 0 0 0 16 0 0 0 1 0 0 0 0 2 2 0 1 0 0 0 1 0 0 29 0 78 57 0 0 0 0 2 0 0 0 0 0 42 4 0 0 0 0 0 2 3 0 0 0 0 0 2 30 0 21 0 0 0 94 0 0 1 6 8 0 0 0 0 0 1 0 29 0 10 3 0 0 0 0 0 0 0 0 24 0 0 3816 0 0 0 0 3 0 8 3 248 0 0 0 33 101 96 136 960 0 0 0 407 0 0 0 0 0 164 1 0 0 0 0 0 0 0 26 0 0 2 0 153 0 0 2491 0 0 0 0 0 0 31 1 0 0 0 0 0 0 114 15 0 21 3 0 14 24 3 1101 0 
6 39129 0 1 0 0 5 0 17 0 0 2 0 1116 0 0 0 0 0 0 0 0 1 0 0 0 0 10 0 1 0 0 0 3 1 0 0 0 0 0 3 0 0 21 0 0 0 6 0 310 0 0 0 0 0 0 1595 57 585 0 1 0 12 5 0 0 0 0 0 0 2 0 1 535 0 0 0 1 11 11 0 8 0 0 0 3 3481 6 3 58 1 0 0 1 0 18060 30 0 0 0 0 0 39 0 0 0 1 0 0 0 0 0 3 0 1 0 0 0 0 0 1 41 0 78 67 0 0 0 0 0 0 0 0 0 0 65 9 0 0 0 1 0 4 13 0 0 0 0 0 0 53 0 25 0 0 0 68 1 0 0 3 13 0 0 0 0 0 1 0 47 0 0 1 0 0 0 0 0 0 0 1 42 0 0 4918 0 0 0 1 3 0 4 19 342 0 0 0 16 98 73 239 1115 0 0 0 616 0 0 0 0 0 131 0 0 0 0 0 0 0 0 41 0 0 0 0 172 0 0 3212 0 0 0 0 0 1 50 0 1 0 0 1 0 1 141 17 0 18 2 3 22 25 4 1293 0 
7 41363 0 1 2 0 12 0 23 0 0 2 0 1247 0 0 0 0 0 0 0 0 3 0 0 0 0 4 0 1 0 0 0 0 0 0 0 0 0 0 4 0 0 10 0 0 0 3 0 393 0 0 0 0 0 0 1586 92 706 0 4 0 10 1 0 0 0 0 0 0 0 0 2 664 0 0 0 0 14 11 0 7 0 0 0 0 4252 4 15 29 0 0 1 6 0 18174 32 0 0 0 0 0 65 0 0 0 1 0 0 0 0 0 4 0 2 0 0 0 4 0 1 47 0 100 91 0 0 0 0 7 0 0 0 0 0 48 1 0 0 0 0 0 2 9 0 0 0 0 1 1 34 0 22 0 0 0 76 0 0 0 2 6 0 0 0 0 0 0 0 61 0 0 3 0 0 0 0 0 0 0 1 17 0 0 5136 1 0 0 0 0 0 2 13 388 0 0 0 5 102 104 252 904 0 0 0 704 0 0 0 1 0 177 4 0 0 0 0 0 0 0 50 0 0 0 0 257 0 0 3625 0 0 0 0 0 3 92 1 2 0 0 0 0 1 99 38 0 20 0 3 36 27 3 1389 0 
8 47647 0 2 1 0 13 0 11 0 0 0 0 1435 0 0 0 0 0 0 0 0 4 0 0 0 0 7 1 4 0 0 0 6 0 0 0 0 0 0 8 2 0 13 0 0 0 6 0 565 0 0 0 0 0 0 1648 139 748 0 0 0 27 2 0 0 0 0 0 0 0 0 0 889 0 0 0 0 17 21 0 5 0 0 0 0 5529 0 0 75 4 0 1 6 0 20724 61 0 0 3 0 0 113 0 1 0 1 1 0 0 0 0 3 0 1 0 0 0 3 0 1 65 0 76 103 0 0 0 0 5 0 0 0 0 0 42 8 0 0 0 0 0 0 4 0 0 0 0 0 1 31 0 61 0 0 0 94 1 0 2 8 16 0 0 0 0 0 1 0 81 0 1 1 0 0 0 1 0 0 0 1 10 1 0 5630 5 0 0 0 1 0 7 15 426 0 0 0 11 101 132 278 825 0 0 0 826 0 0 0 3 0 362 1 0 0 0 0 0 0 0 49 0 0 0 0 410 0 0 4006 0 0 0 0 0 4 67 2 1 1 0 0 0 0 132 42 0 25 4 9 59 28 8 1457 0 
9 51745 0 1 0 0 15 0 19 0 0 2 0 1714 0 0 0 0 0 0 0 0 3 1 0 0 0 4 0 3 1 0 0 3 2 0 0 0 0 0 9 4 0 18 0 0 0 3 0 651 0 0 0 0 0 0 1692 95 814 0 0 0 22 2 0 0 0 0 0 0 0 0 1 803 0 0 0 0 10 12 0 31 0 0 0 1 5625 2 0 106 3 0 0 1 0 22984 49 0 1 2 0 0 158 0 1 0 0 0 0 0 0 0 2 0 0 0 0 0 3 0 0 53 2 146 99 0 0 0 0 6 0 0 0 0 0 70 20 0 0 0 0 0 1 9 0 0 0 0 0 0 33 0 52 0 0 0 59 2 2 1 8 10 0 0 0 0 0 0 0 62 0 0 0 0 0 0 0 0 0 0 2 14 0 0 6308 2 0 0 0 4 0 8 15 411 0 0 2 6 136 73 386 655 0 0 0 671 0 0 0 0 0 318 0 0 0 0 0 0 0 0 79 0 0 2 0 555 0 0 4269 0 0 0 0 0 1 84 0 1 0 0 0 0 0 145 66 0 20 1 10 63 39 14 1873 0 
