hr total blank BD BF BG BA BB BE BL BM BN BO BH BI BJ BT JM BV BW WS BQ BR BS JE BY BZ RU RW RS LT RE TM TJ RO TK GW GU GT GS GR GQ GP JP GY GG GF GE GD GB GA GN GM GL GI GH OM TN JO WF HR HT HU HK HN HM VE PR PS PW PT KN AF IQ PA PF PG PE PK PH PN PL PM ZM EH EE EG ZA EC IT VN SB ET SO ZW SA ES ER ME MD MG MF MA MC UZ MM ML MO MN MH MK MU MT MW MV MQ MP MS MR IM UG MY MX IL FR AW SH AX SJ FI FJ FK FM FO NI NL NO NA VU NC NE NF NG NZ NP NR NU CK XK CI CH CO CN CM CL CC CA CG CF CD CZ CY CX CR PY CW CV CU SZ SY SX KG KE SS SR KI KH SV KM ST SK KR SI KP KW SN SM SL SC KZ KY SG SE SD DO DM DJ DK DE YE DZ US UY YT UM LB LC LA TV TW TT TR LK LI LV TO TL LU LR LS TH TF TG TD TC LY VA VC AE AD AG VG AI VI IS IR AM AL AO AN AQ AS AR AU AT IO IN TZ AZ IE ID UA QA MZ 
0 946 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 2 0 0 0 0 161 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 2 0 1 0 1 3 0 0 0 0 0 27 0 0 0 0 0 1 0 1 0 0 0 0 0 1 0 0 9 0 0 0 3 0 0 0 4 0 0 2 1 33 0 0 0 0 0 0 6 6 1 1 0 0 1 0 1 3 12 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 10 13 1 13 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 2 1 0 0 0 0 0 0 0 5 2 0 6 0 18 0 0 0 0 0 0 1 4 0 0 0 0 0 0 1 0 0 0 0 2 1 0 0 0 3 0 0 0 11 0 0 0 0 0 2 1 0 0 0 0 0 1 0 0 425 7 0 0 0 0 1 0 0 1 1 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 68 13 0 0 5 3 0 1 16 0 0 0 
1 933 0 1 0 0 0 0 1 0 0 1 0 0 0 0 0 1 0 0 0 0 148 0 0 0 0 2 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 6 0 0 0 0 0 13 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 10 3 0 0 2 0 0 0 3 0 0 2 2 34 0 0 0 1 0 0 3 7 4 0 0 0 0 0 0 2 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 11 18 0 10 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 3 2 0 0 0 0 0 0 0 14 3 1 10 0 10 0 0 0 0 0 0 4 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 14 0 0 0 0 0 1 0 0 4 0 0 1 0 0 0 451 7 0 0 0 0 0 0 1 1 5 1 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 3 0 1 0 0 0 0 0 0 0 0 0 0 0 41 15 0 0 11 4 0 2 14 0 0 0 
2 958 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 120 0 0 0 0 2 0 0 0 0 0 4 0 0 0 0 0 0 0 0 1 4 0 0 0 0 0 10 0 0 0 0 1 0 0 0 0 0 0 0 0 1 3 0 9 2 0 0 1 0 0 0 1 0 0 4 3 58 0 0 0 0 0 0 2 2 7 3 2 0 0 0 0 3 4 0 0 0 0 0 2 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 8 26 1 15 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 2 2 1 0 0 0 0 0 2 16 2 0 8 0 20 0 0 0 0 1 0 4 6 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 2 4 0 0 0 2 0 1 3 1 1 0 0 0 6 0 0 436 12 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 4 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 1 0 58 13 0 0 9 6 0 0 19 0 0 0 
3 994 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 83 0 0 0 0 1 0 0 0 0 0 2 0 0 0 0 1 0 0 0 0 6 0 0 0 0 0 9 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 4 2 0 0 1 0 0 0 2 0 0 3 9 70 0 0 0 0 0 0 0 7 8 3 0 0 0 0 1 3 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 15 29 1 1 0 0 0 0 0 0 0 0 0 2 3 0 0 0 0 0 0 1 2 1 0 0 0 0 0 0 7 4 0 8 0 17 0 0 0 0 2 0 4 1 0 0 0 0 0 0 0 5 0 0 0 0 1 0 0 0 2 0 0 0 1 0 0 0 2 0 2 1 0 7 0 0 0 2 0 0 525 4 0 0 0 0 0 0 1 1 2 1 0 0 0 0 0 0 0 3 0 0 0 1 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 51 12 1 0 11 8 0 0 18 0 0 0 
4 825 1 0 0 0 0 0 0 0 0 0 0 1 0 1 0 1 0 1 0 0 70 0 0 0 0 3 0 2 0 0 0 0 0 0 0 0 0 0 1 0 1 4 0 0 0 0 1 8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 1 0 0 0 1 0 0 0 4 66 0 0 0 0 0 0 1 21 4 1 1 1 0 0 0 2 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 1 0 0 0 0 24 25 3 2 0 0 0 0 0 0 0 0 0 1 4 1 0 0 0 0 0 2 2 2 0 0 0 0 0 0 6 3 0 12 0 13 0 0 0 0 1 0 4 1 0 0 0 0 0 1 0 4 0 0 0 1 0 0 0 0 5 1 0 0 2 0 0 0 0 0 2 0 0 4 0 0 1 0 0 0 377 2 0 0 0 0 0 0 1 0 4 0 0 0 0 0 2 0 0 4 0 0 0 0 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 26 11 0 0 13 12 1 1 19 0 2 0 
5 628 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 32 0 0 0 0 1 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 5 0 0 0 0 0 32 0 0 0 0 0 2 0 0 0 0 0 0 1 1 1 0 2 0 0 0 1 0 0 0 0 0 0 0 1 85 0 0 0 0 0 0 1 21 3 3 0 0 0 0 0 0 18 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 16 10 0 9 0 0 0 0 2 0 0 0 0 1 3 0 1 0 0 0 0 3 2 0 0 0 0 0 0 1 1 1 0 1 0 8 0 0 0 0 3 0 2 0 1 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 1 0 0 0 2 0 0 0 1 0 6 0 0 4 0 0 1 4 0 0 219 4 0 0 1 0 0 0 1 0 3 0 0 0 0 0 0 0 0 6 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 12 17 1 0 26 5 0 0 21 0 0 0 
6 684 0 2 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 22 0 0 0 0 5 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 8 1 0 0 1 0 71 0 0 0 0 0 3 1 0 1 0 0 0 0 2 1 0 2 2 0 0 4 0 0 0 0 0 0 2 5 81 0 2 0 0 0 0 3 32 1 5 0 0 2 0 0 3 29 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 15 7 5 6 0 0 0 0 0 0 0 0 0 2 1 1 3 0 0 0 0 6 2 0 0 0 0 0 0 2 2 3 0 1 0 5 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 9 0 0 0 1 1 0 0 0 1 1 0 1 6 0 0 0 0 0 1 0 0 3 0 0 2 8 0 0 162 1 0 0 0 0 0 0 0 0 7 1 0 0 0 0 0 0 0 11 0 0 0 0 0 0 0 3 0 1 0 0 0 0 0 0 0 0 0 1 0 10 25 1 0 20 11 0 1 16 1 1 0 
7 739 0 0 0 2 0 0 3 0 0 0 0 0 0 0 0 1 0 1 0 0 28 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 7 0 0 0 0 0 115 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 3 0 0 3 0 0 0 0 0 0 0 2 79 0 1 0 1 0 0 4 50 1 7 0 0 0 0 0 3 34 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 20 4 0 15 0 0 0 0 0 0 0 0 0 0 5 0 1 0 0 0 0 8 1 1 0 0 0 0 0 2 1 3 2 0 0 3 0 0 0 0 1 0 1 0 0 0 0 0 0 0 1 9 0 0 0 2 0 0 0 0 1 0 0 0 5 0 0 0 1 0 0 3 0 4 0 0 2 2 0 0 151 3 0 0 2 0 0 0 0 0 8 0 0 0 0 0 0 0 0 4 0 0 0 0 0 0 0 6 0 0 0 0 0 0 0 0 0 1 0 1 0 8 14 3 0 27 5 0 12 35 0 1 1 
8 831 0 2 0 2 0 0 4 0 0 0 0 0 0 0 0 1 0 0 0 0 21 0 0 0 0 8 0 0 1 0 0 0 0 0 0 0 0 0 2 0 0 39 0 0 0 0 0 162 0 0 0 0 0 4 0 0 0 0 0 0 0 1 0 0 3 0 0 0 2 0 0 0 0 0 0 0 3 84 0 0 0 0 0 0 4 52 0 8 1 0 1 0 1 1 50 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 12 3 4 22 0 0 0 0 0 0 0 0 0 0 6 4 0 0 0 0 0 11 5 1 0 0 0 0 0 3 0 14 0 0 0 2 0 0 0 0 3 0 0 1 0 0 0 0 0 0 0 7 0 0 0 5 0 0 0 0 3 0 0 1 5 0 1 0 2 0 5 5 2 3 0 0 2 12 0 1 87 1 0 0 0 0 0 0 0 0 14 1 0 0 0 0 1 0 0 4 0 0 0 0 0 0 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 15 12 2 0 30 7 0 8 30 2 1 0 
9 882 0 1 0 1 0 0 2 0 0 0 0 1 0 0 0 0 0 3 0 0 22 0 0 0 0 10 1 0 0 0 0 0 0 0 0 0 0 0 2 0 0 13 0 0 0 0 0 205 0 0 0 0 0 6 1 0 1 0 2 0 1 1 0 0 1 0 0 0 1 0 0 1 0 0 0 0 6 120 0 3 0 0 0 0 10 46 0 6 1 0 0 0 0 3 59 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 13 3 7 32 0 0 0 0 0 0 0 0 0 0 5 0 0 0 0 0 0 19 1 1 0 0 0 0 0 4 0 6 1 1 0 3 0 0 0 3 3 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 3 0 0 0 0 2 0 4 2 2 5 0 0 1 8 0 0 69 1 0 0 1 0 1 0 0 0 13 2 0 1 0 0 0 0 0 3 0 0 0 0 0 0 0 6 0 0 0 0 0 0 1 2 1 0 0 0 0 10 12 0 0 24 8 1 9 40 1 0 0 
