hr total blank BD BF BG BA BB BE BL BM BN BO BH BI BJ BT JM BV BW WS BQ BR BS JE BY BZ RU RW RS LT RE TM TJ RO TK GW GU GT GS GR GQ GP JP GY GG GF GE GD GB GA GN GM GL GI GH OM TN JO WF HR HT HU HK HN HM VE PR PS PW PT KN AF IQ PA PF PG PE PK PH PN PL PM ZM EH EE EG ZA EC IT VN SB ET SO ZW SA ES ER ME MD MG MF MA MC UZ MM ML MO MN MH MK MU MT MW MV MQ MP MS MR IM UG MY MX IL FR AW SH AX SJ FI FJ FK FM FO NI NL NO NA VU NC NE NF NG NZ NP NR NU CK XK CI CH CO CN CM CL CC CA CG CF CD CZ CY CX CR PY CW CV CU SZ SY SX KG KE SS SR KI KH SV KM ST SK KR SI KP KW SN SM SL SC KZ KY SG SE SD DO DM DJ DK DE YE DZ US UY YT UM LB LC LA TV TW TT TR LK LI LV TO TL LU LR LS TH TF TG TD TC LY VA VC AE AD AG VG AI VI IS IR AM AL AO AN AQ AS AR AU AT IO IN TZ AZ IE ID UA QA MZ 
0 942 0 0 0 0 0 0 2 0 0 0 0 2 0 0 0 1 0 0 0 0 92 0 0 0 0 7 0 0 0 0 0 0 0 0 0 1 0 0 3 0 1 4 0 0 0 0 0 21 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 4 0 0 0 1 0 0 0 0 0 0 2 0 35 0 2 0 0 0 0 2 1 0 1 0 0 0 0 0 0 8 0 1 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 1 0 0 0 0 36 15 8 11 0 0 0 0 1 0 0 0 0 2 2 20 0 0 0 0 0 5 0 0 0 0 0 1 0 1 5 1 0 3 0 20 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 2 2 0 0 0 0 0 2 2 0 3 0 0 32 5 0 0 476 2 0 0 0 0 0 0 1 0 1 3 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 25 5 0 0 3 0 0 3 39 0 0 0 
1 1072 0 0 0 1 0 0 1 0 0 0 0 1 0 0 0 1 0 0 0 0 85 0 0 0 0 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 20 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 1 0 0 0 2 0 0 0 0 0 0 1 0 32 0 0 0 0 0 0 5 1 2 1 4 0 0 0 0 2 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 26 20 5 6 0 0 0 0 0 0 0 0 0 0 3 11 0 0 0 0 0 4 0 0 0 0 0 0 0 0 7 0 1 5 0 19 0 0 0 0 0 0 1 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 0 0 0 0 0 5 1 2 0 0 23 5 0 0 655 2 0 0 1 0 0 0 0 0 5 1 0 0 0 0 0 0 0 7 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 18 13 0 0 4 0 0 1 38 2 0 0 
2 1039 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 80 0 0 0 0 7 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 7 0 0 0 0 0 8 0 0 0 0 0 2 3 0 0 0 0 0 0 2 2 0 2 0 0 0 0 0 0 0 1 0 0 2 0 41 0 0 0 0 0 0 1 2 1 0 3 0 0 0 0 1 2 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 32 21 4 1 0 0 0 0 0 0 0 0 0 0 3 13 0 0 0 0 0 2 1 1 0 0 0 0 0 1 5 3 0 4 0 20 0 0 0 1 0 0 2 3 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 5 2 1 3 0 0 14 4 0 1 629 3 0 0 0 0 0 0 0 1 2 3 0 0 0 0 0 0 0 7 0 0 0 0 0 0 0 2 0 1 0 0 0 2 0 0 0 0 0 0 0 16 8 0 0 14 0 0 0 28 0 0 0 
3 1019 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 1 0 0 0 0 59 0 0 1 0 7 0 0 0 0 0 0 0 0 0 0 1 0 2 0 0 3 0 0 0 0 0 2 0 0 0 1 0 0 0 0 1 0 0 0 1 1 1 0 0 0 0 0 0 0 1 0 0 0 0 3 0 50 0 0 0 0 0 0 0 0 4 1 1 0 0 0 0 1 1 0 1 0 0 0 0 0 0 2 0 0 0 1 0 0 0 0 0 2 0 0 0 0 1 32 21 5 2 0 0 0 0 0 0 0 0 0 1 2 15 0 0 0 0 0 6 1 2 0 0 0 0 0 2 7 1 0 3 0 18 0 0 0 0 0 0 5 3 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 3 3 0 2 0 0 27 3 0 0 594 6 0 0 0 0 0 0 1 1 4 3 0 0 0 0 0 0 0 6 0 0 0 0 0 0 1 1 0 1 1 0 0 1 0 0 0 0 0 0 0 11 10 0 0 18 0 0 0 35 0 0 0 
4 1072 0 0 0 0 0 0 5 1 0 0 0 0 0 0 0 1 0 0 0 0 41 0 0 0 0 9 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 5 0 0 0 0 0 8 0 0 0 0 0 1 0 0 0 0 0 0 0 1 1 0 4 1 0 0 0 0 0 0 2 0 0 1 1 71 0 2 0 0 0 0 4 12 0 4 3 0 0 0 0 1 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 29 17 12 5 0 0 0 0 0 0 0 0 0 0 3 21 0 0 0 0 0 4 1 0 0 0 0 2 0 1 4 1 0 2 0 15 0 0 0 1 2 0 4 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 2 0 0 7 0 0 0 0 0 0 4 10 0 0 0 0 124 17 0 0 478 0 0 0 2 0 0 0 0 0 7 2 0 0 0 0 0 0 0 9 0 0 0 0 0 0 0 2 0 0 0 0 0 2 0 0 0 0 0 0 0 12 6 3 0 35 1 0 0 33 1 0 0 
5 953 1 0 0 0 0 0 5 0 0 1 0 0 0 0 0 1 0 0 0 0 17 1 0 1 0 9 0 1 0 0 0 0 0 0 0 0 2 0 0 0 0 1 0 0 0 0 0 15 0 0 0 0 0 0 0 0 1 0 0 0 1 5 0 0 0 0 0 0 0 0 0 0 0 0 0 3 4 57 0 1 0 1 0 1 1 15 1 5 1 0 1 0 2 8 5 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 43 10 11 11 0 0 0 0 0 0 0 0 0 0 8 33 0 0 0 0 0 6 2 0 0 0 0 0 2 2 3 1 0 1 0 12 0 0 0 1 2 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 10 0 0 0 0 0 0 5 15 1 1 0 0 181 13 0 0 278 0 0 0 1 0 0 0 0 0 20 1 0 1 0 0 1 0 0 12 0 0 1 0 0 0 0 6 0 1 0 0 0 0 0 0 0 0 0 0 0 6 12 2 0 31 1 0 0 24 2 2 0 
6 1233 0 1 0 0 0 0 15 0 0 1 0 0 0 0 0 0 0 0 0 0 11 0 0 0 0 10 0 0 0 0 0 0 1 0 0 0 1 0 2 0 0 2 0 0 0 0 0 42 0 0 0 0 0 3 0 0 2 0 0 0 0 1 1 0 5 1 0 0 3 0 0 0 0 0 0 2 4 57 0 2 0 0 0 0 1 27 0 8 3 0 0 0 1 3 8 0 0 0 0 0 1 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 51 8 10 19 0 0 0 0 4 0 0 0 0 0 20 43 0 0 0 0 0 10 0 1 0 0 0 0 0 4 2 1 1 1 0 9 0 0 0 2 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 1 1 0 0 0 3 2 0 7 3 0 0 0 0 0 2 27 2 0 0 0 345 25 0 0 214 0 0 0 0 0 0 0 1 0 38 3 0 1 0 0 0 0 0 19 0 0 0 0 0 0 0 4 0 0 0 0 0 0 5 0 0 0 0 1 0 1 10 2 0 49 1 0 0 50 2 0 0 
7 1280 0 1 0 0 0 0 17 0 0 0 0 1 0 0 0 1 0 0 0 0 15 0 0 1 0 13 0 2 0 0 0 0 2 0 0 0 2 0 1 0 0 4 0 0 0 0 0 34 0 0 0 0 0 0 1 0 0 0 0 0 1 2 0 0 1 0 0 0 0 0 1 0 0 0 0 3 4 63 0 2 0 0 0 0 2 26 0 12 3 0 0 0 1 3 16 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 38 2 13 28 0 0 1 0 3 0 0 0 4 0 16 64 0 0 0 0 0 8 1 0 0 0 0 2 0 6 1 1 0 1 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 1 0 0 7 0 0 0 0 0 0 6 38 2 0 0 0 464 41 0 0 138 0 0 0 1 0 0 0 0 0 32 1 0 0 0 0 1 0 0 14 0 0 0 0 0 0 0 4 0 0 0 0 0 2 0 0 0 0 0 0 0 1 14 4 0 36 4 1 1 27 4 1 0 
8 1508 0 3 0 1 0 1 22 0 0 0 0 2 0 0 0 0 0 0 0 0 14 0 0 1 0 12 0 0 0 0 0 0 0 0 0 0 0 0 5 0 0 6 0 0 0 0 0 55 0 0 0 1 0 1 0 0 0 0 2 0 1 3 0 0 0 0 0 0 4 0 0 1 0 0 0 1 7 65 0 1 0 1 0 0 5 29 1 10 1 0 0 0 0 0 21 0 0 0 0 0 2 0 0 0 0 2 0 0 1 0 1 2 0 1 0 0 0 0 1 43 1 19 28 0 0 0 0 9 0 0 0 0 0 15 69 1 0 0 0 0 13 1 2 0 0 0 3 1 4 2 3 1 1 0 5 0 0 0 1 2 0 0 0 0 0 0 0 0 0 0 6 0 0 0 1 0 0 0 0 3 0 0 14 4 0 0 0 0 0 7 30 1 0 0 0 591 38 0 1 114 1 0 0 2 0 0 0 0 0 49 3 0 0 0 1 0 0 0 20 0 0 0 0 0 0 0 4 0 0 0 0 0 1 0 0 0 0 0 0 0 2 8 3 0 32 3 2 0 52 1 0 0 
9 1756 0 3 0 0 1 0 33 0 0 0 0 1 0 0 0 0 0 2 0 0 31 0 0 1 0 19 0 1 0 0 0 0 0 0 0 0 1 0 2 0 0 11 0 0 0 1 0 59 0 0 0 1 0 3 1 0 0 0 0 0 1 2 0 0 0 0 0 0 2 1 0 1 0 0 0 1 7 69 0 5 0 1 0 1 5 31 2 23 0 0 0 0 0 1 16 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 1 1 0 0 0 0 0 1 0 47 3 14 31 0 0 0 0 2 0 0 0 1 0 26 79 0 0 0 0 0 21 3 1 0 0 0 3 0 8 0 2 0 0 0 0 0 0 0 1 1 0 0 2 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 1 2 0 0 10 1 0 0 0 0 0 4 28 3 0 0 0 756 40 0 0 110 0 0 0 0 0 0 0 1 0 40 5 0 1 0 0 0 0 0 12 0 0 0 0 0 2 0 6 1 0 0 0 0 1 1 0 0 0 0 0 0 1 17 6 0 51 1 0 7 45 2 2 0 
