hr total blank BD BF BG BA BB BE BL BM BN BO BH BI BJ BT JM BV BW WS BQ BR BS JE BY BZ RU RW RS LT RE TM TJ RO TK GW GU GT GS GR GQ GP JP GY GG GF GE GD GB GA GN GM GL GI GH OM TN JO WF HR HT HU HK HN HM VE PR PS PW PT KN AF IQ PA PF PG PE PK PH PN PL PM ZM EH EE EG ZA EC IT VN SB ET SO ZW SA ES ER ME MD MG MF MA MC UZ MM ML MO MN MH MK MU MT MW MV MQ MP MS MR IM UG MY MX IL FR AW SH AX SJ FI FJ FK FM FO NI NL NO NA VU NC NE NF NG NZ NP NR NU CK XK CI CH CO CN CM CL CC CA CG CF CD CZ CY CX CR PY CW CV CU SZ SY SX KG KE SS SR KI KH SV KM ST SK KR SI KP KW SN SM SL SC KZ KY SG SE SD DO DM DJ DK DE YE DZ US UY YT UM LB LC LA TV TW TT TR LK LI LV TO TL LU LR LS TH TF TG TD TC LY VA VC AE AD AG VG AI VI IS IR AM AL AO AN AQ AS AR AU AT IO IN TZ AZ IE ID UA QA MZ 
0 3284 0 0 0 0 0 0 5 0 0 0 1 0 0 0 0 3 0 0 0 0 314 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 1 0 0 12 0 0 0 0 0 47 0 0 0 0 0 2 1 2 0 0 0 0 0 1 0 0 10 0 0 0 9 0 0 1 1 0 0 8 0 61 0 0 0 0 0 0 10 6 4 4 5 0 1 0 0 0 32 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 24 43 4 29 0 0 0 0 2 0 0 0 0 0 11 2 0 0 0 0 0 7 25 1 0 0 0 0 1 50 12 5 0 5 0 61 0 0 0 1 0 0 4 5 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 6 0 0 0 16 0 0 0 0 0 3 6 0 4 0 0 0 1171 0 65 849 11 0 0 0 1 0 0 3 0 10 3 0 0 0 0 0 0 0 10 0 0 0 0 0 0 0 0 0 1 0 0 1 4 3 0 0 1 0 0 0 96 28 96 0 11 2 0 2 24 1 0 0 
1 2999 0 0 0 0 0 1 5 0 0 0 0 0 0 1 0 4 0 0 0 0 237 0 0 0 0 4 0 0 0 0 0 0 0 1 0 1 3 0 2 0 0 21 0 0 0 0 0 37 0 0 0 0 0 0 0 0 0 0 1 0 0 6 1 0 7 1 0 0 4 0 0 0 2 0 0 5 3 99 0 0 0 0 0 0 1 5 3 3 4 0 0 0 0 0 41 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 24 31 6 20 0 0 0 0 0 0 0 0 0 1 11 3 0 0 0 0 0 10 12 0 0 0 0 0 0 25 17 6 1 11 0 53 0 0 0 3 1 0 2 1 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 3 0 0 0 12 0 0 0 0 0 6 2 1 0 0 0 1 769 0 333 863 10 0 0 0 0 0 0 2 0 9 0 0 0 0 0 1 0 0 6 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 97 17 66 0 9 1 0 1 36 0 0 0 
2 2456 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 3 0 0 0 0 209 2 0 0 0 3 0 1 0 1 0 0 0 0 0 1 2 0 9 0 0 11 0 0 0 0 0 17 0 0 0 0 0 0 1 0 0 0 0 1 0 13 1 0 8 0 0 0 0 0 0 0 2 0 0 5 2 114 0 0 0 0 0 0 4 2 10 1 2 0 0 0 0 0 28 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 3 1 0 0 0 0 0 24 35 7 10 0 0 0 0 1 0 0 0 0 1 10 3 0 0 0 0 0 10 21 0 0 0 0 0 2 32 19 5 0 13 0 54 0 0 0 4 1 0 4 4 0 0 1 0 0 0 0 2 0 0 0 0 0 0 0 0 5 0 0 1 4 0 0 0 0 0 4 2 0 2 0 0 1 630 1 68 750 8 0 0 0 0 0 0 3 2 4 4 0 0 0 0 0 0 0 8 0 0 0 0 0 0 0 3 0 1 0 0 0 1 0 0 0 0 0 0 0 107 18 43 0 16 1 0 1 34 0 0 0 
3 2960 0 0 0 0 1 1 1 0 0 1 0 0 0 0 0 7 0 1 0 0 159 1 0 0 0 13 0 1 0 0 0 0 0 2 0 0 1 0 12 0 0 16 0 0 0 0 0 26 0 0 0 0 0 1 0 0 1 0 2 0 3 5 0 0 9 0 0 0 0 0 0 3 2 0 0 7 4 131 0 5 0 0 0 0 2 14 4 8 2 0 0 0 2 0 27 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 28 46 3 24 0 0 0 0 4 0 0 0 0 1 12 2 0 0 0 0 0 9 18 2 0 0 0 0 0 61 11 5 0 10 0 58 0 0 0 0 1 0 3 4 0 0 3 0 0 0 0 1 0 0 0 1 1 0 0 0 3 0 0 2 6 0 0 0 0 0 4 0 0 0 0 0 1 1012 0 111 709 10 0 0 0 0 0 0 1 2 11 8 0 0 0 0 0 0 0 10 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 106 18 71 0 20 2 0 1 52 0 3 0 
4 4570 0 0 0 1 1 0 7 0 0 0 1 2 0 0 0 1 0 0 0 0 120 1 0 0 0 9 0 1 0 0 0 0 1 0 0 0 1 0 3 0 0 23 1 0 0 0 1 24 0 0 0 0 0 0 5 0 0 0 1 0 0 3 0 0 8 1 0 0 0 0 0 1 0 0 0 8 7 141 0 1 0 2 0 0 3 26 1 20 5 0 0 0 0 8 20 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 36 32 8 17 0 0 0 0 6 0 0 0 0 0 12 14 0 0 0 0 0 17 12 1 0 0 0 0 0 119 7 4 0 3 0 37 0 0 1 5 0 0 4 1 0 0 1 0 0 0 0 7 0 1 0 0 1 0 0 0 3 1 0 2 0 0 0 0 1 0 8 0 4 2 0 0 4 2698 0 0 627 5 0 0 0 0 0 0 4 0 12 6 0 0 0 0 0 0 0 17 0 0 0 0 0 0 0 14 0 0 0 0 0 1 0 0 0 0 0 0 0 74 27 149 0 35 2 0 1 44 0 0 1 
5 5200 0 0 0 0 0 0 12 0 0 0 0 0 0 0 0 1 0 2 0 0 56 0 0 1 0 9 0 1 0 0 0 0 2 0 0 0 4 0 4 0 1 31 0 0 0 0 0 38 0 0 0 0 0 1 2 1 0 0 0 0 0 15 1 0 5 0 0 0 3 0 0 0 1 0 0 5 11 131 0 6 0 0 0 0 7 41 4 28 2 0 2 0 1 3 22 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 2 2 0 1 0 0 0 0 46 27 9 23 0 0 0 0 14 0 0 0 0 0 25 3 0 0 0 0 0 11 13 1 0 0 0 0 0 216 6 5 0 3 0 18 0 0 0 1 1 0 1 2 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 10 1 0 2 12 0 0 1 0 0 7 6 1 4 0 0 17 3311 1 4 412 5 0 0 1 0 0 0 9 1 32 5 1 0 0 0 8 0 0 9 0 0 0 0 0 4 0 6 0 0 0 0 0 1 1 0 0 0 0 0 0 47 25 258 0 43 5 2 0 43 1 2 0 
6 7501 0 3 0 2 0 1 21 0 0 0 0 2 0 0 0 3 0 3 1 0 35 0 0 1 0 20 1 0 0 0 0 0 3 1 0 0 2 0 15 0 0 22 0 0 0 0 0 101 0 0 0 0 0 5 3 0 0 0 6 0 6 11 1 0 1 0 0 0 3 0 0 2 0 0 0 1 11 113 0 12 0 0 0 1 6 46 3 34 7 0 0 0 0 9 60 0 0 0 0 0 0 0 0 2 0 1 1 0 0 5 0 0 2 0 0 0 0 0 0 39 13 9 73 0 0 0 0 21 0 0 0 0 1 57 16 0 0 0 0 0 24 23 1 0 0 0 1 1 379 5 9 0 3 0 24 0 0 3 5 3 0 4 0 0 0 1 0 0 0 0 5 0 0 0 1 0 0 0 1 2 3 0 4 12 0 0 0 0 0 5 10 0 1 0 0 21 4954 0 82 321 3 0 0 0 0 0 0 12 0 39 6 3 0 1 0 7 0 0 22 0 0 0 0 0 3 0 15 0 0 0 0 0 0 0 0 0 0 0 0 0 31 34 482 0 44 6 0 5 44 1 0 0 
7 10578 0 2 0 2 0 0 27 0 0 0 0 0 0 0 0 0 0 0 0 0 32 0 0 6 0 20 0 1 0 0 0 0 2 1 0 0 1 0 19 0 0 52 0 0 0 0 0 141 0 0 0 0 0 3 1 0 0 0 6 1 13 41 0 0 1 0 0 0 9 0 0 2 0 0 0 4 3 136 0 7 0 1 0 2 9 55 2 56 1 0 0 0 1 5 112 0 1 1 1 0 2 0 0 0 0 0 2 0 0 1 4 0 1 0 1 0 0 0 0 61 14 23 74 0 0 0 0 28 0 0 0 0 0 84 14 2 0 0 0 0 29 25 3 0 0 0 2 2 412 2 16 1 1 0 10 0 0 2 20 7 0 1 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 1 2 3 1 5 2 0 0 0 0 0 9 18 0 1 0 0 17 7341 0 252 290 1 0 0 1 0 0 0 10 0 38 9 3 0 0 0 6 0 1 12 0 0 0 0 0 1 0 27 0 0 0 0 0 1 1 0 0 1 0 1 0 18 40 715 0 34 6 0 8 45 3 2 0 
8 12252 0 1 0 4 1 0 36 0 0 0 0 4 0 0 0 0 0 0 0 0 44 0 0 2 0 35 0 1 1 0 0 0 2 1 0 0 0 0 18 0 0 45 0 0 0 0 0 174 0 0 0 1 0 3 0 0 2 0 7 0 32 10 0 0 3 0 0 0 16 0 0 0 0 0 0 2 9 175 0 11 0 1 0 1 13 55 1 72 1 0 0 0 2 4 129 0 0 0 0 0 7 0 0 4 0 0 0 0 1 1 3 0 0 0 0 0 0 0 0 43 8 10 119 0 0 0 0 8 0 0 0 0 0 91 10 2 0 0 0 0 28 20 5 0 0 0 0 0 522 0 12 0 1 0 19 0 0 0 7 4 0 0 1 0 0 6 1 0 0 0 9 0 0 0 1 0 0 0 2 5 3 0 7 17 0 0 0 0 0 6 32 2 0 0 0 29 8689 0 148 195 1 0 0 3 0 0 0 3 0 56 6 5 2 0 0 5 0 0 20 0 0 0 0 1 0 0 17 1 0 0 0 0 2 3 0 0 0 0 0 0 11 61 887 0 42 13 1 11 80 2 0 1 
9 12763 2 2 0 3 0 0 31 0 0 1 0 0 0 0 0 0 0 2 0 0 55 0 0 1 0 25 0 2 0 0 0 0 3 0 0 0 0 0 12 0 0 61 0 0 0 0 0 192 0 0 0 0 0 7 0 0 3 0 6 0 4 22 0 0 0 0 0 0 23 0 1 1 0 0 0 1 33 209 0 16 0 2 0 5 11 62 0 72 4 0 1 0 3 8 164 0 1 1 0 0 27 0 0 0 0 0 0 0 1 0 4 2 0 0 0 0 0 0 1 48 4 24 135 0 0 0 0 12 0 0 0 1 0 100 9 4 0 0 0 0 30 27 0 0 0 0 0 0 474 0 10 0 0 0 7 0 0 0 20 3 0 1 1 0 0 2 0 0 0 0 5 0 0 0 0 0 0 0 1 10 1 0 3 0 0 0 0 0 0 10 41 0 0 0 0 15 9253 0 11 182 2 0 0 2 0 1 0 6 0 66 7 0 1 0 0 9 0 0 16 0 0 0 0 0 0 0 18 0 0 0 0 0 0 4 0 0 1 0 0 0 28 46 871 0 44 6 0 16 67 1 0 0 
