hr total blank BD BF BG BA BB BE BL BM BN BO BH BI BJ BT JM BV BW WS BQ BR BS JE BY BZ RU RW RS LT RE TM TJ RO TK GW GU GT GS GR GQ GP JP GY GG GF GE GD GB GA GN GM GL GI GH OM TN JO WF HR HT HU HK HN HM VE PR PS PW PT KN AF IQ PA PF PG PE PK PH PN PL PM ZM EH EE EG ZA EC IT VN SB ET SO ZW SA ES ER ME MD MG MF MA MC UZ MM ML MO MN MH MK MU MT MW MV MQ MP MS MR IM UG MY MX IL FR AW SH AX SJ FI FJ FK FM FO NI NL NO NA VU NC NE NF NG NZ NP NR NU CK XK CI CH CO CN CM CL CC CA CG CF CD CZ CY CX CR PY CW CV CU SZ SY SX KG KE SS SR KI KH SV KM ST SK KR SI KP KW SN SM SL SC KZ KY SG SE SD DO DM DJ DK DE YE DZ US UY YT UM LB LC LA TV TW TT TR LK LI LV TO TL LU LR LS TH TF TG TD TC LY VA VC AE AD AG VG AI VI IS IR AM AL AO AN AQ AS AR AU AT IO IN TZ AZ IE ID UA QA MZ 
0 756427 51 106 2 42 11 453 253 2 53 98 40 71 1 9 15 1130 0 39 12 1 10717 460 1 10 27 355 7 72 28 1 0 12 104 1 0 206 156 0 125 0 50 1807 61 0 11 90 43 26563 4 2 27 6 6 668 33 37 44 0 56 91 109 444 61 0 529 49 0 0 826 45 9 37 187 11 25 636 410 16128 1 217 0 38 0 15 764 2335 206 818 231 1 5 15 27 389 1550 2 12 2 8 3 91 5 5 50 9 16 26 7 16 1 16 10 22 23 55 4 2 26 50 4732 3437 181 1812 44 1 0 0 120 15 0 0 3 148 846 191 42 8 31 8 0 2468 1774 84 0 0 2 28 39 200 942 718 28 604 1 28509 1 1 21 123 49 0 425 225 28 5 80 2 10 10 0 239 0 23 0 72 56 0 0 8 656 18 10 246 126 1 10 2 4 33 1712 442 49 352 18 4 173 1287 2 80 606385 266 0 5 59 193 6 0 190 729 449 191 0 33 4 1 17 10 3 1090 1 5 0 79 49 24 76 369 1 249 26 1 19 114 52 11 3 19 0 35 12 2011 10099 112 0 2984 66 4 2281 3049 60 87 13 
1 714046 44 138 1 57 13 456 153 1 58 88 38 51 0 6 7 1124 0 24 11 0 9546 395 0 4 17 337 4 36 12 6 0 21 67 0 0 211 139 0 102 0 52 1760 42 0 8 15 40 14481 0 4 4 8 2 396 48 14 20 0 34 80 41 560 77 0 496 39 0 3 458 54 38 20 200 2 38 535 583 17671 0 109 0 27 0 5 496 1476 259 550 298 3 3 6 38 319 882 1 1 9 5 0 47 3 45 38 3 30 24 10 10 14 11 5 35 51 70 0 0 18 49 5200 3226 150 1324 30 0 0 0 100 2 1 0 0 167 455 139 25 7 38 3 0 1859 1845 139 0 0 2 19 17 106 882 807 35 611 0 26670 3 2 22 71 22 0 406 215 23 6 53 3 4 8 9 286 0 7 0 90 55 4 1 14 692 7 5 178 118 0 4 8 18 39 1740 283 31 310 42 4 82 692 1 34 582634 273 1 3 44 157 18 0 238 668 272 211 0 14 8 6 14 5 1 1306 0 1 0 65 30 17 53 351 2 206 27 0 4 68 37 3 2 17 0 8 19 1875 9905 116 0 5078 39 1 1169 3232 41 86 9 
2 765700 68 182 0 48 3 368 111 0 36 115 31 96 1 10 11 1273 0 26 6 1 9031 358 1 9 27 365 5 24 9 4 8 1 53 0 0 219 149 0 121 1 43 2253 25 0 4 6 40 9883 5 8 3 10 8 255 108 12 24 0 16 67 36 643 71 0 532 34 0 1 282 35 36 16 210 8 33 569 734 20497 0 87 0 33 0 7 321 1585 233 502 359 0 11 45 34 395 662 0 5 1 48 1 41 2 7 68 5 36 23 9 2 9 20 10 45 24 95 6 0 9 51 6398 3673 166 826 37 0 0 0 89 10 2 3 2 165 443 138 16 7 16 4 0 1474 1656 210 0 0 4 16 16 117 1064 896 13 684 0 25609 2 2 10 54 23 1 464 182 14 3 28 11 4 23 2 496 0 22 1 108 60 9 8 10 733 9 8 171 71 0 2 2 29 39 1930 256 23 326 27 14 86 567 1 34 629295 268 10 2 42 140 21 0 280 683 179 318 0 15 7 2 7 4 1 1535 0 1 0 97 26 22 64 759 1 242 22 0 6 52 138 5 0 4 0 17 19 1983 10438 68 0 9622 78 12 798 4079 37 131 8 
3 783086 99 345 1 62 4 388 110 1 25 120 39 183 11 15 19 1251 0 85 6 0 6421 342 0 14 22 528 37 23 23 1 0 13 66 0 0 247 184 0 118 0 21 2537 11 1 4 37 20 8115 2 2 11 3 6 183 231 12 50 0 11 54 57 638 99 0 459 41 0 4 153 35 35 69 219 8 47 490 942 21954 1 111 0 72 0 12 254 3467 251 538 320 1 47 22 130 793 689 23 2 2 27 2 39 1 11 90 2 27 25 6 6 31 8 49 89 25 82 0 0 2 167 7404 4085 309 791 28 0 0 0 135 8 0 3 2 206 434 119 29 3 7 1 0 1684 2004 209 0 3 5 11 8 141 1072 906 11 527 0 23245 4 3 50 71 27 2 492 107 7 0 51 16 33 9 5 1198 0 7 0 94 49 0 3 10 921 9 1 501 59 2 3 9 48 29 2264 230 59 380 18 5 123 676 2 35 638432 262 0 8 91 75 18 1 306 599 340 376 1 13 6 2 7 1 19 1916 0 0 1 82 19 30 60 1086 0 155 13 0 16 51 85 42 2 5 0 11 36 1859 11850 55 0 13612 136 12 518 4308 52 222 26 
4 719420 120 598 5 79 10 226 248 1 17 132 24 183 0 8 29 1080 0 190 6 4 4624 278 0 53 15 607 60 38 28 6 1 5 177 0 0 274 178 0 270 0 24 2404 21 0 2 16 22 9244 5 8 6 2 14 243 238 9 97 1 13 54 76 701 127 0 362 37 0 4 144 16 48 50 206 13 31 465 1296 23905 0 197 0 125 0 21 321 8178 238 746 413 2 32 30 349 1315 911 0 4 28 14 0 27 9 17 97 4 41 37 14 10 44 28 55 123 17 87 1 0 1 364 8587 4173 383 897 30 0 0 0 223 5 0 3 1 180 677 176 98 2 10 1 0 2944 2261 226 1 0 12 10 12 227 991 1056 52 342 0 19638 25 28 51 294 88 0 491 69 10 0 46 12 9 22 4 2126 0 11 0 120 62 0 6 19 992 10 0 1506 51 0 4 10 29 18 2755 342 63 256 9 8 251 1091 4 34 556106 193 0 6 153 64 29 0 315 503 636 449 0 30 4 0 11 2 34 2361 0 0 14 57 31 24 40 1801 0 93 15 0 9 22 55 17 4 30 0 8 28 1209 12029 139 0 18643 275 19 608 4894 144 268 32 
5 554390 111 512 20 169 46 143 429 0 22 153 22 210 2 45 19 851 0 299 3 1 2421 169 2 38 16 603 76 75 66 10 0 4 221 0 0 288 141 0 302 10 7 2128 7 2 4 46 11 15290 12 2 6 2 45 397 258 37 164 9 72 22 122 685 88 0 210 30 0 0 123 6 54 64 139 7 16 350 1562 21653 0 381 0 270 0 69 380 11192 128 1441 344 1 50 46 307 1152 1416 3 12 5 17 0 25 9 27 81 1 42 33 4 13 41 67 60 107 19 78 0 1 11 489 8048 2995 467 1431 15 9 10 0 350 8 0 2 2 132 1148 229 150 0 57 27 1 5048 2096 178 0 9 8 16 6 347 556 988 52 200 0 12556 4 4 21 569 125 3 308 40 5 3 48 25 9 6 5 2641 0 6 10 142 46 0 15 60 862 46 4 1204 80 11 4 23 29 14 2588 522 86 185 8 2 289 1762 4 38 389219 152 0 11 247 31 31 1 281 256 950 396 8 58 15 4 39 4 16 2538 0 12 0 35 47 34 20 2359 0 51 3 1 4 63 63 22 13 9 0 3 63 951 11441 260 0 19537 309 31 898 4608 164 314 32 
6 490864 96 547 7 177 21 80 787 0 15 143 10 310 1 14 21 556 1 430 15 1 1632 84 1 40 27 776 91 73 56 9 0 8 401 0 11 283 106 13 429 0 1 2334 5 12 5 106 0 37240 7 31 10 5 53 1433 285 17 188 0 92 15 182 672 71 0 156 46 0 1 369 8 46 95 69 6 19 205 2172 22189 0 503 0 379 0 65 462 15951 97 2127 338 1 86 62 450 1298 2775 2 13 5 21 0 193 23 30 78 28 49 34 9 9 72 102 108 160 16 75 0 3 29 818 8956 2149 810 2778 18 0 1 0 495 3 0 11 3 83 2062 383 279 15 79 5 0 8097 2851 194 0 0 5 27 79 658 426 1016 80 152 1 9173 5 5 38 465 219 1 273 23 2 0 16 68 14 8 4 3622 0 3 0 148 33 0 7 79 872 59 5 1787 122 1 35 10 36 17 2498 924 106 101 5 5 388 3130 3 80 276927 78 0 3 382 13 45 0 309 195 1571 429 3 57 15 5 102 34 33 2908 0 4 5 21 21 41 4 2797 15 65 0 0 5 73 79 40 10 17 0 16 63 617 14811 332 0 21968 406 31 2130 5003 196 469 55 
7 442371 107 572 4 218 40 54 1063 0 13 135 16 295 1 21 9 326 3 425 12 1 1472 55 3 59 3 984 146 124 80 13 2 21 354 0 1 310 64 0 564 0 4 2617 9 28 2 73 3 67654 8 2 18 1 49 1788 314 38 191 0 172 16 267 752 36 0 92 44 0 11 656 10 59 110 76 5 37 128 2310 22685 2 658 0 450 0 118 550 17757 58 3107 464 12 86 77 509 1293 3343 4 18 16 19 0 109 27 21 62 6 44 28 15 23 44 110 108 174 6 116 0 5 84 826 9265 1294 891 3812 5 0 0 0 594 11 0 14 14 42 2503 529 369 10 21 5 4 9615 2963 207 0 0 5 53 58 736 316 1063 80 61 0 6098 5 2 40 483 228 0 128 23 7 13 12 57 12 18 6 3747 0 2 0 162 17 0 8 110 935 79 2 1782 40 7 13 9 55 7 2731 1114 146 84 1 9 557 3747 2 36 189886 45 0 3 620 10 22 0 329 128 1748 393 6 75 12 2 71 18 31 2977 0 9 7 17 27 40 13 2815 11 23 0 0 0 118 102 52 22 25 0 24 44 346 15069 487 0 20907 407 29 4024 5029 246 383 66 
8 434446 96 695 4 231 36 39 1508 0 4 202 10 325 2 21 9 234 2 502 10 0 2898 44 5 50 1 1038 143 196 66 12 1 16 521 0 1 368 39 0 627 4 6 3052 3 20 2 90 2 93173 15 5 25 8 64 2561 336 62 219 0 220 10 367 866 15 0 109 37 0 3 949 5 60 160 27 8 37 98 2307 26584 0 838 0 493 0 152 796 20201 36 3691 579 0 108 117 557 1403 4591 2 38 14 22 0 179 27 14 66 14 37 31 9 35 42 112 127 343 6 125 0 1 71 933 9864 846 864 5077 5 1 2 0 756 15 10 4 7 29 3202 611 375 8 41 7 0 11573 3035 247 0 2 5 80 72 904 269 1248 106 61 0 4562 10 7 47 555 300 0 62 33 9 24 21 58 32 1 5 4651 0 6 0 137 4 0 3 135 1032 69 18 2036 42 4 21 13 41 12 2936 1385 161 59 12 18 709 4277 7 64 132538 53 1 4 438 5 9 0 456 125 1968 528 5 91 7 2 98 24 29 3180 0 13 3 13 32 39 17 2895 6 15 1 1 9 175 220 73 41 28 0 28 68 401 16577 537 0 20258 442 31 5909 5578 260 456 60 
9 431122 119 647 9 286 48 63 1633 0 9 213 56 390 7 31 30 156 12 463 9 3 3742 76 5 81 4 1071 117 203 66 11 0 4 465 0 1 423 35 0 647 2 10 2875 17 14 21 100 28 105559 21 15 53 18 68 2683 312 114 196 0 211 10 376 899 10 0 161 46 0 0 1046 6 37 112 17 11 22 65 2602 30409 0 915 0 427 0 130 972 19500 33 3673 645 0 119 61 658 1358 5051 13 25 26 32 2 167 36 15 95 9 38 50 10 41 56 183 136 144 14 117 0 4 74 889 10615 589 769 5645 9 0 0 0 697 11 1 2 13 12 3230 657 390 10 4 13 0 12182 2573 239 0 0 3 69 59 917 304 1307 86 142 11 4443 8 7 54 556 317 11 46 82 5 25 40 71 28 1 24 4047 0 16 0 133 3 0 2 167 1038 85 0 2101 53 1 32 16 47 5 3185 1421 153 71 17 14 686 4615 9 103 107931 41 1 1 507 21 22 0 495 165 2446 500 3 108 10 15 87 30 57 3107 0 10 2 9 43 14 16 2883 8 10 10 0 13 178 115 123 64 23 0 12 52 698 17358 618 0 19665 496 36 6557 5891 294 490 91 
