hr total blank BD BF BG BA BB BE BL BM BN BO BH BI BJ BT JM BV BW WS BQ BR BS JE BY BZ RU RW RS LT RE TM TJ RO TK GW GU GT GS GR GQ GP JP GY GG GF GE GD GB GA GN GM GL GI GH OM TN JO WF HR HT HU HK HN HM VE PR PS PW PT KN AF IQ PA PF PG PE PK PH PN PL PM ZM EH EE EG ZA EC IT VN SB ET SO ZW SA ES ER ME MD MG MF MA MC UZ MM ML MO MN MH MK MU MT MW MV MQ MP MS MR IM UG MY MX IL FR AW SH AX SJ FI FJ FK FM FO NI NL NO NA VU NC NE NF NG NZ NP NR NU CK XK CI CH CO CN CM CL CC CA CG CF CD CZ CY CX CR PY CW CV CU SZ SY SX KG KE SS SR KI KH SV KM ST SK KR SI KP KW SN SM SL SC KZ KY SG SE SD DO DM DJ DK DE YE DZ US UY YT UM LB LC LA TV TW TT TR LK LI LV TO TL LU LR LS TH TF TG TD TC LY VA VC AE AD AG VG AI VI IS IR AM AL AO AN AQ AS AR AU AT IO IN TZ AZ IE ID UA QA MZ 
0 215665 1 1 2 0 0 5 62 0 1 0 308 0 0 0 0 9 0 0 0 0 10447 7 0 0 6 21 0 6 0 0 0 0 23 0 0 1 1374 0 14 0 0 115 0 0 0 0 0 422 1 0 0 0 0 5 0 3 0 0 6 2 14 20 574 0 11667 84 0 0 245 3 0 16 1631 2 0 4181 1 366 0 14 0 1 0 2 17 17 3614 189 10 0 1 1 0 6 10458 0 3 4 0 0 9 0 0 2 1 0 0 0 2 1 9 0 0 1 0 0 0 0 0 66 33269 30 339 18 0 0 0 5 0 0 0 0 1189 40 10 0 0 1 0 0 17 20 0 0 0 0 3 2 51 17985 28 0 13331 0 402 1 0 1 7 1 0 2443 3728 5 1 55 0 1 0 0 2 0 3 0 0 608 0 0 2 20 2 2 4 4 0 0 0 0 0 21 17 1 2435 0 0 5 85 0 8 11892 8559 0 0 0 0 0 0 13 10 19 1 4 1 0 1 0 0 0 17 0 0 0 2 2 13 0 11 6 1 0 0 0 7 0 1 2 6 0 0 0 72415 128 23 0 12 5 0 39 100 11 1 0 
1 211711 3 0 3 1 0 4 40 0 0 3 323 2 0 0 2 7 0 2 0 1 9425 8 0 0 1 11 0 1 0 0 0 0 14 0 0 1 1435 0 4 0 1 118 0 0 1 0 0 218 0 0 0 0 0 3 0 1 0 0 1 9 12 16 590 0 10607 85 0 1 136 3 1 2 1651 0 0 4093 2 402 0 21 0 0 0 2 14 12 4218 73 8 0 0 0 0 6 5458 0 0 3 0 3 6 2 0 0 0 1 0 0 1 0 2 0 1 4 1 0 0 0 0 82 34577 5 184 8 0 0 0 11 0 0 0 0 1230 20 7 1 0 0 0 0 10 24 0 0 0 0 2 3 13 18299 37 2 13592 0 374 0 0 1 8 0 0 2604 3639 2 1 41 1 1 0 0 2 0 2 0 2 643 0 0 1 22 4 0 2 4 0 1 0 0 1 25 5 0 2265 1 0 3 94 0 1 11817 8842 0 0 2 0 0 0 9 10 21 1 3 0 1 0 0 0 0 9 0 0 0 0 4 3 0 10 1 2 0 0 0 3 0 0 0 1 0 0 1 73641 111 10 0 49 4 0 56 87 6 1 0 
2 235220 10 1 2 1 0 4 35 0 2 16 275 0 0 0 1 5 0 1 0 0 8058 6 0 0 0 14 0 1 0 0 0 0 10 0 0 2 1622 0 3 0 3 126 0 0 0 1 2 155 0 0 0 0 3 0 2 0 0 0 0 3 1 29 749 0 11082 85 0 0 88 1 0 0 1662 0 0 4649 5 455 0 20 0 0 0 1 6 15 4528 86 6 0 0 0 0 6 3191 0 0 3 0 0 2 0 0 2 0 3 0 1 0 0 0 0 4 3 0 0 0 0 0 97 40504 8 102 12 0 0 0 2 0 0 0 0 1607 12 2 0 0 0 0 0 8 19 3 0 0 0 0 0 15 21368 24 0 15321 0 460 0 1 3 6 0 0 3327 3139 4 0 41 0 3 0 0 4 0 1 0 3 774 0 0 0 28 2 0 1 8 0 0 0 0 0 19 6 0 2537 1 0 3 82 0 3 13255 10493 0 0 1 0 0 0 8 13 22 3 0 0 0 0 1 0 0 20 0 0 0 0 1 0 0 24 4 1 1 0 0 3 0 0 1 3 0 0 0 84282 138 23 0 58 2 0 26 152 4 2 1 
3 212686 30 5 0 3 0 3 15 0 0 4 166 2 0 2 0 14 0 1 1 0 5365 2 0 0 5 19 0 2 0 0 0 0 19 0 0 1 1991 0 3 0 0 140 1 0 0 0 2 100 0 0 0 0 4 1 3 2 2 0 1 7 2 27 850 0 8668 79 0 0 52 2 0 0 1835 0 0 4928 2 538 0 7 0 0 0 6 3 21 4035 82 7 0 0 0 0 7 2713 0 0 3 1 0 1 1 0 2 0 3 0 0 0 0 0 2 6 3 2 0 0 0 0 124 46565 10 90 16 0 0 0 4 0 0 0 0 1973 6 2 0 1 0 0 0 9 23 2 0 0 0 0 0 14 20800 38 0 10612 0 537 0 0 1 2 0 0 3743 1998 6 0 32 0 1 1 0 4 0 4 0 3 686 0 0 0 37 0 1 4 1 0 0 0 0 1 23 6 0 2484 0 0 4 44 0 1 14120 9063 0 0 2 1 1 0 12 9 24 6 0 0 0 0 0 0 0 14 0 0 0 0 1 1 0 17 3 4 0 0 0 2 4 0 0 1 0 0 1 67262 101 6 0 62 12 0 18 130 5 9 4 
4 171028 9 2 0 2 0 3 14 0 0 0 139 0 0 0 0 13 0 4 0 0 3517 3 0 2 0 25 2 5 1 0 0 3 16 0 0 0 2156 0 14 0 0 121 0 0 0 2 1 93 0 1 1 0 0 1 0 0 2 0 0 1 2 23 1093 0 6272 46 0 0 36 1 1 0 1443 1 1 4503 6 635 0 11 0 0 0 1 6 56 3556 135 9 0 0 0 8 13 4262 0 0 10 0 0 5 0 0 0 0 6 4 0 0 0 4 1 5 1 0 0 0 0 0 159 46841 28 106 8 0 0 0 4 0 0 0 0 1823 26 7 0 0 1 0 0 17 30 2 0 0 0 1 0 14 16821 28 0 5831 0 466 0 0 3 6 1 0 3800 1128 14 0 23 0 0 0 0 14 0 0 0 2 644 0 0 1 22 2 0 4 0 0 0 1 0 0 17 11 0 1244 0 0 3 57 0 2 11194 6346 0 0 2 0 0 0 11 2 40 6 0 0 0 0 1 0 0 30 0 0 0 0 2 10 0 23 2 2 1 0 0 0 1 2 0 0 0 0 0 45362 110 8 0 93 16 0 10 136 2 3 13 
5 106952 3 2 0 4 0 1 19 0 0 0 88 2 0 0 0 6 0 5 0 0 1655 1 0 0 0 26 0 5 3 0 0 0 29 0 0 1 1400 0 13 0 2 87 1 0 0 1 1 104 0 0 0 0 0 2 1 1 0 0 1 1 6 16 520 0 3198 53 0 0 35 0 0 0 915 0 0 2574 6 596 0 14 0 2 0 1 10 77 1933 227 6 0 3 0 2 8 9241 0 0 1 1 0 6 1 0 1 0 0 0 0 1 0 1 0 5 2 0 0 0 0 1 118 31440 24 187 2 0 0 0 10 0 0 0 0 1199 23 4 1 0 0 0 0 24 31 3 0 0 0 1 0 26 8440 21 2 3033 0 317 0 0 1 16 3 0 2379 508 7 0 19 0 0 0 0 24 0 0 0 0 367 0 0 0 21 0 0 4 4 0 0 1 1 0 27 17 0 710 0 0 5 96 0 3 7224 3463 0 0 7 0 1 0 9 3 96 5 0 5 0 0 3 0 0 16 0 0 0 0 1 0 0 31 10 0 0 0 0 0 2 0 0 2 0 0 0 23631 80 8 0 87 8 0 11 121 3 9 8 
6 78604 11 2 0 10 1 0 46 0 0 1 59 2 0 0 0 1 0 3 0 0 1147 0 0 0 0 38 0 13 3 1 0 0 41 0 0 1 880 0 44 0 0 120 0 0 0 9 0 176 2 1 0 0 2 4 3 0 3 0 6 0 24 34 330 0 1804 64 0 0 113 0 0 0 530 0 0 1649 6 619 0 24 0 4 0 7 15 105 1091 344 7 0 1 1 7 14 17601 0 1 0 1 0 6 0 0 1 0 3 1 0 0 0 10 1 2 1 0 0 0 0 7 179 19879 229 293 3 0 0 0 9 0 0 0 0 608 58 18 1 0 0 0 0 46 34 1 0 0 0 0 3 61 3928 31 4 2225 0 234 0 1 2 29 2 0 1452 221 15 0 9 0 0 0 0 26 0 0 0 7 162 0 0 0 20 3 0 10 2 0 1 0 2 0 30 33 1 297 0 0 10 148 0 0 4544 2148 0 0 7 0 1 0 2 0 201 5 0 3 0 0 7 0 1 29 0 0 0 0 1 1 0 24 23 1 0 0 0 2 0 0 0 4 0 0 0 13745 84 20 0 112 19 1 17 154 0 11 9 
7 65915 3 3 1 9 3 1 60 0 0 1 26 1 1 0 0 2 0 6 0 0 993 0 0 1 0 62 0 12 6 0 1 0 39 0 0 0 386 0 36 1 1 124 1 0 0 3 0 367 0 0 0 0 1 10 1 1 3 0 16 0 21 19 151 0 1337 69 0 0 203 1 1 3 270 0 0 794 7 643 0 59 0 1 0 24 9 92 547 442 10 0 2 0 3 9 28039 0 0 5 0 0 13 1 0 3 0 1 1 0 0 0 9 0 2 0 0 0 1 0 0 143 10550 215 431 1 0 0 0 8 0 0 0 0 308 85 20 2 0 0 0 0 39 35 2 0 0 0 3 5 71 2145 26 4 1363 0 129 1 0 1 59 4 0 832 328 1 2 6 0 1 0 0 34 0 0 0 3 81 0 0 8 23 1 0 7 1 0 0 2 2 2 24 36 0 216 0 0 10 175 0 2 2898 1120 0 0 13 0 2 0 13 0 99 9 0 2 0 0 5 0 0 29 0 1 2 0 4 1 0 35 34 0 0 0 0 2 1 1 1 8 0 0 0 8766 96 21 0 93 14 1 38 133 4 5 6 
8 67886 1 8 0 11 2 0 94 0 0 0 26 1 0 1 0 1 0 9 0 0 1891 0 0 2 0 65 2 7 14 0 0 0 30 0 0 0 252 1 32 1 0 189 0 0 0 4 0 503 0 1 0 0 4 16 0 1 2 0 9 0 24 20 95 0 1341 63 0 0 264 0 0 1 218 0 0 548 19 681 0 63 0 3 0 14 17 105 392 548 11 0 0 0 1 6 36752 0 5 6 0 0 26 1 1 2 0 2 1 0 3 0 18 1 1 1 1 0 2 0 6 189 5720 39 577 2 0 0 0 21 0 0 0 0 141 134 34 0 0 0 0 0 57 27 4 0 0 0 7 5 89 1484 19 1 1298 0 81 0 0 2 49 5 0 474 446 8 2 4 1 0 0 0 44 0 0 0 5 61 0 0 10 34 5 1 7 4 0 0 0 0 1 29 37 2 147 0 0 19 282 0 7 1937 829 0 0 6 0 2 0 10 2 64 7 0 0 0 0 8 1 2 32 0 0 0 1 0 5 0 36 15 0 0 0 0 2 1 3 2 4 0 2 0 8273 91 32 0 108 13 1 54 148 31 24 6 
9 80340 1 2 1 8 4 1 111 0 0 0 27 2 0 1 0 2 0 7 0 0 2404 0 0 0 0 61 0 17 11 3 0 0 51 0 0 0 117 0 33 0 1 141 0 0 0 1 0 633 0 0 0 5 5 13 2 1 4 0 8 0 12 16 64 0 2669 56 0 0 291 0 1 2 237 0 0 426 18 813 0 98 0 4 0 13 18 136 355 594 6 0 0 0 3 15 41038 0 3 11 1 0 16 3 0 2 0 3 1 0 5 0 35 2 1 0 0 0 1 0 2 166 3916 202 734 2 0 0 0 23 1 0 0 0 74 109 30 3 0 0 0 0 75 25 2 0 0 0 3 3 81 1693 31 8 2566 0 87 0 0 0 29 5 0 275 1235 0 6 6 0 2 0 0 37 0 0 0 1 47 1 0 1 34 8 1 11 4 1 0 1 1 0 29 65 1 313 0 2 28 335 0 39 1781 1240 0 0 7 0 2 0 12 1 157 3 0 5 0 0 12 1 1 33 0 0 0 0 2 4 0 43 19 0 1 0 1 8 1 2 3 5 0 0 1 13314 155 31 0 130 17 3 55 175 22 21 11 
