hr total blank BD BF BG BA BB BE BL BM BN BO BH BI BJ BT JM BV BW WS BQ BR BS JE BY BZ RU RW RS LT RE TM TJ RO TK GW GU GT GS GR GQ GP JP GY GG GF GE GD GB GA GN GM GL GI GH OM TN JO WF HR HT HU HK HN HM VE PR PS PW PT KN AF IQ PA PF PG PE PK PH PN PL PM ZM EH EE EG ZA EC IT VN SB ET SO ZW SA ES ER ME MD MG MF MA MC UZ MM ML MO MN MH MK MU MT MW MV MQ MP MS MR IM UG MY MX IL FR AW SH AX SJ FI FJ FK FM FO NI NL NO NA VU NC NE NF NG NZ NP NR NU CK XK CI CH CO CN CM CL CC CA CG CF CD CZ CY CX CR PY CW CV CU SZ SY SX KG KE SS SR KI KH SV KM ST SK KR SI KP KW SN SM SL SC KZ KY SG SE SD DO DM DJ DK DE YE DZ US UY YT UM LB LC LA TV TW TT TR LK LI LV TO TL LU LR LS TH TF TG TD TC LY VA VC AE AD AG VG AI VI IS IR AM AL AO AN AQ AS AR AU AT IO IN TZ AZ IE ID UA QA MZ 
0 1185 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 475 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 2 0 0 0 0 7 0 0 0 0 0 4 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 17 0 0 0 9 0 0 0 4 0 0 3 0 49 0 1 0 0 0 0 0 5 5 3 0 0 0 0 0 1 23 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 13 46 0 5 0 0 0 0 0 0 0 0 0 3 0 1 1 0 0 0 0 4 1 0 0 0 0 0 0 0 16 0 0 30 0 14 0 0 0 0 0 0 16 19 0 0 0 0 0 0 0 2 0 0 0 0 1 0 0 0 0 0 0 1 21 0 0 0 0 0 1 0 0 10 0 0 1 5 0 0 191 8 0 0 1 0 0 0 0 0 10 1 0 1 0 0 0 0 0 30 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 90 3 0 0 1 0 0 1 21 0 0 0 
1 1206 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 480 1 0 0 0 2 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 5 0 0 0 0 0 6 0 0 0 0 0 2 0 0 0 0 0 1 0 0 2 0 15 0 0 0 3 0 0 1 2 0 0 7 1 50 0 1 0 0 0 0 0 3 3 1 0 0 0 0 0 3 20 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 19 43 0 2 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 1 14 0 0 25 0 11 0 0 0 3 0 0 12 7 0 0 0 0 0 0 0 4 0 0 0 0 0 0 0 0 2 0 0 0 32 0 0 0 0 0 0 2 0 10 0 0 0 7 0 0 196 7 0 0 0 0 1 0 0 1 1 3 0 0 0 0 0 0 0 38 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 105 4 0 0 13 0 0 0 24 0 1 0 
2 1194 1 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 418 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 18 0 0 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 16 0 0 0 0 0 0 0 4 0 0 12 0 71 0 0 0 0 0 0 0 5 5 1 0 0 0 0 0 0 20 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 28 52 0 4 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 1 0 1 0 0 0 0 1 0 18 0 0 19 0 15 0 0 0 0 0 0 6 7 0 0 0 0 0 0 0 2 0 0 0 0 5 0 0 0 1 0 0 1 9 0 0 0 0 0 3 2 0 11 0 0 0 3 0 0 206 14 0 0 0 0 0 0 1 0 3 1 0 0 0 0 0 0 0 44 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 113 2 0 0 8 0 0 1 24 0 0 0 
3 1082 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 292 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 24 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 2 2 0 16 0 0 0 1 0 0 0 5 0 0 6 1 69 0 0 0 0 0 0 2 7 3 0 0 0 0 0 1 3 33 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 33 84 0 0 0 0 0 0 0 0 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 26 0 0 17 0 13 0 0 0 0 0 0 4 14 0 0 0 0 0 0 0 4 0 0 0 0 1 0 0 0 2 0 0 1 7 0 0 0 0 0 3 1 0 9 0 0 0 2 0 0 172 10 0 0 0 0 0 0 0 1 3 2 0 0 0 0 0 0 0 61 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 73 3 0 0 13 1 0 0 37 0 1 0 
4 1010 0 1 0 0 0 0 1 0 0 1 1 0 0 0 0 0 0 0 0 0 228 0 0 0 1 1 0 2 0 0 0 0 0 0 0 0 4 0 0 0 0 7 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 2 2 0 12 0 0 0 1 0 0 0 0 0 0 12 1 79 0 0 0 0 0 0 0 20 5 5 0 0 0 0 0 5 21 0 0 0 1 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 39 65 0 3 0 0 0 0 0 0 0 0 0 3 1 1 0 0 0 0 0 1 1 0 0 0 0 0 0 0 22 2 0 11 0 5 0 0 0 0 0 0 6 5 0 0 0 0 0 0 0 3 0 0 0 0 3 0 0 0 2 0 0 0 3 0 0 0 0 0 4 0 0 2 0 0 0 2 0 0 162 11 0 0 0 0 0 0 2 1 8 3 0 0 0 0 0 0 0 63 0 0 0 0 0 0 0 2 0 0 0 0 0 0 1 1 0 0 0 0 0 66 6 0 0 24 6 0 0 53 0 0 0 
5 802 1 0 0 0 0 0 0 0 0 0 2 0 0 0 0 1 0 0 0 0 105 0 0 0 0 2 0 0 0 0 0 0 1 0 0 0 2 0 0 0 0 19 0 0 0 0 0 4 0 0 0 0 0 0 0 0 1 0 0 0 0 0 2 0 5 1 0 0 0 0 0 0 3 0 0 2 2 76 0 1 0 0 0 1 0 18 1 8 1 0 0 0 0 4 55 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 37 49 0 4 0 0 0 0 4 0 0 0 0 3 1 0 1 0 0 0 0 4 0 0 0 0 0 0 0 0 5 1 0 6 0 2 0 0 0 1 0 0 7 2 0 0 0 0 0 0 0 6 0 0 0 0 0 0 0 0 0 0 0 0 36 0 0 0 0 0 2 1 0 0 0 0 0 2 0 0 95 6 0 0 3 0 0 0 3 0 11 3 0 0 0 0 0 0 0 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 26 5 1 0 14 6 0 0 45 1 1 0 
6 824 0 2 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 2 0 0 71 0 0 0 0 0 0 3 0 0 0 0 0 0 0 1 1 0 2 0 0 9 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 2 1 0 1 0 0 0 0 0 0 0 0 0 0 1 5 98 0 1 0 0 0 0 1 23 1 5 0 0 0 0 0 1 88 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 52 18 1 4 0 0 0 0 1 0 0 0 0 1 2 0 1 0 0 0 0 9 1 1 0 0 0 0 0 2 8 0 1 4 0 3 0 0 0 1 0 0 4 0 0 0 0 0 0 0 0 8 0 0 0 0 0 0 0 0 1 0 0 0 57 0 0 0 0 0 3 2 0 3 0 0 0 4 0 1 74 5 0 0 0 0 0 0 3 0 20 3 0 0 0 0 0 0 0 108 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 1 0 0 0 0 0 14 4 1 0 23 6 0 1 41 1 0 0 
7 788 0 0 0 0 0 0 4 0 0 0 0 0 0 0 0 0 0 2 0 0 52 0 0 0 0 2 0 0 0 0 0 0 2 0 0 0 1 0 0 0 0 16 0 0 0 1 0 17 0 0 0 0 0 0 0 1 0 0 0 0 2 1 0 0 4 1 0 0 3 0 0 0 3 0 0 0 2 87 0 1 0 2 0 0 0 20 1 11 0 0 2 0 1 3 187 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 41 17 2 13 0 0 0 0 1 0 0 0 0 0 3 0 0 0 0 0 0 7 1 0 0 0 0 1 0 1 5 0 0 0 0 4 0 0 1 0 0 0 3 1 0 0 0 0 0 0 0 9 0 0 0 0 0 0 0 0 1 0 0 0 9 0 0 0 0 0 1 2 0 0 0 0 0 1 0 0 44 1 0 0 0 0 1 0 5 0 17 7 0 0 0 0 0 0 0 74 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 14 2 0 0 20 1 0 2 40 1 2 0 
8 966 0 2 0 0 0 0 4 0 0 0 0 0 0 0 0 0 0 3 0 0 93 0 0 0 0 1 0 2 1 0 0 0 0 0 0 0 0 0 1 0 0 15 0 0 0 0 0 14 0 0 0 0 0 2 0 0 0 0 0 0 0 6 0 0 1 2 0 0 3 0 0 0 1 0 0 0 1 103 0 1 0 1 0 0 0 33 1 8 0 0 0 0 3 2 244 0 0 0 0 0 3 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 52 6 1 28 0 0 0 0 3 0 0 0 0 0 7 1 0 0 0 0 0 9 1 1 0 0 0 0 1 2 0 2 0 2 0 2 0 0 0 1 0 0 1 2 0 0 0 0 0 0 0 8 0 0 0 0 1 0 0 0 2 1 0 2 0 0 0 0 0 0 5 3 0 0 0 0 0 3 0 0 44 0 0 0 0 0 0 0 2 1 29 4 0 0 0 0 0 0 0 89 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 18 7 0 0 20 2 0 1 46 1 0 0 
9 1033 1 4 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 104 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 10 0 0 0 0 0 13 1 0 0 0 0 3 0 0 0 0 0 0 0 1 0 0 3 3 0 0 4 0 0 0 0 0 0 0 5 97 0 5 0 1 0 1 1 20 0 21 0 0 0 0 0 0 268 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 58 1 3 17 0 0 0 0 3 0 0 0 0 0 9 0 1 0 0 0 0 8 2 1 0 0 0 0 1 3 0 4 0 4 0 2 0 0 0 0 1 0 0 4 0 0 0 0 0 0 0 12 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 1 1 0 0 0 0 2 7 0 0 46 1 0 0 1 0 0 0 2 0 32 11 0 0 0 0 0 0 0 103 0 0 0 0 1 0 0 3 0 0 0 0 0 0 0 0 0 1 0 0 0 18 7 0 0 21 3 0 1 60 1 0 0 
