hr total blank BD BF BG BA BB BE BL BM BN BO BH BI BJ BT JM BV BW WS BQ BR BS JE BY BZ RU RW RS LT RE TM TJ RO TK GW GU GT GS GR GQ GP JP GY GG GF GE GD GB GA GN GM GL GI GH OM TN JO WF HR HT HU HK HN HM VE PR PS PW PT KN AF IQ PA PF PG PE PK PH PN PL PM ZM EH EE EG ZA EC IT VN SB ET SO ZW SA ES ER ME MD MG MF MA MC UZ MM ML MO MN MH MK MU MT MW MV MQ MP MS MR IM UG MY MX IL FR AW SH AX SJ FI FJ FK FM FO NI NL NO NA VU NC NE NF NG NZ NP NR NU CK XK CI CH CO CN CM CL CC CA CG CF CD CZ CY CX CR PY CW CV CU SZ SY SX KG KE SS SR KI KH SV KM ST SK KR SI KP KW SN SM SL SC KZ KY SG SE SD DO DM DJ DK DE YE DZ US UY YT UM LB LC LA TV TW TT TR LK LI LV TO TL LU LR LS TH TF TG TD TC LY VA VC AE AD AG VG AI VI IS IR AM AL AO AN AQ AS AR AU AT IO IN TZ AZ IE ID UA QA MZ 
0 1682 0 1 0 2 0 0 2 0 1 0 0 0 0 0 0 0 0 0 0 0 232 0 0 0 0 132 0 2 1 0 0 0 1 1 0 0 0 0 2 0 0 16 0 0 0 1 0 9 0 0 0 0 0 1 0 1 1 0 0 0 0 7 0 0 17 1 0 0 2 0 0 0 0 0 0 2 0 21 0 3 0 0 0 0 8 17 3 2 6 0 0 0 0 1 22 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 1 0 0 0 0 0 0 8 27 3 9 0 0 0 0 339 0 0 0 0 1 10 30 0 0 0 0 0 2 3 0 0 0 0 0 0 3 11 94 0 57 0 24 0 0 2 0 0 0 4 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 3 0 0 0 30 0 0 0 0 0 5 50 0 2 0 0 1 18 0 1 239 3 0 0 0 0 2 0 6 0 12 3 0 0 0 0 0 0 0 9 0 0 0 0 0 0 0 4 0 0 0 0 0 0 3 1 1 1 0 0 0 27 5 0 0 42 0 0 0 26 10 0 0 
1 1373 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 162 0 0 0 0 98 0 1 0 0 0 0 2 0 0 0 1 0 0 0 0 21 0 0 0 0 0 8 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 2 0 0 0 1 0 0 0 1 0 0 3 1 27 0 1 0 0 0 1 11 7 0 7 6 0 0 0 0 1 7 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 1 0 0 0 0 0 0 0 0 6 21 0 4 0 0 0 0 276 0 0 0 0 1 19 38 0 0 0 0 0 2 4 0 0 0 0 1 0 2 7 98 0 30 0 18 0 0 0 0 0 0 1 3 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 6 0 0 0 15 0 0 0 1 0 4 43 0 2 0 0 0 17 0 0 221 6 0 0 1 0 3 0 2 0 2 2 0 0 0 0 0 0 0 6 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 30 3 0 0 44 0 0 0 19 5 0 0 
2 1579 0 1 0 2 1 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 194 1 0 0 0 102 0 0 0 0 0 0 0 2 0 0 1 0 1 0 2 26 0 0 0 1 0 4 0 0 0 0 0 0 0 0 0 0 0 0 1 5 1 0 10 0 0 0 0 0 0 0 3 0 0 2 2 25 0 1 0 0 0 0 5 8 1 3 7 0 0 0 0 1 5 0 0 1 0 0 0 0 0 1 0 0 4 0 1 0 0 0 1 0 0 0 0 0 0 8 27 3 6 0 0 0 0 324 0 0 0 0 1 13 34 0 0 0 0 0 2 0 1 0 0 0 0 0 5 6 118 0 39 0 15 0 0 0 1 0 0 3 1 1 0 0 0 0 0 0 4 0 0 0 0 0 0 0 0 4 0 0 0 3 0 0 0 1 0 1 65 0 3 0 0 1 21 0 0 238 2 0 0 1 0 2 0 9 0 10 6 0 0 0 0 0 0 0 9 0 0 0 0 0 0 0 1 0 0 0 0 0 0 2 0 0 0 0 0 0 28 9 1 0 52 0 1 1 26 10 0 0 
3 1745 0 1 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 112 0 0 0 0 114 0 0 0 0 0 0 1 1 0 0 1 0 1 0 1 20 0 0 0 1 0 4 0 0 0 0 0 0 1 0 0 0 0 0 0 2 1 0 10 2 0 0 1 0 0 0 8 0 0 3 2 25 0 3 0 0 0 0 4 10 4 3 7 0 0 0 1 5 7 0 0 1 0 0 0 0 1 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 14 29 1 3 0 0 0 0 521 0 0 0 0 1 22 32 0 0 0 0 0 2 4 0 0 0 0 0 0 5 14 103 0 39 0 24 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 5 0 0 0 0 1 0 0 0 14 0 0 0 1 0 0 0 0 0 1 63 0 8 0 0 0 13 0 1 239 4 0 0 6 0 2 0 24 0 11 8 0 3 0 0 0 0 0 13 0 0 0 0 0 0 0 1 0 0 0 0 0 0 2 0 0 0 0 0 0 23 10 0 0 46 2 1 0 29 5 1 0 
4 2247 0 1 0 4 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 104 0 0 0 0 137 0 0 0 0 0 0 2 2 0 0 1 0 2 0 0 17 0 0 0 0 0 5 0 0 0 0 0 0 2 0 0 0 0 0 0 7 1 0 1 1 0 0 0 0 0 0 1 0 0 1 3 52 0 4 0 1 0 1 5 19 4 10 10 0 0 1 1 0 8 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 3 1 2 0 0 0 0 0 0 24 23 1 4 0 0 0 0 938 0 0 0 0 0 18 37 0 0 0 0 0 2 4 1 0 0 0 0 0 0 2 103 0 47 0 22 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 8 0 0 0 1 0 0 0 0 15 0 0 1 4 0 0 0 0 0 1 54 2 2 0 0 1 40 0 0 217 0 0 0 6 0 2 0 11 0 12 6 0 1 0 0 0 0 0 9 0 0 0 0 0 0 0 7 0 0 0 0 0 0 5 0 0 0 0 0 0 25 6 1 0 61 4 1 0 44 9 2 1 
5 2377 0 3 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 1 0 0 69 0 0 0 0 110 1 0 0 0 0 0 4 2 0 1 0 0 5 0 0 29 0 0 0 1 0 9 0 0 0 0 0 0 0 0 0 0 0 0 2 4 0 0 4 0 0 0 0 0 0 2 0 0 0 2 7 39 0 6 0 0 0 1 8 36 1 10 13 0 0 1 1 3 9 0 0 1 1 0 2 0 0 0 0 0 0 0 0 0 19 1 0 0 0 0 0 0 0 21 18 1 11 0 0 1 0 1191 0 0 0 0 0 15 34 0 0 0 0 0 7 2 2 0 0 0 0 0 2 1 103 0 42 0 18 0 0 0 1 0 0 3 1 0 0 0 0 0 0 0 4 0 1 0 0 0 0 0 0 3 1 0 2 18 0 0 0 0 0 3 71 0 3 0 0 0 20 0 0 160 0 0 0 6 0 1 0 5 0 10 8 0 2 0 0 1 0 0 13 0 0 0 0 0 0 0 4 0 0 0 0 0 0 2 0 0 0 0 0 0 21 3 7 0 61 1 1 0 25 9 2 0 
6 3112 0 0 0 1 0 0 2 0 0 1 0 0 0 0 0 2 0 2 0 0 62 0 0 2 0 128 0 0 1 1 0 0 2 4 0 0 0 0 1 0 0 29 0 0 0 2 0 7 0 0 0 0 0 0 0 0 1 0 0 0 0 7 1 0 3 0 0 0 2 0 0 0 0 0 0 0 5 34 0 2 0 0 0 2 5 50 0 15 16 0 0 1 1 7 23 0 0 0 0 0 0 1 1 0 0 0 2 0 1 0 10 0 1 0 0 0 0 0 0 13 12 1 13 0 0 0 0 1714 0 0 0 0 1 48 43 0 0 0 0 0 13 0 1 0 0 0 0 1 4 1 168 0 28 0 15 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 12 0 0 0 0 0 0 0 0 9 3 0 3 19 0 0 0 0 0 4 58 0 3 0 0 7 26 0 1 148 2 0 0 3 0 1 0 17 0 69 3 0 2 0 0 0 0 1 17 0 0 0 0 0 0 0 7 0 0 0 0 0 1 3 0 0 2 0 0 0 17 13 1 0 59 9 3 0 29 12 1 0 
7 3331 0 3 0 1 0 0 5 0 0 0 0 0 0 0 0 0 0 2 0 0 53 0 0 0 0 137 0 2 1 0 0 0 6 4 0 1 0 0 4 0 0 25 0 0 0 0 0 8 0 0 0 0 0 0 0 0 0 0 1 0 3 2 0 0 0 0 0 0 0 0 0 0 1 0 0 1 7 38 0 5 0 0 0 7 8 45 0 11 11 0 0 0 3 2 34 0 1 0 0 0 0 0 0 1 0 0 1 0 1 0 16 0 2 0 0 0 0 0 0 24 8 1 18 0 0 2 0 1852 0 0 0 0 0 26 42 1 0 0 0 0 8 3 0 0 0 0 0 0 2 4 137 1 36 0 6 0 0 0 5 2 0 1 0 0 0 0 0 0 0 0 11 0 0 0 0 0 0 0 0 9 5 0 3 2 0 0 0 2 0 6 68 3 5 0 0 4 26 0 0 317 0 0 0 3 0 0 0 2 0 25 9 0 2 0 0 0 0 0 12 0 0 0 0 0 0 0 2 0 0 0 0 0 0 1 0 0 0 0 1 0 11 5 3 0 80 2 4 3 35 11 0 0 
8 3332 0 3 0 0 0 0 7 0 0 1 0 0 0 0 0 0 0 1 0 0 91 0 0 0 0 159 0 3 0 0 0 0 8 4 0 0 0 0 11 0 0 39 0 0 0 0 0 23 0 0 0 0 0 1 1 0 0 0 3 0 2 6 0 0 1 0 0 0 1 0 0 0 0 0 0 2 6 49 0 3 0 0 0 1 7 49 2 18 3 0 0 1 2 4 47 0 0 1 0 0 0 0 0 0 0 0 2 0 0 0 18 0 1 0 0 0 0 0 0 22 7 1 38 0 0 1 0 1765 0 0 0 0 0 25 51 0 0 0 0 0 9 1 1 0 0 0 0 2 5 1 164 0 40 0 11 0 0 0 8 6 0 0 0 0 0 0 0 0 0 0 12 0 0 0 0 0 0 0 0 11 0 5 1 4 0 0 0 1 0 2 82 0 2 0 0 5 34 0 0 125 0 0 0 3 0 3 0 11 0 24 13 0 2 2 0 3 0 0 18 0 0 0 0 0 0 0 6 0 0 0 0 0 2 1 0 0 1 0 1 0 13 11 2 0 87 10 6 5 39 10 1 1 
9 3097 0 2 0 2 0 0 6 0 0 0 0 0 0 1 0 0 0 1 0 0 66 0 0 1 0 169 1 0 2 0 1 0 2 2 0 1 0 0 6 0 0 27 0 0 0 1 0 20 0 0 0 0 0 2 0 1 1 0 1 0 0 2 0 0 0 0 0 0 1 0 0 0 1 0 0 0 7 43 0 9 0 0 0 4 14 50 1 22 10 0 0 1 3 1 46 0 0 0 0 0 1 0 0 0 0 1 1 0 0 0 18 0 2 0 0 0 0 0 0 16 5 0 21 0 0 1 0 1675 0 0 0 0 0 23 35 0 0 0 0 0 9 2 0 0 0 0 5 1 2 3 138 0 24 0 12 2 0 0 4 8 0 0 0 0 0 0 0 0 0 0 8 0 0 0 0 0 0 0 0 6 1 0 1 0 0 0 0 5 0 3 82 0 4 0 0 8 23 0 1 124 0 0 0 1 0 2 0 12 1 37 16 0 1 0 0 0 0 1 12 0 0 0 0 0 0 0 2 0 0 0 0 0 0 4 0 0 0 0 2 0 17 13 1 0 67 8 1 6 36 13 0 0 
