hr total blank BD BF BG BA BB BE BL BM BN BO BH BI BJ BT JM BV BW WS BQ BR BS JE BY BZ RU RW RS LT RE TM TJ RO TK GW GU GT GS GR GQ GP JP GY GG GF GE GD GB GA GN GM GL GI GH OM TN JO WF HR HT HU HK HN HM VE PR PS PW PT KN AF IQ PA PF PG PE PK PH PN PL PM ZM EH EE EG ZA EC IT VN SB ET SO ZW SA ES ER ME MD MG MF MA MC UZ MM ML MO MN MH MK MU MT MW MV MQ MP MS MR IM UG MY MX IL FR AW SH AX SJ FI FJ FK FM FO NI NL NO NA VU NC NE NF NG NZ NP NR NU CK XK CI CH CO CN CM CL CC CA CG CF CD CZ CY CX CR PY CW CV CU SZ SY SX KG KE SS SR KI KH SV KM ST SK KR SI KP KW SN SM SL SC KZ KY SG SE SD DO DM DJ DK DE YE DZ US UY YT UM LB LC LA TV TW TT TR LK LI LV TO TL LU LR LS TH TF TG TD TC LY VA VC AE AD AG VG AI VI IS IR AM AL AO AN AQ AS AR AU AT IO IN TZ AZ IE ID UA QA MZ 
0 18701 3 1 2 0 1 0 252 0 0 1 1 0 3 12 0 8 0 0 0 0 1065 1 0 0 0 15 1 2 0 8 0 0 1 0 0 0 7 0 5 0 237 52 1 0 54 0 0 269 11 12 0 0 0 6 0 43 0 0 1 31 1 1 0 0 34 0 0 0 53 1 0 0 3 15 0 31 4 104 0 3 0 1 0 0 8 8 6 46 0 0 0 0 0 1 136 0 0 0 1 0 86 3 0 0 5 0 3 0 0 0 1 0 0 289 0 0 4 0 1 29 133 9 10607 1 0 0 0 1 0 0 0 0 0 19 9 0 0 2 4 0 8 8 0 0 0 0 1 248 125 61 17 104 50 0 1470 11 0 65 9 1 0 17 14 0 6 1 0 1 0 0 0 0 0 0 4 3 0 0 0 26 1 0 2 179 0 0 0 1 1 7 7 0 38 0 0 1 51 1 43 1627 20 2 0 0 1 0 0 9 1 16 0 0 0 1 0 2 0 0 19 0 2 1 1 0 0 0 4 4 0 0 0 0 3 0 1 0 1 0 4 0 256 56 6 0 16 49 0 12 61 2 3 1 
1 13132 1 5 1 0 0 4 171 0 1 0 2 1 0 4 0 6 0 0 1 0 946 1 0 1 0 9 2 0 1 6 0 0 2 0 0 1 10 0 2 0 213 64 1 0 25 0 1 122 0 8 0 0 0 6 0 32 0 0 0 31 2 9 0 0 31 1 0 0 40 0 0 0 8 7 0 10 6 144 0 2 0 0 0 0 5 5 14 28 8 0 0 0 0 4 87 0 0 0 2 0 37 1 0 3 12 0 0 0 0 0 0 0 0 305 0 0 4 0 1 44 149 1 6234 2 0 0 0 0 0 0 0 0 5 22 5 0 0 5 5 0 9 2 2 0 0 0 0 109 63 74 28 55 49 0 1297 6 0 38 13 0 0 18 10 0 0 1 0 0 0 0 0 0 0 0 3 4 0 0 0 8 0 0 1 133 0 0 0 3 0 8 3 3 21 0 0 2 29 0 30 1554 16 0 0 2 1 0 0 14 2 39 3 0 1 0 0 6 0 0 24 0 2 1 0 0 0 0 4 0 1 0 0 0 9 0 0 0 0 0 5 0 210 30 0 0 16 38 0 19 34 1 0 0 
2 9930 0 1 1 1 0 1 118 0 0 0 3 0 0 0 0 4 0 0 0 0 850 2 0 0 0 8 0 0 0 39 0 0 0 0 0 0 5 0 3 0 226 54 0 0 33 0 0 72 2 13 0 1 0 2 1 22 0 0 0 34 0 3 1 0 35 0 0 0 23 0 0 1 9 6 1 16 2 135 0 1 0 1 0 0 0 8 13 10 12 0 1 0 0 0 52 0 0 0 2 0 20 1 0 0 5 0 1 0 0 3 1 0 2 291 0 0 0 0 0 34 152 0 3463 1 0 0 0 2 0 0 0 0 6 8 5 0 0 4 1 0 3 7 4 0 0 0 0 56 33 73 11 29 49 0 1142 6 0 11 6 0 0 20 14 0 0 0 0 0 0 0 2 0 2 0 8 8 0 0 0 23 1 0 2 105 0 0 0 1 0 7 3 2 15 0 0 3 74 0 22 1593 26 0 0 1 1 0 0 6 2 58 2 0 0 0 0 0 0 0 25 0 1 2 0 2 0 0 10 2 1 0 0 0 4 1 0 0 1 0 5 0 228 67 1 0 38 52 2 9 47 0 2 2 
3 8596 1 2 0 0 0 0 56 0 0 1 2 1 0 1 0 4 0 0 0 0 615 0 0 0 0 18 0 1 0 85 0 0 3 0 0 1 5 0 2 0 156 83 0 0 23 0 0 40 1 11 0 2 0 2 1 6 1 0 0 41 0 5 4 0 20 0 0 0 17 0 1 1 10 6 0 25 7 175 0 4 0 1 0 0 2 13 9 19 9 0 0 0 0 9 44 0 0 0 14 0 7 3 1 1 2 0 0 0 0 2 2 0 1 271 0 0 1 0 0 68 177 1 2894 1 0 0 0 2 0 0 0 0 5 15 2 2 0 5 4 0 8 9 2 0 0 0 0 78 46 60 28 36 32 0 748 4 0 29 1 0 0 12 4 0 0 0 0 0 1 0 8 0 1 0 2 2 0 0 0 22 0 0 2 67 0 0 1 0 0 9 2 0 18 0 0 0 43 0 6 1580 29 1 0 3 0 0 0 9 1 36 4 0 2 0 0 2 0 0 31 0 3 0 1 0 0 0 24 0 0 0 0 0 5 0 0 0 1 0 6 0 199 60 2 0 47 46 0 3 39 0 1 1 
4 9494 1 1 4 1 0 0 100 0 0 1 2 4 0 9 0 5 0 2 0 0 415 0 0 0 0 11 5 2 0 70 0 0 1 0 0 0 9 0 8 0 86 79 0 0 29 0 0 45 6 5 0 1 0 3 1 9 1 0 3 14 0 9 2 0 25 0 0 0 9 0 0 0 3 14 0 28 8 184 0 3 0 1 0 1 5 30 11 41 22 0 2 0 1 12 60 0 0 0 14 0 5 3 0 3 3 0 1 0 0 11 0 0 2 142 0 0 1 0 2 67 184 6 4306 0 0 0 0 4 0 0 0 0 1 10 10 1 0 6 0 0 11 6 2 0 0 0 0 26 75 56 21 52 23 0 527 6 0 25 5 0 0 15 5 0 0 0 0 1 0 1 6 0 0 0 3 2 0 0 2 33 3 0 7 58 0 0 0 3 0 10 5 2 6 0 1 0 61 0 17 1453 19 3 0 3 0 1 0 11 1 21 5 0 0 0 0 9 0 0 44 0 1 0 0 0 0 0 12 0 0 0 0 0 1 2 1 0 0 0 4 0 151 68 4 0 99 51 2 4 74 1 3 4 
5 13006 0 3 0 1 6 1 241 0 0 1 1 3 2 14 0 2 0 2 0 0 234 0 0 0 0 16 6 0 3 82 0 0 0 0 0 0 10 0 22 0 28 68 0 0 8 0 0 55 2 9 0 0 0 2 1 10 4 0 2 9 2 13 3 0 8 1 0 0 25 0 0 1 0 15 1 10 7 205 0 7 0 1 0 1 13 33 5 71 20 0 0 1 0 8 140 0 0 0 38 0 20 3 0 2 0 0 0 0 0 6 2 1 8 69 0 0 0 0 0 56 89 12 8453 1 0 0 0 5 0 0 0 0 2 24 8 1 0 4 3 0 15 13 0 0 0 0 0 47 153 35 34 88 16 0 285 15 1 36 6 5 0 14 2 0 0 0 0 0 0 0 16 0 0 0 2 0 6 0 1 41 12 0 5 12 0 0 2 2 0 6 2 2 8 0 0 2 78 0 51 1029 9 0 0 12 0 0 0 3 1 30 4 0 5 0 0 8 0 0 48 0 7 0 0 0 0 0 26 0 0 0 0 0 0 1 2 0 0 0 3 1 73 63 5 0 97 69 0 6 70 1 1 0 
6 20385 0 2 4 3 2 0 445 1 0 2 0 2 22 31 0 1 0 1 0 0 154 0 0 0 0 26 7 5 5 81 0 0 4 0 0 0 4 0 26 0 40 80 0 0 8 2 0 182 10 16 0 0 0 8 1 20 4 0 4 8 1 8 4 0 7 0 0 0 88 0 0 9 1 17 1 8 20 170 0 16 0 2 0 0 13 64 3 140 10 0 2 0 1 12 232 0 0 0 50 0 100 14 0 0 4 0 2 0 0 24 2 0 1 50 0 0 0 0 1 68 63 16 14824 0 0 0 0 12 0 0 0 0 0 43 8 4 0 2 13 0 24 12 2 0 0 0 0 128 234 33 34 200 7 0 193 23 5 51 11 5 0 10 0 0 0 1 0 0 0 0 23 0 0 0 5 0 4 0 0 30 14 1 17 21 0 0 2 5 0 13 17 2 0 0 0 7 152 0 46 842 9 3 0 11 0 0 0 12 0 51 3 0 7 1 0 34 0 0 49 0 9 0 0 1 0 0 62 6 1 0 0 0 2 1 1 1 1 0 8 0 59 66 11 0 104 51 0 11 68 1 0 3 
7 29529 1 3 5 2 6 0 571 0 0 2 2 1 34 25 0 2 0 2 0 0 143 0 0 1 0 29 5 4 5 107 0 1 2 0 0 1 3 0 37 0 23 109 0 0 6 1 0 292 15 16 0 0 0 9 3 29 3 0 4 1 4 9 0 0 4 0 0 0 98 0 0 2 0 17 0 8 12 174 0 13 0 5 0 4 26 100 2 213 21 0 0 0 3 11 336 0 3 0 33 0 127 24 0 1 20 1 2 0 0 12 7 2 2 46 0 0 2 0 0 88 31 12 23056 0 0 0 0 13 0 0 0 0 0 144 12 2 0 6 14 0 29 16 2 0 0 1 1 281 270 26 29 317 6 0 184 21 2 51 14 0 0 10 3 0 1 0 0 0 0 1 24 0 0 0 7 1 4 0 2 24 15 2 11 51 0 0 1 2 0 12 18 5 0 0 1 5 184 0 64 660 5 2 0 19 0 1 0 16 0 45 5 1 7 0 0 34 0 0 47 0 14 1 0 2 0 0 68 0 0 0 0 0 4 2 6 0 0 0 3 0 48 77 23 0 105 59 0 25 80 1 13 0 
8 39565 4 3 12 2 6 0 834 1 0 0 1 6 26 19 0 1 0 2 0 0 215 0 0 0 1 23 9 5 1 105 0 0 9 0 0 0 2 0 34 0 19 110 0 0 9 0 0 538 10 30 0 1 0 19 1 57 1 0 3 6 3 7 2 0 5 0 0 0 126 0 1 0 0 21 0 5 25 194 0 33 1 2 0 0 35 84 1 221 29 0 3 1 4 9 434 0 3 0 26 0 193 22 0 4 15 0 4 0 2 11 4 1 2 42 1 0 0 1 1 118 23 29 31713 0 0 0 0 9 0 0 0 0 0 97 10 1 0 6 12 0 40 22 0 0 0 0 1 297 387 23 45 382 5 0 228 49 2 89 13 5 0 0 1 0 0 4 0 2 0 0 25 0 0 0 8 0 6 0 10 33 19 0 14 83 0 0 1 3 0 15 27 2 2 0 3 8 173 0 148 613 2 10 0 28 0 1 0 7 0 50 11 0 3 0 0 75 1 0 45 0 31 3 0 0 0 0 59 6 0 0 0 0 3 3 7 0 2 0 5 0 34 116 24 0 105 80 0 39 82 9 9 1 
9 45981 2 2 9 1 12 0 870 0 0 1 0 1 27 39 0 0 0 2 0 0 210 0 0 1 0 29 14 2 3 100 1 0 17 0 0 1 1 0 42 0 28 143 0 2 13 1 1 671 26 34 0 0 0 18 2 86 3 0 9 4 10 19 0 0 2 0 0 0 130 0 0 2 0 13 1 3 18 225 0 37 2 2 0 3 15 89 1 252 34 0 5 0 3 15 460 0 2 0 20 0 250 30 0 7 30 0 0 0 1 13 5 0 5 23 0 0 2 0 0 77 9 15 37398 0 0 0 0 14 0 0 0 0 0 121 16 1 0 6 33 0 44 15 5 0 0 0 5 293 442 33 41 375 5 0 270 65 3 86 21 5 0 0 2 0 11 2 0 2 0 0 28 0 0 0 9 0 3 0 10 35 19 0 14 106 0 0 4 2 0 21 19 2 1 0 0 16 228 0 139 633 4 3 0 20 0 1 0 21 0 66 11 0 2 1 0 80 0 0 88 0 22 1 0 1 2 0 34 16 0 1 0 0 14 1 4 2 2 0 8 0 36 93 18 0 107 77 1 47 107 3 8 0 
