hr total blank BD BF BG BA BB BE BL BM BN BO BH BI BJ BT JM BV BW WS BQ BR BS JE BY BZ RU RW RS LT RE TM TJ RO TK GW GU GT GS GR GQ GP JP GY GG GF GE GD GB GA GN GM GL GI GH OM TN JO WF HR HT HU HK HN HM VE PR PS PW PT KN AF IQ PA PF PG PE PK PH PN PL PM ZM EH EE EG ZA EC IT VN SB ET SO ZW SA ES ER ME MD MG MF MA MC UZ MM ML MO MN MH MK MU MT MW MV MQ MP MS MR IM UG MY MX IL FR AW SH AX SJ FI FJ FK FM FO NI NL NO NA VU NC NE NF NG NZ NP NR NU CK XK CI CH CO CN CM CL CC CA CG CF CD CZ CY CX CR PY CW CV CU SZ SY SX KG KE SS SR KI KH SV KM ST SK KR SI KP KW SN SM SL SC KZ KY SG SE SD DO DM DJ DK DE YE DZ US UY YT UM LB LC LA TV TW TT TR LK LI LV TO TL LU LR LS TH TF TG TD TC LY VA VC AE AD AG VG AI VI IS IR AM AL AO AN AQ AS AR AU AT IO IN TZ AZ IE ID UA QA MZ 
0 4198 0 0 0 0 0 5 0 0 0 0 0 1 0 0 0 7 0 0 0 0 636 6 0 0 0 7 0 1 1 0 0 2 1 0 0 2 1 0 0 0 7 16 0 0 0 0 1 45 0 0 0 0 0 6 0 2 0 0 0 263 0 2 2 0 22 1 0 0 22 0 1 0 2 1 0 8 5 120 0 0 0 0 0 0 25 32 6 6 0 0 0 0 0 0 22 0 1 0 0 1 0 0 0 0 0 0 1 0 2 0 0 1 0 13 0 0 1 0 0 37 65 0 93 0 0 0 0 1 0 0 0 0 0 3 1 0 0 0 0 0 15 4 0 0 0 0 4 4 3 16 9 1 19 0 84 0 0 0 0 0 0 20 7 3 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 5 0 0 1 70 0 0 0 2 0 1 2 2 15 0 0 1 6 0 1 2055 14 0 0 8 4 0 0 2 7 14 5 0 0 0 0 0 0 0 14 0 0 1 1 1 0 2 5 0 1 1 0 0 0 1 0 0 0 0 2 0 73 17 2 0 12 4 0 6 32 1 2 0 
1 4046 0 0 0 0 0 4 4 0 0 0 1 0 0 0 0 7 0 2 0 0 510 8 0 0 1 10 0 0 0 0 0 0 1 0 0 0 2 0 0 0 7 19 0 0 2 0 0 27 0 0 0 0 0 8 0 0 0 0 0 315 0 1 1 0 20 0 0 0 12 0 0 0 2 0 0 6 0 163 0 2 0 0 0 0 10 13 8 6 0 0 0 0 0 5 11 0 0 0 0 0 1 0 0 1 1 0 0 0 0 0 0 1 1 16 0 0 1 0 0 41 79 1 60 2 0 0 0 2 0 0 0 0 1 0 0 1 0 0 0 0 9 1 0 0 0 0 1 1 1 26 4 0 17 0 86 0 0 3 0 0 0 17 5 0 0 0 0 0 0 0 2 0 0 0 1 2 0 0 0 2 0 0 4 61 0 0 0 0 1 5 2 2 10 0 0 1 12 0 1 2003 19 0 0 1 7 0 0 2 5 12 8 0 0 0 0 0 0 0 14 0 0 0 1 2 0 2 3 0 5 0 0 0 0 0 0 0 2 0 5 0 85 21 0 0 24 1 0 4 50 0 0 1 
2 4422 1 2 0 0 0 5 1 0 0 1 1 0 0 0 0 13 0 2 0 0 503 6 0 1 0 7 0 0 0 0 0 2 0 1 0 1 3 0 1 0 8 26 1 0 2 0 0 17 1 1 0 1 0 2 0 0 0 0 0 254 0 1 1 0 22 0 0 0 7 0 0 0 2 0 1 6 6 195 0 0 0 0 0 0 6 16 6 5 2 0 1 0 0 2 15 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 8 1 0 0 0 1 78 83 0 23 0 0 0 0 0 0 0 0 0 2 1 0 1 0 0 0 0 14 3 2 0 0 0 1 4 0 22 4 1 20 0 88 0 0 0 1 0 0 15 7 0 0 0 0 0 0 0 12 0 0 0 1 0 0 0 0 2 0 1 0 38 0 0 0 2 0 1 1 0 17 0 0 0 1 0 0 2381 21 0 0 0 2 0 0 1 7 11 8 0 0 0 0 0 0 0 7 0 0 1 2 0 0 0 7 0 5 0 0 0 1 1 0 0 0 0 2 0 115 16 0 0 51 3 0 3 49 0 2 0 
3 4322 1 2 0 0 0 3 0 0 0 1 0 2 0 0 0 7 0 1 0 0 288 2 0 0 1 6 0 0 0 1 0 5 0 0 0 0 4 0 0 0 7 29 0 0 0 0 0 21 0 0 0 0 0 3 0 0 1 0 0 136 0 4 0 0 9 1 0 0 5 1 0 0 3 0 0 11 12 216 0 0 0 0 0 0 6 37 7 7 2 0 0 0 1 7 16 0 0 0 0 0 1 0 1 0 0 1 1 0 0 0 0 1 1 11 0 0 0 0 1 83 98 0 16 2 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 11 0 0 0 0 0 0 0 1 25 5 0 19 0 83 1 0 0 0 2 0 24 1 0 0 3 0 0 0 0 24 0 0 0 0 0 0 0 0 3 0 0 3 25 0 0 0 0 0 5 0 1 26 0 0 1 10 0 1 2485 18 0 0 3 0 0 0 0 8 8 29 0 0 0 0 0 0 0 15 0 0 3 2 0 0 3 4 0 9 0 0 0 0 0 0 0 0 0 7 0 72 29 0 0 72 8 0 0 60 0 0 0 
4 4075 2 3 0 0 0 3 2 0 0 0 0 2 0 0 0 11 0 4 0 0 253 5 0 0 0 11 0 2 0 0 0 0 1 0 0 0 5 0 0 0 3 33 0 0 0 0 0 16 0 0 0 0 0 4 0 0 0 0 0 71 1 4 2 0 12 0 0 0 4 0 1 0 7 0 0 12 6 243 0 2 0 1 0 0 5 98 6 10 2 0 0 0 0 9 31 0 0 0 0 0 1 0 0 1 0 0 0 0 1 1 1 0 0 6 0 0 0 0 1 97 70 3 32 1 0 0 0 2 0 0 0 0 2 2 0 0 0 1 2 0 29 8 1 0 0 0 2 0 0 14 9 1 15 0 74 0 0 1 1 2 0 27 3 0 0 0 0 1 0 0 16 0 0 0 0 0 0 0 0 11 0 0 22 10 0 0 0 2 0 6 1 1 12 0 0 1 4 0 1 2092 14 0 0 4 2 1 0 1 2 15 32 0 0 0 1 0 0 0 18 0 0 1 0 0 0 3 6 0 4 0 0 0 1 1 0 0 0 0 6 0 47 20 0 0 186 15 0 0 78 0 1 4 
5 3196 0 5 0 1 1 0 3 0 0 1 2 0 0 0 0 8 0 6 0 0 121 1 0 0 0 18 1 1 0 1 0 0 0 0 0 1 4 0 1 0 1 30 0 0 0 0 0 12 0 0 0 1 0 3 2 0 1 0 0 27 0 10 4 0 5 0 0 0 4 0 0 2 0 0 0 5 20 200 0 1 0 4 0 0 6 125 2 12 1 0 1 0 2 8 52 0 0 0 0 0 0 0 2 2 0 0 0 0 2 0 0 2 1 3 0 0 0 0 3 103 42 2 31 0 0 0 0 0 0 0 0 0 1 7 0 0 0 0 2 0 44 2 0 0 0 0 0 1 4 10 7 0 7 0 43 0 0 0 0 0 0 9 3 0 0 1 0 0 0 0 19 0 0 0 2 3 0 0 0 4 0 1 21 21 0 0 0 0 0 5 0 1 5 0 0 0 7 0 0 1576 9 0 0 5 0 0 0 3 2 29 13 0 0 0 0 0 0 0 49 0 0 4 1 0 0 0 9 0 1 0 0 0 0 1 1 0 0 0 4 0 34 23 1 0 87 5 1 0 74 0 0 2 
6 2992 1 0 1 0 0 1 4 0 0 0 0 2 0 0 0 9 0 7 0 0 55 3 0 0 0 13 0 0 0 1 2 0 1 0 0 0 1 0 2 0 0 26 1 0 0 1 1 38 0 1 0 1 0 11 7 1 2 0 0 22 0 2 0 0 3 0 0 0 3 0 1 1 0 0 0 2 17 215 0 1 0 4 0 0 12 232 1 17 5 0 1 0 2 7 48 0 0 0 1 0 3 0 1 0 0 0 0 0 0 2 0 0 2 2 1 0 0 0 2 128 34 6 66 1 0 0 0 3 0 0 0 0 2 8 0 5 0 0 1 0 93 3 1 0 0 0 3 2 2 9 3 6 4 0 35 0 1 1 1 0 0 6 0 0 0 0 2 2 0 0 31 0 0 0 2 0 0 0 0 9 2 0 12 20 0 0 0 1 0 6 4 3 0 0 0 0 13 0 4 1138 5 0 0 11 0 0 0 2 2 43 21 0 0 0 0 0 0 0 31 0 0 0 0 0 0 0 11 0 1 0 0 0 3 2 0 0 0 0 4 1 19 18 0 0 105 11 0 1 91 1 0 1 
7 2784 1 3 1 1 0 0 3 0 0 2 0 2 0 0 0 2 0 6 0 0 53 1 0 0 0 9 3 1 1 3 0 0 4 0 0 1 0 0 3 0 2 31 0 0 0 0 0 60 0 0 0 1 0 19 1 2 0 0 2 10 2 6 0 0 3 0 0 0 9 0 0 0 0 0 0 3 27 251 0 4 0 2 0 0 11 237 2 26 1 0 1 0 3 7 73 0 0 0 0 0 3 0 0 1 0 0 1 0 1 1 0 2 0 3 0 0 0 0 5 98 19 14 124 0 0 0 0 2 0 0 0 0 0 12 2 1 0 0 0 0 103 4 6 0 0 1 3 4 5 2 6 3 4 0 29 0 0 0 2 1 0 4 1 0 0 0 1 1 0 0 37 0 0 0 2 0 0 0 1 7 2 0 8 11 0 0 0 1 0 8 6 3 1 0 0 2 13 0 7 753 1 0 0 15 0 0 0 0 0 58 23 0 0 0 0 1 0 0 36 0 0 2 0 1 0 0 18 0 3 0 0 0 1 2 0 0 0 0 4 0 20 16 1 0 110 21 0 3 82 0 2 1 
8 2906 1 1 0 0 0 0 10 0 0 2 0 3 0 1 0 1 0 10 0 0 70 0 0 0 1 11 1 1 0 1 0 0 12 0 0 1 1 0 3 0 1 40 0 0 0 4 0 85 2 0 0 0 0 27 3 2 1 0 0 9 1 2 1 0 0 1 0 0 11 0 0 1 0 2 0 3 24 258 0 2 0 5 0 0 22 246 0 35 5 0 3 0 1 15 104 0 0 0 0 0 4 0 0 0 1 0 1 0 2 1 0 4 1 3 0 0 0 0 4 108 16 9 203 2 0 0 0 2 0 0 0 0 0 18 0 4 0 0 2 0 135 3 2 0 0 0 3 2 1 1 8 5 3 0 13 0 0 0 3 0 0 6 1 0 0 0 1 1 0 0 41 0 1 0 0 0 0 0 0 10 0 0 5 32 0 0 0 1 0 17 4 2 1 0 5 2 25 0 1 518 1 0 0 23 0 0 0 0 2 74 13 0 0 0 0 0 0 0 36 0 0 1 0 1 0 0 15 0 0 0 0 0 0 0 1 0 1 0 5 0 17 28 2 0 131 17 0 2 81 4 3 2 
9 2905 0 5 0 2 0 0 18 0 0 0 1 3 0 1 0 2 0 10 0 0 113 0 0 0 0 9 3 3 0 1 0 0 9 0 0 0 0 0 6 0 0 35 1 0 0 0 0 89 0 0 1 1 0 34 5 1 1 0 0 13 1 6 0 0 1 0 0 0 17 0 0 0 0 0 0 2 26 296 0 7 0 7 0 1 10 278 0 36 2 0 1 0 3 11 129 0 0 0 0 0 8 0 0 1 2 1 1 0 0 0 0 2 0 0 0 0 0 1 5 113 8 5 228 0 0 0 0 2 1 0 0 0 0 15 1 7 0 0 1 0 131 6 4 0 0 0 5 4 4 1 10 7 0 0 21 1 0 4 3 2 0 3 1 0 0 0 1 1 0 0 44 0 0 0 0 0 0 0 0 14 1 0 11 13 0 0 0 1 0 16 6 4 1 0 0 6 24 0 3 320 1 0 0 19 0 0 0 3 0 71 30 0 0 0 0 0 0 0 24 0 1 0 0 0 0 0 18 1 0 0 0 0 0 0 0 0 0 0 3 0 14 28 3 0 125 29 1 6 105 2 2 2 
