hr total blank BD BF BG BA BB BE BL BM BN BO BH BI BJ BT JM BV BW WS BQ BR BS JE BY BZ RU RW RS LT RE TM TJ RO TK GW GU GT GS GR GQ GP JP GY GG GF GE GD GB GA GN GM GL GI GH OM TN JO WF HR HT HU HK HN HM VE PR PS PW PT KN AF IQ PA PF PG PE PK PH PN PL PM ZM EH EE EG ZA EC IT VN SB ET SO ZW SA ES ER ME MD MG MF MA MC UZ MM ML MO MN MH MK MU MT MW MV MQ MP MS MR IM UG MY MX IL FR AW SH AX SJ FI FJ FK FM FO NI NL NO NA VU NC NE NF NG NZ NP NR NU CK XK CI CH CO CN CM CL CC CA CG CF CD CZ CY CX CR PY CW CV CU SZ SY SX KG KE SS SR KI KH SV KM ST SK KR SI KP KW SN SM SL SC KZ KY SG SE SD DO DM DJ DK DE YE DZ US UY YT UM LB LC LA TV TW TT TR LK LI LV TO TL LU LR LS TH TF TG TD TC LY VA VC AE AD AG VG AI VI IS IR AM AL AO AN AQ AS AR AU AT IO IN TZ AZ IE ID UA QA MZ 
0 592 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 194 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 3 0 0 0 0 1 0 0 0 0 0 13 0 0 0 0 0 1 0 0 0 0 0 1 28 1 0 0 8 1 0 0 6 0 0 0 0 0 0 3 0 20 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 1 37 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 7 26 2 6 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 1 11 0 0 8 0 11 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 3 0 0 0 0 0 1 0 0 1 0 0 0 2 0 0 125 6 0 0 1 0 0 0 0 2 5 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 17 4 3 0 1 1 1 0 11 0 0 0 
1 624 0 0 0 0 0 1 2 0 0 0 0 0 0 0 0 0 0 0 0 0 187 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 2 0 0 0 0 0 4 0 0 0 0 0 1 0 0 0 0 0 1 26 0 0 0 5 0 0 0 4 0 0 0 1 0 0 2 0 12 0 0 0 0 0 0 0 2 5 1 0 0 0 0 0 0 33 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 10 24 2 7 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 20 1 0 7 0 8 0 0 0 0 0 0 1 6 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 3 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 171 3 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 28 2 3 0 4 0 0 0 17 0 1 0 
2 603 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 150 0 0 0 0 4 0 0 0 0 0 0 0 0 0 0 6 0 0 0 0 10 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 28 0 1 0 10 0 0 0 2 0 0 0 0 0 0 2 0 22 0 0 0 0 0 0 1 1 7 4 0 0 0 0 0 1 29 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 11 22 1 2 1 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 14 1 0 4 0 10 0 0 0 0 0 0 3 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 1 0 0 145 8 0 0 2 0 0 0 0 2 4 1 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 41 0 4 0 4 1 0 1 24 0 0 0 
3 655 0 2 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 110 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 2 0 0 0 0 7 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 82 0 1 0 7 0 0 0 1 0 0 0 2 0 0 2 1 24 0 1 0 0 0 0 1 2 1 0 0 0 0 0 0 1 35 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 20 28 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 11 2 0 4 0 8 0 0 0 0 0 0 6 1 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 2 0 1 0 0 0 2 0 0 199 9 0 0 0 0 1 0 0 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 24 3 0 0 13 1 0 0 11 0 0 0 
4 751 0 0 0 0 0 0 40 0 0 0 0 0 0 0 0 2 0 0 0 0 68 0 0 0 0 0 1 1 0 0 0 0 1 0 0 0 13 0 0 0 0 4 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 123 0 1 0 4 0 0 0 1 0 0 0 2 0 0 7 2 39 0 2 0 0 0 0 0 6 2 0 0 0 0 0 0 0 31 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 23 20 3 1 0 0 0 0 0 0 0 0 0 1 2 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 14 1 0 3 0 10 0 0 0 0 0 0 4 1 0 0 0 0 0 0 0 2 0 0 0 0 3 0 0 0 3 1 0 2 0 0 0 0 0 0 3 7 0 0 0 0 0 1 0 0 204 1 0 0 1 0 0 0 0 1 7 0 0 0 0 0 0 0 0 3 0 0 0 0 1 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 29 4 1 0 9 0 0 1 17 1 0 0 
5 792 0 1 0 0 0 0 72 0 0 0 0 0 0 0 0 0 0 0 0 0 45 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 6 0 0 0 0 10 0 0 0 0 0 6 0 0 0 0 0 0 1 0 1 0 0 0 290 0 0 0 1 0 0 0 2 0 0 0 0 0 0 2 4 30 0 1 0 0 0 0 0 6 0 2 0 0 0 0 1 0 31 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 20 22 3 7 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 4 0 0 0 0 0 0 0 0 10 3 0 0 0 7 0 0 1 0 0 0 3 2 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 3 0 0 0 0 0 0 0 0 0 0 2 0 1 0 0 0 4 0 0 98 1 0 0 2 0 0 0 0 1 10 0 0 0 0 0 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 20 2 4 0 14 0 0 0 23 0 0 0 
6 695 0 0 0 0 0 0 15 0 0 0 0 0 0 0 0 0 0 0 0 0 13 0 0 0 0 1 0 0 0 0 0 0 3 1 0 1 10 0 3 0 0 1 0 0 0 0 0 5 0 0 0 0 0 0 0 0 0 0 3 0 252 0 0 0 0 0 0 0 2 0 0 0 1 0 0 1 4 33 0 7 0 0 0 0 2 17 1 3 0 0 1 0 0 2 45 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 25 21 1 7 0 0 0 0 0 0 0 0 0 0 12 0 0 0 0 0 0 4 1 0 0 0 0 1 0 1 6 4 1 1 0 2 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 0 0 0 0 0 0 0 0 1 5 0 0 0 0 0 1 0 0 83 1 0 0 2 0 0 0 0 1 9 3 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5 5 6 0 12 4 0 0 30 0 1 0 
7 875 0 0 0 0 0 0 53 0 0 0 0 0 0 0 0 0 0 0 0 0 12 0 0 0 0 1 0 1 0 0 0 0 1 0 0 0 4 0 3 0 0 5 0 0 0 0 0 11 0 0 0 0 0 0 0 0 1 0 1 0 343 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 1 32 0 4 0 0 0 1 2 9 0 1 0 0 0 0 0 0 67 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 20 10 2 14 0 0 0 0 1 0 0 0 0 0 2 0 0 0 0 0 0 7 1 0 0 0 0 0 0 0 4 3 0 0 0 3 0 0 0 0 0 0 0 118 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 1 5 0 0 0 0 0 10 0 0 44 1 0 0 0 0 0 0 0 0 13 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 1 0 0 0 0 0 1 1 0 0 1 0 0 0 2 3 3 0 10 2 0 0 23 0 1 1 
8 849 0 0 0 0 0 0 5 0 0 0 0 0 0 0 0 0 0 2 0 0 25 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 1 0 2 0 0 7 0 0 0 0 0 22 0 0 0 0 0 0 1 0 0 0 0 0 369 1 0 0 1 0 0 0 7 0 0 0 0 0 0 1 0 34 0 10 0 0 0 0 2 22 0 4 0 0 0 0 0 1 68 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 23 8 1 12 0 0 0 0 1 0 0 0 0 0 8 0 1 0 0 0 0 4 0 0 0 0 0 4 1 3 2 5 1 0 0 3 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 3 4 1 0 1 0 0 0 0 0 0 1 5 0 0 0 0 2 8 0 0 41 0 0 0 2 0 0 0 0 0 24 2 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 5 2 7 0 27 3 0 0 30 1 1 1 
9 977 0 0 0 0 0 0 31 0 0 1 0 0 0 0 0 0 0 0 0 0 38 0 0 0 0 2 1 0 0 0 1 0 1 0 0 0 0 0 3 0 0 5 0 0 0 0 0 21 0 0 0 0 0 3 1 1 1 0 0 0 449 1 0 0 0 0 0 0 5 0 0 0 0 0 0 1 2 40 0 3 0 0 0 0 3 19 0 2 1 0 0 0 0 1 83 0 1 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 32 5 1 15 0 0 0 0 3 0 0 0 0 0 2 0 0 0 0 0 0 7 0 1 0 0 0 3 1 2 1 5 0 0 0 1 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 4 0 0 0 1 0 0 0 4 3 0 0 2 0 0 0 0 1 0 2 7 1 0 0 0 2 15 0 0 36 0 0 0 2 0 0 0 0 0 18 1 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 9 2 4 0 20 1 0 4 26 0 0 0 
