hr total blank BD BF BG BA BB BE BL BM BN BO BH BI BJ BT JM BV BW WS BQ BR BS JE BY BZ RU RW RS LT RE TM TJ RO TK GW GU GT GS GR GQ GP JP GY GG GF GE GD GB GA GN GM GL GI GH OM TN JO WF HR HT HU HK HN HM VE PR PS PW PT KN AF IQ PA PF PG PE PK PH PN PL PM ZM EH EE EG ZA EC IT VN SB ET SO ZW SA ES ER ME MD MG MF MA MC UZ MM ML MO MN MH MK MU MT MW MV MQ MP MS MR IM UG MY MX IL FR AW SH AX SJ FI FJ FK FM FO NI NL NO NA VU NC NE NF NG NZ NP NR NU CK XK CI CH CO CN CM CL CC CA CG CF CD CZ CY CX CR PY CW CV CU SZ SY SX KG KE SS SR KI KH SV KM ST SK KR SI KP KW SN SM SL SC KZ KY SG SE SD DO DM DJ DK DE YE DZ US UY YT UM LB LC LA TV TW TT TR LK LI LV TO TL LU LR LS TH TF TG TD TC LY VA VC AE AD AG VG AI VI IS IR AM AL AO AN AQ AS AR AU AT IO IN TZ AZ IE ID UA QA MZ 
0 30976 0 6 1 0 1 1 9 0 2 24 2 1 0 0 0 16 0 1 0 0 1869 0 0 2 0 36 0 5 1 0 0 0 4 1 0 2 8 0 0 0 1 263 0 0 0 0 0 119 0 0 1 0 0 12 0 0 3 0 1 5 2 35 3 0 56 1 0 0 42 0 1 3 10 0 4 29 33 891 0 5 0 0 0 1 110 104 15 27 13 0 0 0 1 19 145 0 0 0 0 0 10 0 0 4 1 4 0 0 2 0 0 2 0 3 1 0 0 0 1 10387 187 7 140 1 0 0 0 0 1 0 0 0 6 16 4 2 0 0 1 0 85 20 4 0 0 0 4 2 14 53 27 3 68 0 108 0 0 0 0 0 0 28 39 2 0 0 0 0 0 0 21 0 0 0 0 1 0 0 0 46 0 0 33 36 0 0 0 0 1 133 7 2 20 0 0 3 50 1 0 2109 27 0 0 0 2 0 0 26 2 64 19 0 0 0 2 2 1 0 392 0 0 0 0 2 0 1 19 0 2 0 0 0 0 3 1 2 2 0 1 0 286 77 6 0 139 9 1 3 12153 0 2 0 
1 31667 0 6 0 3 0 5 4 0 0 15 2 0 0 0 0 19 0 0 0 0 1584 2 0 1 0 24 0 3 0 0 0 0 2 2 0 1 13 0 1 0 0 287 0 0 0 0 0 60 0 0 1 0 0 5 1 3 4 0 0 5 0 20 6 0 33 1 0 0 21 0 1 4 7 0 1 47 72 980 0 7 0 1 0 0 68 62 10 14 7 1 0 0 1 18 85 0 0 0 0 0 5 0 1 3 0 2 1 0 0 0 0 0 3 2 1 0 0 0 1 11329 181 5 117 1 0 0 0 0 0 0 0 0 5 7 2 0 0 0 1 0 45 14 5 0 0 0 0 2 10 74 39 1 56 0 120 1 0 1 2 0 0 16 25 2 0 2 0 1 0 0 54 0 0 0 0 2 0 0 0 76 0 0 24 33 0 0 0 0 1 126 7 0 18 0 0 1 24 2 1 1931 41 0 0 2 3 0 0 48 3 40 24 0 1 1 0 0 0 0 328 0 0 1 1 2 0 0 24 0 1 0 0 0 1 0 0 0 1 0 2 2 273 80 2 0 180 6 0 5 12598 2 6 0 
2 39737 2 4 0 0 0 0 3 0 3 16 4 4 0 0 0 12 0 1 0 0 1536 1 0 0 0 16 0 1 0 0 0 0 3 0 0 0 9 0 2 0 2 363 0 0 0 3 0 50 0 0 0 0 0 2 5 1 7 0 2 1 5 33 4 0 45 3 0 0 7 0 1 0 10 0 1 24 103 1221 0 3 0 1 0 0 49 83 9 13 16 1 0 0 2 17 50 0 0 0 1 0 0 0 3 5 0 6 2 0 0 0 1 1 6 3 0 0 0 0 0 14458 186 4 72 1 0 0 0 3 0 0 0 0 13 11 3 1 0 1 0 0 26 27 9 0 0 0 3 3 8 90 38 1 68 0 130 0 0 1 1 0 0 23 27 0 0 1 0 1 0 0 108 0 0 0 6 3 0 0 1 53 0 1 14 15 0 0 0 0 0 160 4 1 9 0 0 0 42 2 2 2566 30 0 0 1 1 0 0 55 1 28 19 0 0 1 3 0 0 0 327 0 0 0 2 5 0 0 44 0 1 0 0 0 0 0 0 0 0 0 1 0 279 105 1 0 355 16 0 2 16356 0 12 0 
3 43262 3 9 0 1 1 4 2 0 0 30 2 2 0 0 1 11 0 5 0 0 936 2 0 0 0 37 0 1 0 0 0 3 1 1 0 0 7 0 5 0 1 420 0 0 1 0 0 33 0 0 0 0 0 4 3 2 14 0 0 1 1 28 2 0 31 2 0 0 7 1 3 1 14 1 0 35 148 1426 0 3 0 2 0 0 46 112 11 13 16 1 0 2 7 42 62 0 0 1 0 0 0 0 3 6 0 7 0 0 0 0 0 2 7 1 0 0 1 0 1 16535 229 4 44 0 0 0 0 4 0 0 0 0 10 5 1 0 0 0 0 0 39 28 12 0 0 0 0 1 5 68 32 0 41 0 94 0 0 2 2 0 0 30 17 0 0 0 0 1 0 0 210 0 0 0 2 1 0 0 0 90 0 9 21 15 0 0 0 1 8 218 2 1 14 0 0 0 40 0 3 2178 42 0 0 3 0 2 0 33 3 40 31 0 0 1 1 0 0 0 414 0 0 0 4 1 2 1 76 0 1 0 0 0 1 3 0 0 0 0 4 1 274 141 2 0 595 62 1 1 17797 0 4 1 
4 48190 4 12 0 0 2 0 6 0 0 21 0 8 0 0 0 9 0 18 0 0 695 0 0 2 0 27 3 8 1 0 0 0 3 4 0 4 5 0 7 0 0 401 0 0 0 1 1 50 0 1 0 0 0 1 3 0 15 0 3 0 7 48 9 0 25 0 0 0 3 1 0 1 6 0 2 20 124 1674 0 5 0 2 0 1 85 319 10 34 37 0 1 3 7 115 71 0 0 0 0 0 0 0 5 0 1 5 2 1 0 0 4 3 6 1 1 0 0 0 6 20408 208 6 54 1 0 0 0 6 0 0 0 0 15 14 4 1 0 0 0 0 103 33 13 0 0 0 2 0 7 51 58 0 28 0 70 0 0 2 3 2 0 22 7 0 0 0 0 0 0 0 185 0 0 0 5 1 0 0 1 85 0 2 92 8 0 0 0 1 4 229 4 5 15 0 0 0 53 3 2 1917 24 0 0 4 0 4 0 50 2 84 42 0 0 1 2 0 0 0 616 0 0 0 1 2 0 0 88 0 0 0 0 0 1 5 0 0 0 0 0 0 202 87 4 0 739 148 5 0 18259 1 15 2 
5 45113 5 18 0 2 8 0 4 0 0 38 1 9 0 0 0 16 0 37 0 0 325 0 0 2 0 33 13 9 0 0 0 1 4 4 0 0 7 0 8 0 1 363 0 0 0 1 0 60 0 0 0 1 0 6 48 0 11 0 1 0 7 49 3 0 20 0 0 0 7 0 1 3 5 0 1 20 189 1582 0 9 0 5 0 0 68 501 7 45 20 0 3 2 9 124 65 0 0 0 2 0 1 0 4 9 0 0 1 0 0 0 2 2 6 1 0 0 1 0 9 19017 123 4 80 0 0 0 0 6 1 0 0 0 6 25 2 4 0 0 1 0 167 30 15 0 0 0 3 0 15 21 49 0 18 0 88 0 0 1 4 2 0 15 4 0 0 0 1 1 0 0 171 0 1 0 8 0 0 0 0 96 0 0 40 5 0 1 0 1 1 228 6 10 6 0 1 1 78 3 0 1360 11 0 0 5 0 2 0 48 4 144 44 0 1 0 1 0 0 0 831 0 0 0 0 0 0 0 69 0 0 0 0 0 0 4 0 0 0 0 1 1 94 108 2 0 748 172 1 6 17136 1 12 1 
6 49176 6 23 0 3 2 1 10 0 0 33 0 11 0 1 0 12 0 30 0 0 241 3 0 5 0 37 32 15 0 0 0 0 6 0 0 3 4 0 2 0 0 428 0 0 0 7 0 87 0 1 1 0 0 18 38 1 14 0 1 1 2 36 2 0 6 1 0 0 22 0 1 2 19 1 2 16 226 1673 0 7 0 4 0 0 108 751 1 91 17 0 1 4 16 128 110 0 1 1 8 0 3 0 6 10 1 3 3 0 0 1 0 4 12 0 0 0 0 0 9 21170 81 8 137 0 0 0 0 10 0 0 0 0 2 45 1 2 0 6 0 0 203 25 18 0 0 1 6 3 20 15 50 2 12 0 56 0 0 1 9 3 0 10 1 0 0 0 4 0 0 0 263 0 0 0 7 0 0 0 0 87 2 1 58 2 0 0 1 1 4 231 3 9 3 0 0 3 81 2 2 943 10 0 0 13 0 1 0 60 2 218 47 0 3 0 1 3 0 2 789 0 1 0 0 3 0 0 111 0 0 0 0 0 1 1 0 0 6 0 2 1 61 129 2 0 832 250 7 6 18485 8 16 2 
7 49638 3 27 0 2 1 2 9 0 0 43 0 10 1 0 0 3 0 24 0 0 197 0 0 6 0 42 32 15 0 0 0 2 9 1 0 0 1 0 4 0 0 451 0 0 0 1 0 171 0 0 1 1 0 21 11 2 20 0 4 0 9 46 2 0 4 3 0 0 29 0 0 10 5 0 4 6 254 1672 0 10 0 6 0 2 110 667 3 120 33 0 0 2 23 123 160 0 1 0 2 0 5 0 3 7 0 5 5 0 1 0 0 5 6 0 1 0 0 0 18 21430 54 6 186 1 0 0 0 9 0 0 0 0 1 58 7 12 0 0 0 0 281 41 20 0 0 0 3 2 23 13 49 5 6 0 50 0 0 0 7 1 0 9 3 0 0 0 2 0 0 2 312 0 0 0 8 1 1 0 2 89 4 0 90 10 0 0 0 2 15 239 14 15 5 0 0 6 109 2 6 718 8 0 0 18 0 6 0 54 1 274 51 0 5 0 0 0 0 1 821 0 0 1 0 1 0 0 102 0 0 0 0 0 1 8 2 2 3 0 3 0 34 145 11 0 876 262 12 15 18362 3 27 2 
8 53227 8 12 1 6 3 0 19 0 0 64 0 12 0 0 1 1 0 32 1 0 435 0 0 4 0 45 17 7 0 2 0 0 7 0 0 3 1 0 6 0 0 473 0 0 0 6 0 223 1 0 0 0 0 39 7 5 25 0 1 0 6 62 0 0 5 2 0 0 25 0 1 4 2 3 0 9 284 1844 0 16 0 17 0 1 155 774 2 132 26 0 1 5 16 136 192 0 1 0 0 0 9 0 10 5 0 4 2 0 1 3 2 9 9 0 3 0 0 0 21 23168 27 13 206 0 0 0 0 11 0 0 0 0 0 45 9 9 0 0 0 0 271 45 20 0 0 0 18 4 32 8 65 2 6 0 41 0 1 4 8 3 0 2 3 0 0 0 1 2 0 0 365 0 0 0 8 0 0 0 2 111 2 0 80 17 0 2 0 1 1 264 14 11 4 0 0 7 90 0 13 490 1 0 0 16 0 2 0 61 0 353 42 0 2 1 1 6 1 1 874 0 0 2 0 1 0 0 114 0 0 0 0 0 1 4 0 2 2 0 1 2 69 156 2 0 855 293 13 14 19386 3 21 7 
9 55992 10 26 0 5 0 1 19 0 0 45 0 5 0 2 1 0 0 29 0 0 533 0 0 4 0 49 27 19 4 1 0 3 8 2 0 4 1 0 9 0 0 475 0 0 0 6 0 290 0 1 3 5 0 33 7 3 38 0 12 0 13 44 0 0 6 1 0 0 40 0 2 2 0 0 0 7 297 2263 0 22 0 13 0 2 158 747 2 216 34 0 1 2 16 136 155 0 2 0 0 0 7 0 3 11 3 6 1 0 4 0 3 2 6 0 0 0 1 0 11 24045 13 11 305 0 0 0 0 11 0 0 0 0 1 60 17 6 0 0 0 0 306 46 17 0 0 0 16 7 23 4 53 3 8 0 42 0 1 3 5 3 0 5 4 0 1 0 0 2 0 0 345 0 0 0 4 0 0 0 0 135 4 0 82 2 0 0 2 0 0 281 15 18 3 0 0 3 112 0 3 387 5 0 0 18 0 1 0 77 0 458 53 1 2 0 0 0 0 2 879 0 0 1 0 3 1 1 119 0 0 0 0 0 1 10 0 2 2 0 5 1 45 202 10 0 852 311 12 14 20385 3 14 5 
