hr total blank BD BF BG BA BB BE BL BM BN BO BH BI BJ BT JM BV BW WS BQ BR BS JE BY BZ RU RW RS LT RE TM TJ RO TK GW GU GT GS GR GQ GP JP GY GG GF GE GD GB GA GN GM GL GI GH OM TN JO WF HR HT HU HK HN HM VE PR PS PW PT KN AF IQ PA PF PG PE PK PH PN PL PM ZM EH EE EG ZA EC IT VN SB ET SO ZW SA ES ER ME MD MG MF MA MC UZ MM ML MO MN MH MK MU MT MW MV MQ MP MS MR IM UG MY MX IL FR AW SH AX SJ FI FJ FK FM FO NI NL NO NA VU NC NE NF NG NZ NP NR NU CK XK CI CH CO CN CM CL CC CA CG CF CD CZ CY CX CR PY CW CV CU SZ SY SX KG KE SS SR KI KH SV KM ST SK KR SI KP KW SN SM SL SC KZ KY SG SE SD DO DM DJ DK DE YE DZ US UY YT UM LB LC LA TV TW TT TR LK LI LV TO TL LU LR LS TH TF TG TD TC LY VA VC AE AD AG VG AI VI IS IR AM AL AO AN AQ AS AR AU AT IO IN TZ AZ IE ID UA QA MZ 
0 70557 3 0 0 0 10 0 5 0 0 0 1 0 0 0 0 0 0 0 1 0 59 0 0 0 0 14 0 5 5 0 1 0 1 0 0 1 1 0 10 0 0 67800 0 0 0 0 0 87 0 0 0 0 0 0 0 1 0 0 0 0 7 108 0 0 1 0 0 0 1 0 0 0 6 0 0 60 1 59 0 5 0 0 0 2 2 1 0 16 46 0 1 0 0 2 24 0 0 0 0 0 1 0 0 6 1 7 4 0 0 0 2 0 0 0 1 0 0 0 0 96 22 0 41 0 0 0 0 6 0 0 0 0 2 12 0 0 0 0 0 0 1 18 0 0 0 0 0 0 0 1 177 0 2 0 111 0 0 0 3 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 13 0 0 0 3 149 0 0 1 1 0 0 0 0 0 56 2 0 0 0 0 0 35 0 0 750 2 0 0 0 0 3 0 250 0 12 2 0 0 0 0 0 0 0 102 0 0 0 0 0 0 0 4 0 0 0 0 0 3 8 0 0 0 0 1 0 10 96 9 0 12 0 0 14 58 0 1 0 
1 74637 2 0 0 0 21 0 3 0 0 0 6 0 0 0 0 1 0 0 2 0 39 0 0 0 0 20 0 7 0 0 0 0 0 0 0 4 1 0 17 0 0 71863 0 0 0 1 0 32 0 0 0 0 0 0 0 0 0 0 0 0 12 132 0 0 4 0 0 0 2 0 0 0 3 0 0 175 1 52 0 0 0 0 0 2 4 9 0 10 52 0 0 0 0 1 8 0 0 0 0 0 1 0 0 13 0 12 0 0 0 0 0 0 0 0 0 0 0 0 0 62 27 0 35 0 0 0 0 6 0 0 0 0 1 7 0 0 0 0 0 0 0 17 1 0 0 0 0 0 2 0 169 0 2 0 115 0 0 0 4 0 0 3 0 0 0 0 0 1 0 0 0 0 0 0 13 0 0 0 2 145 0 0 8 0 0 0 0 0 0 43 4 0 0 0 0 0 31 0 0 701 1 0 0 1 0 1 0 272 0 8 4 0 0 0 0 0 0 0 106 0 0 0 0 0 0 0 27 0 0 0 0 0 2 6 0 0 1 0 0 0 11 118 3 0 9 0 1 11 76 0 0 0 
2 85298 9 1 0 0 14 0 2 0 0 0 3 0 0 2 0 0 0 0 0 0 41 0 0 1 0 23 1 2 0 0 0 0 18 0 0 4 4 0 25 0 0 82179 0 0 0 0 0 17 0 0 0 0 0 0 0 0 1 0 0 0 14 148 0 0 2 0 0 0 4 0 0 0 3 0 0 143 0 52 0 1 0 0 0 4 0 3 1 8 41 0 0 0 0 1 8 0 0 0 0 0 0 0 0 18 0 13 0 0 0 0 0 0 0 0 1 0 0 0 0 90 33 2 34 0 0 0 0 2 0 0 0 0 0 11 2 0 0 2 0 0 2 27 2 0 0 0 0 0 1 3 221 0 4 0 130 0 0 0 7 0 0 1 0 0 0 0 0 3 0 0 1 0 0 0 14 0 0 0 0 162 0 3 1 0 0 0 0 1 0 70 4 0 0 0 0 2 8 0 0 807 1 0 0 0 0 3 0 331 0 7 5 0 0 0 0 0 0 0 134 0 0 0 0 0 0 0 34 0 0 0 0 0 1 15 0 2 0 0 2 0 7 136 4 0 26 0 0 2 75 0 4 0 
3 117366 4 0 0 1 20 0 7 0 0 0 4 0 0 0 0 1 0 2 0 0 58 0 0 1 0 33 1 6 0 0 0 0 18 0 0 8 6 0 32 0 0 113782 0 0 0 1 0 53 0 0 0 0 0 0 0 0 5 0 0 0 2 154 0 0 1 0 0 0 2 0 0 1 0 0 2 192 4 72 0 0 0 0 0 7 2 21 1 27 65 0 0 0 0 0 4 0 0 0 0 0 1 0 0 21 1 14 0 0 0 0 2 1 0 0 0 0 0 0 0 97 39 7 39 0 0 0 0 6 0 0 0 0 5 3 1 0 0 5 0 0 9 26 1 0 0 0 0 0 2 6 224 0 5 0 130 0 0 1 18 0 0 3 0 0 0 0 0 0 0 0 1 0 0 0 12 0 0 0 2 173 0 0 2 0 0 0 0 0 0 51 1 1 0 0 0 9 31 1 0 891 1 0 0 0 0 3 0 371 0 9 1 0 0 0 0 0 0 0 166 0 0 0 0 0 1 0 19 0 0 0 0 0 4 11 0 5 0 0 2 0 6 127 10 0 16 1 0 1 67 0 2 3 
4 103798 7 1 0 0 10 0 5 0 0 1 0 0 0 0 0 0 0 2 2 0 46 0 0 1 0 33 8 2 0 0 0 0 2 0 0 6 1 0 16 0 0 99856 0 0 0 0 0 22 0 0 0 0 0 0 0 0 4 0 4 0 2 181 0 0 0 0 0 0 8 0 0 0 2 0 1 209 4 68 0 1 0 0 0 8 6 10 0 25 68 1 0 0 0 6 8 0 0 1 0 0 4 0 0 15 0 17 1 0 0 0 0 0 0 0 0 0 0 0 1 133 49 2 34 0 0 0 0 9 0 0 0 0 0 3 0 0 0 4 0 0 15 34 0 0 0 0 0 0 6 6 320 0 4 0 188 0 0 0 9 0 0 1 1 0 0 2 0 0 0 0 3 0 0 0 38 0 0 0 0 200 0 0 1 0 0 0 0 0 0 81 2 0 0 0 0 10 30 0 0 970 0 0 0 0 0 2 0 458 0 7 3 0 0 0 0 0 0 0 178 0 0 0 0 0 0 0 8 0 0 0 0 0 3 14 2 2 0 0 2 0 11 104 5 0 16 0 0 1 84 1 4 1 
5 92334 3 1 0 0 4 0 11 0 0 0 1 1 0 0 0 0 0 1 1 0 18 0 0 2 0 21 7 4 0 1 0 0 9 0 0 4 2 0 22 0 0 88862 0 0 0 0 0 34 0 1 0 0 0 0 0 0 4 0 7 0 2 178 0 0 0 0 0 0 4 0 0 3 0 1 2 103 5 78 0 7 0 0 0 5 2 24 0 56 60 0 1 0 0 2 8 0 0 0 0 0 5 0 0 14 0 7 0 0 0 0 5 1 0 0 1 0 0 0 0 131 26 3 49 0 0 0 0 9 0 0 0 0 3 13 12 0 0 0 0 0 4 52 2 0 0 0 0 0 8 3 175 0 1 0 146 0 0 2 14 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 15 0 0 0 0 200 0 3 2 0 0 0 0 0 0 70 7 0 0 0 0 1 41 0 0 751 0 0 0 0 0 3 0 419 0 12 2 0 0 0 0 1 0 0 184 0 0 0 0 0 0 0 8 0 0 0 0 0 2 11 1 15 0 0 1 0 10 113 12 0 19 1 3 4 111 2 3 0 
6 109513 6 0 0 1 28 0 5 0 0 1 0 0 0 3 0 0 0 2 1 0 18 0 0 1 0 33 4 9 0 0 0 0 2 0 0 7 0 0 17 0 0 105723 0 0 0 1 0 60 0 3 0 0 0 0 1 0 2 0 0 0 5 198 2 0 0 0 0 0 4 0 0 0 0 0 0 19 2 86 0 5 0 0 0 21 3 16 0 49 90 0 1 0 0 4 29 0 0 0 0 0 7 0 0 13 1 22 1 0 0 0 3 0 1 0 0 0 0 0 0 126 20 4 87 0 0 0 0 16 0 0 0 0 0 12 4 0 0 5 0 0 3 37 2 0 0 0 0 0 11 2 262 0 1 0 106 0 0 0 29 0 0 0 0 0 0 1 0 0 0 0 3 0 0 0 25 0 0 0 0 204 0 1 4 0 0 1 0 2 0 80 6 0 0 0 0 8 54 0 0 790 0 0 8 0 0 5 0 447 0 24 5 0 0 0 0 3 0 0 205 0 0 0 0 0 0 0 8 0 0 0 0 0 2 8 0 0 0 0 0 0 4 146 21 0 37 1 1 8 78 8 1 1 
7 118739 17 1 0 3 21 0 9 0 0 0 0 4 0 1 0 0 0 0 3 0 9 0 0 1 0 44 4 14 0 0 0 0 3 0 0 8 0 0 4 0 0 114957 0 0 0 4 0 76 0 2 0 0 0 1 0 0 1 0 2 0 17 179 0 0 0 0 0 0 12 0 0 0 0 1 2 5 4 87 0 4 0 1 0 27 23 28 0 86 71 0 1 0 0 3 38 0 1 0 0 0 3 0 0 8 0 33 0 0 0 1 1 0 1 0 0 0 0 0 0 126 8 2 87 0 0 0 0 16 0 0 0 0 1 23 23 0 0 6 0 0 6 44 1 0 0 0 0 0 6 0 306 0 0 0 96 0 0 0 20 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 14 0 0 0 1 235 0 3 2 0 0 0 0 0 0 53 3 0 0 0 0 7 75 0 0 615 0 0 0 0 0 6 0 460 0 16 13 0 0 0 0 2 0 0 202 0 0 0 0 0 1 0 10 0 0 0 0 0 1 9 0 4 0 0 0 0 2 177 40 0 18 2 2 13 72 2 1 1 
8 151790 17 0 0 0 57 0 4 0 0 0 0 3 0 0 0 1 0 0 1 0 13 0 0 0 0 58 7 15 0 0 1 0 4 0 0 5 0 0 31 0 0 147622 0 0 0 0 0 91 0 0 0 0 0 0 1 0 0 0 3 0 13 235 0 0 0 0 0 0 8 0 0 2 0 0 0 6 2 89 0 13 0 0 0 9 13 17 0 72 77 0 0 0 0 2 48 0 0 0 0 0 7 0 0 8 0 29 3 0 0 0 2 0 0 0 1 0 0 0 1 135 6 3 92 0 0 0 0 10 0 0 0 0 1 31 30 0 0 2 0 0 11 63 2 0 0 0 0 0 7 3 296 0 0 0 51 0 0 0 12 0 0 0 0 0 0 0 0 0 0 0 4 0 0 0 27 0 0 0 0 323 0 1 6 0 0 0 0 0 0 81 5 0 0 0 0 5 108 2 0 549 0 0 0 0 0 2 0 594 0 35 5 0 1 0 1 2 0 0 204 0 0 0 0 0 0 0 19 0 0 0 0 0 2 14 0 1 0 0 5 0 6 199 32 0 26 1 0 14 109 2 1 0 
9 162485 13 0 0 1 18 0 1 0 0 0 0 0 0 0 1 0 0 0 1 0 20 0 0 0 0 54 8 14 2 0 0 0 4 0 0 11 0 0 25 0 0 158176 0 0 0 3 0 140 0 2 0 0 0 1 0 1 0 0 2 0 17 199 0 0 0 0 0 0 14 0 0 1 1 1 0 8 3 91 0 4 0 0 0 7 1 28 0 61 72 0 0 0 0 3 62 0 0 1 0 0 4 0 0 6 0 21 4 0 0 0 0 0 0 0 0 0 0 0 0 130 4 3 127 0 0 0 0 19 0 0 0 0 2 30 25 1 1 2 0 0 9 87 2 0 0 0 0 0 21 1 387 0 1 0 55 0 0 1 45 0 0 0 0 0 0 0 0 1 0 0 3 0 0 0 27 0 0 0 0 261 0 2 4 2 0 1 0 2 0 99 5 0 0 0 0 3 111 0 0 494 1 0 0 2 0 5 0 557 1 30 11 0 0 0 1 1 0 0 216 0 0 0 0 0 1 1 18 0 0 0 0 0 5 19 0 5 0 0 1 0 11 229 37 0 19 3 0 29 101 3 1 0 
