hr total blank BD BF BG BA BB BE BL BM BN BO BH BI BJ BT JM BV BW WS BQ BR BS JE BY BZ RU RW RS LT RE TM TJ RO TK GW GU GT GS GR GQ GP JP GY GG GF GE GD GB GA GN GM GL GI GH OM TN JO WF HR HT HU HK HN HM VE PR PS PW PT KN AF IQ PA PF PG PE PK PH PN PL PM ZM EH EE EG ZA EC IT VN SB ET SO ZW SA ES ER ME MD MG MF MA MC UZ MM ML MO MN MH MK MU MT MW MV MQ MP MS MR IM UG MY MX IL FR AW SH AX SJ FI FJ FK FM FO NI NL NO NA VU NC NE NF NG NZ NP NR NU CK XK CI CH CO CN CM CL CC CA CG CF CD CZ CY CX CR PY CW CV CU SZ SY SX KG KE SS SR KI KH SV KM ST SK KR SI KP KW SN SM SL SC KZ KY SG SE SD DO DM DJ DK DE YE DZ US UY YT UM LB LC LA TV TW TT TR LK LI LV TO TL LU LR LS TH TF TG TD TC LY VA VC AE AD AG VG AI VI IS IR AM AL AO AN AQ AS AR AU AT IO IN TZ AZ IE ID UA QA MZ 
0 3254 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 15 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 109 0 0 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 25 0 2 0 0 0 0 0 0 0 2 1 0 0 0 0 0 4 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 4 0 3 0 28 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 2807 0 0 1 0 0 0 0 0 0 5 0 0 0 0 0 0 10 0 0 121 5 0 0 0 0 8 0 9 0 0 0 0 3 0 0 0 0 0 19 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 2 10 0 0 0 0 0 1 32 0 0 0 
1 3469 0 2 0 0 0 0 0 0 0 4 0 0 0 0 0 0 0 0 0 0 12 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 170 0 0 0 0 0 10 0 0 0 0 0 0 0 0 0 0 0 0 0 5 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 21 0 0 0 0 0 0 0 0 0 0 7 0 0 0 0 0 2 0 0 0 0 0 0 0 0 1 0 2 0 0 0 0 0 0 2 0 0 0 0 0 0 6 0 0 2 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 2 10 0 1 0 24 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2975 0 0 0 0 0 0 0 0 0 5 0 0 0 0 0 0 0 0 0 113 3 0 0 0 0 6 0 2 0 0 1 0 7 0 0 0 0 0 33 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 6 4 0 0 0 0 0 0 20 0 1 0 
2 4120 0 2 0 0 0 0 1 0 0 3 1 0 0 0 0 0 0 0 0 0 10 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 170 0 0 0 0 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 9 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 40 0 1 0 0 0 0 0 0 1 1 6 0 0 0 0 4 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 2 0 1 0 0 0 0 5 2 0 7 0 0 0 0 0 0 0 0 0 0 2 1 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 5 0 3 0 30 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3585 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 4 0 0 106 1 0 0 0 0 2 0 7 0 0 0 0 4 0 0 0 0 0 37 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 7 0 0 0 0 0 1 39 0 1 0 
3 4364 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 172 0 0 0 0 0 9 0 0 0 0 0 0 0 0 0 0 0 0 0 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 50 0 1 0 0 0 0 0 0 0 0 2 0 0 0 0 5 2 0 0 0 0 0 0 0 0 2 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 6 8 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 0 0 0 0 0 0 1 9 0 2 0 52 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3769 0 0 0 0 0 0 0 0 0 6 0 0 0 0 0 0 3 0 0 120 3 0 0 0 0 8 0 9 0 0 0 0 4 0 0 0 0 0 39 0 0 0 0 0 0 0 12 0 0 0 0 0 0 0 0 0 0 0 0 0 4 9 0 0 0 0 0 0 31 0 1 0 
4 5361 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5 0 0 0 0 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 234 0 0 0 0 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 50 0 1 0 0 0 0 0 0 1 0 5 0 0 0 0 15 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 22 2 0 0 0 0 0 0 1 0 0 0 0 0 3 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 7 0 0 0 75 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 4641 0 0 0 0 0 0 0 0 0 3 1 0 0 0 0 0 3 0 0 101 0 0 0 0 0 7 0 9 0 0 0 0 3 0 1 0 0 0 77 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 15 1 0 1 0 1 0 42 0 6 0 
5 4646 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 31 0 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 182 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 1 0 0 0 0 0 0 2 0 0 0 0 0 43 0 1 0 0 0 0 0 0 0 2 7 0 0 0 0 9 1 0 0 0 0 0 0 0 0 4 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 17 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 1 0 10 0 0 0 17 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 4058 0 0 1 0 0 0 0 0 0 2 0 0 0 0 0 0 5 0 0 98 1 0 0 0 0 7 0 7 0 3 0 0 8 0 0 0 0 0 71 0 0 0 0 0 0 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6 1 0 3 0 0 0 24 0 1 0 
6 5396 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5 0 0 0 0 7 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 215 0 0 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 66 0 0 0 0 0 0 0 0 0 1 7 0 0 0 0 3 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 17 5 0 14 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 4 0 0 0 0 0 0 0 0 9 0 0 0 51 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 4712 0 1 1 0 0 0 0 0 0 6 0 0 0 0 0 0 21 0 0 74 0 0 0 0 0 13 0 8 0 4 2 0 5 0 0 0 0 0 75 0 0 0 0 1 1 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 1 12 0 0 2 0 0 1 30 0 0 0 
7 6362 0 3 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 8 0 0 0 0 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 240 0 0 0 0 0 11 0 0 0 0 0 0 0 0 0 0 0 0 0 7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 59 0 0 0 0 0 0 0 1 0 8 11 0 0 0 0 18 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 16 0 0 6 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 13 0 0 0 19 0 0 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 5695 0 0 0 0 0 0 0 0 0 7 0 0 0 0 0 1 23 0 0 48 0 0 0 0 0 6 0 16 0 3 6 0 2 0 0 0 0 0 61 0 0 0 0 0 0 0 9 0 0 0 0 0 0 0 0 0 0 0 0 0 5 2 1 0 3 0 0 0 28 0 1 0 
8 7049 0 1 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 6 0 0 0 0 5 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 278 0 0 0 0 0 21 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 46 0 3 0 0 0 0 0 0 0 6 7 0 0 0 0 7 4 0 0 0 0 0 0 0 0 0 0 2 1 0 0 0 0 0 0 0 0 0 0 0 0 20 0 0 13 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 0 0 0 0 0 1 0 12 0 0 0 82 0 0 1 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 6301 0 1 0 0 0 0 0 3 0 8 0 0 0 0 0 0 18 0 0 45 0 0 0 0 0 4 0 8 0 2 0 0 0 0 0 0 0 0 70 0 0 0 0 0 0 0 8 0 0 0 0 0 0 0 0 0 0 0 0 0 2 8 0 0 4 0 0 0 34 0 0 0 
9 7279 0 0 0 0 0 0 2 0 0 0 0 1 0 0 0 0 0 0 0 0 20 0 0 1 0 9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 279 0 0 0 0 0 29 0 0 0 0 0 0 0 0 0 0 0 0 0 6 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 51 0 2 0 0 0 0 1 0 0 9 2 0 0 0 0 4 2 0 0 0 0 0 0 0 0 2 0 2 0 0 0 0 0 0 0 0 2 0 0 0 0 26 0 0 9 0 0 0 0 0 0 0 0 0 0 3 1 0 0 0 0 0 0 5 0 0 0 0 0 0 2 0 9 0 0 0 39 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 6459 0 0 3 0 0 0 0 0 0 5 1 0 0 0 0 0 45 0 0 41 0 0 0 0 0 9 0 18 0 5 1 0 0 0 0 0 0 0 96 0 0 0 0 0 0 0 9 0 0 0 0 0 1 0 0 0 0 0 0 0 1 13 1 0 5 0 0 0 33 1 1 0 
