hr total blank BD BF BG BA BB BE BL BM BN BO BH BI BJ BT JM BV BW WS BQ BR BS JE BY BZ RU RW RS LT RE TM TJ RO TK GW GU GT GS GR GQ GP JP GY GG GF GE GD GB GA GN GM GL GI GH OM TN JO WF HR HT HU HK HN HM VE PR PS PW PT KN AF IQ PA PF PG PE PK PH PN PL PM ZM EH EE EG ZA EC IT VN SB ET SO ZW SA ES ER ME MD MG MF MA MC UZ MM ML MO MN MH MK MU MT MW MV MQ MP MS MR IM UG MY MX IL FR AW SH AX SJ FI FJ FK FM FO NI NL NO NA VU NC NE NF NG NZ NP NR NU CK XK CI CH CO CN CM CL CC CA CG CF CD CZ CY CX CR PY CW CV CU SZ SY SX KG KE SS SR KI KH SV KM ST SK KR SI KP KW SN SM SL SC KZ KY SG SE SD DO DM DJ DK DE YE DZ US UY YT UM LB LC LA TV TW TT TR LK LI LV TO TL LU LR LS TH TF TG TD TC LY VA VC AE AD AG VG AI VI IS IR AM AL AO AN AQ AS AR AU AT IO IN TZ AZ IE ID UA QA MZ 
0 721 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 259 0 0 0 0 1 0 3 0 0 0 0 0 0 0 0 1 0 0 0 0 3 0 0 0 0 0 8 0 0 0 0 0 1 0 0 1 0 0 0 0 1 0 0 5 0 0 0 1 0 0 0 1 0 0 4 0 29 0 2 0 0 0 0 1 0 2 4 0 0 0 0 0 0 12 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 12 8 0 5 0 0 0 0 1 0 0 0 0 1 2 0 0 0 0 0 0 1 1 0 0 0 0 1 0 1 8 0 0 6 0 4 0 0 0 0 0 0 1 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 1 0 1 2 0 0 0 2 0 0 221 5 0 0 0 0 0 0 2 1 3 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 59 0 0 0 3 0 0 0 20 0 0 0 
1 763 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 257 1 0 0 0 1 0 1 0 0 0 0 0 0 0 0 1 0 0 0 1 2 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 5 0 0 0 2 0 0 0 0 0 0 2 0 27 0 0 0 0 0 0 0 3 2 0 0 0 0 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 20 24 0 6 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 1 2 0 0 0 0 0 0 0 15 0 0 6 0 10 0 0 0 1 0 0 1 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 2 0 0 0 1 0 0 258 4 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 45 3 0 0 6 0 0 1 29 0 0 0 
2 735 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 200 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 2 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 3 0 0 0 2 0 0 0 1 0 0 8 2 46 0 0 0 0 0 0 2 4 1 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 13 26 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 1 0 0 0 0 0 0 15 1 0 4 0 6 0 0 0 0 0 0 1 3 0 0 0 0 0 0 0 2 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 3 0 0 0 1 0 0 262 3 0 0 1 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 64 6 0 0 6 0 0 1 31 0 0 0 
3 689 0 1 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 163 1 0 0 0 0 0 1 2 0 0 0 0 0 0 0 0 0 1 0 0 3 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 4 0 0 0 0 0 0 0 1 0 0 3 0 44 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 19 33 0 3 0 0 0 0 3 0 0 0 0 1 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 17 0 0 8 0 11 0 0 0 0 0 0 1 3 0 0 0 0 0 0 0 9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 4 0 0 0 1 0 0 225 8 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 1 0 0 1 0 0 0 43 8 0 0 12 1 0 0 35 0 0 0 
4 606 0 1 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 93 0 0 0 0 1 0 4 6 0 0 0 0 0 0 0 3 0 0 0 0 6 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 2 1 0 6 1 0 0 1 0 0 0 1 0 0 3 0 59 0 0 0 0 0 0 1 2 1 1 0 0 0 0 1 0 4 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 27 26 0 3 0 0 0 0 3 0 0 0 0 1 1 0 0 0 0 0 0 3 0 2 0 0 0 0 0 1 5 0 0 6 0 4 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 6 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 2 0 0 200 4 0 0 0 0 0 0 1 0 6 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 29 4 0 0 21 2 0 0 37 0 0 0 
5 472 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 49 0 0 0 0 0 0 3 8 0 0 0 0 0 0 0 3 0 1 0 0 3 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 6 0 0 0 1 0 0 0 2 0 0 0 0 53 0 3 0 1 0 0 0 9 2 2 0 0 0 0 1 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 24 19 0 3 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 6 0 1 0 0 0 0 0 1 4 0 0 5 0 5 0 0 0 0 1 0 2 1 0 0 0 0 0 0 0 3 0 0 0 0 2 0 0 0 1 0 0 0 1 0 0 0 0 0 1 2 0 2 0 0 0 2 0 0 133 1 0 0 0 0 0 0 5 1 3 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 4 0 0 0 0 0 0 0 1 0 0 0 0 0 16 4 3 0 20 1 0 1 33 1 0 0 
6 409 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 34 0 0 0 0 7 1 13 11 0 0 0 1 0 0 0 0 0 1 0 0 2 0 0 0 0 0 5 0 0 0 0 0 1 0 0 0 0 1 0 0 1 0 0 5 0 0 0 2 0 0 0 0 0 0 0 0 48 0 2 0 0 0 0 0 8 1 9 0 0 0 0 0 0 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 21 17 0 4 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 9 1 2 0 0 0 0 0 0 7 1 0 1 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0 2 1 0 0 0 0 0 0 3 0 0 0 0 0 6 0 0 85 0 0 0 0 0 0 0 2 0 6 0 0 0 0 0 0 0 0 5 0 0 0 0 0 0 0 3 0 0 0 0 0 1 0 0 0 0 0 0 0 11 3 5 0 12 0 0 1 28 0 0 0 
7 452 0 2 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 24 0 0 0 0 5 0 3 14 0 0 0 1 0 0 0 0 0 1 0 0 7 0 0 0 3 0 19 0 0 0 0 0 2 0 0 0 0 3 0 0 1 0 0 3 0 0 0 2 0 0 0 1 0 0 0 0 69 0 1 0 0 0 0 0 18 0 10 1 0 0 0 1 3 15 0 1 0 0 0 1 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 22 5 1 10 0 0 0 0 3 0 0 0 0 0 5 1 0 0 0 0 0 12 3 1 0 0 0 1 0 1 1 0 0 0 0 4 0 0 0 1 0 0 2 0 0 0 0 0 1 0 0 4 0 0 0 1 0 0 0 0 0 2 0 0 1 0 0 0 2 0 0 3 0 0 0 0 0 9 0 0 43 0 0 0 1 0 0 0 4 0 10 1 0 2 0 0 0 0 0 1 0 0 0 0 0 0 0 6 0 0 0 0 0 0 0 0 0 1 0 0 0 6 4 0 0 23 3 0 1 33 1 0 0 
8 488 0 1 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 33 0 0 0 0 5 0 11 13 0 0 0 0 0 0 0 1 0 0 0 0 4 0 0 0 0 0 17 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 3 1 0 0 2 0 0 0 0 0 0 1 3 67 0 4 0 0 0 0 0 9 0 17 1 0 0 0 0 3 12 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 1 33 3 0 18 0 0 0 0 3 0 0 0 0 0 4 2 0 0 0 0 0 21 1 1 0 0 0 2 0 1 1 2 0 0 0 0 0 0 0 3 0 0 1 0 0 0 0 0 0 0 0 15 0 0 0 0 0 0 0 1 0 1 0 0 1 0 0 0 0 0 2 2 0 0 0 0 0 8 0 0 29 0 0 0 0 0 0 0 2 0 15 3 0 10 0 0 0 0 0 2 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 1 0 0 0 7 15 2 0 30 3 0 0 23 1 0 0 
9 515 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 58 0 0 0 0 1 0 5 18 0 0 0 1 0 0 0 0 0 4 0 0 7 0 0 0 0 0 27 0 0 0 0 0 1 0 0 0 0 2 0 1 1 0 0 0 0 0 0 6 0 0 0 0 0 0 1 2 65 0 4 0 0 0 0 0 12 0 19 0 0 0 0 2 0 27 0 1 0 0 0 1 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 1 37 4 0 12 0 0 0 0 3 0 0 0 0 0 2 3 0 0 0 0 0 15 0 2 0 0 0 2 1 3 1 0 0 2 0 1 0 0 0 2 0 0 0 0 0 0 0 1 0 0 0 8 0 0 0 0 0 0 0 0 1 2 0 1 0 0 0 0 0 0 1 0 1 0 0 0 0 12 0 0 24 2 0 0 0 0 0 0 4 0 16 4 0 1 0 0 0 0 0 3 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 6 1 0 0 21 1 1 1 37 0 1 0 
