hr total blank BD BF BG BA BB BE BL BM BN BO BH BI BJ BT JM BV BW WS BQ BR BS JE BY BZ RU RW RS LT RE TM TJ RO TK GW GU GT GS GR GQ GP JP GY GG GF GE GD GB GA GN GM GL GI GH OM TN JO WF HR HT HU HK HN HM VE PR PS PW PT KN AF IQ PA PF PG PE PK PH PN PL PM ZM EH EE EG ZA EC IT VN SB ET SO ZW SA ES ER ME MD MG MF MA MC UZ MM ML MO MN MH MK MU MT MW MV MQ MP MS MR IM UG MY MX IL FR AW SH AX SJ FI FJ FK FM FO NI NL NO NA VU NC NE NF NG NZ NP NR NU CK XK CI CH CO CN CM CL CC CA CG CF CD CZ CY CX CR PY CW CV CU SZ SY SX KG KE SS SR KI KH SV KM ST SK KR SI KP KW SN SM SL SC KZ KY SG SE SD DO DM DJ DK DE YE DZ US UY YT UM LB LC LA TV TW TT TR LK LI LV TO TL LU LR LS TH TF TG TD TC LY VA VC AE AD AG VG AI VI IS IR AM AL AO AN AQ AS AR AU AT IO IN TZ AZ IE ID UA QA MZ 
0 488 0 0 0 0 0 1 2 0 0 0 0 0 0 0 0 1 0 0 0 0 172 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 10 0 0 1 0 0 2 0 0 0 0 0 2 0 0 0 0 1 0 0 0 2 0 0 0 0 0 0 1 0 30 0 0 0 0 0 0 1 1 0 2 0 0 0 0 0 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 15 12 0 5 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 3 0 0 0 0 1 0 0 1 0 0 2 0 5 0 0 0 1 0 0 2 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 1 1 0 0 0 0 2 0 0 117 5 0 0 0 0 0 0 1 0 12 0 0 28 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 13 1 0 0 3 0 1 2 11 0 0 0 
1 521 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 172 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 7 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 5 0 0 0 5 0 0 0 1 0 0 2 1 44 0 2 0 0 0 0 0 0 3 2 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 14 11 0 3 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 4 0 1 3 0 12 0 0 1 0 0 0 2 1 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 1 2 0 0 0 0 0 1 0 0 0 0 0 0 3 0 1 134 2 0 0 0 0 0 0 0 0 5 2 0 14 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 28 2 0 0 5 0 0 0 7 0 0 0 
2 466 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 134 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 2 0 0 0 0 0 0 0 2 1 0 1 2 46 0 0 0 0 0 0 2 1 4 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 10 9 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 6 0 0 1 0 7 0 0 0 0 0 0 1 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 1 0 0 140 4 0 0 0 0 1 0 0 0 5 0 0 9 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 19 2 0 0 11 0 0 0 24 0 0 0 
3 518 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 97 0 0 0 0 1 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 3 0 0 0 0 0 4 0 0 0 0 0 0 1 0 0 0 0 0 0 1 1 0 3 0 0 0 0 0 0 0 0 0 0 3 1 43 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 17 18 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 4 0 0 2 0 2 0 0 0 0 0 0 1 2 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 3 0 0 1 0 0 0 0 0 0 158 5 0 0 0 0 0 0 0 0 2 1 0 84 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 20 2 0 0 9 0 0 1 11 0 0 0 
4 522 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 46 0 0 0 0 0 0 1 2 0 0 0 0 0 0 0 2 0 0 0 0 9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 1 46 0 0 0 0 0 1 0 3 2 1 0 0 0 0 1 11 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 27 10 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 1 2 1 0 0 0 0 0 1 2 1 0 4 0 7 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 2 0 0 0 3 0 0 0 0 2 0 0 0 0 0 0 0 0 0 3 0 0 1 0 0 0 0 0 0 136 7 0 0 0 0 1 0 1 0 23 0 0 85 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 2 0 0 0 0 0 0 12 5 1 0 12 0 0 0 32 0 0 0 
5 505 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 38 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 4 0 0 0 0 0 7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 2 0 0 0 0 0 0 3 0 38 0 0 0 0 0 2 2 13 0 1 0 0 0 0 0 8 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 29 13 1 1 0 0 0 0 4 0 0 0 0 2 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 2 0 0 0 0 1 2 0 0 1 0 0 0 0 0 0 0 0 7 0 0 0 1 0 0 0 0 0 1 0 1 0 0 0 0 0 0 2 3 0 0 0 0 1 2 0 0 76 1 0 0 0 0 0 0 0 0 37 0 0 132 0 0 0 0 0 1 0 0 0 0 0 0 0 4 0 0 0 0 0 0 1 0 0 0 0 0 0 8 1 0 0 17 1 0 0 22 0 0 0 
6 575 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 21 0 0 0 0 1 0 4 1 0 0 0 0 0 0 1 0 0 1 0 0 2 0 0 0 0 0 7 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 44 0 6 0 0 0 0 2 11 0 3 0 0 0 0 0 6 7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 21 4 0 5 0 0 0 0 2 0 0 0 0 0 1 1 0 0 0 0 0 2 0 3 0 0 0 0 0 0 0 1 0 1 0 4 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 1 1 1 0 2 0 0 0 0 0 0 1 1 1 0 0 0 2 5 0 0 61 1 0 0 0 0 0 0 0 0 54 0 0 215 0 0 0 0 0 0 0 0 0 0 1 0 0 2 0 0 0 0 0 0 1 0 0 0 0 0 0 4 5 0 0 13 1 0 0 28 1 0 0 
7 727 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 1 0 0 0 0 24 0 0 0 0 0 0 5 0 0 0 0 0 0 0 0 2 0 2 0 0 2 0 0 0 1 0 9 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 53 0 6 0 0 0 1 2 9 0 6 1 0 0 0 0 10 7 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 25 3 0 6 0 0 0 0 5 0 0 0 0 0 2 0 0 0 0 0 0 4 4 1 0 0 0 0 0 2 1 0 0 0 0 2 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 2 0 7 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 0 44 1 0 0 0 0 0 0 0 0 58 0 0 339 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 0 0 0 0 0 1 0 0 0 0 0 0 1 5 0 0 27 5 0 0 23 0 0 0 
8 803 0 1 0 0 0 0 2 0 0 0 0 1 0 0 0 0 0 0 0 0 22 0 0 0 0 5 0 6 1 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 8 1 0 0 0 0 0 0 0 0 0 3 0 0 1 0 0 0 0 0 0 1 0 0 0 0 1 0 0 7 62 0 5 0 0 0 0 2 9 0 4 0 0 0 0 0 9 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 39 3 1 10 0 0 0 0 5 0 0 0 0 0 2 0 1 0 0 0 0 3 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 9 0 0 0 2 0 0 0 0 1 0 0 5 0 0 0 0 1 0 2 0 0 0 0 0 3 6 0 0 33 0 0 0 0 0 0 0 0 0 81 1 0 383 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 2 0 0 0 0 0 0 2 3 0 0 19 2 1 4 17 0 1 0 
9 849 0 0 0 0 1 0 3 0 0 0 0 4 0 0 0 0 0 0 0 0 25 0 0 1 0 2 0 3 2 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 1 0 0 20 0 0 0 0 0 2 0 0 0 0 2 0 0 1 0 0 1 0 0 0 1 0 0 0 0 0 0 0 4 61 0 1 0 0 0 3 3 12 0 7 0 0 0 0 0 1 16 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 36 1 0 12 0 0 0 0 1 0 0 0 0 0 3 1 0 0 0 0 0 2 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6 0 0 0 0 0 0 0 1 0 0 0 6 0 0 0 0 0 0 3 2 1 0 0 0 1 3 0 0 19 0 0 0 0 0 0 0 0 0 178 0 0 327 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 4 3 0 16 1 1 1 28 0 1 1 
