hr total blank BD BF BG BA BB BE BL BM BN BO BH BI BJ BT JM BV BW WS BQ BR BS JE BY BZ RU RW RS LT RE TM TJ RO TK GW GU GT GS GR GQ GP JP GY GG GF GE GD GB GA GN GM GL GI GH OM TN JO WF HR HT HU HK HN HM VE PR PS PW PT KN AF IQ PA PF PG PE PK PH PN PL PM ZM EH EE EG ZA EC IT VN SB ET SO ZW SA ES ER ME MD MG MF MA MC UZ MM ML MO MN MH MK MU MT MW MV MQ MP MS MR IM UG MY MX IL FR AW SH AX SJ FI FJ FK FM FO NI NL NO NA VU NC NE NF NG NZ NP NR NU CK XK CI CH CO CN CM CL CC CA CG CF CD CZ CY CX CR PY CW CV CU SZ SY SX KG KE SS SR KI KH SV KM ST SK KR SI KP KW SN SM SL SC KZ KY SG SE SD DO DM DJ DK DE YE DZ US UY YT UM LB LC LA TV TW TT TR LK LI LV TO TL LU LR LS TH TF TG TD TC LY VA VC AE AD AG VG AI VI IS IR AM AL AO AN AQ AS AR AU AT IO IN TZ AZ IE ID UA QA MZ 
0 2448 0 0 0 0 0 1 167 0 0 0 1 0 0 0 0 2 0 0 0 0 192 0 0 0 1 2 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 38 0 0 0 0 0 2 1 0 0 0 0 0 0 1 0 0 5 0 0 0 8 0 0 0 0 0 0 6 2 90 0 0 0 0 0 0 4 12 2 5 1 0 0 0 0 0 17 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 30 25 0 29 5 0 0 0 0 0 0 0 0 0 726 0 1 0 0 0 0 2 2 0 0 0 0 0 0 1 10 3 1 8 0 34 0 0 0 0 0 0 4 3 2 0 0 0 0 1 0 0 0 12 0 0 0 0 0 0 2 0 0 0 42 0 0 0 0 0 10 5 0 3 0 0 1 16 0 0 750 5 0 0 1 1 2 0 0 3 8 7 0 0 0 0 0 0 0 4 0 0 0 2 0 0 0 3 0 0 0 0 0 1 1 0 0 1 0 1 0 39 28 1 0 4 6 0 9 23 3 0 0 
1 2115 0 1 0 0 0 1 116 0 0 0 0 0 0 0 0 1 0 0 0 0 178 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 3 0 0 0 1 11 0 0 0 0 0 25 0 0 0 0 0 0 0 0 0 0 0 0 1 4 0 0 5 0 0 0 5 0 0 0 1 0 0 1 1 119 0 0 0 0 0 0 3 15 1 2 1 0 0 0 0 2 6 0 1 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 1 0 0 0 0 30 42 0 12 0 0 0 0 0 0 0 0 0 0 440 1 0 0 0 0 0 2 3 0 0 0 0 0 0 2 14 0 0 7 0 50 0 0 0 0 0 0 0 3 3 0 0 0 0 0 0 0 0 6 0 0 0 0 0 0 0 0 0 1 42 0 0 0 0 0 5 4 0 4 0 0 1 12 0 0 781 3 0 0 1 0 0 0 4 0 0 8 0 0 0 0 0 0 0 11 0 0 0 0 0 0 0 2 0 1 0 0 0 0 0 0 0 0 0 0 0 40 24 2 0 3 5 0 4 30 0 0 0 
2 1983 1 0 0 0 0 1 85 0 0 1 1 0 0 0 0 1 0 0 0 0 149 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 2 0 1 6 0 0 0 0 0 15 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 5 0 0 0 1 0 0 0 2 0 0 7 6 142 0 1 0 0 0 0 2 8 2 4 2 0 0 0 0 1 9 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 1 0 0 0 0 0 48 43 0 9 0 0 0 0 0 0 0 0 0 3 369 0 0 0 5 0 0 5 1 0 0 0 0 0 1 0 18 2 0 7 0 29 0 0 0 1 0 0 2 1 4 0 0 0 0 1 0 1 0 2 0 1 2 0 0 0 4 0 0 0 8 0 0 0 0 0 4 3 2 4 0 0 0 10 0 0 748 3 0 0 0 0 0 0 3 0 5 21 0 0 0 0 0 0 0 7 0 0 0 0 0 0 0 5 0 0 0 0 0 0 0 0 0 0 0 1 0 42 20 0 0 24 4 0 4 41 0 0 0 
3 2574 0 0 0 0 0 1 101 0 0 2 0 0 0 0 0 1 0 0 0 0 106 0 0 1 0 5 0 0 0 0 0 0 1 0 0 2 2 0 1 0 0 8 1 0 0 0 0 12 0 0 0 0 0 1 0 0 0 0 0 0 0 2 2 0 9 1 0 0 2 0 0 0 0 0 0 4 9 171 0 1 0 0 0 0 1 26 1 1 2 0 0 0 1 1 13 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 67 48 0 13 1 0 0 0 1 0 0 0 0 0 553 0 0 0 0 0 0 7 3 0 0 0 0 0 0 5 9 0 0 8 0 30 0 0 0 0 0 0 6 3 0 0 0 0 0 0 0 2 0 3 0 0 0 0 0 0 1 0 0 0 19 0 0 0 0 0 3 2 0 5 0 0 0 13 0 1 1095 4 0 0 1 0 0 0 0 0 3 16 0 0 0 0 0 0 0 11 0 0 0 0 0 0 0 3 0 1 0 0 0 0 0 0 0 0 0 0 0 32 16 1 0 34 4 0 3 52 0 0 0 
4 3377 1 0 0 0 0 0 261 0 0 0 0 0 0 0 0 2 0 0 0 0 75 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 2 0 1 5 0 0 0 0 0 16 0 0 0 0 0 0 0 0 0 0 0 0 0 4 1 0 3 2 0 0 0 0 0 0 0 0 0 4 7 164 0 1 0 0 0 1 2 61 4 17 6 0 0 0 0 2 9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 0 0 0 0 0 0 80 35 1 20 0 0 0 0 2 0 0 0 0 4 1336 0 2 0 0 0 0 9 6 0 0 0 0 0 0 4 15 8 0 8 0 34 0 0 0 0 0 0 5 1 2 0 0 0 0 4 0 4 0 8 0 0 0 0 0 0 5 0 0 1 0 0 0 0 0 0 9 2 1 6 0 0 1 23 0 0 914 4 0 0 2 0 0 0 0 0 7 18 0 0 0 0 0 0 0 9 0 0 0 0 1 0 0 7 0 0 0 0 0 0 0 0 0 0 0 0 0 18 19 4 0 32 5 0 1 43 0 0 0 
5 4466 1 1 0 0 1 0 580 0 0 0 0 0 0 0 0 4 0 0 0 0 34 0 0 0 0 3 0 0 0 0 0 0 1 0 0 1 1 0 1 0 0 6 0 0 0 0 0 6 0 0 0 0 0 0 2 0 3 0 1 0 1 4 2 0 3 1 0 0 1 0 0 0 1 0 0 4 8 170 0 0 0 0 0 2 3 85 1 28 2 0 0 0 1 2 18 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 1 62 22 12 19 0 0 0 0 6 0 0 0 0 2 2491 2 1 0 0 0 0 18 0 0 0 0 0 0 0 4 1 6 0 0 0 19 0 0 0 0 3 0 4 0 0 0 0 0 0 3 0 4 0 2 0 1 1 0 0 0 1 0 0 1 71 0 0 0 1 0 10 11 0 0 0 0 6 29 0 0 493 0 0 0 0 0 0 0 1 1 22 6 0 0 1 0 0 0 0 3 0 0 0 0 0 0 0 3 0 0 1 0 0 0 0 0 0 0 0 0 0 14 18 12 0 47 1 0 1 36 0 3 0 
6 6882 0 1 0 0 0 0 1002 0 0 0 0 0 0 0 0 0 0 1 0 1 22 1 0 0 0 5 0 3 0 0 0 0 0 0 0 1 0 0 6 0 0 7 0 0 0 0 0 38 0 0 0 0 0 6 1 1 4 0 2 0 0 5 0 0 1 1 0 0 3 0 0 0 2 0 0 1 8 166 0 0 0 0 0 4 3 167 1 59 2 0 0 0 0 2 56 0 0 1 0 0 2 4 0 0 0 0 0 0 1 0 1 1 0 0 1 0 0 0 1 71 19 12 51 0 0 0 0 1 0 0 0 0 1 4350 3 0 0 0 1 0 17 6 1 0 0 0 0 0 14 3 2 0 2 0 20 0 0 0 1 4 0 0 0 0 0 0 0 0 4 0 2 0 1 0 0 0 0 0 1 3 3 0 3 90 0 0 0 0 0 5 12 0 0 0 0 7 49 0 0 306 0 0 0 2 0 0 0 1 0 38 11 0 1 0 0 1 0 0 6 0 0 0 0 0 0 0 7 0 0 0 0 0 0 0 0 0 1 0 0 0 11 36 6 0 38 5 0 6 35 9 1 0 
7 9048 0 1 0 0 0 0 1410 0 0 0 0 1 0 0 0 1 0 2 0 0 13 0 0 0 0 3 0 5 0 0 0 0 0 0 0 3 0 0 7 0 0 9 0 0 0 0 0 76 0 0 1 0 0 3 0 0 0 0 1 0 2 4 1 0 3 0 0 0 10 0 0 0 0 0 0 1 15 168 0 7 0 0 0 2 4 150 1 51 2 0 1 0 1 5 75 0 0 0 0 0 2 10 0 1 0 0 0 0 3 0 2 0 2 0 0 0 0 0 0 89 15 4 51 0 0 0 0 6 0 0 0 0 0 6112 5 0 0 0 0 0 16 14 0 0 0 0 1 1 15 3 23 0 0 0 6 0 0 0 7 4 0 0 0 0 0 1 0 0 4 0 8 0 0 0 3 0 0 0 0 4 0 0 2 6 0 0 0 0 0 7 8 0 0 0 0 13 77 0 0 223 0 0 0 2 0 0 0 3 1 31 16 1 1 0 0 2 0 0 8 0 0 0 0 0 0 0 14 0 0 0 0 0 0 0 1 0 0 0 0 1 5 39 25 0 43 10 0 6 46 2 1 0 
8 11125 1 2 0 2 1 0 1840 0 0 0 0 0 0 0 0 1 0 3 0 0 20 0 0 1 0 4 1 3 1 1 0 0 7 0 0 0 0 0 5 0 0 13 0 0 0 0 0 110 1 0 0 0 1 2 1 1 1 0 1 0 6 3 0 0 0 0 0 0 14 0 0 0 0 0 0 0 22 210 0 36 0 2 0 1 4 160 1 72 1 0 0 0 2 6 118 0 0 0 0 0 4 10 0 0 0 0 1 0 0 0 2 0 0 0 0 0 0 0 2 84 4 4 63 0 0 0 0 5 0 0 0 0 0 7566 9 4 0 0 0 0 26 13 2 0 0 0 0 3 17 1 8 2 1 0 14 0 0 0 12 5 0 1 0 0 0 0 1 1 3 1 8 0 5 0 1 0 0 0 0 5 1 0 2 14 0 0 0 1 0 14 8 1 0 0 0 17 85 0 0 183 0 0 0 1 0 0 0 1 0 30 19 0 2 0 0 3 0 0 6 0 0 0 0 0 0 1 7 1 0 0 0 0 1 2 0 0 0 0 0 0 4 37 20 0 28 8 0 10 38 2 3 0 
9 11575 3 0 0 0 1 0 1867 0 0 1 0 0 0 0 0 0 0 8 0 0 36 0 0 0 0 4 1 0 0 0 0 0 2 0 0 0 0 0 1 0 0 8 1 0 0 0 0 132 0 0 0 1 0 6 0 1 0 0 1 0 3 10 0 0 1 0 0 0 11 0 1 0 0 0 0 0 23 201 0 93 0 0 0 3 3 173 1 39 3 0 0 0 1 4 123 0 0 0 0 0 3 15 0 0 0 1 0 0 2 0 5 0 2 0 1 0 0 0 2 84 4 3 95 1 0 0 0 2 0 0 0 0 0 7939 13 7 0 0 0 0 26 5 1 0 0 0 3 2 25 0 4 1 1 0 4 0 0 1 9 3 0 0 1 0 1 0 0 0 5 2 8 0 4 0 2 0 0 1 0 2 1 0 5 4 0 0 0 0 0 11 14 1 0 0 0 8 98 0 0 118 0 0 0 2 0 0 0 2 0 47 25 0 0 0 0 2 0 0 16 0 0 0 0 0 0 0 11 0 0 0 0 0 0 0 0 0 0 0 0 0 6 35 11 0 29 10 0 10 47 2 1 0 
