hr total blank BD BF BG BA BB BE BL BM BN BO BH BI BJ BT JM BV BW WS BQ BR BS JE BY BZ RU RW RS LT RE TM TJ RO TK GW GU GT GS GR GQ GP JP GY GG GF GE GD GB GA GN GM GL GI GH OM TN JO WF HR HT HU HK HN HM VE PR PS PW PT KN AF IQ PA PF PG PE PK PH PN PL PM ZM EH EE EG ZA EC IT VN SB ET SO ZW SA ES ER ME MD MG MF MA MC UZ MM ML MO MN MH MK MU MT MW MV MQ MP MS MR IM UG MY MX IL FR AW SH AX SJ FI FJ FK FM FO NI NL NO NA VU NC NE NF NG NZ NP NR NU CK XK CI CH CO CN CM CL CC CA CG CF CD CZ CY CX CR PY CW CV CU SZ SY SX KG KE SS SR KI KH SV KM ST SK KR SI KP KW SN SM SL SC KZ KY SG SE SD DO DM DJ DK DE YE DZ US UY YT UM LB LC LA TV TW TT TR LK LI LV TO TL LU LR LS TH TF TG TD TC LY VA VC AE AD AG VG AI VI IS IR AM AL AO AN AQ AS AR AU AT IO IN TZ AZ IE ID UA QA MZ 
0 770 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 96 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 1 14 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 3 0 0 0 2 0 0 0 0 0 0 1 2 34 0 1 0 0 0 0 4 4 1 0 0 0 0 0 0 2 9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 25 12 1 4 0 0 0 0 0 0 0 0 0 1 1 63 0 0 0 0 0 3 4 1 0 0 0 0 0 2 5 0 0 2 0 21 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 1 1 0 0 0 0 0 2 2 0 2 0 0 5 5 0 0 367 1 0 0 0 0 0 0 1 1 3 3 0 1 0 0 1 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 17 8 1 0 2 0 0 0 10 0 0 0 
1 921 0 0 0 2 0 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 83 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 2 0 0 0 0 0 12 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 3 3 38 0 0 0 0 0 0 3 2 4 1 0 0 0 0 0 1 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 27 9 0 6 0 0 0 0 0 0 0 0 0 0 4 85 0 0 0 0 0 2 3 2 0 0 0 0 0 3 7 1 0 2 0 21 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 3 0 0 0 0 0 5 2 0 4 0 0 0 5 0 0 513 1 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 13 4 0 0 2 0 0 1 19 0 1 0 
2 868 0 0 0 0 0 0 4 0 0 0 0 0 0 0 0 2 0 0 0 0 77 1 0 0 0 1 0 0 0 0 0 3 0 0 0 1 0 0 1 0 0 3 0 0 0 0 0 10 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 2 0 0 0 0 0 0 0 0 0 0 3 4 60 0 0 0 0 0 1 1 0 1 2 3 0 0 0 0 1 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 19 10 0 4 0 0 0 0 0 0 0 0 0 0 2 45 0 0 0 0 0 0 0 0 0 0 0 0 0 3 8 1 0 5 0 15 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 4 0 0 3 0 0 0 0 0 0 0 1 0 7 0 0 1 9 0 0 485 1 0 0 0 0 0 0 1 0 0 4 0 0 0 0 0 0 0 6 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 11 6 1 0 5 0 0 0 22 0 0 0 
3 901 0 1 0 0 0 0 2 0 0 0 0 1 0 0 1 0 0 0 0 0 46 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 0 0 0 0 13 0 0 0 0 0 4 0 0 0 0 0 0 1 0 0 0 0 0 0 1 2 0 6 0 0 0 1 0 0 0 1 0 0 0 3 50 0 0 0 0 0 0 1 14 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 22 21 0 1 0 0 0 0 0 0 0 0 0 0 0 76 0 0 0 0 0 2 0 1 0 0 0 1 0 3 4 0 0 2 0 23 0 0 0 0 0 0 3 2 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 3 0 0 0 0 0 0 3 3 0 3 0 0 1 8 0 0 474 1 0 0 0 0 0 0 0 0 4 2 0 0 0 0 0 0 0 7 0 0 0 0 0 0 0 6 0 0 0 0 0 1 0 0 0 0 0 0 0 14 18 0 0 12 0 0 1 19 2 0 1 
4 884 0 2 0 0 0 0 2 0 0 0 0 2 0 0 0 1 0 0 0 0 35 2 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 7 0 0 0 0 0 6 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 5 0 0 0 0 0 0 1 0 0 0 1 2 55 0 0 0 0 0 0 0 13 3 8 0 0 0 0 0 4 1 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 23 18 0 1 1 0 0 0 1 0 0 0 0 0 5 134 0 0 0 0 0 4 0 0 0 0 0 0 0 5 4 1 0 0 0 11 0 0 0 0 0 0 4 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 3 0 0 2 1 0 0 0 0 0 2 10 0 1 0 0 2 12 0 0 386 0 0 0 1 0 1 0 0 0 12 8 0 0 0 0 0 0 0 7 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 9 10 0 0 9 0 0 0 34 0 1 0 
5 709 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 12 0 0 0 0 2 0 1 0 0 0 0 0 0 0 1 2 0 1 0 0 5 0 0 0 0 0 11 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 4 0 0 0 0 0 0 0 0 1 0 1 2 54 0 2 0 0 0 0 2 21 0 4 0 0 0 0 0 0 7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 3 0 1 29 14 0 2 0 0 0 0 1 0 0 0 0 0 5 200 0 0 0 0 0 2 3 0 0 0 0 0 0 2 5 0 0 2 0 5 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 6 11 0 0 0 0 14 10 0 0 176 0 0 0 0 0 0 0 1 0 13 2 0 3 0 0 0 0 0 4 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 5 1 0 18 2 0 1 21 1 0 0 
6 880 0 0 0 0 0 0 6 0 0 0 0 2 0 0 0 0 0 2 0 0 12 0 0 0 0 5 0 6 1 0 0 0 1 0 0 1 0 0 1 0 0 9 0 0 0 0 0 14 0 0 0 0 0 0 2 0 0 0 1 0 1 0 0 0 1 0 0 0 2 0 0 0 0 0 0 1 2 43 0 1 0 0 0 0 0 16 0 6 0 0 0 0 0 4 13 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 2 0 2 42 1 1 4 0 0 0 0 3 0 0 0 0 0 15 322 0 0 0 0 0 5 13 0 0 0 0 1 0 6 0 2 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 2 1 0 5 0 0 0 0 0 0 3 23 0 0 0 0 19 25 0 0 132 1 0 0 1 0 0 0 1 0 19 3 0 0 0 0 0 0 0 5 0 0 0 0 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 3 4 5 0 17 0 0 1 27 0 0 0 
7 987 0 0 0 0 0 0 9 0 0 0 0 0 0 0 0 0 0 1 0 0 15 0 0 0 0 5 0 2 0 0 0 0 2 0 0 0 0 0 0 0 0 6 0 0 0 0 0 30 0 0 0 0 0 3 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 3 51 0 1 0 0 0 0 1 29 0 14 1 0 0 0 0 1 15 0 0 0 0 0 0 1 0 2 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 34 2 1 5 0 0 0 0 1 0 0 0 0 0 9 445 1 0 0 0 0 6 3 0 0 0 0 1 0 0 0 1 1 0 0 8 0 0 0 1 0 0 2 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 5 38 1 0 0 0 16 14 0 0 102 0 0 0 0 0 1 0 2 0 14 5 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 4 0 1 0 0 0 0 0 0 0 0 0 0 0 3 14 2 0 19 0 0 1 19 1 0 0 
8 1261 0 1 0 0 0 0 17 0 0 0 0 0 0 0 0 0 0 0 0 0 18 0 0 0 0 3 0 2 1 0 0 0 2 0 0 0 0 0 4 0 0 8 0 0 0 0 0 40 0 0 0 0 0 5 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 1 3 70 0 2 0 0 0 1 0 34 1 20 2 0 0 0 0 1 22 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 30 0 0 12 0 0 0 0 2 0 0 0 0 0 23 615 1 0 0 0 0 13 7 1 0 0 0 0 1 4 1 1 0 0 0 4 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 3 0 0 0 1 0 0 0 0 0 1 0 1 2 0 0 0 0 0 7 39 0 0 0 0 21 32 0 1 64 0 0 0 1 0 0 0 0 0 26 1 0 2 0 0 0 0 0 3 0 0 0 0 0 0 0 3 1 0 0 0 0 0 0 0 0 0 0 0 0 2 12 4 0 15 0 0 3 37 1 0 0 
9 1360 0 0 0 1 0 0 11 0 0 0 0 0 0 0 0 0 0 0 0 0 26 0 0 1 0 11 0 1 0 0 0 0 1 0 0 1 0 0 4 0 0 7 0 0 0 0 0 36 0 0 0 0 0 0 1 0 0 0 1 0 1 0 0 0 0 1 0 0 5 0 0 0 0 0 0 0 1 93 0 8 0 0 0 1 1 27 2 13 0 0 1 0 0 0 17 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 2 0 0 31 2 1 17 0 0 0 0 5 0 0 0 0 0 15 689 0 0 0 0 0 15 1 1 0 0 0 1 0 3 0 2 0 0 0 7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 1 0 0 0 1 1 0 0 0 0 0 1 43 1 0 0 0 17 31 0 0 46 1 0 0 2 0 0 0 1 0 41 2 0 1 0 0 0 0 0 6 0 0 0 0 0 0 0 2 0 0 0 0 0 0 1 0 0 0 0 0 0 2 18 8 0 22 0 0 6 34 0 1 0 
