hr total blank BD BF BG BA BB BE BL BM BN BO BH BI BJ BT JM BV BW WS BQ BR BS JE BY BZ RU RW RS LT RE TM TJ RO TK GW GU GT GS GR GQ GP JP GY GG GF GE GD GB GA GN GM GL GI GH OM TN JO WF HR HT HU HK HN HM VE PR PS PW PT KN AF IQ PA PF PG PE PK PH PN PL PM ZM EH EE EG ZA EC IT VN SB ET SO ZW SA ES ER ME MD MG MF MA MC UZ MM ML MO MN MH MK MU MT MW MV MQ MP MS MR IM UG MY MX IL FR AW SH AX SJ FI FJ FK FM FO NI NL NO NA VU NC NE NF NG NZ NP NR NU CK XK CI CH CO CN CM CL CC CA CG CF CD CZ CY CX CR PY CW CV CU SZ SY SX KG KE SS SR KI KH SV KM ST SK KR SI KP KW SN SM SL SC KZ KY SG SE SD DO DM DJ DK DE YE DZ US UY YT UM LB LC LA TV TW TT TR LK LI LV TO TL LU LR LS TH TF TG TD TC LY VA VC AE AD AG VG AI VI IS IR AM AL AO AN AQ AS AR AU AT IO IN TZ AZ IE ID UA QA MZ 
0 1493 0 1 0 0 0 1 1 0 0 0 0 0 0 0 0 1 0 0 0 0 169 0 0 0 0 1 0 5 0 0 0 0 0 0 0 0 0 0 0 0 1 77 0 0 0 0 0 77 0 0 0 0 0 2 0 0 0 0 1 1 0 0 0 0 7 3 0 0 4 0 0 0 0 0 0 10 7 72 0 405 0 0 0 1 8 9 0 0 0 0 0 0 0 0 8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 22 18 0 14 0 0 0 0 0 0 0 0 0 0 2 4 0 0 0 0 0 5 0 0 0 0 0 0 0 0 8 2 0 4 0 21 0 0 0 0 0 0 1 5 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 1 0 0 1 10 0 0 0 0 0 4 2 0 0 0 0 2 5 0 0 418 3 0 0 0 0 0 0 0 0 5 2 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 23 11 0 0 2 0 0 6 14 1 1 0 
1 1296 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 172 1 0 0 0 2 0 2 0 0 0 0 0 1 0 0 0 0 1 0 0 64 0 0 0 0 0 27 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 7 0 0 0 2 0 0 0 0 0 0 3 6 86 0 275 0 0 0 0 4 9 0 4 0 0 0 0 0 1 5 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 24 21 0 10 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 3 1 1 0 0 0 0 0 0 8 2 1 6 0 23 0 0 0 0 0 0 3 2 0 0 2 0 0 0 0 5 0 0 0 0 3 0 0 0 2 0 0 0 13 0 0 0 0 0 5 0 0 1 0 0 0 6 0 0 400 5 0 0 2 0 0 0 1 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 24 10 0 0 5 0 0 1 21 0 0 0 
2 1246 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 2 0 0 0 0 156 0 0 0 0 1 0 3 0 0 0 0 0 1 0 0 1 0 1 0 0 65 0 0 0 0 0 21 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 13 0 0 0 1 0 0 0 1 0 0 6 11 92 0 181 0 0 0 0 1 15 1 2 1 0 0 0 0 1 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 46 23 0 3 0 0 0 0 1 0 0 0 0 2 1 0 0 0 0 0 0 1 1 4 0 0 0 0 0 0 6 2 0 4 0 20 0 0 0 0 0 0 1 2 0 0 0 0 0 0 0 6 0 1 0 0 0 0 0 0 1 0 0 1 2 0 0 0 0 0 1 0 0 4 0 0 0 23 0 0 394 3 0 0 0 1 0 0 0 0 2 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 26 11 0 0 12 0 0 1 44 0 0 0 
3 1372 0 1 0 0 0 0 2 0 0 0 0 1 0 0 0 0 0 0 0 0 109 1 0 0 0 1 0 11 0 0 0 0 0 1 0 0 0 0 0 0 2 72 0 0 0 1 0 15 0 0 0 0 0 1 0 0 0 0 0 1 0 2 1 0 7 0 0 0 0 0 0 0 0 0 0 4 11 108 0 322 0 0 0 0 3 13 5 1 1 0 0 0 0 0 3 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 47 12 0 10 0 0 0 0 0 0 0 0 0 0 2 2 0 0 0 0 0 8 1 0 0 0 0 0 0 2 9 2 0 0 0 27 0 0 0 0 0 0 2 1 0 0 0 0 0 0 0 21 0 0 0 0 0 0 0 1 2 0 0 3 1 0 0 0 0 0 4 0 0 2 0 0 0 4 0 0 417 4 0 0 0 0 0 0 1 1 3 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 6 0 0 0 0 0 0 0 0 0 0 0 0 0 22 12 1 0 11 1 0 0 25 1 0 0 
4 1725 0 2 0 0 0 1 1 0 0 0 0 0 0 0 0 1 0 1 0 0 66 0 0 0 0 1 0 17 1 0 0 0 1 0 0 0 0 0 0 0 1 86 0 0 0 3 0 11 0 1 0 0 0 3 1 1 0 0 9 0 0 0 1 0 3 0 0 0 0 0 0 0 1 0 0 7 11 137 0 649 0 0 0 0 5 36 1 2 1 0 0 0 2 1 5 0 2 0 0 0 0 0 0 0 0 0 0 0 0 5 0 0 0 0 0 0 0 0 1 44 26 0 8 0 0 0 0 1 0 0 0 0 1 1 4 1 0 0 0 0 11 1 0 0 0 0 0 0 0 10 2 0 2 0 20 0 0 0 3 0 0 1 1 0 0 1 0 1 0 0 20 0 0 0 0 0 0 0 1 1 1 0 0 2 0 0 0 0 0 3 2 1 1 0 0 0 10 0 0 351 3 0 0 1 0 0 0 1 1 4 3 0 1 0 0 0 0 0 5 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 24 9 1 0 25 3 0 1 31 0 0 0 
5 2305 0 0 0 0 0 1 4 0 0 0 0 0 0 0 0 6 0 4 0 0 34 0 0 2 0 3 0 34 0 0 0 0 1 0 0 0 0 0 1 0 0 66 0 0 0 1 0 29 0 0 0 0 0 1 0 0 0 0 10 1 3 2 1 0 1 0 0 0 1 0 0 0 0 1 0 3 2 102 0 1274 0 1 0 0 2 50 1 2 2 0 0 0 0 0 11 0 7 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 50 14 0 10 0 0 0 0 4 0 0 0 0 1 3 15 0 0 0 0 0 39 2 0 0 0 0 0 0 0 0 0 0 3 0 15 0 0 0 3 2 0 3 0 0 0 0 0 0 0 0 16 0 0 0 0 0 0 0 0 3 0 0 0 4 0 0 0 0 0 1 11 0 0 0 0 1 8 0 1 291 3 0 0 1 0 0 0 5 0 4 5 0 1 0 0 0 0 0 3 0 0 0 0 2 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 9 10 13 0 24 12 2 1 41 0 0 0 
6 3591 0 1 0 0 5 0 21 0 0 0 0 0 0 0 0 2 0 0 0 0 29 0 0 0 0 10 2 55 0 0 0 0 3 0 0 1 1 0 7 0 0 89 0 0 0 2 0 44 0 0 0 0 0 4 1 0 0 0 11 0 0 1 0 0 1 0 0 0 5 0 0 0 1 0 1 0 7 120 0 2306 0 0 0 1 3 89 0 18 2 0 0 0 1 2 12 0 4 0 0 0 0 0 0 0 0 0 1 1 1 2 0 0 0 1 0 0 0 0 1 56 3 3 43 0 0 0 0 5 0 0 0 0 2 3 19 0 0 0 0 0 48 2 0 0 0 0 0 0 4 0 5 1 1 0 16 0 0 0 4 2 0 0 0 0 0 0 0 0 0 0 21 0 0 0 0 0 0 0 1 5 3 0 0 12 0 0 0 0 0 5 20 0 0 0 0 0 47 0 0 181 1 0 0 1 0 0 0 1 0 6 1 0 1 0 0 0 0 0 6 0 0 0 0 5 0 0 69 0 0 0 0 0 1 0 0 0 0 0 0 0 4 11 10 0 21 8 2 4 52 5 0 0 
7 4730 0 1 0 0 7 0 6 0 0 1 3 1 0 0 0 0 0 1 0 0 26 0 0 1 0 7 0 22 1 0 0 1 2 0 0 1 1 0 2 0 0 109 0 0 0 1 0 109 0 0 0 1 0 12 0 0 0 0 9 0 4 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 9 118 0 3366 0 3 0 1 5 78 0 19 0 0 0 0 3 1 26 0 3 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 61 5 3 55 0 0 0 0 1 0 0 0 0 1 19 52 3 0 0 0 0 76 3 2 0 0 0 0 0 5 1 1 0 0 0 3 0 0 0 10 0 0 0 1 0 0 0 0 0 0 0 18 0 0 0 0 0 0 0 3 8 2 0 1 0 0 0 0 0 0 5 28 1 0 0 0 3 63 0 2 126 0 0 0 0 0 0 0 5 0 3 3 0 0 0 0 0 0 0 3 0 0 0 0 2 0 0 89 0 0 0 0 0 0 0 0 1 1 0 0 0 4 19 5 0 15 12 5 5 22 7 1 0 
8 5711 1 1 0 0 2 0 15 0 0 0 0 0 0 0 0 1 0 5 0 0 42 0 0 3 0 10 1 17 1 0 0 0 2 2 0 0 0 0 0 0 0 116 0 0 0 1 0 171 0 0 0 0 0 22 1 1 2 0 8 0 2 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 4 130 0 4067 0 1 0 0 14 92 0 21 1 0 0 0 0 6 21 0 7 1 0 0 1 0 0 0 0 0 0 1 1 0 0 2 0 0 0 0 0 0 1 66 3 4 62 0 0 0 0 5 0 0 0 0 0 15 61 0 0 0 0 0 65 5 0 0 0 0 1 0 5 1 5 1 2 0 0 0 0 0 16 1 0 0 0 0 0 5 0 0 0 0 24 0 0 0 0 1 0 0 2 2 4 0 1 8 0 0 0 0 0 5 25 0 0 0 0 2 117 0 0 121 1 0 0 0 0 0 0 2 0 16 2 0 0 0 0 4 0 0 2 0 0 0 0 1 0 0 111 0 0 0 0 0 0 0 0 0 0 0 0 0 2 16 17 0 21 14 3 14 40 8 1 0 
9 6252 0 0 0 0 0 0 14 0 0 0 0 0 0 0 0 0 0 2 0 0 24 0 0 3 0 7 0 16 0 0 0 0 2 1 0 0 0 0 1 0 1 92 0 0 0 2 0 174 0 0 0 0 0 7 0 0 1 0 3 0 4 0 0 0 1 1 0 0 6 0 0 1 0 0 0 0 17 169 0 4634 0 0 0 0 5 82 1 39 0 0 0 0 1 7 42 0 13 0 0 0 1 3 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 66 5 1 41 0 0 0 0 5 0 0 0 0 0 17 43 1 0 0 0 0 91 1 1 0 0 0 2 0 9 1 2 2 3 0 8 0 0 0 9 1 0 0 0 0 0 0 0 0 0 0 26 0 0 0 0 0 0 0 2 11 1 0 5 0 0 0 0 0 0 11 89 2 0 0 0 3 80 0 2 74 1 0 0 2 0 0 0 4 0 19 1 0 2 0 0 2 0 0 1 0 0 0 0 1 0 0 94 0 0 0 0 0 1 0 0 2 0 0 0 0 9 22 12 0 16 17 2 11 30 6 1 0 
