hr total blank BD BF BG BA BB BE BL BM BN BO BH BI BJ BT JM BV BW WS BQ BR BS JE BY BZ RU RW RS LT RE TM TJ RO TK GW GU GT GS GR GQ GP JP GY GG GF GE GD GB GA GN GM GL GI GH OM TN JO WF HR HT HU HK HN HM VE PR PS PW PT KN AF IQ PA PF PG PE PK PH PN PL PM ZM EH EE EG ZA EC IT VN SB ET SO ZW SA ES ER ME MD MG MF MA MC UZ MM ML MO MN MH MK MU MT MW MV MQ MP MS MR IM UG MY MX IL FR AW SH AX SJ FI FJ FK FM FO NI NL NO NA VU NC NE NF NG NZ NP NR NU CK XK CI CH CO CN CM CL CC CA CG CF CD CZ CY CX CR PY CW CV CU SZ SY SX KG KE SS SR KI KH SV KM ST SK KR SI KP KW SN SM SL SC KZ KY SG SE SD DO DM DJ DK DE YE DZ US UY YT UM LB LC LA TV TW TT TR LK LI LV TO TL LU LR LS TH TF TG TD TC LY VA VC AE AD AG VG AI VI IS IR AM AL AO AN AQ AS AR AU AT IO IN TZ AZ IE ID UA QA MZ 
0 839 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 2 0 0 0 0 252 0 0 0 0 0 0 0 0 0 1 0 10 0 0 0 0 0 0 0 2 2 0 0 0 0 0 10 0 0 0 0 0 0 1 0 0 0 0 0 2 0 0 0 7 2 0 0 1 0 0 0 1 0 0 9 0 19 0 1 0 0 0 0 3 5 6 1 1 0 0 0 0 2 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 9 28 2 19 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 7 1 0 0 0 0 0 0 0 15 1 0 16 0 29 1 0 0 0 0 0 3 30 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 5 0 0 0 0 0 1 4 0 3 0 0 0 3 0 0 202 4 0 0 0 0 0 0 1 0 9 3 0 0 0 0 0 0 0 4 0 0 0 0 0 0 0 0 0 1 0 0 0 1 1 0 0 0 0 1 0 33 8 2 0 5 1 0 2 14 1 2 0 
1 823 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 250 1 0 0 0 2 0 0 0 0 0 0 4 0 0 1 1 0 1 0 0 4 0 0 0 0 0 7 0 0 0 0 0 0 0 0 0 0 1 0 0 1 2 0 3 1 0 0 3 0 0 0 1 0 0 8 1 38 0 0 0 0 0 0 1 5 2 2 2 0 0 0 0 0 7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 26 31 5 12 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 11 1 2 0 0 0 0 0 0 10 0 0 7 0 14 0 0 0 0 0 0 6 17 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 3 6 0 0 0 0 0 0 3 0 2 0 0 0 6 0 0 208 3 0 0 0 0 0 0 0 0 2 4 0 0 0 0 1 0 0 8 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 37 6 2 0 4 3 0 1 21 0 0 0 
2 757 0 1 0 2 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 249 0 0 0 0 0 0 0 0 0 0 0 5 0 0 0 2 0 1 0 0 8 0 0 0 0 0 3 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 5 2 0 0 0 0 1 1 0 0 0 5 1 27 0 1 0 0 0 0 0 1 1 4 0 0 0 0 0 1 1 0 0 1 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 14 17 1 3 0 0 0 0 0 0 0 0 0 2 0 3 0 0 0 0 0 3 2 0 0 0 0 0 0 1 7 5 0 27 0 13 0 0 0 0 0 0 2 10 0 0 0 0 0 0 0 2 0 0 0 2 2 0 0 0 2 0 0 0 0 0 0 0 0 0 0 2 0 1 0 0 0 2 0 0 188 10 0 0 0 1 0 0 0 0 1 8 0 0 0 0 0 0 0 6 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 30 5 3 0 15 0 0 1 21 0 1 0 
3 750 1 1 0 0 0 0 1 0 0 0 1 1 0 0 0 0 0 0 0 0 164 0 0 0 0 2 0 1 0 0 0 0 26 0 0 0 0 0 1 0 1 16 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 5 3 0 0 1 0 0 0 0 0 0 1 0 29 0 0 0 0 0 0 1 3 3 0 0 0 0 0 0 2 1 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 28 30 1 6 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 1 3 1 0 0 0 0 0 0 12 4 0 14 0 16 0 0 1 0 1 0 3 9 0 0 0 0 0 0 0 3 0 0 0 2 1 0 0 1 2 0 0 5 0 0 0 0 0 0 6 0 0 4 0 0 0 2 0 1 198 3 0 0 0 0 0 0 1 1 7 12 0 3 0 0 0 0 0 4 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 24 14 1 0 17 2 0 0 16 1 0 0 
4 767 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 152 0 0 0 0 3 0 0 0 0 0 0 33 0 0 0 0 0 1 0 0 6 0 0 0 0 0 5 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 4 2 0 0 1 0 1 0 2 0 0 7 3 34 0 1 0 1 0 0 2 17 0 4 0 0 0 0 1 9 7 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 28 31 8 5 0 0 0 0 1 0 0 0 0 1 0 4 0 0 0 0 0 5 6 0 0 0 0 0 0 0 6 4 0 6 0 7 0 0 0 0 0 0 3 9 0 0 0 0 0 0 0 5 0 0 0 0 0 0 0 0 3 0 0 10 1 0 0 0 0 0 4 2 0 0 0 0 0 2 0 0 163 2 0 0 0 0 0 0 3 0 16 10 0 0 0 0 0 0 0 20 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 17 5 0 0 37 3 0 1 17 0 0 0 
5 694 0 1 0 0 0 0 3 0 0 2 2 1 0 0 0 1 0 3 0 0 93 0 0 0 0 4 1 1 0 0 0 0 55 0 0 0 0 0 2 0 0 12 0 0 0 0 0 6 0 0 0 0 0 0 1 0 1 0 0 0 2 3 0 0 0 0 0 0 0 0 0 0 0 0 0 2 2 40 0 1 0 1 0 0 0 15 2 12 2 0 0 0 0 2 17 0 1 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 29 27 11 9 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 12 2 0 0 0 0 1 0 0 5 4 1 13 0 6 0 0 0 1 0 0 2 2 0 0 0 0 0 0 0 3 0 0 0 1 0 0 0 0 3 0 0 6 1 0 0 0 0 0 3 1 0 2 0 0 0 4 0 0 113 1 0 0 0 0 0 0 0 0 19 8 0 0 0 0 0 0 0 19 0 0 0 0 0 0 0 2 0 0 0 0 0 0 1 0 0 0 0 0 0 11 9 0 0 35 3 0 1 21 0 0 0 
6 725 0 0 0 3 0 0 3 0 0 0 0 0 0 0 0 0 0 1 0 0 46 0 0 0 0 10 3 1 0 0 0 0 80 0 0 0 0 0 3 0 0 9 0 0 0 1 0 22 0 0 0 0 0 0 6 0 0 0 1 0 6 1 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 33 0 1 0 1 0 0 2 26 0 14 5 0 0 0 4 3 10 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 37 11 7 17 0 0 0 0 3 0 0 0 0 0 3 2 0 0 0 0 0 18 3 0 0 0 0 1 0 3 4 4 0 9 0 7 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 3 0 0 0 0 1 1 0 0 2 2 0 6 8 0 0 0 0 0 2 9 2 0 0 0 1 2 0 1 86 1 0 0 1 0 1 0 1 0 25 7 0 0 0 0 0 0 1 19 0 0 0 0 0 0 0 10 0 0 0 0 0 0 2 0 0 0 0 0 0 3 7 1 0 39 6 0 1 25 1 0 1 
7 830 0 2 0 0 1 0 7 0 0 1 0 2 0 0 0 0 0 1 0 0 39 0 0 0 0 16 0 0 0 0 0 0 105 0 0 0 0 0 3 0 0 5 0 0 0 0 0 25 0 0 0 0 0 2 3 0 0 0 1 0 2 3 0 0 1 1 0 0 4 0 1 3 0 0 0 4 2 26 0 7 0 0 0 0 0 24 0 20 5 0 0 0 4 2 15 0 0 11 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 31 5 10 23 0 0 0 0 3 1 0 0 0 0 9 0 0 0 0 0 0 11 5 3 0 0 0 1 0 3 3 4 1 4 0 2 0 0 0 2 2 0 0 3 0 0 0 0 0 0 0 10 0 0 0 1 3 0 0 0 5 1 0 12 2 0 0 0 0 0 2 19 0 1 0 0 1 6 0 0 90 0 0 0 0 0 0 0 0 0 35 13 0 1 1 0 0 0 0 32 0 0 0 0 0 0 0 1 0 0 0 0 0 3 1 2 0 0 0 0 0 8 14 5 0 34 4 0 2 33 3 0 0 
8 835 1 4 0 0 0 0 5 0 0 0 0 1 0 0 0 0 0 1 0 0 46 0 0 0 0 10 0 2 1 0 0 0 108 0 0 0 0 0 2 0 0 10 0 0 0 0 0 33 0 0 0 0 0 0 2 0 0 0 1 0 3 0 0 0 1 1 0 0 5 0 0 1 1 0 0 7 2 45 0 6 0 0 0 1 3 38 0 24 2 0 1 0 6 3 38 0 1 3 0 0 1 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 19 4 6 37 0 0 0 0 0 0 0 0 0 0 13 1 0 0 0 0 0 11 6 0 0 0 0 0 0 2 7 6 1 7 0 4 0 0 0 1 3 0 0 0 1 0 0 0 0 0 0 7 0 0 0 0 0 0 0 0 1 0 0 13 1 0 0 0 0 0 3 10 1 1 0 0 1 12 0 0 42 0 0 0 0 0 0 0 0 0 50 5 0 0 0 0 1 0 0 33 0 0 0 0 0 0 0 5 1 0 0 0 0 1 3 0 1 0 0 0 0 5 18 4 0 25 6 0 4 14 2 0 0 
9 1019 0 1 0 0 1 0 5 0 0 1 0 0 0 0 0 0 0 1 0 0 101 0 0 0 0 13 2 1 1 0 0 0 138 0 0 0 0 0 4 0 0 13 0 0 0 0 0 35 0 0 0 0 0 5 2 0 0 0 1 0 2 2 0 0 1 2 0 0 9 0 1 0 0 0 0 13 1 59 0 10 0 0 0 0 4 44 1 31 0 0 0 0 4 5 32 0 0 1 0 0 1 1 1 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 24 5 5 44 0 0 0 0 3 0 0 0 0 0 7 0 0 0 0 0 0 10 2 1 0 0 0 1 0 1 3 3 0 6 0 6 0 0 0 1 6 0 0 5 0 0 0 0 0 0 0 7 0 0 0 0 0 0 0 0 3 0 0 19 0 0 0 0 1 0 3 8 0 1 0 0 0 9 0 0 45 1 0 0 1 0 0 0 1 0 53 17 0 0 0 0 2 0 0 32 0 0 0 0 0 0 0 6 0 0 0 0 0 3 1 0 2 0 0 0 0 6 20 3 0 31 5 0 6 24 2 1 0 
