hr total blank BD BF BG BA BB BE BL BM BN BO BH BI BJ BT JM BV BW WS BQ BR BS JE BY BZ RU RW RS LT RE TM TJ RO TK GW GU GT GS GR GQ GP JP GY GG GF GE GD GB GA GN GM GL GI GH OM TN JO WF HR HT HU HK HN HM VE PR PS PW PT KN AF IQ PA PF PG PE PK PH PN PL PM ZM EH EE EG ZA EC IT VN SB ET SO ZW SA ES ER ME MD MG MF MA MC UZ MM ML MO MN MH MK MU MT MW MV MQ MP MS MR IM UG MY MX IL FR AW SH AX SJ FI FJ FK FM FO NI NL NO NA VU NC NE NF NG NZ NP NR NU CK XK CI CH CO CN CM CL CC CA CG CF CD CZ CY CX CR PY CW CV CU SZ SY SX KG KE SS SR KI KH SV KM ST SK KR SI KP KW SN SM SL SC KZ KY SG SE SD DO DM DJ DK DE YE DZ US UY YT UM LB LC LA TV TW TT TR LK LI LV TO TL LU LR LS TH TF TG TD TC LY VA VC AE AD AG VG AI VI IS IR AM AL AO AN AQ AS AR AU AT IO IN TZ AZ IE ID UA QA MZ 
0 256 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 77 0 0 0 0 0 0 16 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5 0 0 0 1 0 0 0 0 0 0 0 0 10 0 0 0 1 0 0 0 5 0 4 0 0 0 0 0 0 2 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 3 17 0 3 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 1 1 0 0 0 0 3 0 0 0 1 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 11 0 1 3 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 47 2 0 0 0 0 0 0 0 1 5 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 7 0 0 0 3 0 0 1 6 1 0 0 
1 247 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 74 0 0 1 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 1 0 0 0 0 0 0 0 1 17 0 0 0 0 0 0 1 4 0 1 1 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 15 0 4 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 0 0 0 1 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 7 0 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 62 1 0 0 0 0 0 0 0 0 5 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 11 4 0 0 4 0 0 0 2 0 0 0 
2 245 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 61 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 1 0 0 4 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 2 0 0 0 1 0 0 0 0 0 0 1 0 28 0 0 0 0 0 0 0 5 1 3 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6 19 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 5 0 0 0 0 2 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 7 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 54 1 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 12 3 0 0 4 0 0 0 11 0 0 0 
3 242 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 49 0 0 0 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 5 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 5 0 0 0 0 0 0 0 0 0 0 2 0 21 0 0 0 0 0 0 0 5 1 3 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 12 16 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 7 1 0 1 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 16 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 2 0 0 50 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 7 0 0 0 9 0 0 0 8 0 0 0 
4 216 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 31 0 0 0 0 1 0 7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 25 0 0 0 0 0 1 0 10 0 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 11 0 0 0 0 0 0 0 0 0 0 8 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 2 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 22 0 0 2 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 35 1 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 6 6 0 0 8 1 0 0 10 0 0 0 
5 342 0 0 0 0 1 0 2 0 0 0 1 1 0 0 0 0 0 2 0 0 24 0 0 0 0 2 0 15 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 2 0 0 0 0 0 1 0 0 0 0 2 0 0 0 0 0 2 1 0 0 0 0 1 0 0 0 0 0 3 24 0 1 0 1 0 0 1 15 0 5 0 0 0 0 0 1 4 0 1 0 0 0 0 0 1 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 15 8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6 0 1 0 0 0 1 0 0 0 1 0 5 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 100 0 0 3 0 0 0 0 0 3 0 0 0 0 0 0 3 0 0 25 0 0 0 0 0 0 0 0 0 16 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 16 2 1 0 10 0 0 0 
6 432 0 0 0 0 5 0 14 0 0 0 0 0 0 0 0 0 0 0 0 0 13 0 0 0 0 7 0 31 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 2 0 0 0 0 0 1 0 0 0 0 8 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 2 29 0 0 0 1 0 0 1 15 0 8 0 0 0 0 0 1 6 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 17 9 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 1 0 3 0 1 0 1 0 7 0 0 1 2 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 159 0 1 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 9 0 0 0 0 0 0 0 0 0 15 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 3 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 17 2 0 0 17 1 0 0 
7 469 0 0 0 1 1 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 15 0 0 0 0 1 0 30 0 0 0 0 0 0 0 0 3 0 2 0 0 2 0 0 0 0 0 8 0 0 0 0 0 0 0 0 0 0 8 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 2 23 0 0 0 1 0 2 0 23 0 7 0 0 0 0 1 0 6 0 1 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 13 5 0 1 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 2 0 0 0 0 0 1 0 3 0 0 0 1 0 5 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 2 0 0 0 0 1 202 0 0 1 0 0 0 0 0 1 1 0 0 0 0 0 4 0 0 17 0 0 0 1 0 0 0 0 0 16 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 3 0 0 0 0 0 0 1 0 1 0 0 0 0 0 3 4 0 16 1 1 0 10 1 1 0 
8 568 0 0 0 1 5 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 14 0 0 0 0 5 0 44 0 0 0 0 0 0 0 0 4 0 3 0 0 4 0 0 0 0 0 6 0 0 0 0 0 1 1 0 0 0 17 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 1 33 0 2 0 0 0 1 1 29 0 8 0 0 0 0 0 3 5 0 9 0 0 0 1 0 0 0 0 0 1 0 3 0 0 1 0 0 0 0 0 0 0 7 2 0 8 0 0 0 0 0 0 0 0 0 0 5 1 0 0 0 0 0 3 1 0 0 0 0 0 0 1 1 1 0 1 0 1 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 1 0 0 0 1 1 206 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 3 0 0 22 0 0 0 2 0 0 0 0 0 43 3 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 1 1 0 1 0 0 0 0 2 2 0 0 14 2 0 1 12 0 0 0 
9 520 0 0 0 1 2 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 28 0 0 1 0 2 0 55 1 0 0 0 0 0 0 0 3 0 1 0 0 1 0 0 0 0 0 2 0 0 0 0 0 1 0 0 0 0 5 0 1 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 3 34 0 1 0 0 0 0 0 23 0 8 1 0 0 0 1 2 4 0 6 0 0 0 0 0 0 0 0 0 0 0 5 0 1 0 0 0 0 0 0 0 0 13 3 0 3 0 0 0 0 0 1 0 0 0 0 5 0 0 0 0 0 0 1 1 0 0 0 0 4 0 1 0 2 0 0 0 1 0 0 0 6 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 2 166 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 2 0 0 5 0 0 0 1 0 0 0 0 0 59 1 0 0 0 0 0 0 1 2 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 5 0 12 1 1 0 10 1 0 2 
