hr total blank BD BF BG BA BB BE BL BM BN BO BH BI BJ BT JM BV BW WS BQ BR BS JE BY BZ RU RW RS LT RE TM TJ RO TK GW GU GT GS GR GQ GP JP GY GG GF GE GD GB GA GN GM GL GI GH OM TN JO WF HR HT HU HK HN HM VE PR PS PW PT KN AF IQ PA PF PG PE PK PH PN PL PM ZM EH EE EG ZA EC IT VN SB ET SO ZW SA ES ER ME MD MG MF MA MC UZ MM ML MO MN MH MK MU MT MW MV MQ MP MS MR IM UG MY MX IL FR AW SH AX SJ FI FJ FK FM FO NI NL NO NA VU NC NE NF NG NZ NP NR NU CK XK CI CH CO CN CM CL CC CA CG CF CD CZ CY CX CR PY CW CV CU SZ SY SX KG KE SS SR KI KH SV KM ST SK KR SI KP KW SN SM SL SC KZ KY SG SE SD DO DM DJ DK DE YE DZ US UY YT UM LB LC LA TV TW TT TR LK LI LV TO TL LU LR LS TH TF TG TD TC LY VA VC AE AD AG VG AI VI IS IR AM AL AO AN AQ AS AR AU AT IO IN TZ AZ IE ID UA QA MZ 
0 1059 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 113 0 0 1 0 1 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 3 1 0 0 0 0 24 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 4 0 0 0 2 0 0 0 0 0 0 1 0 30 0 0 0 0 0 0 1 3 1 1 1 0 0 0 0 1 6 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 11 15 0 12 0 0 0 0 3 0 0 0 0 1 0 5 0 0 0 0 0 1 1 0 0 0 0 0 1 0 4 2 0 4 0 21 0 0 1 0 0 0 8 5 0 0 0 0 0 0 0 3 0 1 0 0 0 0 0 0 3 0 0 0 3 0 0 0 0 0 2 266 0 0 0 0 6 6 0 0 386 22 0 0 0 0 0 0 0 0 4 3 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 36 6 0 0 2 0 0 1 8 0 0 0 
1 976 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 95 0 0 1 0 3 0 0 1 0 0 0 0 0 0 1 1 0 0 0 1 2 0 0 0 0 0 17 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 3 0 0 0 4 0 0 0 0 0 0 0 0 32 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 14 14 0 6 0 0 0 0 1 0 0 0 0 0 0 8 0 0 0 0 0 2 1 0 0 0 0 0 0 0 5 0 0 3 0 20 0 0 0 0 0 0 8 1 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 6 0 0 0 0 0 2 204 0 2 0 0 0 8 0 0 423 6 0 0 0 0 0 0 0 1 2 0 0 0 0 0 0 0 0 3 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 28 5 1 0 6 0 0 3 17 0 0 0 
2 928 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 91 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 3 0 0 0 0 0 9 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 10 0 0 0 0 0 0 0 0 0 0 5 0 60 0 0 0 0 0 1 1 4 1 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 18 20 0 3 0 0 0 0 1 0 0 0 0 0 0 5 0 0 0 0 0 0 1 0 0 0 0 0 0 0 6 0 0 6 0 15 0 0 0 0 0 0 8 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 3 125 0 1 0 0 1 0 0 0 438 4 0 0 0 0 0 0 0 0 4 2 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 32 7 0 0 11 0 0 0 15 0 0 0 
3 1034 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 66 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 2 0 0 0 1 4 0 0 0 0 0 8 0 0 0 0 0 1 0 0 0 0 0 1 0 0 1 0 7 0 0 0 0 0 0 0 5 0 0 4 3 52 0 0 0 0 0 0 2 3 2 1 3 0 0 0 0 1 4 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 19 21 0 4 0 0 0 0 4 0 0 0 0 4 0 8 0 0 0 0 0 1 5 0 0 0 0 1 0 0 8 2 0 7 0 18 0 0 0 0 0 0 7 2 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 2 1 0 1 1 0 0 0 0 0 2 218 0 0 0 0 3 2 0 0 434 3 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 3 0 1 0 0 0 0 0 0 0 0 0 0 0 23 6 1 0 17 0 0 0 23 0 0 0 
4 1434 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 47 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 2 0 0 0 0 0 6 0 0 0 0 0 0 1 0 1 0 1 0 0 2 1 0 5 0 0 0 0 0 0 0 1 0 0 4 1 63 0 0 0 0 0 9 0 9 0 4 0 0 0 0 0 1 8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 25 13 0 7 0 0 0 0 17 0 0 0 0 1 1 15 0 0 0 0 0 1 1 1 0 0 0 1 0 1 6 2 0 3 0 17 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 2 0 0 3 2 0 0 0 0 2 3 676 0 0 0 0 2 8 0 0 354 1 0 0 0 0 0 0 0 0 9 0 0 0 0 0 0 0 0 4 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 14 11 1 0 27 1 0 0 23 0 0 0 
5 1956 1 0 0 2 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 21 0 0 0 0 1 0 4 0 0 0 0 2 0 0 0 1 0 2 0 0 3 0 0 0 0 0 6 0 0 0 0 0 0 0 0 1 0 1 0 2 0 0 0 0 1 0 0 2 0 0 0 0 0 0 1 3 77 0 5 0 0 0 0 1 14 0 6 0 0 0 0 1 1 9 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 32 29 1 10 0 0 0 0 23 0 0 0 0 0 6 17 0 0 0 0 0 3 2 0 0 0 0 0 0 3 2 2 0 2 0 16 0 0 0 0 2 0 2 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 1 1 0 5 5 0 0 0 0 0 4 1199 1 0 0 0 9 14 0 0 291 3 0 0 0 0 0 0 0 0 14 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 7 0 0 0 0 0 1 0 0 0 0 0 0 0 12 5 3 0 25 1 0 0 28 0 0 0 
6 2847 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 1 0 0 13 1 0 0 0 1 2 6 1 0 0 0 2 0 0 0 0 0 1 0 0 8 0 0 0 0 0 22 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 3 1 0 0 0 0 0 0 0 0 0 1 0 63 0 8 0 0 0 10 3 17 0 7 0 0 0 0 0 2 13 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 34 8 1 18 0 0 0 0 34 0 0 0 0 1 0 23 0 0 0 0 0 7 1 0 0 0 0 0 0 7 2 1 0 2 0 5 0 0 0 1 1 0 2 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 3 0 0 5 9 0 0 1 0 0 9 2146 0 0 0 0 26 17 0 0 195 0 0 0 0 0 0 0 0 1 16 1 0 0 0 0 0 0 0 5 0 0 0 0 1 0 0 3 0 0 0 0 0 0 2 0 0 0 0 0 0 4 6 2 0 21 0 0 0 30 0 0 0 
7 3285 0 0 0 4 0 0 4 0 0 1 0 0 0 0 0 0 0 1 0 0 9 0 0 0 0 4 1 6 1 0 0 0 2 0 0 0 0 0 1 0 0 9 0 0 0 1 0 32 0 0 0 0 0 2 0 1 3 0 4 0 3 1 0 0 1 0 0 0 4 0 0 0 0 0 0 2 0 52 0 3 0 0 0 4 1 25 0 18 0 0 0 0 0 2 26 0 0 0 0 0 0 0 0 2 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 22 6 1 33 0 0 3 0 31 0 0 0 0 0 8 24 0 0 0 0 0 7 3 0 0 0 0 2 0 27 1 2 0 0 0 5 0 0 0 2 1 0 0 0 0 0 0 0 0 0 0 4 0 0 0 0 0 0 0 0 1 1 0 6 2 0 0 0 0 0 5 2553 0 0 0 0 16 19 0 0 144 0 0 0 0 0 0 0 1 0 25 2 0 0 0 0 0 0 0 8 0 0 0 0 0 0 0 8 0 0 0 0 0 1 1 0 0 0 0 0 0 1 5 4 0 35 1 0 1 25 0 0 1 
8 3757 0 2 0 3 0 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 10 0 0 2 0 3 2 2 1 0 0 0 3 0 0 0 1 0 9 0 0 6 0 0 0 0 0 50 0 0 0 0 0 1 3 0 2 0 1 0 5 1 0 0 0 0 0 0 6 0 1 1 0 0 0 0 6 78 0 4 0 1 0 9 1 17 0 13 0 0 0 0 0 2 20 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 1 0 25 5 4 40 0 0 1 0 31 0 0 0 0 0 7 36 0 0 0 0 0 9 4 1 0 0 0 1 0 27 0 3 0 0 0 5 0 0 0 0 2 0 2 0 0 0 0 0 0 0 0 6 0 0 0 0 0 0 0 0 0 0 0 3 3 0 0 0 0 0 3 2957 1 0 0 0 20 24 0 0 107 0 0 0 2 0 0 0 1 0 34 1 0 0 0 0 0 0 0 7 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 1 0 0 0 0 0 7 14 4 0 38 2 0 3 32 1 0 0 
9 4061 0 0 0 0 1 0 5 0 0 0 0 0 0 0 0 0 0 3 0 0 21 0 0 2 0 6 0 2 0 0 0 0 2 0 0 1 0 0 3 0 0 4 0 0 0 1 0 52 0 0 0 0 0 2 0 0 1 0 3 0 4 1 0 0 0 0 0 0 9 0 0 0 0 0 0 0 5 86 0 5 0 1 0 12 5 17 0 18 2 0 1 0 0 2 29 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 2 0 0 0 0 0 0 0 1 32 0 0 42 0 0 2 0 28 0 0 0 0 0 11 20 3 0 0 0 0 10 3 2 0 0 0 2 0 18 0 2 0 1 0 2 0 0 0 0 1 0 0 3 0 0 0 0 0 0 0 4 0 0 0 0 0 0 0 0 5 2 0 2 0 0 0 0 1 0 1 3260 1 0 0 0 10 31 0 1 95 0 0 0 1 0 0 0 1 0 42 5 0 0 0 0 1 0 0 3 0 0 0 0 0 0 0 5 0 0 0 0 0 0 0 0 1 0 0 0 0 9 7 3 0 31 0 3 2 29 0 1 0 
