hr total blank BD BF BG BA BB BE BL BM BN BO BH BI BJ BT JM BV BW WS BQ BR BS JE BY BZ RU RW RS LT RE TM TJ RO TK GW GU GT GS GR GQ GP JP GY GG GF GE GD GB GA GN GM GL GI GH OM TN JO WF HR HT HU HK HN HM VE PR PS PW PT KN AF IQ PA PF PG PE PK PH PN PL PM ZM EH EE EG ZA EC IT VN SB ET SO ZW SA ES ER ME MD MG MF MA MC UZ MM ML MO MN MH MK MU MT MW MV MQ MP MS MR IM UG MY MX IL FR AW SH AX SJ FI FJ FK FM FO NI NL NO NA VU NC NE NF NG NZ NP NR NU CK XK CI CH CO CN CM CL CC CA CG CF CD CZ CY CX CR PY CW CV CU SZ SY SX KG KE SS SR KI KH SV KM ST SK KR SI KP KW SN SM SL SC KZ KY SG SE SD DO DM DJ DK DE YE DZ US UY YT UM LB LC LA TV TW TT TR LK LI LV TO TL LU LR LS TH TF TG TD TC LY VA VC AE AD AG VG AI VI IS IR AM AL AO AN AQ AS AR AU AT IO IN TZ AZ IE ID UA QA MZ 
0 8474 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 126 0 0 0 0 0 28 0 0 0 0 0 0 0 0 0 0 0 0 0 5 0 0 0 0 0 0 0 0 0 0 3 0 1 2 0 4 0 3 0 0 0 0 0 1 0 0 7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 11 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 17 0 0 0 0 1 0 0 0 38 0 0 0 8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 137 0 0 0 0 0 0 0 0 0 8 2 0 0 0 0 1 3 0 0 102 0 0 0 0 0 10 0 15 0 0 0 0 0 0 0 0 0 0 7853 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5 62 9 0 1 0 0 0 3 0 1 0 
1 10218 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 144 0 0 0 2 0 15 0 0 0 0 0 0 0 0 0 0 0 0 0 5 0 0 0 0 0 0 0 0 0 0 2 0 0 1 0 11 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 6 0 0 0 0 0 0 0 0 0 0 0 0 0 12 1 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 14 0 0 0 0 0 0 0 0 44 0 0 0 19 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 163 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 1 0 0 108 0 0 0 0 0 6 0 11 0 0 0 0 0 0 0 0 0 0 9560 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 1 66 8 0 1 0 0 0 1 0 0 0 
2 12900 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 152 0 0 0 1 0 17 0 0 0 0 0 0 1 0 1 0 0 0 0 9 0 0 0 0 0 0 0 0 0 0 2 0 2 4 0 4 0 0 0 0 0 0 1 0 0 1 12 0 0 0 0 1 0 0 0 0 0 0 0 0 0 3 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 21 0 0 0 0 0 0 0 1 0 0 0 0 0 1 1 0 0 0 0 0 0 7 0 0 0 0 0 0 0 0 75 0 1 0 15 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 188 0 0 0 0 0 0 0 0 0 13 0 0 0 0 0 0 0 0 0 169 0 0 0 0 0 6 0 29 0 0 0 0 0 0 0 0 0 0 12068 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 1 0 0 0 0 0 3 59 6 0 2 0 0 0 4 0 0 0 
3 15845 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 164 0 0 0 1 0 13 0 0 0 0 0 0 1 0 0 0 0 0 0 16 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 6 0 1 0 0 0 0 3 0 0 2 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5 0 6 0 0 0 0 0 0 4 0 0 0 0 0 0 37 0 2 2 1 0 0 0 2 0 0 0 0 0 2 0 0 0 0 0 0 1 27 0 0 0 0 0 0 1 0 81 0 0 0 10 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 261 0 0 0 0 0 0 0 0 0 15 2 0 0 0 0 1 1 0 0 204 0 0 0 0 0 8 0 15 0 1 0 0 0 0 0 0 0 0 14818 0 0 0 0 0 0 0 1 0 0 0 0 0 3 0 0 0 0 0 0 0 2 86 0 0 6 0 0 0 8 0 5 0 
4 19519 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 245 0 0 0 1 0 12 0 0 0 0 0 0 2 0 4 0 0 0 0 10 0 0 0 0 0 0 0 0 0 0 6 0 0 6 0 7 0 0 0 0 0 0 5 1 0 2 9 0 0 0 0 0 1 0 0 0 0 0 0 0 0 11 0 9 0 0 0 0 0 0 2 0 0 0 0 0 0 33 0 0 2 0 0 0 0 7 0 0 0 0 0 3 3 0 0 0 0 0 0 47 1 0 0 0 1 0 1 0 112 0 1 0 11 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 287 0 0 0 0 0 0 0 0 0 17 6 0 0 0 0 3 2 0 1 265 0 0 0 0 0 13 0 21 0 0 0 0 5 0 0 0 0 0 18184 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 2 130 1 0 3 0 0 0 8 0 2 0 
5 18458 2 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 171 0 0 0 1 0 8 0 0 0 0 0 0 0 0 1 0 0 0 0 15 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 17 0 0 0 0 0 0 1 0 0 1 6 0 0 0 0 0 1 0 0 0 0 0 0 0 0 5 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 36 1 0 5 0 0 0 0 20 0 0 0 0 0 0 2 0 0 0 0 0 0 17 0 0 0 0 4 0 1 0 106 0 0 0 11 0 0 0 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 305 0 0 0 0 0 0 0 0 0 16 7 0 0 0 0 1 7 0 0 169 0 0 0 0 0 12 0 32 0 2 0 0 5 0 0 0 0 0 17339 0 0 0 0 0 0 0 2 0 0 0 0 0 1 0 2 0 0 0 0 0 0 102 1 0 1 0 0 1 2 0 0 0 
6 19462 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 194 0 0 0 0 0 21 0 0 0 0 0 0 1 0 1 0 0 0 0 12 0 0 0 0 0 0 0 0 0 0 2 0 1 1 0 6 0 0 0 0 0 0 2 0 0 4 7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 7 0 7 0 0 0 0 0 0 1 0 0 0 0 0 0 48 0 0 5 0 0 0 0 10 0 0 0 0 0 2 3 0 0 0 0 0 3 28 1 0 0 0 7 0 6 0 92 0 0 0 19 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 336 0 0 0 0 0 0 0 0 0 16 18 0 0 0 0 10 19 0 0 95 0 0 0 0 0 11 0 23 0 9 0 0 7 0 0 0 0 0 18227 0 0 0 0 0 0 0 2 0 0 0 0 0 15 0 0 0 0 0 0 0 0 146 3 0 10 0 0 0 3 0 1 0 
7 20697 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 230 0 0 0 0 0 34 0 0 0 0 0 1 3 0 5 0 0 0 1 20 0 0 0 0 0 0 0 0 0 0 0 0 1 0 2 9 0 2 0 0 0 0 3 1 0 11 2 0 0 0 0 0 1 0 0 0 0 0 0 0 0 6 0 9 0 0 0 0 0 0 6 0 0 0 0 0 0 55 1 0 8 0 0 0 0 10 0 0 0 0 0 2 14 0 0 0 0 0 0 32 0 0 0 0 6 0 4 0 102 0 0 0 13 0 0 0 11 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 0 0 0 343 0 0 0 0 0 0 0 0 0 19 18 0 0 0 0 1 36 0 0 66 0 0 0 0 0 10 0 49 0 2 0 0 16 0 0 0 0 0 19381 0 0 0 0 0 0 0 0 0 0 0 0 0 15 0 0 0 0 0 0 0 0 102 4 0 3 0 0 0 8 0 0 0 
8 22938 0 0 0 0 0 0 3 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 268 0 0 0 0 0 58 0 0 0 0 0 0 0 0 0 0 0 0 0 13 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 13 0 1 0 0 0 0 2 1 0 6 12 0 0 0 0 0 5 0 0 0 0 0 0 0 0 6 0 19 0 0 0 0 0 0 2 0 0 0 0 0 0 45 0 1 15 0 0 0 0 15 0 0 0 0 0 2 6 0 0 0 0 0 0 30 0 0 0 0 3 0 6 0 98 0 1 0 22 0 0 0 3 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 6 0 0 0 0 476 0 0 0 0 0 0 0 0 0 14 35 0 0 0 0 1 37 0 0 94 0 0 0 0 0 14 0 59 0 8 0 0 30 0 0 0 0 0 21311 0 0 0 0 0 0 0 5 0 0 0 0 0 6 0 0 0 0 0 0 0 0 129 15 0 14 0 0 7 5 0 4 0 
9 24622 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 6 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 255 0 0 0 0 0 79 0 0 0 0 0 0 1 0 2 0 0 0 9 12 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 8 0 0 0 0 0 0 1 0 0 6 12 0 0 0 0 0 6 0 0 0 0 0 0 0 0 8 0 7 0 0 0 0 1 0 2 0 0 0 0 0 0 32 0 0 13 0 0 0 0 21 0 0 0 0 0 1 10 0 0 0 0 0 0 43 0 0 0 0 11 0 6 0 111 0 0 0 24 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5 0 0 0 0 585 0 0 0 0 0 0 0 0 0 15 36 0 0 0 0 5 39 0 0 47 0 0 0 0 0 17 0 82 0 6 0 0 3 0 1 0 0 0 22878 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 1 0 0 0 0 0 0 155 10 0 14 0 0 2 7 1 7 0 
