hr total blank BD BF BG BA BB BE BL BM BN BO BH BI BJ BT JM BV BW WS BQ BR BS JE BY BZ RU RW RS LT RE TM TJ RO TK GW GU GT GS GR GQ GP JP GY GG GF GE GD GB GA GN GM GL GI GH OM TN JO WF HR HT HU HK HN HM VE PR PS PW PT KN AF IQ PA PF PG PE PK PH PN PL PM ZM EH EE EG ZA EC IT VN SB ET SO ZW SA ES ER ME MD MG MF MA MC UZ MM ML MO MN MH MK MU MT MW MV MQ MP MS MR IM UG MY MX IL FR AW SH AX SJ FI FJ FK FM FO NI NL NO NA VU NC NE NF NG NZ NP NR NU CK XK CI CH CO CN CM CL CC CA CG CF CD CZ CY CX CR PY CW CV CU SZ SY SX KG KE SS SR KI KH SV KM ST SK KR SI KP KW SN SM SL SC KZ KY SG SE SD DO DM DJ DK DE YE DZ US UY YT UM LB LC LA TV TW TT TR LK LI LV TO TL LU LR LS TH TF TG TD TC LY VA VC AE AD AG VG AI VI IS IR AM AL AO AN AQ AS AR AU AT IO IN TZ AZ IE ID UA QA MZ 
0 25539 0 0 0 1 0 3 10 0 1 7 0 2 0 0 1 7 0 2 0 0 1278 3 0 0 0 4 0 1 0 0 0 0 0 0 0 2 5 0 4 0 1 147 0 0 0 1 0 130 0 0 1 0 0 6 1 1 0 0 1 2 0 72 1 0 28 1 0 0 51 1 0 0 11 1 1 17 11 19036 0 2 0 1 0 0 37 89 9 31 10 0 0 0 3 21 48 0 4 0 0 0 1 0 0 2 0 6 0 0 3 0 0 0 3 1 3 0 0 0 1 536 95 2 59 1 0 0 0 0 0 0 0 0 9 12 1 1 0 1 0 0 39 27 3 0 0 0 1 3 2 29 16 0 33 0 285 0 0 1 2 0 0 20 27 0 0 0 0 0 0 1 16 0 2 0 4 1 0 0 0 41 0 0 15 20 0 0 0 1 0 97 4 0 25 0 0 1 16 0 1 2053 18 0 0 2 2 2 0 17 6 31 4 0 0 0 0 0 0 0 60 0 0 0 0 0 0 1 39 1 2 0 0 0 3 1 0 1 0 0 1 0 113 115 1 0 41 7 0 10 378 0 25 0 
1 28014 0 0 0 0 0 2 0 0 0 5 1 3 0 0 1 4 0 0 0 0 1168 0 0 0 0 2 0 0 0 0 0 0 1 0 0 2 5 0 1 0 0 204 0 0 0 0 1 70 0 0 0 0 0 4 1 1 1 0 0 6 0 61 2 0 25 0 0 0 25 0 0 1 19 0 1 17 12 21589 0 2 0 0 0 0 15 31 6 14 20 0 0 0 1 17 72 0 0 0 0 0 2 0 0 0 0 4 0 0 0 0 1 0 0 2 7 0 1 0 1 613 115 2 23 0 0 0 0 0 0 0 0 0 10 7 1 1 0 1 1 0 41 34 0 0 0 0 0 2 2 47 24 1 32 0 336 0 0 0 0 0 0 16 28 0 0 0 0 0 0 0 33 0 2 0 4 1 0 0 0 37 2 0 6 21 0 0 0 0 0 114 4 0 36 0 0 6 5 0 0 2097 22 0 0 0 1 3 0 27 1 18 5 0 0 1 0 0 0 0 72 0 0 0 0 0 0 0 50 0 1 0 0 0 1 0 0 0 2 0 0 0 120 90 0 0 75 2 1 10 347 1 10 0 
2 33491 1 3 0 0 0 2 1 0 0 6 2 9 0 0 0 6 0 1 0 0 1079 0 0 0 0 2 0 1 0 0 0 0 0 0 0 1 3 0 1 0 2 168 2 0 0 0 0 47 0 0 0 0 0 3 6 0 0 0 0 0 1 67 2 0 43 0 0 0 16 0 1 0 10 0 0 16 36 26065 0 0 0 0 0 0 12 75 13 5 19 0 1 1 1 22 53 0 0 0 2 0 0 0 0 3 1 7 0 0 0 0 0 0 6 4 6 0 0 0 2 864 134 1 12 0 0 0 0 0 0 0 0 0 14 6 0 0 0 0 0 0 24 24 18 0 0 0 0 1 0 44 29 0 31 0 395 0 0 0 0 0 0 18 15 1 0 0 0 0 0 0 60 0 1 0 4 1 0 0 0 67 0 0 23 4 0 0 0 1 0 156 6 0 38 0 0 0 4 0 0 2452 22 0 0 0 1 1 0 17 6 3 9 0 0 1 0 0 0 0 114 0 0 0 2 3 0 2 89 1 1 0 0 0 1 1 0 0 0 0 1 0 139 113 0 0 172 5 0 12 441 0 29 0 
3 37625 1 6 0 1 0 0 1 0 0 6 2 6 0 0 0 5 0 6 0 0 706 4 0 0 0 3 0 3 2 0 0 0 2 0 0 2 5 0 1 0 0 253 0 0 0 0 0 37 0 0 1 0 0 2 7 1 3 0 0 1 1 91 1 0 19 0 0 0 6 0 1 0 15 1 2 16 26 29799 0 1 0 1 0 0 20 102 5 8 22 0 1 1 4 51 47 0 0 0 1 0 1 0 1 5 0 11 0 1 0 0 2 1 1 2 2 0 0 0 4 905 133 3 9 2 0 0 0 2 0 0 0 0 16 2 7 1 1 0 0 0 29 39 10 0 0 0 1 0 0 28 18 0 27 0 390 0 0 0 0 1 0 17 16 0 0 1 0 0 0 0 154 0 0 0 1 0 0 0 0 86 0 0 32 5 0 0 0 1 0 176 1 0 38 0 0 7 13 0 0 2593 20 0 0 1 0 5 0 33 3 17 16 0 0 0 0 0 0 0 178 0 0 0 1 0 0 0 135 0 0 0 0 0 2 0 0 0 0 0 1 1 99 150 1 0 251 22 0 3 520 0 22 0 
4 41443 3 6 0 0 1 2 5 0 0 9 0 20 0 0 0 5 0 15 0 0 416 0 0 0 1 5 0 2 0 0 0 0 1 0 0 4 8 0 4 0 0 237 0 0 1 1 0 43 0 0 0 0 0 6 5 0 4 0 0 2 0 98 2 0 20 0 0 0 2 0 0 1 7 0 1 9 51 33115 0 4 0 1 0 0 22 228 5 27 29 0 0 1 7 97 77 0 0 0 0 0 1 0 4 1 0 11 3 0 1 0 1 1 6 1 4 0 1 0 5 1218 123 11 20 2 0 0 0 2 0 0 0 0 9 3 18 1 0 0 0 0 47 56 15 0 0 0 0 0 2 25 23 0 16 0 393 0 0 1 3 0 0 26 12 0 0 0 0 1 0 0 108 0 0 0 4 3 0 0 0 93 0 0 78 2 0 0 0 0 0 245 3 1 18 0 0 4 13 0 0 2383 13 0 0 9 0 5 0 31 1 44 22 0 0 0 0 0 0 1 180 0 0 0 0 0 0 0 222 0 1 0 0 0 0 1 0 0 0 0 4 1 73 172 2 0 320 44 1 6 581 1 39 3 
5 36774 1 4 0 0 1 2 4 0 0 13 0 16 0 0 0 2 0 32 1 0 220 0 0 0 0 5 10 7 0 0 0 0 6 1 0 7 5 0 10 0 0 166 0 0 0 0 0 58 0 0 0 0 0 6 9 0 4 0 0 0 0 89 4 0 7 0 0 0 1 0 1 2 14 1 0 5 94 29091 0 3 0 0 0 0 18 391 4 65 23 0 0 2 7 93 90 0 0 0 1 0 0 0 0 3 0 2 0 0 0 0 0 2 3 0 2 0 0 0 10 1156 84 13 24 0 0 0 0 1 0 0 0 0 9 27 18 4 0 0 0 0 83 63 5 0 0 0 0 0 5 15 24 1 7 0 334 0 0 1 2 0 0 12 7 0 0 0 0 0 0 1 129 0 0 0 5 1 0 0 0 90 1 0 78 10 1 0 0 0 0 228 5 2 4 0 0 4 18 0 0 1796 9 0 0 20 1 12 0 27 1 70 20 0 0 1 0 0 0 0 232 0 1 0 0 0 0 0 232 0 0 0 0 0 0 0 0 0 1 0 1 0 24 160 1 0 367 81 1 2 537 1 53 1 
6 39310 0 7 0 1 1 0 7 0 0 10 0 19 0 0 0 2 0 24 0 0 111 0 0 0 0 9 20 7 0 0 0 0 8 0 0 5 1 0 5 0 0 246 0 0 0 0 0 148 0 0 0 0 2 15 12 2 6 0 2 0 1 107 2 0 1 0 0 0 21 0 0 2 4 0 0 4 107 30919 0 4 0 9 0 0 25 608 2 103 28 0 0 6 11 117 106 0 0 0 0 0 1 0 0 4 0 9 2 0 0 0 2 6 2 0 8 0 0 0 11 1387 75 8 59 0 0 0 0 6 0 0 0 0 3 15 33 6 0 0 0 0 136 69 9 0 0 0 1 0 8 10 27 2 8 0 322 1 0 1 3 3 0 8 3 0 0 0 0 2 0 0 210 0 0 0 3 0 0 0 0 70 2 0 145 8 0 0 0 2 0 184 10 1 3 0 0 4 44 0 0 1316 2 0 0 22 0 5 0 25 0 98 13 0 0 0 0 0 0 1 272 0 0 0 1 2 0 0 342 0 1 0 0 0 0 0 1 0 0 0 1 1 31 157 4 0 459 96 0 5 557 2 69 3 
7 39390 2 14 0 0 0 0 33 0 0 8 0 20 0 0 0 0 0 28 0 0 104 0 0 1 0 20 11 3 1 1 0 0 6 0 0 4 4 0 43 0 0 298 0 0 0 1 0 195 0 0 1 0 0 22 22 0 4 0 3 0 1 93 1 0 4 0 0 0 24 0 0 3 1 0 0 1 90 31384 0 9 0 5 0 1 33 607 1 145 11 0 0 7 16 109 148 0 0 0 1 0 3 0 0 3 1 6 0 1 0 0 1 1 4 0 5 0 0 0 18 1290 37 9 65 0 0 0 0 4 0 0 0 0 4 23 13 4 0 0 0 0 121 92 10 0 0 0 2 5 8 8 32 1 2 0 205 0 0 0 0 1 0 2 3 0 0 0 3 0 0 1 242 0 1 0 3 1 1 0 0 77 0 0 133 7 0 0 0 0 0 202 14 4 1 0 0 5 30 0 1 983 5 0 0 24 0 13 0 31 0 104 18 0 1 0 0 0 0 0 250 0 0 0 0 0 0 1 313 2 0 0 0 0 0 2 1 0 2 0 0 0 17 150 3 0 437 94 1 20 572 1 66 3 
8 44369 0 10 0 4 1 0 24 0 0 10 0 28 0 1 1 1 0 42 0 0 185 0 0 0 0 10 12 6 0 0 0 0 9 0 0 5 0 0 54 0 0 418 0 0 0 0 0 308 0 1 0 0 0 29 21 0 5 0 1 0 4 113 0 0 3 0 0 0 32 0 1 3 4 0 0 3 130 35386 0 18 0 14 0 1 30 719 0 168 10 0 0 3 23 92 176 0 1 0 0 0 0 0 0 4 0 4 1 0 3 1 1 2 9 0 11 0 0 1 17 1387 23 21 95 0 0 0 0 5 0 0 0 0 0 50 23 7 0 0 1 0 192 87 17 0 0 0 8 2 16 7 31 0 2 0 164 0 0 1 3 4 0 2 2 0 0 0 6 0 0 0 258 0 1 0 4 0 0 0 1 99 2 1 204 1 2 0 0 0 0 224 10 3 0 0 3 6 91 0 1 781 0 0 0 37 0 6 0 36 1 156 19 0 1 0 0 0 0 3 225 0 0 0 0 0 0 0 317 1 1 0 0 0 0 1 2 1 0 0 0 0 14 194 11 0 431 111 3 16 655 4 71 4 
9 51556 3 2 0 0 1 0 19 0 0 11 0 33 0 1 0 1 0 34 0 0 269 1 0 1 0 19 5 4 0 0 0 0 2 0 0 10 0 0 3 0 1 327 0 0 0 0 0 342 0 1 0 0 1 37 18 1 9 0 3 0 3 134 0 0 0 0 0 0 35 0 1 2 0 0 0 0 150 42762 0 9 0 14 0 0 39 641 2 177 23 0 2 2 14 81 185 0 1 0 1 0 2 0 0 2 1 12 3 0 1 0 5 3 4 0 10 0 0 0 28 1431 12 9 121 0 0 0 0 2 2 0 1 0 1 53 24 6 0 0 0 0 150 81 19 0 0 0 9 2 17 2 43 2 4 0 138 0 0 0 3 6 0 0 9 0 0 0 0 0 0 1 243 0 0 0 9 1 0 0 2 88 3 0 179 1 0 0 0 2 0 239 22 3 0 0 0 13 58 0 0 546 3 0 0 48 0 2 0 44 2 155 15 0 1 0 0 2 0 3 272 0 0 0 0 1 0 0 284 1 0 0 0 0 0 2 1 0 0 0 0 0 25 203 7 0 420 126 0 21 744 6 76 3 
10 61737 4 5 0 0 0 0 35 0 0 16 0 22 0 0 1 1 0 28 0 0 378 0 0 0 0 16 8 3 0 0 0 0 9 0 0 14 0 0 8 0 1 358 0 0 0 1 0 361 0 0 2 0 0 34 21 8 6 0 1 0 5 135 0 0 1 0 0 0 68 0 1 4 0 0 4 5 150 52505 0 15 0 3 0 0 58 676 1 179 16 0 0 4 12 106 212 0 0 0 0 0 5 1 0 1 1 12 1 0 0 2 6 10 5 1 11 0 0 0 23 1558 12 13 125 0 0 0 0 1 0 0 0 0 0 34 20 5 1 0 0 0 161 50 11 0 0 0 8 1 15 5 34 2 14 0 114 1 0 0 0 2 0 0 19 0 0 0 2 0 0 0 200 0 0 0 6 0 0 0 1 164 0 0 180 26 1 0 0 1 1 278 25 2 2 1 0 7 47 0 4 570 2 0 0 39 0 15 0 30 3 148 19 0 0 0 0 0 1 2 251 0 0 0 0 2 0 1 286 0 0 0 0 0 3 0 0 0 3 0 2 2 22 257 19 0 361 103 2 33 732 3 58 4 
11 67671 0 11 0 3 3 1 20 0 0 23 1 35 0 1 0 1 0 32 0 0 441 3 0 0 0 10 4 4 1 0 2 0 9 0 0 8 1 0 16 0 0 370 0 0 0 2 0 394 0 0 0 0 0 38 19 10 4 0 1 0 6 140 0 0 8 1 0 0 67 0 0 2 4 0 1 10 144 58171 0 10 0 5 0 0 48 625 1 193 27 0 0 9 6 141 121 0 1 0 0 0 8 0 0 8 0 6 0 0 2 1 4 2 3 1 13 0 0 0 15 1643 20 15 123 1 0 0 0 5 0 0 0 0 1 50 6 9 0 0 0 0 158 48 11 0 0 0 3 2 10 4 49 1 14 0 156 1 0 0 3 6 0 2 9 1 0 0 6 0 0 0 184 0 0 0 2 1 0 0 1 164 1 0 166 37 0 0 1 0 0 312 26 5 4 1 0 24 49 0 3 671 3 0 0 32 0 11 0 43 2 168 15 0 1 0 0 2 0 0 291 0 1 0 0 0 0 0 297 0 1 1 0 0 1 1 1 0 2 0 0 0 33 240 6 0 364 71 1 34 667 2 70 2 
