hr total blank BD BF BG BA BB BE BL BM BN BO BH BI BJ BT JM BV BW WS BQ BR BS JE BY BZ RU RW RS LT RE TM TJ RO TK GW GU GT GS GR GQ GP JP GY GG GF GE GD GB GA GN GM GL GI GH OM TN JO WF HR HT HU HK HN HM VE PR PS PW PT KN AF IQ PA PF PG PE PK PH PN PL PM ZM EH EE EG ZA EC IT VN SB ET SO ZW SA ES ER ME MD MG MF MA MC UZ MM ML MO MN MH MK MU MT MW MV MQ MP MS MR IM UG MY MX IL FR AW SH AX SJ FI FJ FK FM FO NI NL NO NA VU NC NE NF NG NZ NP NR NU CK XK CI CH CO CN CM CL CC CA CG CF CD CZ CY CX CR PY CW CV CU SZ SY SX KG KE SS SR KI KH SV KM ST SK KR SI KP KW SN SM SL SC KZ KY SG SE SD DO DM DJ DK DE YE DZ US UY YT UM LB LC LA TV TW TT TR LK LI LV TO TL LU LR LS TH TF TG TD TC LY VA VC AE AD AG VG AI VI IS IR AM AL AO AN AQ AS AR AU AT IO IN TZ AZ IE ID UA QA MZ 
0 12565 0 1 0 2 1 1 20 0 0 1 0 1 0 0 0 1 0 0 0 0 394 0 0 0 0 3 2 3 2 0 2 1 3 0 0 0 3 0 3 0 1 9 0 0 0 3 0 86 0 0 0 0 0 2 0 0 1 0 0 1 9 1 0 0 16 0 0 0 9 0 0 10 3 1 0 7 2 68 0 18 0 0 0 0 6 18 0 34 3 0 0 0 0 12 25 0 1 0 0 0 0 0 0 0 0 0 0 0 12 0 2 0 0 0 0 0 0 0 0 36 31 0 85 0 0 0 0 0 0 0 0 0 2 32 5 0 0 0 0 0 8 1 1 0 0 0 3 0 19 14 10 0 15 0 47 0 0 0 8 121 0 0 5 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 2 0 0 7 9 0 0 0 1 0 2 11 0 3 0 0 4 84 0 4 421 6 0 0 1 0 0 0 0 0 10555 5 1 0 0 0 0 0 0 4 0 0 0 0 0 0 0 7 0 1 0 0 0 2 0 0 0 0 0 0 0 39 16 21 0 8 0 51 3 32 3 2 0 
1 7913 1 1 0 2 2 0 19 0 0 1 1 1 0 0 0 4 0 0 0 0 291 1 0 0 0 3 0 1 2 0 0 0 1 0 0 0 0 0 2 0 1 10 0 0 1 1 0 53 0 0 0 0 0 1 0 0 0 0 0 1 2 0 1 0 25 0 0 0 7 0 0 28 2 0 0 6 5 85 0 7 0 0 0 0 9 4 2 19 0 0 0 0 0 10 16 0 0 0 0 0 1 0 0 0 0 0 1 0 14 0 1 0 0 1 0 0 0 0 0 30 21 2 45 2 0 0 0 1 0 0 0 0 0 9 2 0 0 0 0 0 5 1 0 0 0 0 0 0 2 13 14 0 8 0 43 0 0 0 8 88 0 3 4 0 0 1 0 0 0 2 2 0 1 0 0 1 0 0 0 6 0 0 2 12 0 0 0 0 0 3 4 0 2 0 0 3 47 0 0 398 6 0 0 6 2 0 0 2 1 6236 3 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 8 0 0 0 0 0 1 0 0 0 0 0 0 0 53 28 8 0 10 0 18 2 50 1 0 0 
2 6237 0 0 0 1 0 1 10 0 0 0 0 1 0 0 0 4 0 0 0 0 302 1 0 0 0 3 0 2 1 0 0 2 1 0 0 0 2 0 2 0 0 7 0 0 0 1 0 45 0 0 0 0 0 0 1 2 0 0 0 1 4 1 0 0 28 0 0 0 3 0 0 7 5 0 0 6 2 100 0 5 0 0 0 0 4 3 3 20 1 0 0 0 0 6 6 0 1 0 0 0 3 0 4 0 0 0 1 0 4 0 0 0 0 0 0 0 0 0 0 55 36 0 27 0 0 0 0 0 1 0 0 0 1 8 0 0 0 0 1 0 2 2 0 0 0 0 0 2 2 25 7 0 22 0 34 0 0 0 5 42 0 4 4 0 0 2 0 0 0 2 1 0 0 0 0 2 0 0 0 1 0 0 2 1 0 0 0 5 0 1 3 0 5 0 0 2 32 0 0 448 4 0 0 0 0 0 0 0 2 4564 5 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 10 0 2 0 0 0 0 2 0 0 1 0 0 0 52 27 3 0 15 0 15 2 79 0 6 0 
3 7871 1 2 0 4 0 0 12 0 0 0 0 2 0 0 0 2 0 0 0 0 218 1 0 0 0 5 0 0 1 0 0 0 0 0 0 0 2 0 1 0 0 13 0 0 1 1 0 47 0 0 0 0 0 2 2 0 1 0 0 0 1 4 0 0 16 0 0 0 1 0 1 14 1 0 0 4 7 129 0 3 0 0 0 0 7 17 4 7 3 0 0 0 0 14 7 0 0 0 0 0 0 0 3 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 44 56 3 11 0 0 0 0 1 0 0 0 0 0 14 0 0 0 0 0 0 1 0 2 0 0 0 0 2 2 12 11 0 15 0 39 0 0 0 0 46 0 2 4 0 0 0 0 0 0 2 6 0 0 0 0 0 0 0 0 4 0 0 5 1 0 0 0 6 0 4 4 0 5 0 0 0 33 0 0 534 8 0 0 0 0 0 0 3 0 6175 0 0 0 0 0 0 0 0 6 0 0 1 0 0 0 0 19 0 1 0 0 0 0 2 0 0 0 0 0 0 43 21 8 0 20 1 28 0 49 1 5 2 
4 16646 1 1 0 5 0 0 6 0 0 0 0 0 0 0 0 2 0 0 0 0 160 0 0 1 0 17 0 1 1 0 0 1 5 0 0 0 2 0 11 0 0 10 0 0 0 3 0 39 0 0 0 0 0 0 1 0 2 0 0 2 3 4 1 0 18 0 0 0 4 0 0 15 2 0 0 6 6 142 0 3 0 1 0 0 7 40 3 4 1 0 3 0 2 12 3 0 0 0 1 0 1 0 3 0 0 0 1 0 4 0 1 0 1 0 0 0 0 0 0 84 31 1 17 0 0 0 0 3 0 0 0 0 0 38 0 0 0 0 0 0 4 1 0 0 0 0 1 0 5 15 12 0 0 0 28 0 0 0 0 63 0 4 0 0 0 1 0 1 0 0 2 0 0 0 0 3 0 0 0 2 0 0 10 1 0 0 0 4 0 3 13 1 0 0 0 3 60 0 0 404 5 0 0 2 0 0 0 7 0 14925 2 0 0 0 0 0 1 0 8 0 0 0 0 0 0 0 15 0 0 0 0 0 0 1 0 0 0 0 0 0 27 42 10 0 32 4 67 1 49 3 6 0 
5 23498 1 1 0 11 3 0 21 0 0 1 0 2 0 0 0 0 0 4 0 0 75 0 0 1 0 16 2 7 2 0 0 0 11 0 0 0 1 0 29 0 0 32 0 0 0 3 0 46 0 0 0 0 0 1 2 0 2 0 1 1 10 1 2 0 5 0 0 0 4 0 1 17 3 0 0 5 6 148 0 1 0 0 0 0 4 60 1 20 2 0 3 0 0 23 11 0 1 0 0 0 0 0 2 1 0 0 0 0 6 0 0 0 1 0 0 0 0 0 0 63 27 1 24 0 0 0 0 1 0 0 0 0 1 46 2 2 0 0 0 0 3 0 1 0 0 0 1 0 12 3 13 0 2 0 25 0 0 1 5 137 0 0 0 0 0 0 0 1 0 3 5 0 0 0 0 0 0 0 0 1 1 0 6 5 0 0 0 6 0 5 23 0 1 0 0 3 130 1 0 388 1 0 0 5 0 0 0 0 0 21557 2 0 0 0 0 0 0 0 10 0 0 0 0 0 0 0 23 0 1 0 0 0 0 1 0 0 0 0 0 0 25 43 22 0 36 3 88 1 55 5 4 0 
6 36246 0 2 0 12 6 0 38 0 0 0 2 5 0 0 0 0 0 1 0 0 39 0 0 1 0 25 0 1 1 0 0 0 9 0 0 2 1 0 42 0 0 31 0 0 0 4 0 45 0 0 0 0 0 2 7 3 3 0 2 0 11 5 0 0 9 0 0 0 9 0 0 17 0 0 0 7 6 127 0 14 0 0 0 0 3 69 0 55 0 0 0 0 0 28 25 0 0 0 0 0 0 0 10 1 0 0 0 0 6 0 1 1 5 0 0 0 0 0 1 86 17 4 99 0 0 0 0 9 0 0 0 0 0 80 5 0 0 0 0 0 17 3 3 0 0 0 3 0 29 1 25 0 2 0 22 0 0 0 13 232 0 0 0 1 0 0 0 0 0 1 6 0 0 0 0 0 0 0 1 4 3 0 11 2 0 0 0 8 0 2 29 2 4 0 0 5 178 0 0 328 0 0 0 3 0 0 0 1 0 33797 6 0 0 0 0 0 0 0 16 0 0 0 0 0 0 0 22 0 0 0 0 0 0 0 0 3 1 0 0 1 9 51 38 0 41 3 189 0 62 4 2 0 
7 41757 0 2 0 33 5 0 58 0 0 1 0 4 0 0 0 2 0 1 0 0 32 0 0 0 2 30 1 7 1 0 2 1 11 0 0 0 0 0 59 0 0 36 0 0 0 7 0 114 1 0 0 0 0 2 4 1 3 0 1 0 11 10 0 0 4 0 0 0 5 0 0 11 0 0 0 1 10 120 0 11 0 0 0 1 7 96 0 41 0 0 5 2 1 19 38 0 2 0 0 0 4 0 6 1 0 0 1 0 7 0 2 1 2 0 0 0 0 0 0 75 3 4 139 0 0 0 0 2 0 0 0 0 0 72 5 4 0 0 0 0 20 5 1 0 0 0 4 0 38 3 22 1 2 0 23 0 0 0 8 256 0 0 0 0 0 0 0 1 0 4 18 0 0 0 0 0 0 0 0 5 2 0 12 2 0 0 0 11 0 6 31 3 2 0 0 7 250 0 3 220 1 0 0 15 0 0 0 1 1 39013 3 0 0 0 0 0 0 0 13 0 0 0 0 0 0 0 30 0 0 0 0 0 0 5 0 0 0 0 0 0 7 40 53 0 44 7 260 2 78 12 2 0 
8 51242 0 1 0 21 10 0 75 0 0 0 0 2 0 0 0 1 0 3 0 0 48 0 0 1 0 44 1 8 0 0 1 0 7 0 0 0 0 0 95 0 0 18 0 0 0 10 0 152 0 0 0 0 0 2 2 5 2 0 4 0 19 1 0 0 0 0 0 0 9 0 0 43 0 0 0 1 13 153 0 17 0 1 0 4 19 105 1 76 2 0 1 3 1 20 34 0 1 2 1 0 2 0 4 0 0 0 2 0 6 0 7 0 4 0 0 0 0 0 1 90 5 3 251 0 0 0 0 4 0 0 0 0 0 107 12 2 0 0 0 0 28 2 1 0 0 0 9 0 49 1 25 1 1 0 8 0 0 0 28 327 0 0 1 0 1 2 0 2 0 3 8 0 0 0 0 0 0 0 3 5 2 0 18 3 1 0 0 3 0 5 31 0 3 0 0 11 323 0 4 248 1 0 0 10 0 0 0 3 0 47856 8 0 2 0 0 0 0 0 16 0 0 0 0 0 0 0 34 0 0 0 0 0 0 6 1 3 1 0 0 0 5 54 81 0 40 5 245 7 73 12 5 6 
9 53308 1 0 0 18 16 1 107 0 0 0 0 3 0 0 0 2 0 2 0 0 79 0 0 3 0 22 2 9 1 0 2 2 16 0 0 0 0 0 73 1 0 21 0 0 0 6 0 175 0 0 0 0 1 5 4 3 1 0 0 0 13 5 0 0 4 0 0 0 9 0 0 16 1 0 0 1 21 185 0 27 0 1 0 2 12 79 1 98 0 0 0 2 2 19 71 0 1 3 3 0 2 0 0 1 0 0 1 0 16 0 8 0 1 0 1 0 0 0 0 97 2 1 235 0 0 0 0 6 0 0 0 0 0 100 12 1 0 0 0 0 36 1 1 0 0 0 6 0 41 1 17 2 2 0 18 0 0 0 21 330 0 0 0 0 2 5 0 8 0 5 9 0 0 0 0 0 0 0 5 9 2 0 17 1 0 0 0 14 0 8 37 1 4 0 0 8 366 0 5 190 0 0 0 5 0 0 0 1 0 49676 8 0 3 0 0 0 0 0 17 0 0 0 0 0 0 0 35 0 0 0 0 0 0 7 0 0 0 0 0 0 18 50 61 0 59 5 304 6 108 10 2 1 
