hr total blank BD BF BG BA BB BE BL BM BN BO BH BI BJ BT JM BV BW WS BQ BR BS JE BY BZ RU RW RS LT RE TM TJ RO TK GW GU GT GS GR GQ GP JP GY GG GF GE GD GB GA GN GM GL GI GH OM TN JO WF HR HT HU HK HN HM VE PR PS PW PT KN AF IQ PA PF PG PE PK PH PN PL PM ZM EH EE EG ZA EC IT VN SB ET SO ZW SA ES ER ME MD MG MF MA MC UZ MM ML MO MN MH MK MU MT MW MV MQ MP MS MR IM UG MY MX IL FR AW SH AX SJ FI FJ FK FM FO NI NL NO NA VU NC NE NF NG NZ NP NR NU CK XK CI CH CO CN CM CL CC CA CG CF CD CZ CY CX CR PY CW CV CU SZ SY SX KG KE SS SR KI KH SV KM ST SK KR SI KP KW SN SM SL SC KZ KY SG SE SD DO DM DJ DK DE YE DZ US UY YT UM LB LC LA TV TW TT TR LK LI LV TO TL LU LR LS TH TF TG TD TC LY VA VC AE AD AG VG AI VI IS IR AM AL AO AN AQ AS AR AU AT IO IN TZ AZ IE ID UA QA MZ 
0 121015 7 59 4 20 18 60 101 0 2 14 21 45 0 3 0 127 0 14 0 0 23378 30 0 13 0 301 1 361 6 1 2 0 24 2 0 14 154 0 43 1 37 1355 3 0 6 3 6 2646 0 7 6 0 2 112 31 19 29 0 115 51 13 50 79 0 1049 1 0 0 571 3 0 76 188 3 0 425 82 2638 0 106 0 1 0 0 836 389 422 331 66 0 4 3 1 1250 2146 0 56 2 0 0 48 2 0 14 1 4 9 0 17 0 2 4 9 48 6 1 1 0 2 786 3278 55 1695 12 0 0 0 20 0 0 0 1 100 200 48 4 1 95 0 0 205 114 25 0 0 0 21 27 55 1648 133 10 1013 0 2289 1 0 10 27 10 0 301 410 2 1 15 0 9 0 1 21 0 4 0 11 95 0 0 10 243 11 0 380 69 0 1 1 2 0 121 90 28 262 2 0 28 373 26 62 55055 629 0 0 193 20 6 0 66 71 881 80 1 6 0 0 1 3 0 983 0 1 0 13 67 0 9 150 1 30 3 0 2 15 24 9 7 19 0 1 0 4744 791 39 0 756 10 7 229 1266 53 70 0 
1 112679 3 51 1 26 4 55 79 0 5 12 20 29 0 0 1 121 0 4 1 0 21580 38 0 34 1 283 1 138 1 2 0 0 42 5 0 16 140 0 30 0 49 1548 3 0 8 6 3 1402 0 2 0 1 0 52 66 3 21 0 80 59 10 37 78 0 806 0 0 0 276 8 0 47 167 2 5 379 135 2966 0 56 0 3 0 1 515 307 409 244 44 0 0 3 6 1001 1103 0 7 1 0 0 17 1 3 13 2 4 21 1 16 0 1 0 8 52 3 0 2 3 1 845 3191 40 929 4 0 0 0 8 1 0 1 0 126 169 22 4 0 4 3 0 125 126 60 0 0 0 1 24 45 1704 138 7 1117 0 2254 12 0 3 20 23 0 335 437 0 0 6 1 5 0 0 53 0 2 0 22 92 0 0 1 249 2 0 249 57 0 2 1 6 2 154 46 21 278 2 0 16 216 12 27 53466 588 0 0 12 12 8 0 54 83 441 62 0 1 0 0 2 0 0 991 0 1 0 8 51 0 7 174 0 19 2 0 1 5 14 1 6 7 0 0 1 4664 688 28 0 1529 8 6 126 1418 35 51 3 
2 123857 20 94 0 29 6 49 33 0 3 11 31 41 0 4 2 170 0 6 0 0 20539 37 2 15 1 370 0 73 1 4 0 0 13 1 0 19 166 0 73 0 40 1564 1 0 2 2 3 837 1 1 1 0 0 41 86 10 18 0 75 56 13 57 74 0 822 2 0 0 151 1 13 35 178 1 2 408 188 3565 0 42 0 1 0 0 354 283 482 202 86 0 1 1 6 1397 748 0 21 0 1 0 22 0 2 12 0 3 12 1 3 2 4 2 18 30 4 4 0 1 6 1090 3771 78 490 7 0 0 0 15 1 0 0 0 155 140 15 1 0 44 2 0 95 122 59 0 0 0 4 4 31 1910 146 2 1114 0 2399 0 1 2 24 2 0 364 400 1 1 7 1 1 2 2 122 0 0 0 26 90 0 0 1 366 3 0 323 35 0 4 0 13 5 188 63 10 283 0 1 16 173 9 15 61624 631 2 0 20 13 4 0 77 69 380 117 0 6 0 1 1 0 0 1329 0 0 0 18 31 1 7 281 0 32 1 0 2 8 14 0 0 4 0 0 2 5544 904 18 0 2416 13 3 74 1996 17 91 5 
3 126109 20 133 0 56 13 38 36 0 2 14 17 77 0 8 2 159 0 11 0 0 14288 51 0 13 6 463 1 74 0 2 0 3 37 5 0 9 195 0 85 0 33 2296 0 0 3 6 3 667 0 1 1 0 0 35 129 8 61 0 99 25 21 59 88 0 711 1 0 0 94 4 3 72 190 2 10 517 328 4303 0 79 0 3 0 2 335 555 552 212 120 1 3 4 17 2506 695 0 4 5 5 0 12 0 9 21 0 3 19 1 1 7 1 8 10 43 3 0 0 1 15 1373 4433 50 433 8 0 0 0 25 1 0 0 0 187 68 15 2 0 16 0 0 118 115 67 0 0 0 2 6 41 1881 206 2 874 0 2012 0 0 2 27 9 0 441 249 1 0 6 0 5 2 7 334 0 1 0 41 102 0 0 1 343 6 1 461 20 0 0 1 21 4 245 54 25 312 1 0 15 208 8 8 65222 610 0 0 51 5 4 0 97 62 564 127 0 19 0 0 0 0 1 1634 0 0 0 11 17 0 13 368 7 27 0 0 2 1 24 1 0 3 0 1 4 4905 817 27 0 3351 46 15 44 2068 34 158 6 
4 115296 20 187 0 47 15 26 67 0 2 23 15 74 0 1 4 128 0 31 0 0 9713 37 0 50 0 695 2 205 8 16 0 1 79 0 0 16 221 0 163 1 12 2020 2 0 4 15 1 740 1 1 0 0 2 43 180 12 46 0 118 19 25 87 119 0 597 1 0 0 92 3 6 83 256 1 4 470 477 4631 0 87 0 11 0 7 317 1480 543 560 71 0 3 5 26 3120 1179 0 13 2 3 0 13 2 16 20 0 6 24 0 20 10 0 11 20 22 2 0 0 0 27 1546 4493 91 565 4 0 0 0 51 1 0 1 0 161 128 19 11 0 64 0 0 208 137 70 0 0 0 3 2 51 1685 188 6 567 0 1844 0 0 8 36 11 0 391 149 1 0 4 2 14 4 9 315 0 2 0 19 88 0 0 10 367 8 0 911 15 1 0 3 42 2 280 83 37 149 2 0 17 355 13 13 54581 369 0 0 119 4 9 0 108 65 1101 130 0 20 1 0 12 1 8 2038 0 1 0 8 27 0 5 453 4 10 0 0 0 5 38 4 1 2 0 2 1 3260 895 32 0 4579 61 19 52 2144 89 174 25 
5 90767 13 207 1 97 40 21 98 0 1 20 11 103 1 1 2 97 0 50 2 0 4807 18 0 57 2 901 7 370 3 8 0 1 85 1 0 15 150 0 203 0 5 1852 0 0 1 18 0 1198 0 4 0 1 3 60 197 13 79 0 199 5 26 75 67 0 322 3 0 1 72 3 17 90 135 0 4 338 506 3956 0 136 0 33 0 14 370 2140 244 791 54 0 2 3 42 2463 2450 0 26 5 4 0 8 0 17 17 0 7 22 1 24 16 3 12 11 9 12 0 0 2 33 1454 3191 94 1041 5 0 0 0 72 1 0 0 0 108 212 30 17 0 3 2 0 379 147 60 0 0 1 13 4 88 862 229 15 244 0 1204 2 0 1 36 34 1 279 80 0 0 9 3 6 1 14 313 0 3 0 30 53 0 0 28 300 27 0 830 18 1 1 1 38 2 248 153 63 65 0 0 27 435 7 50 37755 235 0 0 141 0 4 0 121 39 1656 102 0 32 0 2 6 2 3 2023 0 1 0 0 40 0 2 554 4 8 0 0 0 7 47 14 6 20 0 0 2 1647 861 42 0 4681 95 39 73 1939 123 141 20 
6 89254 15 259 2 72 174 11 159 0 1 13 6 126 0 5 2 61 0 74 3 0 3225 8 0 90 1 1335 10 795 7 12 1 1 95 3 0 66 87 0 309 0 0 2280 0 0 3 22 0 2904 1 4 1 0 5 139 265 23 124 0 263 6 86 74 34 0 225 3 0 0 218 0 15 125 38 2 8 223 648 4183 0 291 0 57 0 11 565 2980 168 1381 66 0 5 18 68 2816 4606 0 31 9 6 0 178 3 11 24 2 8 20 0 14 16 7 15 28 12 9 0 0 1 62 1619 1886 147 1919 3 0 0 0 101 0 0 2 0 42 447 46 47 1 124 1 0 635 160 73 0 0 0 12 23 182 483 183 27 198 0 835 3 0 4 93 47 0 156 35 6 0 3 4 5 0 15 395 0 0 0 25 19 0 0 34 386 41 0 1109 30 1 0 1 62 2 253 221 73 44 1 1 54 716 11 147 26803 163 0 0 109 3 13 0 122 20 2686 113 0 81 2 6 17 1 7 2244 0 7 0 1 50 0 0 760 18 8 0 0 4 6 86 6 5 20 0 0 2 952 962 81 0 5040 105 75 162 2348 183 272 22 
7 87943 27 220 0 89 174 2 215 0 0 22 4 145 0 5 0 38 0 83 0 0 2553 6 0 132 0 1423 10 899 12 20 0 1 169 4 0 22 44 0 582 1 1 2317 0 0 0 36 0 5036 6 3 0 1 5 229 263 45 110 0 298 7 95 87 20 0 154 4 0 0 388 1 9 161 33 1 3 152 659 4686 0 377 0 52 0 24 606 3498 75 1982 107 0 4 7 48 2920 6761 0 73 12 3 0 137 5 10 37 2 13 28 0 21 5 8 9 26 4 3 0 0 0 39 1694 1085 158 2723 1 0 0 0 130 0 0 0 0 37 744 85 50 0 3 0 0 764 209 90 0 0 0 27 35 299 258 188 50 149 0 574 7 0 9 90 66 0 114 25 0 0 0 6 29 2 10 467 0 0 0 37 17 0 0 35 437 70 0 1032 17 1 1 0 38 1 231 237 77 15 1 0 85 992 10 56 18378 78 0 2 157 0 17 0 128 15 3602 143 0 89 1 1 25 7 5 2210 0 6 0 0 54 7 1 841 24 0 0 0 0 16 68 9 15 13 0 3 3 629 1079 112 0 4603 120 63 265 2386 281 229 35 
8 93978 21 258 0 121 228 3 342 0 0 16 3 171 1 4 3 9 1 98 0 0 3852 6 0 150 0 1671 19 1087 15 10 0 0 96 4 0 29 26 0 583 0 1 2914 1 0 1 37 0 6708 7 6 0 1 3 325 256 41 121 0 396 0 104 116 9 0 235 3 0 0 407 0 7 148 17 3 1 89 600 5230 0 454 0 65 0 27 775 3702 58 2384 158 8 9 6 58 3137 8914 0 103 20 2 0 62 4 15 29 2 9 38 0 52 8 27 20 31 6 8 0 1 1 44 2113 598 205 3828 1 0 0 0 112 0 0 2 0 16 880 95 56 0 28 1 0 894 223 73 0 0 0 31 40 319 170 235 53 128 0 454 4 1 15 148 84 0 46 27 2 2 1 3 21 0 6 538 0 0 0 32 10 0 0 72 521 62 0 1188 21 0 1 1 63 0 288 369 103 14 4 0 87 1230 6 99 12714 48 1 0 161 0 10 0 139 9 4412 128 1 82 0 0 54 5 4 2467 0 4 0 3 82 1 1 897 56 2 0 0 0 18 87 18 23 21 0 3 7 557 1145 116 0 4650 120 58 430 2226 374 271 42 
9 98823 23 201 3 187 228 1 373 0 0 24 2 176 1 7 4 16 0 79 0 0 5313 5 1 155 2 1817 12 1350 17 18 1 1 130 5 0 39 14 0 640 3 11 2853 0 0 1 42 1 7563 2 5 7 3 4 405 261 44 150 0 403 7 105 92 7 0 469 0 0 0 599 0 11 199 19 1 5 56 645 5855 0 527 0 55 0 18 815 3726 54 2326 115 0 11 3 60 3186 9633 0 129 15 2 0 84 5 10 34 3 6 33 1 42 9 55 20 28 4 8 0 3 1 50 2014 446 261 4437 0 0 0 0 137 2 0 0 0 7 930 100 74 0 61 2 0 999 216 96 0 0 1 53 30 268 145 237 50 167 0 467 4 0 11 133 74 0 57 116 0 8 4 7 16 0 8 511 0 1 0 28 9 0 0 82 528 44 1 1246 38 0 1 1 60 0 268 351 98 21 0 1 101 1349 11 198 10591 95 0 0 124 1 15 0 165 19 4408 127 1 45 0 0 80 4 11 2552 0 5 0 0 96 2 7 908 63 2 3 0 0 24 84 19 28 28 0 1 4 1153 1322 172 0 4577 116 59 536 2260 394 288 49 
