hr total blank BD BF BG BA BB BE BL BM BN BO BH BI BJ BT JM BV BW WS BQ BR BS JE BY BZ RU RW RS LT RE TM TJ RO TK GW GU GT GS GR GQ GP JP GY GG GF GE GD GB GA GN GM GL GI GH OM TN JO WF HR HT HU HK HN HM VE PR PS PW PT KN AF IQ PA PF PG PE PK PH PN PL PM ZM EH EE EG ZA EC IT VN SB ET SO ZW SA ES ER ME MD MG MF MA MC UZ MM ML MO MN MH MK MU MT MW MV MQ MP MS MR IM UG MY MX IL FR AW SH AX SJ FI FJ FK FM FO NI NL NO NA VU NC NE NF NG NZ NP NR NU CK XK CI CH CO CN CM CL CC CA CG CF CD CZ CY CX CR PY CW CV CU SZ SY SX KG KE SS SR KI KH SV KM ST SK KR SI KP KW SN SM SL SC KZ KY SG SE SD DO DM DJ DK DE YE DZ US UY YT UM LB LC LA TV TW TT TR LK LI LV TO TL LU LR LS TH TF TG TD TC LY VA VC AE AD AG VG AI VI IS IR AM AL AO AN AQ AS AR AU AT IO IN TZ AZ IE ID UA QA MZ 
0 8278 0 0 0 0 1 0 1 0 0 0 0 149 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 5 0 0 0 0 0 0 0 0 1 0 0 0 0 0 236 0 0 0 0 0 0 47 2 91 0 0 0 3 0 0 0 0 0 0 0 0 0 0 84 0 0 0 0 1 0 0 1 0 0 0 0 1586 0 0 6 0 0 0 1 0 3637 4 1 0 0 0 0 8 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 4 0 0 11 0 9 22 0 0 0 0 1 0 0 0 0 0 4 0 0 0 0 0 0 0 2 0 0 0 0 0 0 16 0 0 0 0 0 8 0 0 0 0 3 0 0 0 0 0 1 0 15 0 1 0 0 0 0 0 0 0 0 1 1 0 0 1049 0 0 0 0 0 0 0 3 67 0 0 0 6 38 21 11 292 0 0 0 27 0 0 0 0 0 20 0 0 0 0 0 0 0 0 1 0 0 0 0 267 0 0 324 0 0 0 0 0 0 14 0 0 0 0 0 0 0 12 2 0 0 0 0 21 4 3 128 0 
1 7098 0 0 0 0 0 0 0 0 0 0 0 131 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 1 0 0 4 0 0 0 0 0 246 0 0 0 0 0 0 47 4 46 0 0 0 1 0 0 0 0 0 0 0 0 0 0 73 0 0 0 0 3 1 0 1 0 0 0 0 1289 0 0 8 0 0 0 0 0 3138 1 0 0 0 0 0 11 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 8 1 0 21 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 2 0 0 0 0 0 0 9 0 0 0 0 0 29 0 0 0 0 5 0 0 0 0 0 1 0 11 0 0 0 0 0 0 0 0 0 0 0 5 0 0 899 0 0 0 0 0 0 0 2 36 0 0 0 0 36 11 5 317 0 0 0 27 0 0 0 0 0 12 7 0 0 0 0 0 1 0 6 0 0 0 0 179 0 0 294 0 0 0 0 0 0 8 0 0 0 0 0 0 0 18 1 0 5 0 1 16 6 6 101 0 
2 5980 0 2 0 0 0 0 2 0 0 0 0 87 0 0 0 0 0 0 0 0 4 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5 0 0 0 0 0 153 0 0 0 0 0 0 170 2 38 0 0 0 1 1 0 0 0 0 0 0 0 0 1 45 0 0 0 0 4 1 0 0 0 0 0 0 782 0 0 6 0 0 1 2 0 2713 3 0 0 0 0 0 6 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 2 0 0 11 0 0 14 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 26 0 0 0 0 2 0 0 0 0 0 1 0 8 0 1 1 0 0 0 0 0 0 0 0 4 0 0 775 0 0 0 0 0 0 1 5 31 0 0 1 0 12 13 5 291 0 0 0 49 0 0 0 0 0 20 0 0 0 0 0 0 0 0 5 0 0 0 0 103 0 0 374 0 0 0 0 0 0 3 0 0 0 0 0 0 0 18 5 0 6 0 0 13 11 1 132 0 
3 7309 0 1 0 0 0 0 1 0 0 0 0 158 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 7 0 0 0 0 0 122 0 1 0 0 0 0 231 1 51 0 0 0 0 0 0 0 0 0 0 0 0 0 0 117 0 0 0 0 3 3 0 0 0 0 0 0 509 0 4 0 0 0 0 5 0 4121 1 0 0 0 0 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 18 2 5 12 0 0 0 0 0 0 0 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 24 0 0 0 0 2 0 0 0 0 0 0 0 8 0 0 1 0 0 0 0 0 0 0 0 10 0 0 656 0 0 0 0 0 0 2 0 29 0 0 0 0 13 7 8 328 0 0 0 52 0 0 0 0 0 12 2 0 0 0 0 0 0 0 6 0 0 0 0 60 0 0 420 0 0 0 0 0 0 8 0 0 0 0 0 0 0 14 3 0 4 0 0 8 3 2 241 0 
4 7050 0 0 0 0 1 0 0 0 0 0 0 170 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 7 0 0 0 1 0 81 0 0 0 0 0 0 253 5 87 0 0 0 0 0 0 0 0 0 0 0 0 0 3 140 0 0 0 0 37 3 0 0 0 0 0 0 422 1 0 4 0 0 0 1 0 3558 2 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 14 1 1 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 0 0 0 0 0 0 0 0 1 0 0 0 29 0 0 0 0 0 0 0 0 0 0 0 0 5 0 1 0 0 0 0 0 0 0 0 0 1 0 0 792 0 0 0 0 0 0 0 13 58 0 0 0 0 27 14 8 361 0 0 0 84 0 0 0 0 0 35 0 0 0 0 0 0 0 0 11 0 0 0 0 41 0 0 542 0 0 0 0 0 0 8 0 0 0 0 0 0 0 20 2 0 10 0 0 5 7 2 169 0 
5 8055 0 0 0 0 0 0 0 0 0 0 0 210 0 0 0 0 0 0 0 0 1 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5 0 0 0 0 0 69 0 0 0 0 0 0 436 7 101 0 0 0 0 0 0 0 0 0 0 0 0 0 1 223 0 0 0 0 9 2 0 0 0 0 0 0 559 2 0 4 0 0 0 0 0 3678 3 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 1 0 1 13 0 5 7 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 3 0 0 0 0 0 0 3 0 3 0 0 0 32 0 0 1 0 1 0 0 0 0 0 0 0 8 0 2 0 0 0 0 0 0 0 0 0 2 0 0 861 0 0 0 0 0 0 0 2 91 0 0 0 0 23 18 22 321 0 0 0 157 0 0 0 0 0 31 0 0 0 0 0 0 0 0 3 0 0 0 0 51 0 0 745 0 0 0 0 0 0 17 1 0 0 0 0 0 0 24 1 0 24 0 2 3 9 0 244 0 
6 8928 0 2 0 0 3 0 3 0 0 0 0 293 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 4 0 0 0 3 0 47 0 0 0 0 0 0 477 12 161 0 0 0 0 0 0 0 0 0 0 0 0 0 0 170 0 0 0 0 10 4 0 1 0 0 0 0 603 0 1 0 0 0 0 1 0 4013 2 0 0 0 0 0 2 0 2 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 13 0 6 16 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 1 3 0 0 0 0 1 0 2 0 1 0 0 0 26 0 0 0 0 0 0 0 0 0 0 2 0 24 0 0 0 0 0 0 0 0 0 0 0 5 0 0 972 0 0 0 0 0 0 1 6 90 0 0 0 2 13 12 50 359 0 0 0 167 0 0 0 0 0 46 0 0 0 0 0 0 0 0 4 0 0 0 0 37 0 0 882 0 0 0 0 0 0 23 0 0 0 0 0 0 0 12 2 0 11 0 1 6 10 2 296 0 
7 11746 0 0 0 3 1 0 1 0 0 1 0 348 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 1 0 0 0 0 0 0 0 0 0 0 3 0 0 4 0 0 0 11 0 73 0 1 0 0 0 0 578 22 249 0 0 0 0 0 0 0 0 0 0 0 0 0 2 231 1 0 0 0 10 5 0 1 0 0 0 0 929 0 0 14 0 0 1 0 0 5234 10 0 0 0 0 0 9 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 15 0 9 6 0 0 0 0 0 0 0 0 0 0 1 2 0 0 0 0 0 2 1 0 0 0 0 0 0 6 0 4 0 0 0 14 0 0 0 0 2 0 0 0 0 0 0 0 15 0 1 0 0 0 0 0 0 0 0 4 4 0 0 1322 0 0 0 0 0 0 3 20 146 0 0 0 7 38 30 36 241 0 0 0 183 0 0 0 0 0 63 0 0 0 0 0 0 0 0 7 0 0 1 0 103 0 0 1204 0 0 0 0 0 0 39 0 0 0 0 0 0 0 34 7 0 17 0 5 5 6 2 389 0 
8 9199 0 1 0 0 1 0 6 0 0 0 0 307 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 3 0 0 0 1 0 91 0 0 0 0 0 0 329 4 217 0 0 0 0 1 0 0 0 0 0 0 0 0 0 237 0 0 0 0 3 3 0 2 0 0 0 0 883 1 0 11 0 0 0 1 0 3937 4 0 0 1 0 0 8 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 14 0 6 12 0 0 0 0 1 0 0 0 0 0 4 4 0 0 0 0 0 0 2 0 0 0 0 0 3 2 0 1 0 0 0 8 0 0 0 0 3 0 0 0 0 0 0 0 14 0 0 0 0 0 0 0 0 0 0 0 2 0 0 903 1 0 0 0 0 0 0 17 134 0 0 0 4 24 23 32 207 0 0 0 134 0 0 0 0 0 53 0 0 0 0 0 0 0 0 2 0 0 0 0 102 0 0 1098 0 0 0 0 0 0 27 0 0 0 0 0 0 0 22 1 0 4 0 2 9 4 3 260 0 
9 10396 0 1 0 0 1 0 3 0 0 0 0 335 0 0 0 0 0 0 0 0 0 0 0 1 0 3 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 128 0 0 0 0 0 0 463 9 175 0 0 0 1 1 0 0 0 0 0 0 0 0 0 211 0 0 0 0 10 4 0 4 0 0 0 0 1128 0 0 7 0 0 0 1 0 4391 5 0 0 1 0 0 15 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 1 0 3 10 0 3 55 0 0 0 0 0 0 0 0 0 0 9 0 0 0 0 0 0 1 5 0 0 0 0 0 0 2 0 3 0 0 0 12 0 0 0 1 3 0 0 0 0 0 0 0 13 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1106 0 0 0 0 0 0 1 11 130 0 0 0 4 41 8 47 183 0 0 0 113 0 0 0 0 0 68 0 0 0 0 0 0 0 0 12 0 0 0 0 163 0 0 1087 0 0 0 0 0 0 29 0 1 0 0 0 0 0 19 7 0 15 1 2 4 3 7 308 0 
