hr total blank BD BF BG BA BB BE BL BM BN BO BH BI BJ BT JM BV BW WS BQ BR BS JE BY BZ RU RW RS LT RE TM TJ RO TK GW GU GT GS GR GQ GP JP GY GG GF GE GD GB GA GN GM GL GI GH OM TN JO WF HR HT HU HK HN HM VE PR PS PW PT KN AF IQ PA PF PG PE PK PH PN PL PM ZM EH EE EG ZA EC IT VN SB ET SO ZW SA ES ER ME MD MG MF MA MC UZ MM ML MO MN MH MK MU MT MW MV MQ MP MS MR IM UG MY MX IL FR AW SH AX SJ FI FJ FK FM FO NI NL NO NA VU NC NE NF NG NZ NP NR NU CK XK CI CH CO CN CM CL CC CA CG CF CD CZ CY CX CR PY CW CV CU SZ SY SX KG KE SS SR KI KH SV KM ST SK KR SI KP KW SN SM SL SC KZ KY SG SE SD DO DM DJ DK DE YE DZ US UY YT UM LB LC LA TV TW TT TR LK LI LV TO TL LU LR LS TH TF TG TD TC LY VA VC AE AD AG VG AI VI IS IR AM AL AO AN AQ AS AR AU AT IO IN TZ AZ IE ID UA QA MZ 
0 469 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 73 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 0 0 0 0 12 0 0 0 0 0 2 0 0 0 0 0 0 0 1 0 0 0 0 0 0 3 0 0 0 1 0 0 3 1 27 0 0 0 0 0 0 1 6 1 1 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 5 0 0 0 0 0 0 8 4 0 9 1 0 0 0 2 0 0 0 0 0 3 1 0 0 0 0 0 3 2 0 0 0 0 9 0 0 2 0 1 5 0 4 0 0 0 0 0 0 1 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5 1 0 0 0 0 0 1 3 1 0 0 0 0 2 0 0 163 2 0 0 0 0 0 0 0 0 4 1 0 0 0 0 0 0 0 22 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 7 0 0 0 0 14 4 0 0 16 4 0 0 7 0 0 0 
1 651 0 0 0 1 0 1 3 0 0 0 0 1 0 0 0 3 0 0 0 0 110 2 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 8 0 0 0 0 0 9 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 2 0 0 1 1 0 0 3 3 49 0 0 0 0 0 0 2 1 3 0 0 0 0 0 0 0 8 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 3 1 0 0 0 0 1 13 20 0 1 0 0 0 0 2 0 0 0 0 2 4 0 0 0 0 0 0 2 4 2 0 0 0 3 2 2 4 2 0 2 0 16 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 2 0 0 1 0 0 0 0 0 0 1 1 1 2 0 0 0 1 0 0 222 4 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 31 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 8 0 0 0 44 1 0 1 20 0 0 0 
2 745 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 120 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 7 0 0 0 1 0 10 0 0 0 1 0 1 0 0 0 0 0 0 0 2 1 0 1 1 0 0 1 0 0 1 2 0 0 2 6 48 0 0 0 0 0 2 2 6 2 0 1 0 0 0 0 1 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 14 0 0 0 0 0 0 26 19 0 3 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 2 1 1 0 0 0 7 0 1 4 0 0 7 0 22 0 0 0 0 0 0 3 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 1 0 0 232 1 0 0 0 0 0 0 0 1 3 3 0 0 0 0 0 0 0 27 0 0 0 0 1 0 1 3 0 0 0 0 0 0 0 0 0 0 0 0 0 21 11 0 0 66 2 0 2 19 0 0 0 
3 836 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 83 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 1 0 0 0 0 15 0 0 0 0 0 2 0 0 0 0 0 1 0 0 1 0 0 0 0 3 1 0 0 0 0 0 0 0 0 0 1 0 0 1 2 57 0 0 0 0 0 2 1 7 0 0 0 0 0 0 0 2 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 8 0 0 0 0 0 0 23 27 1 2 0 0 0 0 2 0 0 0 0 2 0 0 1 0 0 0 0 5 2 1 0 0 0 6 0 0 9 0 0 5 0 16 0 0 0 0 0 0 4 4 0 0 0 0 0 0 0 12 0 0 0 0 0 0 0 0 1 0 0 4 0 0 0 0 0 0 2 0 0 0 0 0 0 2 0 0 291 3 0 0 0 0 0 0 1 0 5 3 0 0 0 0 0 0 0 39 0 0 0 0 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 21 6 0 0 107 0 0 0 21 0 1 0 
4 770 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 54 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 12 0 0 0 0 0 4 0 0 0 0 0 0 1 0 0 0 0 1 0 1 0 0 0 0 0 0 1 0 0 0 1 0 0 2 6 49 0 1 0 0 0 1 1 20 2 0 2 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 16 1 0 0 0 0 0 41 22 0 4 0 0 0 0 6 0 0 0 0 2 0 0 0 0 0 1 0 1 0 1 0 0 0 1 0 0 5 4 0 1 0 14 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 14 0 0 0 0 0 0 0 0 2 0 0 1 0 0 0 0 0 0 4 0 0 0 0 0 0 1 0 0 205 1 0 0 0 0 1 0 0 0 8 4 0 0 0 0 0 0 0 54 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 10 12 0 0 126 1 0 1 32 0 0 0 
5 762 1 2 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 42 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 15 0 0 0 0 0 9 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 2 8 44 0 0 0 0 0 3 0 20 1 1 1 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 24 0 0 0 0 0 0 34 17 1 0 0 0 0 0 8 0 0 0 0 1 0 0 0 0 0 0 0 2 0 1 0 0 0 0 0 0 1 2 0 2 0 15 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 10 0 0 0 1 0 0 0 0 2 0 0 2 0 0 0 0 1 0 5 2 0 0 0 0 0 0 0 0 208 1 0 0 1 0 0 0 0 0 10 2 0 2 0 0 0 0 0 71 0 0 0 0 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 12 8 1 0 122 6 1 0 21 0 0 0 
6 727 0 2 0 0 0 0 0 0 0 0 0 2 0 0 0 1 0 2 0 0 18 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 15 0 0 0 0 0 2 0 0 0 0 0 2 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 2 0 0 4 3 39 0 0 0 0 0 0 0 41 2 8 2 0 0 0 1 2 5 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 25 0 0 0 0 0 1 40 13 0 5 0 0 0 0 15 0 0 0 0 0 1 0 0 0 0 0 0 2 3 1 0 0 0 2 0 1 0 0 0 0 0 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 8 0 0 0 1 0 0 0 0 1 0 0 1 0 0 0 0 0 0 3 1 0 0 0 0 0 5 0 0 140 0 0 0 1 0 1 0 1 0 13 9 0 0 0 0 0 0 0 66 0 0 0 0 0 0 0 4 0 0 0 0 0 0 2 0 0 0 0 0 0 6 8 0 0 141 8 0 1 27 0 1 0 
7 748 1 2 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 2 0 0 13 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 14 0 0 0 0 0 15 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 1 22 38 0 0 0 0 0 0 1 31 0 4 0 0 0 0 2 3 7 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 19 0 0 0 0 0 1 54 7 0 7 0 0 0 0 8 0 0 0 0 0 3 2 1 0 0 0 0 14 1 1 0 0 0 3 0 0 0 0 0 0 0 5 0 0 0 1 0 0 0 0 0 0 0 1 1 0 0 6 0 0 0 0 0 0 0 0 5 1 0 2 1 0 0 0 1 0 3 0 1 0 0 0 0 6 0 0 104 0 0 0 1 0 0 0 0 0 21 4 0 0 0 0 0 0 0 98 0 0 0 0 0 0 0 5 0 0 0 0 0 0 0 1 8 0 0 0 0 3 8 0 0 132 5 0 4 27 2 2 0 
8 556 0 1 0 0 0 0 1 0 0 0 0 3 0 0 0 0 0 3 0 0 7 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 11 0 0 0 0 0 14 0 0 0 0 0 1 1 0 1 0 0 0 0 3 0 0 0 0 0 0 0 0 1 0 0 0 0 0 13 41 0 1 0 0 0 6 2 31 0 5 0 0 0 0 0 4 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 13 0 0 0 0 0 0 31 3 0 9 0 0 0 0 12 0 0 0 0 0 4 0 0 0 0 0 0 10 2 1 0 0 0 3 0 0 0 3 0 1 0 4 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 5 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 1 0 2 0 0 0 0 0 0 5 0 0 62 0 0 0 3 0 0 0 0 0 20 2 0 0 0 0 0 0 0 67 0 0 0 0 0 0 0 3 0 0 0 0 0 0 1 0 0 0 0 0 0 2 7 0 0 94 2 0 1 18 2 0 0 
9 557 0 1 0 0 0 0 3 0 0 0 0 2 0 1 0 0 0 4 0 0 8 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 13 0 0 0 0 0 25 0 0 0 0 0 3 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 8 40 0 1 0 0 0 14 1 21 0 6 0 0 0 2 0 4 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 18 0 0 0 0 0 0 23 2 0 13 0 0 0 0 14 0 0 0 0 0 5 1 0 0 0 0 0 5 2 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 17 0 0 0 0 0 0 0 0 2 2 0 3 0 0 0 0 0 0 3 3 0 0 0 0 2 4 0 1 48 2 0 0 4 0 0 0 0 0 20 1 0 0 0 0 0 0 0 45 0 0 0 0 0 0 0 3 0 0 0 0 0 1 1 0 4 0 0 0 0 4 10 2 0 92 7 0 1 20 2 0 0 
