hr total blank BD BF BG BA BB BE BL BM BN BO BH BI BJ BT JM BV BW WS BQ BR BS JE BY BZ RU RW RS LT RE TM TJ RO TK GW GU GT GS GR GQ GP JP GY GG GF GE GD GB GA GN GM GL GI GH OM TN JO WF HR HT HU HK HN HM VE PR PS PW PT KN AF IQ PA PF PG PE PK PH PN PL PM ZM EH EE EG ZA EC IT VN SB ET SO ZW SA ES ER ME MD MG MF MA MC UZ MM ML MO MN MH MK MU MT MW MV MQ MP MS MR IM UG MY MX IL FR AW SH AX SJ FI FJ FK FM FO NI NL NO NA VU NC NE NF NG NZ NP NR NU CK XK CI CH CO CN CM CL CC CA CG CF CD CZ CY CX CR PY CW CV CU SZ SY SX KG KE SS SR KI KH SV KM ST SK KR SI KP KW SN SM SL SC KZ KY SG SE SD DO DM DJ DK DE YE DZ US UY YT UM LB LC LA TV TW TT TR LK LI LV TO TL LU LR LS TH TF TG TD TC LY VA VC AE AD AG VG AI VI IS IR AM AL AO AN AQ AS AR AU AT IO IN TZ AZ IE ID UA QA MZ 
0 325 0 0 0 1 0 0 3 0 0 0 1 0 0 0 0 1 0 0 2 0 39 0 0 0 0 9 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 7 0 0 0 0 0 15 0 0 0 0 0 0 0 0 0 0 4 1 0 3 0 0 1 0 0 0 2 0 0 0 0 0 0 1 0 3 0 0 0 0 0 1 2 0 0 2 0 0 0 0 0 0 5 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 2 3 0 4 0 0 0 0 60 0 0 0 0 0 2 8 0 0 0 0 0 2 0 0 0 0 0 2 0 0 3 11 0 3 0 4 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 5 0 0 0 0 0 2 0 0 83 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 0 0 3 0 0 4 4 1 1 0 
1 413 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 44 0 0 0 0 21 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 1 0 0 0 0 0 14 0 0 0 1 0 0 0 0 0 0 5 0 1 4 0 0 1 0 0 0 0 0 0 0 2 0 0 0 1 6 0 3 0 0 0 1 4 4 1 3 2 0 0 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 2 0 0 0 0 0 0 0 0 3 8 0 4 0 0 0 0 76 0 0 0 0 0 5 9 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 20 0 3 0 3 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 2 7 0 0 0 0 0 3 0 0 84 2 0 0 0 0 0 0 3 0 2 1 0 2 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 5 1 0 0 5 0 0 6 11 0 0 0 
2 420 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 43 0 0 0 0 22 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6 0 0 0 0 0 17 0 0 0 0 0 0 0 1 0 0 4 0 0 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 10 0 2 0 0 0 1 2 3 1 3 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 2 0 0 0 0 0 0 4 3 1 2 0 0 0 0 63 0 0 0 0 2 4 9 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 29 0 3 0 4 0 0 0 0 0 0 2 1 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 3 0 0 0 1 0 0 1 0 0 0 12 0 2 0 0 0 1 0 0 76 0 0 0 0 0 0 0 2 0 1 1 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 6 2 0 0 13 0 0 5 18 1 0 0 
3 416 0 0 0 2 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 50 0 0 0 0 21 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 11 0 0 0 0 0 13 0 0 0 0 0 0 0 0 0 0 2 0 0 5 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 3 0 2 0 0 0 2 2 4 0 4 3 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 3 4 0 0 0 0 0 0 76 0 0 0 0 1 5 10 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 28 0 0 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 1 12 0 0 0 0 0 4 0 0 79 1 0 0 0 0 0 0 4 0 1 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 3 0 0 8 0 0 5 12 0 0 0 
4 544 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 40 0 0 0 0 23 0 0 0 0 0 0 1 1 0 0 0 0 2 0 0 8 0 0 0 1 0 11 0 0 0 0 0 0 0 0 0 0 2 0 0 6 0 0 3 0 0 0 0 0 0 0 0 0 0 0 2 13 0 3 0 0 0 1 2 3 3 2 7 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 1 0 0 0 0 0 0 0 0 0 0 3 5 0 2 0 0 0 0 171 0 0 0 0 0 2 10 0 0 0 0 0 0 0 0 0 0 0 1 0 0 6 39 0 0 0 4 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 6 0 0 0 0 0 0 0 1 0 4 7 0 1 0 0 0 6 0 0 66 1 0 0 0 0 1 0 1 0 1 1 0 0 0 0 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 7 2 0 0 8 1 0 9 11 2 1 0 
5 640 0 0 0 1 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 17 0 0 0 0 27 0 0 0 0 0 0 2 1 0 0 0 0 0 0 0 13 0 0 0 0 0 14 0 0 0 1 0 0 0 0 1 0 2 0 0 9 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 16 0 3 0 0 0 0 0 7 1 2 5 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 8 0 0 0 0 0 0 278 0 0 0 0 0 6 9 0 0 0 0 0 2 1 0 0 0 0 0 0 1 2 36 0 0 0 5 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 1 0 0 2 13 0 0 0 0 0 7 0 0 72 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 9 2 0 0 12 1 0 5 14 0 0 0 
6 768 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 17 0 0 0 0 24 0 0 0 0 0 0 1 0 0 0 0 0 2 0 0 10 0 0 0 0 0 22 0 0 0 0 0 0 0 0 0 0 2 0 1 9 0 0 1 0 0 0 1 0 0 0 2 0 0 0 4 7 0 1 0 0 0 0 1 16 2 8 3 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 4 0 0 0 0 0 0 0 0 6 3 0 0 0 0 2 0 397 0 0 0 0 0 13 3 0 0 0 0 0 2 0 0 0 0 0 0 0 1 1 25 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 1 0 0 0 0 0 0 5 0 0 1 0 0 0 0 0 0 2 16 0 0 0 0 3 5 0 0 69 2 0 0 0 0 0 0 3 0 3 1 0 0 0 0 0 0 0 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5 0 0 0 0 0 0 2 2 1 0 13 1 0 2 9 3 0 0 
7 865 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 16 0 0 0 0 32 0 1 0 0 0 0 1 1 0 0 0 0 0 0 0 12 0 0 0 0 0 20 0 0 0 0 0 0 0 1 0 0 6 0 0 4 0 0 0 0 0 0 0 0 0 1 0 0 0 0 5 11 0 2 0 1 0 1 5 12 1 4 4 0 0 0 0 0 2 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 2 0 0 0 0 0 0 6 2 0 1 0 0 0 0 516 0 0 0 0 0 5 10 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 32 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 1 0 0 16 0 0 0 0 1 4 0 0 54 0 0 0 0 0 0 0 2 0 7 0 0 0 0 0 0 0 0 4 0 0 0 0 0 0 0 1 0 0 0 0 0 0 2 0 0 0 0 1 0 3 0 0 0 15 1 0 8 5 1 0 0 
8 704 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 11 0 0 0 0 19 0 0 0 0 0 0 2 0 0 0 1 0 0 0 0 8 0 0 0 0 0 12 0 0 1 0 0 0 0 3 0 0 4 0 0 6 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 12 0 1 0 0 0 0 2 11 0 4 4 0 0 1 1 0 9 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 6 0 1 0 0 0 0 0 0 8 0 1 2 0 0 0 0 389 0 0 0 0 0 2 3 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 31 0 0 0 2 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 1 0 0 0 0 0 0 0 0 6 0 0 0 0 1 4 0 0 43 0 0 0 1 0 0 0 11 0 29 1 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 1 3 0 0 10 3 3 6 4 0 0 0 
9 663 0 1 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 14 0 0 0 0 16 0 2 0 0 0 0 1 0 0 0 0 0 1 0 0 8 0 0 0 0 0 14 0 0 0 0 0 0 1 0 0 0 1 0 0 5 0 0 0 0 0 0 1 0 0 0 1 0 0 0 3 9 0 3 0 0 0 4 4 6 0 9 5 0 1 0 1 0 9 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 6 0 0 0 0 378 0 0 0 0 0 3 3 0 0 0 0 0 4 0 0 0 0 0 0 0 1 0 31 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 11 0 0 0 0 0 4 0 0 36 0 0 0 0 0 0 0 2 0 15 1 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 2 0 0 0 0 0 0 1 0 0 0 0 0 0 2 2 2 0 5 2 1 7 6 0 0 0 
