hr total blank BD BF BG BA BB BE BL BM BN BO BH BI BJ BT JM BV BW WS BQ BR BS JE BY BZ RU RW RS LT RE TM TJ RO TK GW GU GT GS GR GQ GP JP GY GG GF GE GD GB GA GN GM GL GI GH OM TN JO WF HR HT HU HK HN HM VE PR PS PW PT KN AF IQ PA PF PG PE PK PH PN PL PM ZM EH EE EG ZA EC IT VN SB ET SO ZW SA ES ER ME MD MG MF MA MC UZ MM ML MO MN MH MK MU MT MW MV MQ MP MS MR IM UG MY MX IL FR AW SH AX SJ FI FJ FK FM FO NI NL NO NA VU NC NE NF NG NZ NP NR NU CK XK CI CH CO CN CM CL CC CA CG CF CD CZ CY CX CR PY CW CV CU SZ SY SX KG KE SS SR KI KH SV KM ST SK KR SI KP KW SN SM SL SC KZ KY SG SE SD DO DM DJ DK DE YE DZ US UY YT UM LB LC LA TV TW TT TR LK LI LV TO TL LU LR LS TH TF TG TD TC LY VA VC AE AD AG VG AI VI IS IR AM AL AO AN AQ AS AR AU AT IO IN TZ AZ IE ID UA QA MZ 
0 4792 0 0 2 0 0 1 109 0 0 0 0 1 0 1 0 3 0 0 0 0 184 1 0 0 0 2 0 0 0 2 0 0 0 0 0 0 0 0 0 0 31 13 0 0 13 0 0 94 4 11 0 0 0 0 0 7 0 0 0 10 0 2 1 0 5 0 0 0 25 0 0 0 1 0 0 4 0 19 0 2 0 0 0 0 3 5 0 19 2 0 0 0 0 2 43 0 0 0 0 0 19 2 0 0 9 0 0 0 0 1 0 0 0 62 1 0 12 0 0 3 19 1 2979 0 0 0 0 0 0 0 0 0 0 18 0 0 0 0 1 0 7 4 0 0 0 0 3 63 32 7 2 46 13 0 263 7 0 9 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 1 26 0 0 0 0 0 2 2 1 5 0 0 0 39 0 13 324 5 0 0 1 0 0 0 3 0 12 0 0 0 0 0 1 0 0 4 0 11 4 0 0 0 0 5 0 0 0 0 0 1 0 0 0 1 0 2 0 39 17 0 0 3 18 0 4 5 0 0 0 
1 4310 0 0 0 1 0 0 64 0 0 0 0 0 0 0 0 2 0 0 0 2 218 0 0 0 0 2 0 0 0 4 0 0 1 0 0 0 1 0 0 0 55 14 0 0 1 0 0 56 0 16 0 0 0 0 0 5 0 0 1 10 0 0 1 0 5 0 0 0 21 0 0 0 3 1 0 4 0 23 0 0 0 0 0 0 0 4 2 14 1 0 0 1 0 0 38 0 0 0 0 2 26 3 0 0 5 0 0 0 0 4 3 0 0 82 0 0 0 0 0 8 41 0 2199 1 0 0 0 0 1 0 0 0 2 6 0 0 0 1 0 0 1 5 0 0 0 0 3 81 27 16 4 16 14 0 350 3 1 3 0 0 0 4 4 0 0 3 0 0 1 0 0 0 0 0 0 0 0 0 0 3 0 0 0 44 0 0 1 0 1 2 1 0 13 0 0 2 15 0 9 533 3 0 0 0 0 0 0 2 1 18 1 0 0 0 0 1 0 0 6 0 3 1 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 1 0 49 22 0 0 8 22 0 6 13 0 0 0 
2 3281 0 0 1 0 0 0 28 0 0 0 0 0 0 1 0 0 0 0 0 0 241 0 0 0 0 0 0 0 0 14 0 0 0 0 0 0 1 0 0 0 37 9 0 0 5 0 0 32 5 1 0 0 0 4 0 0 0 0 0 5 1 0 0 0 5 0 0 0 7 0 0 0 2 1 0 4 5 37 0 0 0 0 0 0 2 2 5 2 4 0 0 0 0 1 30 0 0 0 0 1 17 1 0 0 6 0 0 0 0 5 0 0 2 68 0 0 0 0 0 11 52 0 1406 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 4 2 0 0 0 0 50 16 15 5 9 15 0 339 6 0 2 1 0 0 4 4 0 0 2 0 1 0 0 0 0 0 0 1 0 0 0 0 2 0 0 1 33 0 0 0 0 0 5 1 0 3 0 0 1 0 0 7 487 3 1 0 0 0 2 0 5 0 10 3 0 0 0 0 1 0 0 7 0 0 0 0 1 0 0 11 0 0 0 0 0 0 0 0 0 0 0 1 0 50 20 0 0 15 17 0 5 9 0 0 0 
3 2683 0 0 2 0 0 0 27 0 0 0 2 0 0 4 0 1 0 0 0 0 203 0 0 0 0 4 0 0 0 19 0 0 0 0 0 0 3 0 2 0 36 11 0 0 24 0 0 22 0 3 0 0 0 0 0 1 0 0 0 11 0 1 2 0 0 0 0 0 12 0 1 0 2 18 0 1 5 39 0 2 0 0 0 0 0 0 3 8 1 0 0 0 1 0 19 0 0 0 1 0 11 0 0 0 0 0 0 0 0 0 2 0 1 76 0 0 2 0 0 13 45 0 929 0 0 0 0 0 0 0 0 0 0 2 0 0 0 2 2 0 0 2 1 0 0 0 1 32 11 13 10 9 12 0 264 3 0 5 0 0 0 3 3 0 0 5 0 6 0 0 2 0 0 0 5 1 0 0 0 8 0 0 0 16 0 0 0 0 0 1 1 0 7 0 0 0 4 0 3 454 7 1 0 0 0 0 0 1 1 14 2 0 0 0 0 1 0 0 11 0 3 0 0 0 0 0 4 0 0 0 0 0 0 4 0 0 0 0 3 0 47 17 2 0 18 19 0 1 14 1 0 0 
4 2384 0 1 3 0 0 0 15 1 0 0 2 1 0 0 0 0 0 0 0 0 155 0 0 0 0 0 0 0 0 15 0 0 0 0 0 1 1 0 2 0 19 7 0 0 3 0 0 19 0 0 0 0 0 0 0 0 0 0 1 6 0 1 0 0 7 0 0 0 1 0 0 0 1 6 0 9 4 39 0 3 0 0 0 0 0 11 3 1 3 0 0 0 0 3 14 0 0 0 1 0 5 1 0 0 5 0 0 0 0 7 0 0 0 33 0 0 0 0 1 18 50 0 893 0 0 0 0 0 0 0 0 0 2 4 0 0 0 0 1 0 1 2 2 0 0 0 1 4 13 11 4 9 7 0 187 1 0 9 1 0 0 5 0 0 0 0 0 1 0 0 2 0 0 0 2 1 0 0 0 3 0 0 1 11 0 0 11 0 0 5 0 0 2 0 0 0 17 0 1 445 5 1 0 1 0 1 0 1 0 5 1 0 0 0 0 2 0 0 9 0 0 0 0 0 0 0 6 0 0 0 0 0 0 0 0 0 0 0 0 0 40 19 2 0 16 21 0 3 36 0 1 1 
5 2537 0 0 0 0 0 0 19 0 0 0 1 0 1 2 0 1 0 0 0 0 95 1 0 0 0 7 1 1 0 19 0 0 1 0 0 0 1 0 5 0 7 18 0 0 0 0 0 26 1 2 0 0 0 1 1 1 1 0 1 4 0 1 0 0 0 0 0 0 3 0 0 0 2 7 0 5 3 38 0 1 0 1 0 0 5 15 1 9 2 0 1 1 0 2 17 0 0 0 1 0 2 1 0 0 0 0 1 0 0 1 2 0 0 21 0 0 1 0 0 12 49 1 1212 0 0 0 0 0 0 0 0 0 2 1 3 0 0 0 0 0 4 6 1 0 0 0 0 8 21 7 3 30 6 0 140 0 0 12 1 0 0 7 1 0 0 0 0 0 0 0 4 0 0 0 2 2 0 0 1 0 0 0 0 12 0 0 0 3 0 3 0 1 4 0 0 0 29 1 3 367 5 2 0 3 0 1 0 4 0 6 1 0 0 0 0 2 0 0 13 0 0 0 0 0 0 0 10 0 0 0 0 0 2 0 0 0 0 0 1 0 22 15 0 0 25 19 0 1 18 0 0 0 
6 3512 0 1 1 0 1 0 87 0 0 0 0 1 0 9 0 0 0 0 0 0 38 0 0 0 0 2 1 1 0 42 1 0 4 0 0 1 0 0 4 0 2 4 0 0 4 0 0 34 0 1 0 0 0 4 0 8 0 0 0 1 0 0 0 0 3 0 0 0 4 0 0 1 1 1 0 0 0 39 0 2 0 0 0 0 1 21 3 23 3 0 1 0 1 0 31 0 0 0 4 0 2 4 1 0 0 0 0 0 0 4 10 0 0 19 0 0 0 0 0 18 33 3 2154 0 0 0 0 1 0 0 0 0 1 7 1 0 0 1 1 0 4 1 1 0 0 0 0 30 34 10 4 38 2 0 73 5 0 21 0 0 0 5 1 0 0 0 0 2 0 0 1 0 0 0 1 0 1 0 0 0 0 0 2 5 0 0 1 2 0 2 3 0 1 0 0 0 48 0 14 298 2 5 0 5 0 1 0 1 0 15 3 0 0 0 0 7 0 0 20 0 5 2 0 0 0 0 11 0 0 0 0 0 0 0 0 0 0 0 2 0 15 23 2 0 42 19 0 0 9 2 1 1 
7 5296 0 1 2 0 0 0 154 0 0 0 0 0 0 3 0 0 0 1 0 0 41 0 0 0 0 3 2 2 0 33 0 0 3 0 0 0 0 0 1 0 1 17 0 0 0 0 0 59 1 11 0 0 0 2 1 5 0 0 0 0 0 1 0 0 0 0 0 0 14 0 0 0 0 7 0 1 4 42 0 5 0 1 0 1 3 37 0 46 7 0 0 0 0 1 69 0 0 0 0 0 13 2 0 0 5 0 0 0 0 2 14 1 0 1 0 0 0 0 0 18 15 2 3672 0 0 0 0 4 0 0 0 0 0 10 2 0 0 4 9 0 4 3 1 0 0 0 0 72 65 6 6 76 2 0 49 3 0 24 0 0 0 1 0 0 0 0 0 0 0 0 4 0 0 0 3 0 0 0 0 4 0 0 7 9 0 0 2 0 0 1 7 0 1 0 0 1 56 0 6 223 2 11 0 11 0 1 0 5 0 18 0 1 0 0 0 18 0 0 27 0 7 0 0 0 0 0 23 0 0 0 0 0 4 1 0 0 0 0 2 0 13 41 1 0 21 31 0 1 19 2 2 0 
8 5322 0 0 3 0 1 0 148 0 0 0 0 1 0 4 0 0 0 2 0 0 26 0 0 1 0 6 1 0 0 16 0 1 4 0 0 0 0 0 2 0 4 8 0 0 1 0 0 94 3 3 0 0 0 2 2 7 0 0 0 1 3 1 0 0 0 0 0 0 10 0 0 0 0 8 0 0 1 31 0 1 0 0 0 0 3 12 0 51 4 0 0 0 0 3 75 0 0 0 1 0 17 2 0 0 15 0 0 0 0 1 3 0 0 3 0 0 4 0 0 15 9 3 3919 0 0 0 0 1 0 0 0 0 0 17 4 0 0 5 1 0 5 5 1 0 0 0 0 60 65 7 13 73 1 0 55 3 0 5 1 0 0 0 0 0 0 0 0 1 0 0 3 0 0 0 1 0 0 0 1 3 0 0 0 21 0 1 0 0 0 2 4 0 0 0 0 2 43 0 8 148 1 7 0 5 0 2 0 1 0 10 5 0 1 0 0 24 0 0 14 0 0 0 0 1 0 0 18 1 0 0 0 0 0 1 2 0 0 0 0 0 8 34 7 0 17 18 0 3 10 2 0 2 
9 6112 0 0 3 0 0 0 203 0 0 0 0 1 1 3 0 0 0 0 0 0 33 0 0 0 0 5 3 5 2 35 1 0 1 0 0 0 0 0 2 0 9 14 0 0 3 0 0 138 9 6 0 1 0 2 1 5 0 0 0 1 1 3 0 0 1 0 0 0 12 0 0 2 0 1 0 0 20 47 0 4 0 0 0 0 7 24 1 39 5 0 0 0 1 2 87 0 0 0 0 0 39 7 0 0 6 0 0 0 0 3 2 0 1 3 0 0 0 0 0 14 4 4 4575 0 0 0 0 2 0 0 0 0 0 14 3 0 0 0 1 0 5 4 1 0 0 0 2 38 64 3 13 54 0 0 33 4 0 17 2 2 0 0 1 0 0 0 0 0 0 0 1 0 0 0 2 0 0 0 0 2 1 0 7 25 0 0 0 0 0 3 10 0 0 0 0 1 35 0 5 116 2 0 0 4 0 2 0 1 0 9 1 0 0 0 0 23 0 0 10 0 0 0 0 1 0 0 41 0 0 0 0 0 3 1 0 0 0 0 2 0 10 24 5 0 23 17 0 5 9 3 1 0 
