hr total blank BD BF BG BA BB BE BL BM BN BO BH BI BJ BT JM BV BW WS BQ BR BS JE BY BZ RU RW RS LT RE TM TJ RO TK GW GU GT GS GR GQ GP JP GY GG GF GE GD GB GA GN GM GL GI GH OM TN JO WF HR HT HU HK HN HM VE PR PS PW PT KN AF IQ PA PF PG PE PK PH PN PL PM ZM EH EE EG ZA EC IT VN SB ET SO ZW SA ES ER ME MD MG MF MA MC UZ MM ML MO MN MH MK MU MT MW MV MQ MP MS MR IM UG MY MX IL FR AW SH AX SJ FI FJ FK FM FO NI NL NO NA VU NC NE NF NG NZ NP NR NU CK XK CI CH CO CN CM CL CC CA CG CF CD CZ CY CX CR PY CW CV CU SZ SY SX KG KE SS SR KI KH SV KM ST SK KR SI KP KW SN SM SL SC KZ KY SG SE SD DO DM DJ DK DE YE DZ US UY YT UM LB LC LA TV TW TT TR LK LI LV TO TL LU LR LS TH TF TG TD TC LY VA VC AE AD AG VG AI VI IS IR AM AL AO AN AQ AS AR AU AT IO IN TZ AZ IE ID UA QA MZ 
0 5600 0 0 0 0 0 1 7 0 0 3 0 0 0 0 0 1 0 0 0 0 334 0 0 0 0 11 1 3 0 0 0 0 0 0 0 0 0 0 0 0 0 39 0 0 0 0 0 57 0 0 0 0 0 2 0 1 0 0 1 0 0 10 1 0 5 0 0 0 5 0 0 3 1 0 0 14 14 178 0 2 0 0 0 1 38 17 1 27 12 0 0 0 0 9 33 0 1 0 0 0 0 0 0 2 0 1 0 0 2 0 0 1 4 1 0 0 0 0 0 1764 26 1 28 0 0 0 0 0 0 0 0 0 0 6 1 0 0 0 0 0 21 5 2 0 0 0 15 0 0 11 7 0 10 0 13 1 0 0 0 0 0 3 6 0 0 1 0 1 0 0 3 0 0 0 1 0 0 0 0 12 2 0 17 3 0 0 0 0 0 25 2 2 2 1 0 0 17 1 0 299 3 0 0 0 1 0 0 15 2 17 8 0 0 0 0 0 0 0 56 0 0 0 0 0 0 0 7 0 2 0 0 0 0 0 0 0 0 0 0 0 52 26 2 0 24 6 0 1 2211 0 0 0 
1 8776 3 0 0 0 0 0 0 0 0 4 0 1 0 0 0 5 0 1 0 0 450 1 0 1 0 1 0 3 0 0 0 0 0 0 0 0 3 0 0 0 0 73 0 0 0 0 0 47 0 1 0 0 0 5 0 1 1 0 0 2 2 6 3 0 5 0 0 0 5 0 1 0 1 0 1 9 25 271 0 1 0 0 0 0 27 18 5 32 14 0 0 0 0 22 30 0 1 0 0 0 2 0 1 1 0 0 0 0 0 0 0 0 2 1 0 0 0 0 0 3078 42 1 30 0 0 0 0 1 0 0 0 0 1 4 0 1 0 0 0 0 11 7 1 0 0 0 3 2 1 11 9 1 16 0 35 0 0 2 0 2 0 7 6 0 0 0 0 0 0 0 7 0 0 0 2 1 0 0 1 10 0 1 13 5 0 0 0 0 1 40 1 1 4 0 0 0 13 0 0 533 5 0 0 0 1 1 0 23 0 9 1 0 0 0 0 0 0 0 78 0 0 0 0 0 0 0 3 0 1 0 0 0 0 1 0 0 0 0 1 0 48 39 2 0 113 3 0 3 3426 0 0 0 
2 10043 0 4 0 0 0 0 0 0 0 10 0 0 0 0 0 6 0 0 0 0 426 1 0 0 0 6 0 1 0 0 0 0 0 1 0 0 3 0 0 0 0 73 0 0 0 0 0 37 0 0 0 0 0 3 0 0 0 0 0 0 0 6 3 0 10 0 0 0 5 0 0 1 5 0 1 18 25 334 0 0 0 0 0 0 10 15 3 53 27 0 0 0 2 14 29 0 0 0 0 0 1 0 2 2 0 4 2 0 0 0 0 0 1 0 0 0 0 0 0 3609 51 0 22 1 0 0 0 0 0 0 0 0 3 5 0 1 0 0 0 0 3 3 4 0 0 0 7 0 1 17 9 0 18 0 39 0 0 0 0 0 0 3 7 0 0 0 0 0 0 0 24 0 0 0 0 0 0 0 0 13 0 0 5 7 0 0 0 1 0 56 1 1 4 0 0 0 8 0 0 533 8 0 0 1 1 0 0 22 0 9 8 0 1 0 1 0 0 0 80 0 0 0 0 0 0 2 12 0 1 0 0 0 1 1 0 0 0 0 0 0 74 43 0 0 146 4 10 5 3980 0 0 0 
3 10435 2 3 0 0 0 0 0 0 0 17 0 0 0 0 0 10 0 1 0 0 409 1 0 0 0 5 0 1 0 0 0 0 1 2 0 3 6 0 0 1 0 83 0 0 0 1 0 34 0 0 0 0 0 0 1 0 3 0 0 1 0 8 1 0 3 0 0 0 3 0 0 0 2 0 0 12 37 358 0 0 0 0 0 0 17 27 6 27 12 0 0 0 2 14 23 0 0 0 0 0 0 0 0 2 0 1 0 0 0 0 0 0 7 0 0 0 0 0 0 4033 58 2 8 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 4 15 5 0 0 0 4 0 0 10 8 0 20 0 30 0 0 0 0 0 0 2 5 2 0 0 0 1 0 0 37 0 0 0 2 3 0 0 0 22 1 0 5 5 0 0 0 0 0 42 0 0 4 0 0 0 14 1 0 601 7 0 0 0 0 0 0 11 2 10 10 0 0 0 0 0 0 1 78 0 0 0 0 0 0 0 15 0 2 0 0 0 0 1 0 0 0 0 0 0 65 40 0 0 181 3 0 0 3879 0 2 0 
4 12163 2 0 0 0 0 1 0 0 1 9 0 0 0 0 0 2 0 1 0 0 321 2 0 1 0 6 0 0 0 0 0 0 0 0 0 0 3 0 1 0 1 73 0 0 0 0 0 15 0 0 0 0 0 0 2 0 5 0 0 1 0 12 0 0 5 0 0 0 5 0 0 0 5 0 1 6 40 422 0 2 0 0 0 0 18 83 1 11 10 0 0 1 1 22 19 0 0 0 0 0 0 0 0 6 0 2 1 0 0 1 0 0 2 0 0 0 0 0 5 4989 62 2 15 0 0 0 0 1 0 0 0 0 2 2 0 1 0 0 0 0 19 8 5 0 0 0 0 1 2 10 7 0 13 0 30 0 0 0 0 0 0 7 3 0 0 2 0 1 0 0 45 0 0 0 0 0 0 0 0 22 0 0 26 2 0 0 0 0 0 60 0 0 1 0 0 1 17 0 0 552 5 0 0 2 0 1 0 23 0 17 6 0 0 0 0 0 0 1 136 0 0 0 0 0 0 0 25 1 0 0 0 0 0 2 0 0 0 0 2 0 65 33 0 0 238 25 3 0 4507 0 4 1 
5 12652 0 3 0 0 0 0 0 0 0 7 1 1 0 0 0 1 0 0 0 0 191 0 0 2 0 13 1 0 0 0 0 0 1 1 0 1 1 0 2 0 0 84 0 0 0 0 0 13 0 0 0 0 0 2 5 0 5 0 0 0 1 6 0 0 2 0 0 0 3 0 0 0 3 0 0 17 80 439 0 0 0 0 0 2 21 155 4 15 7 0 0 0 7 38 22 0 1 0 0 0 0 0 1 4 0 0 0 0 0 0 0 0 5 0 0 0 1 0 3 5276 73 0 10 0 0 0 0 2 0 0 0 0 7 5 2 2 0 0 0 0 36 9 1 0 0 0 1 0 3 5 17 2 9 0 37 0 0 0 1 1 0 2 2 0 0 0 1 0 0 1 40 0 0 0 3 1 0 0 0 28 0 0 11 1 0 0 0 0 0 76 3 2 0 0 0 0 19 0 0 490 9 0 0 2 0 0 0 12 1 37 4 0 0 0 0 0 0 0 197 0 0 0 0 0 0 0 23 0 0 0 0 0 0 2 0 0 0 0 1 0 47 35 0 0 275 56 10 1 4554 0 6 0 
6 11999 0 6 0 0 1 0 1 0 0 12 0 3 0 0 0 1 0 3 0 0 92 1 0 0 0 16 8 1 0 0 0 0 0 0 0 0 3 0 1 1 0 61 0 0 0 1 0 24 0 0 0 0 0 7 3 2 2 0 1 1 1 7 0 0 2 0 0 0 1 0 1 0 1 0 0 9 68 382 0 5 0 3 0 0 18 230 0 14 23 0 0 0 5 31 20 0 0 0 0 0 0 0 2 0 0 1 0 0 0 2 0 2 8 0 0 0 0 0 1 5077 35 0 25 0 0 0 0 4 0 0 0 0 0 7 1 2 0 0 0 0 36 7 8 0 0 0 2 0 2 10 14 2 2 0 19 0 0 0 1 0 0 5 1 0 0 0 0 0 0 0 85 0 0 0 0 0 0 0 0 24 0 0 6 2 0 0 0 0 0 57 1 1 3 0 0 1 18 0 0 401 3 0 0 3 0 0 0 31 0 51 13 0 0 0 0 0 0 0 201 0 0 0 0 0 0 0 19 0 0 0 0 0 0 1 0 1 0 0 0 1 37 34 1 0 274 91 3 0 4255 0 3 1 
7 12405 3 5 0 1 1 0 1 0 0 15 1 2 0 0 0 0 0 10 0 0 89 0 0 1 0 15 4 5 0 0 0 0 2 1 0 1 2 0 0 0 0 88 0 0 0 0 0 47 0 0 0 0 0 13 8 0 7 0 0 0 0 11 1 0 0 0 0 0 3 0 3 0 1 0 0 8 100 425 0 4 0 1 0 0 14 221 0 16 4 0 0 1 11 38 24 0 3 0 0 0 0 0 3 0 0 1 4 0 0 0 0 2 7 0 0 0 1 0 4 5399 26 1 21 0 0 0 0 4 0 0 0 0 0 5 0 3 0 0 0 0 74 8 5 0 0 0 0 0 3 0 21 0 0 0 10 0 0 0 0 0 0 1 1 0 0 0 1 0 0 0 75 0 0 0 1 0 0 0 0 18 0 0 9 2 0 1 0 0 1 53 1 2 0 0 0 0 31 1 1 263 4 0 0 2 0 0 0 25 1 69 9 0 0 0 0 0 1 0 170 0 0 0 0 0 1 0 21 1 0 0 0 0 0 1 0 0 0 0 0 0 22 61 0 0 309 61 2 2 4342 1 5 1 
8 8682 0 7 0 0 0 0 3 0 0 11 0 3 0 0 0 0 0 7 0 0 44 0 0 1 0 9 1 0 1 0 0 0 2 3 0 0 0 0 0 0 0 65 0 0 0 0 0 45 1 0 0 1 0 10 1 2 2 0 1 0 0 18 0 0 0 0 0 0 3 0 1 4 0 0 2 5 74 356 0 3 0 1 0 0 25 149 0 15 19 0 0 1 6 27 31 0 2 0 0 0 0 0 0 3 0 2 1 0 0 0 0 0 2 0 0 0 0 0 0 3505 8 2 28 0 0 0 0 7 0 0 0 0 0 11 2 2 0 0 0 0 46 14 2 0 0 0 2 0 4 0 9 0 1 0 10 0 0 1 2 0 0 0 1 0 0 0 2 1 0 0 59 0 0 0 2 0 0 0 1 7 0 0 14 0 0 0 0 4 0 53 2 3 0 0 0 2 20 0 1 113 1 0 0 4 0 0 0 20 0 77 0 0 0 0 0 1 0 0 138 0 0 0 0 0 0 0 26 0 0 0 0 0 0 3 0 1 0 0 1 0 10 33 1 0 204 69 2 0 3146 1 3 0 
9 8666 1 4 0 0 0 0 2 0 0 6 0 5 0 0 0 0 0 6 0 0 72 0 0 0 0 11 2 5 0 0 0 0 1 0 0 1 1 0 1 0 0 62 0 0 0 0 0 61 0 0 0 0 0 12 3 1 7 0 2 0 1 24 1 0 3 0 0 0 3 0 0 2 0 0 0 2 70 423 0 5 0 0 0 0 17 148 0 45 15 0 0 2 3 24 46 0 0 0 0 0 4 0 3 0 0 0 1 0 0 0 0 0 5 0 0 0 0 0 9 3601 4 0 41 0 0 0 0 3 0 0 0 0 0 13 0 1 0 0 0 0 50 14 3 0 0 0 1 0 1 1 13 0 1 0 8 0 0 1 3 1 0 0 0 0 0 0 2 0 0 0 44 0 0 0 2 0 0 0 0 14 0 0 16 2 0 0 0 0 0 58 1 1 0 0 0 1 26 0 1 65 1 0 0 4 0 0 0 9 0 67 4 0 1 0 0 1 0 1 130 0 0 0 0 0 0 0 26 0 0 0 0 0 0 3 0 1 0 0 0 0 8 50 2 0 228 66 1 1 2927 0 2 0 
