hr total blank BD BF BG BA BB BE BL BM BN BO BH BI BJ BT JM BV BW WS BQ BR BS JE BY BZ RU RW RS LT RE TM TJ RO TK GW GU GT GS GR GQ GP JP GY GG GF GE GD GB GA GN GM GL GI GH OM TN JO WF HR HT HU HK HN HM VE PR PS PW PT KN AF IQ PA PF PG PE PK PH PN PL PM ZM EH EE EG ZA EC IT VN SB ET SO ZW SA ES ER ME MD MG MF MA MC UZ MM ML MO MN MH MK MU MT MW MV MQ MP MS MR IM UG MY MX IL FR AW SH AX SJ FI FJ FK FM FO NI NL NO NA VU NC NE NF NG NZ NP NR NU CK XK CI CH CO CN CM CL CC CA CG CF CD CZ CY CX CR PY CW CV CU SZ SY SX KG KE SS SR KI KH SV KM ST SK KR SI KP KW SN SM SL SC KZ KY SG SE SD DO DM DJ DK DE YE DZ US UY YT UM LB LC LA TV TW TT TR LK LI LV TO TL LU LR LS TH TF TG TD TC LY VA VC AE AD AG VG AI VI IS IR AM AL AO AN AQ AS AR AU AT IO IN TZ AZ IE ID UA QA MZ 
0 1614 0 0 0 0 0 0 1 0 0 0 2 0 0 0 0 1 0 0 0 0 333 0 0 0 0 1 0 1 0 0 0 0 1 0 0 0 1 0 0 0 0 1 0 0 0 0 0 34 0 0 0 0 0 1 0 0 0 0 1 0 0 4 0 0 11 0 0 0 15 0 0 1 3 0 0 4 0 28 0 2 0 0 0 0 1 1 3 713 2 0 0 0 0 1 27 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 8 33 0 11 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 3 0 0 0 0 0 0 0 5 13 1 0 21 0 11 2 0 0 1 0 0 2 4 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 5 0 0 0 6 0 0 159 10 0 0 0 0 0 0 0 0 6 0 0 0 0 0 1 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 82 2 3 0 3 2 0 4 4 0 0 0 
1 1572 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 1 0 452 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 1 0 0 0 0 0 17 0 0 0 1 0 0 0 0 0 0 0 0 0 0 4 0 7 0 0 0 9 0 0 0 4 0 0 9 0 42 0 0 0 0 0 1 0 0 2 418 0 0 0 0 0 0 9 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 15 34 0 14 0 0 0 0 0 0 0 0 0 4 0 0 0 0 0 0 0 4 0 0 0 0 0 2 1 2 23 7 0 20 0 17 1 0 0 0 0 0 6 5 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 7 0 0 0 2 0 0 249 10 0 0 0 0 0 0 0 1 9 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 106 13 0 0 4 3 0 3 8 0 0 0 
2 1415 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 486 0 0 0 0 2 0 0 0 0 0 2 0 0 0 0 5 0 0 0 0 2 0 0 0 0 0 21 0 0 0 0 0 1 0 0 0 0 0 0 0 0 3 0 8 0 0 0 9 0 0 0 1 0 1 5 0 36 0 0 0 0 0 0 1 0 3 285 2 0 0 0 0 0 13 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 14 41 0 9 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 18 3 0 25 0 14 0 0 0 0 0 0 3 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 1 0 0 2 1 0 5 0 0 0 4 0 0 231 15 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 98 5 0 0 5 5 0 1 8 0 0 0 
3 1154 0 0 0 2 0 0 2 0 0 0 0 0 0 0 0 1 0 0 0 0 357 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 4 0 0 0 0 3 0 0 0 0 0 7 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 10 0 0 0 2 0 0 0 1 0 3 7 0 37 0 0 0 0 0 0 0 1 4 166 1 0 0 0 0 1 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 16 53 0 2 0 0 0 0 0 0 0 0 0 4 0 0 1 0 0 0 0 1 0 0 0 0 0 2 0 2 16 0 0 8 0 8 0 0 0 0 0 0 7 4 0 0 2 0 0 0 0 1 0 0 0 1 2 0 0 0 0 0 0 0 1 0 0 1 0 0 2 3 0 6 0 0 0 1 0 0 235 10 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 97 9 0 0 11 3 0 1 14 0 1 0 
4 1174 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 290 0 0 0 0 1 0 0 0 1 0 0 1 0 0 0 4 0 1 0 0 2 0 0 0 0 0 8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5 0 5 0 0 0 2 0 0 0 0 0 0 6 0 63 0 0 0 0 0 0 0 2 4 269 0 0 0 0 0 2 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 24 55 0 6 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 4 1 0 0 0 0 0 0 1 15 2 0 10 0 16 0 0 0 0 0 0 7 3 0 0 2 0 0 0 0 0 0 0 0 0 2 0 0 2 1 0 0 0 0 0 0 1 0 0 3 0 0 7 0 0 0 1 0 1 210 11 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 2 0 0 0 0 0 0 0 0 0 0 0 1 0 69 6 0 0 7 5 0 1 18 0 0 0 
5 1631 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 176 0 0 0 0 1 0 0 1 0 0 1 1 0 0 0 1 0 0 0 1 6 0 0 0 0 0 4 0 0 0 0 0 0 0 0 0 0 1 0 0 2 1 0 7 0 0 0 4 0 0 0 0 0 0 5 0 63 0 1 0 0 0 0 0 9 1 830 1 0 0 1 0 4 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 15 43 0 7 0 0 0 0 0 0 0 0 0 3 1 0 0 0 0 0 0 6 0 0 0 0 1 0 0 3 12 18 0 4 0 11 0 0 0 0 0 0 4 3 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 3 1 0 1 0 0 0 4 0 0 218 4 0 0 0 0 0 0 0 1 5 0 0 0 0 0 0 0 0 5 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 64 7 3 0 17 4 1 1 19 0 0 0 
6 2481 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 106 0 0 0 0 5 0 0 0 0 0 0 0 0 0 0 2 0 1 0 0 8 0 0 0 0 0 7 0 0 0 0 0 1 0 0 0 0 0 0 1 1 0 0 2 0 0 0 0 0 0 0 2 0 2 5 1 55 0 2 0 0 0 0 2 12 0 1884 1 0 0 0 0 2 13 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 1 2 0 0 0 0 0 0 21 32 1 16 0 0 0 0 1 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 14 6 1 0 4 0 5 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 2 0 1 0 1 0 0 0 0 2 0 0 0 0 0 0 6 0 0 128 3 0 0 0 0 0 0 0 0 4 0 0 0 0 0 0 0 0 6 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 36 12 2 0 19 6 0 2 11 1 0 0 
7 3720 0 1 0 0 0 0 8 0 0 1 0 0 0 0 0 0 0 1 0 0 93 0 0 0 0 2 0 2 0 0 0 0 7 0 0 0 1 0 3 0 0 7 0 0 0 0 0 25 0 0 0 0 0 2 0 0 0 0 0 0 3 1 0 0 2 0 0 0 3 0 0 0 0 0 0 2 3 72 0 4 0 0 0 0 0 13 0 3053 1 0 0 0 0 1 21 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 20 19 2 28 0 0 0 0 0 0 0 0 0 0 4 0 0 0 0 0 0 2 1 0 0 0 0 0 1 14 2 5 1 0 0 3 0 0 1 3 0 0 0 1 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 2 0 1 0 0 0 0 2 3 0 0 0 0 0 23 0 1 123 4 0 0 2 0 0 0 1 0 13 1 0 0 0 0 0 0 0 6 0 0 0 0 1 2 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 21 6 7 0 18 10 0 3 15 1 0 0 
8 3075 0 1 0 0 0 0 6 0 0 0 0 0 0 0 0 0 0 0 0 0 60 0 0 0 0 1 0 2 0 0 1 2 6 0 0 0 0 0 5 0 0 3 0 0 0 0 0 36 0 0 0 0 0 0 0 0 0 0 3 0 2 0 0 0 1 0 0 0 1 0 0 0 0 0 1 2 0 70 0 2 0 0 0 0 1 7 0 2606 0 0 0 0 0 2 28 1 2 0 0 0 0 1 0 0 0 0 0 0 0 0 2 1 0 0 0 0 0 0 0 11 8 0 21 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 1 3 0 0 0 0 1 0 8 1 2 0 1 0 2 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 1 0 2 0 0 0 3 0 0 0 0 1 5 0 0 0 0 1 8 0 0 44 2 0 0 1 0 0 0 1 0 13 0 0 0 0 0 1 0 0 2 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 1 0 0 0 7 7 9 0 14 4 0 4 12 1 1 2 
9 3022 0 0 0 0 0 0 9 0 0 0 0 0 0 0 0 1 0 0 0 0 57 0 0 0 0 1 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 7 0 0 0 0 0 38 0 0 0 0 0 4 0 1 0 0 1 0 2 1 0 0 0 0 0 0 3 0 0 0 0 0 0 0 1 104 0 0 0 0 0 0 3 8 0 2493 0 0 0 0 0 0 33 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 3 0 0 0 0 0 0 0 0 17 7 1 36 0 0 0 0 3 0 0 0 0 0 8 2 0 0 0 0 0 7 0 1 0 0 0 0 1 15 0 3 0 3 0 1 0 0 0 2 0 0 1 2 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 3 0 1 7 0 0 0 0 0 10 0 1 42 1 0 0 1 0 0 0 0 1 8 1 0 0 0 0 0 0 0 5 0 0 0 0 0 0 0 2 1 0 0 0 0 0 1 0 0 0 0 0 0 18 7 2 0 5 4 0 2 9 0 0 0 
