hr total blank BD BF BG BA BB BE BL BM BN BO BH BI BJ BT JM BV BW WS BQ BR BS JE BY BZ RU RW RS LT RE TM TJ RO TK GW GU GT GS GR GQ GP JP GY GG GF GE GD GB GA GN GM GL GI GH OM TN JO WF HR HT HU HK HN HM VE PR PS PW PT KN AF IQ PA PF PG PE PK PH PN PL PM ZM EH EE EG ZA EC IT VN SB ET SO ZW SA ES ER ME MD MG MF MA MC UZ MM ML MO MN MH MK MU MT MW MV MQ MP MS MR IM UG MY MX IL FR AW SH AX SJ FI FJ FK FM FO NI NL NO NA VU NC NE NF NG NZ NP NR NU CK XK CI CH CO CN CM CL CC CA CG CF CD CZ CY CX CR PY CW CV CU SZ SY SX KG KE SS SR KI KH SV KM ST SK KR SI KP KW SN SM SL SC KZ KY SG SE SD DO DM DJ DK DE YE DZ US UY YT UM LB LC LA TV TW TT TR LK LI LV TO TL LU LR LS TH TF TG TD TC LY VA VC AE AD AG VG AI VI IS IR AM AL AO AN AQ AS AR AU AT IO IN TZ AZ IE ID UA QA MZ 
0 619 0 0 0 0 0 0 53 0 0 0 0 0 0 0 0 0 0 0 0 0 41 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 5 0 0 0 0 0 13 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 2 0 0 0 2 0 0 0 1 0 0 2 1 20 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 2 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 1 5 8 0 12 2 0 0 0 0 0 0 0 0 0 278 1 0 0 0 0 0 1 0 0 0 0 0 2 0 2 2 0 0 5 0 4 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 1 0 0 1 0 0 0 0 0 0 2 0 0 0 0 0 0 1 3 0 0 0 0 1 2 0 0 102 2 0 0 0 0 0 0 0 1 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 6 8 0 0 1 2 0 2 5 0 0 0 
1 722 0 0 0 0 0 0 37 0 0 0 0 0 0 0 0 2 0 0 0 0 44 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 4 0 0 0 0 0 15 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 2 0 0 1 20 0 0 2 0 46 0 0 0 0 0 0 1 4 1 1 1 0 0 0 0 1 5 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 12 3 1 9 0 0 0 0 1 0 0 0 0 1 245 0 0 0 0 0 0 0 1 1 0 0 0 1 1 0 1 1 1 4 0 15 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 4 0 1 0 0 0 2 0 0 176 2 0 0 0 0 0 0 0 1 1 3 0 0 0 0 0 0 0 14 0 0 0 0 1 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 9 6 0 0 0 1 0 1 8 0 0 0 
2 612 0 0 0 0 0 0 41 0 0 1 0 0 0 0 0 1 0 0 0 0 45 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 4 0 0 0 0 0 11 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 2 0 0 0 1 0 0 0 2 0 0 1 1 30 0 0 0 0 0 0 0 3 0 1 0 0 0 0 0 0 2 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 12 8 0 1 8 0 0 0 0 0 0 0 0 0 162 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 2 1 0 1 0 16 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 5 0 0 194 3 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 11 8 1 0 2 0 0 0 10 0 0 0 
3 572 0 0 0 0 0 0 37 0 0 0 0 0 0 0 0 0 0 0 0 0 37 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 0 0 0 0 3 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 7 42 0 4 0 0 0 0 0 9 0 1 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 19 5 0 2 2 0 0 0 0 0 0 0 0 0 141 0 0 0 0 0 0 0 3 1 0 0 0 1 1 0 3 1 0 2 0 9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 4 1 0 0 0 0 0 3 0 0 176 1 0 0 0 1 0 0 1 0 3 0 0 0 0 0 0 0 0 9 0 0 0 0 0 0 0 2 0 1 0 0 0 0 0 0 0 0 0 0 0 11 1 0 0 4 2 0 1 10 0 1 0 
4 651 0 0 0 0 0 0 32 0 0 0 0 0 0 0 0 2 0 0 0 0 27 0 0 0 0 2 0 0 0 0 0 0 0 1 0 1 0 0 1 0 0 0 0 0 0 0 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 1 3 49 0 0 0 0 0 0 0 20 0 1 1 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 22 9 1 1 1 0 0 0 1 0 0 0 0 1 162 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 1 0 2 0 15 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 2 0 0 224 0 0 0 0 0 0 0 0 0 4 0 0 0 0 0 0 0 0 5 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 11 5 2 0 8 4 0 0 9 0 0 0 
5 982 0 0 0 0 0 0 88 0 0 0 0 0 0 0 0 0 0 0 0 0 17 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 0 0 0 0 7 0 0 0 0 0 0 0 0 0 0 0 1 0 2 0 0 1 0 0 0 0 0 0 0 1 0 0 0 6 45 0 1 0 0 0 0 1 30 0 1 1 0 0 0 0 1 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 24 7 0 3 0 0 0 0 1 0 0 0 0 0 451 0 1 0 0 0 0 2 0 1 0 0 0 0 0 1 1 0 0 2 0 7 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 3 0 0 1 0 0 0 0 0 0 1 1 0 0 0 0 0 12 0 0 179 0 0 0 0 0 0 0 1 0 7 1 0 0 0 0 0 0 0 7 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 7 9 5 0 15 3 0 0 13 0 0 0 
6 1502 0 3 0 0 0 0 214 0 0 0 0 2 0 0 0 0 0 0 0 0 11 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 10 0 0 0 0 0 2 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 37 0 0 0 0 0 0 0 31 1 4 0 0 0 0 0 0 6 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 22 8 0 8 0 0 0 0 0 0 0 0 0 0 912 1 1 0 0 0 0 2 4 0 0 0 0 0 1 4 2 4 0 0 0 6 0 0 0 1 0 0 2 0 0 0 0 0 0 0 0 0 0 2 0 3 0 0 0 0 0 0 0 0 1 0 0 0 0 0 2 0 2 0 0 0 4 14 0 0 104 0 0 0 2 0 0 0 0 0 6 3 0 0 0 0 0 0 0 4 0 0 0 0 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 2 6 10 0 8 0 0 5 13 0 0 0 
7 2558 1 0 0 0 0 0 361 0 0 0 0 0 0 0 0 0 0 2 0 0 9 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 2 0 0 3 0 0 0 0 0 28 0 0 0 0 0 3 0 0 0 0 0 0 0 1 0 0 1 0 0 0 2 0 0 0 0 0 0 1 5 43 0 2 0 0 0 0 0 52 0 9 0 0 0 0 0 3 10 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 16 5 0 7 0 0 0 0 0 0 0 0 0 0 1736 1 0 0 0 0 0 3 1 0 0 0 0 0 0 8 0 1 1 0 0 4 0 0 0 0 1 0 1 1 0 0 0 1 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 3 5 0 0 0 0 1 13 0 0 87 0 0 0 1 0 1 0 0 0 15 1 0 0 0 0 0 0 0 5 0 0 0 0 0 0 0 5 1 0 0 0 0 1 0 0 0 0 0 0 0 3 13 18 0 23 2 0 14 14 0 0 0 
8 2424 0 1 0 0 0 0 383 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 4 0 0 0 0 0 0 0 0 26 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 4 35 0 7 0 0 0 0 1 37 0 8 1 0 0 0 0 3 15 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 10 0 0 25 0 0 0 0 0 0 0 0 0 0 1643 1 0 0 0 0 0 11 1 0 0 0 0 0 1 6 1 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 3 4 0 0 0 0 3 22 0 1 42 0 0 0 1 0 0 0 0 0 25 0 0 0 0 0 1 0 0 1 0 0 0 0 0 1 1 7 0 0 0 0 0 0 0 0 0 0 0 0 0 1 10 20 0 9 3 0 17 14 0 0 0 
9 2335 0 1 0 0 0 0 371 0 0 0 0 0 0 0 0 0 0 1 0 0 6 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 6 0 0 2 0 0 0 0 0 30 0 0 0 0 0 4 0 1 0 0 0 0 0 0 0 0 0 0 0 0 5 0 0 0 0 0 0 0 2 36 0 10 0 0 0 0 1 26 0 17 0 0 0 0 0 0 14 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 12 2 0 11 1 0 0 0 0 0 0 0 0 0 1624 2 1 0 0 0 0 2 0 0 0 0 0 1 0 10 0 3 0 1 0 0 0 0 0 6 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 2 1 1 1 0 0 0 0 0 0 1 1 0 0 0 0 0 20 0 0 30 0 0 0 2 0 0 0 0 0 5 1 0 0 0 0 0 0 0 4 0 0 0 0 0 0 0 1 0 0 0 0 0 2 0 0 0 0 0 0 0 1 8 14 0 2 2 0 10 10 0 0 0 
