hr total blank BD BF BG BA BB BE BL BM BN BO BH BI BJ BT JM BV BW WS BQ BR BS JE BY BZ RU RW RS LT RE TM TJ RO TK GW GU GT GS GR GQ GP JP GY GG GF GE GD GB GA GN GM GL GI GH OM TN JO WF HR HT HU HK HN HM VE PR PS PW PT KN AF IQ PA PF PG PE PK PH PN PL PM ZM EH EE EG ZA EC IT VN SB ET SO ZW SA ES ER ME MD MG MF MA MC UZ MM ML MO MN MH MK MU MT MW MV MQ MP MS MR IM UG MY MX IL FR AW SH AX SJ FI FJ FK FM FO NI NL NO NA VU NC NE NF NG NZ NP NR NU CK XK CI CH CO CN CM CL CC CA CG CF CD CZ CY CX CR PY CW CV CU SZ SY SX KG KE SS SR KI KH SV KM ST SK KR SI KP KW SN SM SL SC KZ KY SG SE SD DO DM DJ DK DE YE DZ US UY YT UM LB LC LA TV TW TT TR LK LI LV TO TL LU LR LS TH TF TG TD TC LY VA VC AE AD AG VG AI VI IS IR AM AL AO AN AQ AS AR AU AT IO IN TZ AZ IE ID UA QA MZ 
0 360 0 0 0 0 0 0 4 0 0 0 0 1 0 0 0 0 0 0 0 0 25 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 20 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 7 0 0 0 0 0 0 1 0 15 0 122 0 0 0 0 4 3 1 3 0 0 0 0 0 0 8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 7 0 3 0 0 0 0 0 0 0 0 0 0 1 2 0 0 0 0 0 1 0 0 0 0 0 1 0 0 4 0 0 1 0 8 0 0 0 0 0 0 2 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 1 0 1 83 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 7 1 0 0 1 1 0 5 2 0 0 0 
1 357 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 49 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 1 0 0 0 0 14 0 0 0 0 0 12 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 26 0 74 0 0 0 0 2 2 1 0 0 0 0 0 0 0 7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5 7 0 3 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 1 1 0 1 1 0 2 0 9 0 0 0 0 0 0 1 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 1 0 0 90 2 0 0 0 0 0 0 4 0 3 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 7 5 2 0 1 1 0 1 5 0 0 0 
2 340 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 38 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 2 0 0 0 0 8 0 0 0 0 0 11 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 32 0 41 0 0 0 0 0 4 0 0 0 0 0 0 0 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 19 3 0 2 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 1 0 4 0 6 0 0 0 1 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 119 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 9 1 1 0 8 0 0 0 6 0 0 0 
3 326 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 33 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 2 0 0 8 0 0 0 0 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 36 0 47 0 0 0 0 1 1 0 1 0 0 0 0 0 8 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 10 5 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 2 1 0 0 3 0 5 0 0 0 0 0 0 1 2 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 2 0 0 1 1 0 0 106 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 7 2 3 0 5 0 0 0 11 0 0 0 
4 334 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 21 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 1 0 0 7 0 0 0 2 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 1 0 0 0 5 26 0 68 0 1 0 0 0 9 2 0 0 0 0 0 0 7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 19 6 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 1 0 0 0 0 1 0 0 1 0 0 2 0 8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 96 0 0 0 0 0 0 0 1 0 5 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 7 2 1 0 5 2 0 0 8 0 0 0 
5 545 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 12 0 0 0 0 1 1 10 0 0 0 0 0 0 0 0 0 0 2 0 0 9 0 0 0 2 0 8 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 7 0 0 0 1 0 0 1 1 43 0 191 0 0 0 0 0 16 0 4 0 0 0 0 3 1 2 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 10 2 0 1 0 0 0 0 0 0 0 0 0 0 1 15 0 0 0 0 0 3 0 0 0 0 0 0 0 1 2 0 0 0 0 9 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 0 0 0 0 0 6 0 0 111 1 0 0 0 0 0 0 1 0 4 1 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 2 0 0 0 0 0 0 1 0 1 0 0 0 0 5 4 4 0 10 3 1 0 16 0 0 0 
6 801 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 10 0 0 0 0 2 1 16 0 0 0 0 0 0 0 1 0 0 0 0 0 9 0 0 0 0 0 6 0 0 0 0 0 1 1 0 0 0 6 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5 24 0 465 0 0 0 0 0 24 0 5 1 0 0 0 0 15 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 15 1 0 1 0 0 0 0 3 0 0 0 0 0 2 5 0 0 0 0 0 6 0 0 0 0 0 0 0 1 0 3 0 1 0 2 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 7 0 0 0 0 0 0 0 0 2 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 36 0 0 69 0 0 0 0 0 0 0 0 1 2 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 2 3 7 0 9 1 0 4 7 0 1 0 
7 1164 0 1 0 0 2 0 1 0 0 0 2 0 0 0 0 0 0 1 0 0 12 0 0 0 0 1 0 16 0 0 0 0 0 0 0 1 0 0 0 0 0 10 0 0 0 1 0 30 0 0 0 0 0 2 0 1 0 0 3 0 1 0 0 0 0 0 0 0 6 0 0 0 0 0 0 0 3 42 0 793 0 0 0 0 0 20 0 4 0 0 0 0 0 1 11 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 10 1 1 5 0 0 0 0 0 0 0 0 0 0 4 6 0 0 0 0 0 12 0 0 0 0 0 0 0 2 0 0 0 0 0 8 0 0 0 3 1 0 0 0 0 0 0 0 0 0 0 5 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 2 1 0 0 0 0 1 22 0 0 59 0 0 0 1 0 0 0 0 0 2 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 5 1 0 10 4 0 5 13 1 1 0 
8 1001 0 0 0 0 0 0 2 0 0 0 0 1 0 0 0 0 0 1 0 0 3 0 0 0 0 1 0 6 0 0 1 0 0 0 0 0 0 0 1 0 0 12 0 0 0 0 0 40 0 0 0 0 0 1 0 0 0 0 1 0 7 0 0 0 0 0 0 0 14 0 0 0 0 0 0 0 1 38 0 644 0 0 0 0 1 9 0 1 0 0 0 0 1 9 14 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 12 1 1 7 0 0 0 0 0 0 0 0 0 0 3 6 0 0 0 0 0 7 0 0 0 0 0 1 0 3 0 1 0 0 0 1 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 1 0 0 0 0 0 0 1 1 1 0 0 0 1 19 0 0 33 0 0 0 0 0 0 0 2 0 38 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 2 0 0 0 0 0 0 4 0 0 0 0 0 0 0 3 9 0 6 4 0 6 8 1 1 0 
9 958 0 0 0 0 1 0 2 0 0 0 0 0 0 0 0 0 0 1 0 0 4 0 0 0 0 1 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 9 0 0 0 1 0 44 0 0 0 0 0 3 0 1 0 0 0 0 0 0 0 0 0 0 0 0 6 0 0 0 0 0 0 0 3 37 0 661 0 0 0 1 1 17 0 8 3 0 0 0 0 2 9 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 1 7 0 0 6 0 0 0 0 0 0 0 0 0 0 5 14 0 0 0 0 0 19 0 0 0 0 0 1 0 1 0 0 1 0 0 0 0 0 0 7 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 8 0 0 0 0 0 10 0 0 17 0 0 0 0 0 0 0 0 0 5 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 4 0 4 1 0 5 10 0 0 0 
