hr total blank BD BF BG BA BB BE BL BM BN BO BH BI BJ BT JM BV BW WS BQ BR BS JE BY BZ RU RW RS LT RE TM TJ RO TK GW GU GT GS GR GQ GP JP GY GG GF GE GD GB GA GN GM GL GI GH OM TN JO WF HR HT HU HK HN HM VE PR PS PW PT KN AF IQ PA PF PG PE PK PH PN PL PM ZM EH EE EG ZA EC IT VN SB ET SO ZW SA ES ER ME MD MG MF MA MC UZ MM ML MO MN MH MK MU MT MW MV MQ MP MS MR IM UG MY MX IL FR AW SH AX SJ FI FJ FK FM FO NI NL NO NA VU NC NE NF NG NZ NP NR NU CK XK CI CH CO CN CM CL CC CA CG CF CD CZ CY CX CR PY CW CV CU SZ SY SX KG KE SS SR KI KH SV KM ST SK KR SI KP KW SN SM SL SC KZ KY SG SE SD DO DM DJ DK DE YE DZ US UY YT UM LB LC LA TV TW TT TR LK LI LV TO TL LU LR LS TH TF TG TD TC LY VA VC AE AD AG VG AI VI IS IR AM AL AO AN AQ AS AR AU AT IO IN TZ AZ IE ID UA QA MZ 
0 66422 0 1 0 0 1 1 8 0 0 0 3 0 0 0 0 1 0 0 0 0 63165 0 0 0 0 5 0 0 0 0 0 0 2 0 0 0 1 0 6 0 0 5 0 0 2 0 0 79 0 0 0 0 0 2 0 1 0 0 0 0 2 6 1 0 11 0 0 0 1750 0 0 0 2 0 0 12 1 14 0 1 0 0 0 0 1 1 11 36 2 0 0 0 0 0 76 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 6 81 0 52 0 0 0 0 0 0 0 0 0 3 22 1 0 0 0 0 0 0 4 0 0 0 0 2 1 0 57 2 0 32 0 43 1 0 1 0 0 0 10 34 0 0 0 1 0 0 0 0 0 0 0 0 2 0 0 0 1 0 0 0 2 0 0 0 0 0 2 0 0 10 0 0 1 14 0 0 407 52 0 0 2 0 0 0 2 0 0 0 0 0 0 0 4 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 10 0 1 0 241 17 3 0 3 6 0 30 2 5 0 2 
1 85982 1 1 0 0 0 0 9 0 0 0 13 0 0 0 0 1 0 0 0 0 82583 0 0 0 0 5 0 1 0 0 0 0 0 0 0 0 6 0 1 0 0 46 0 0 0 1 0 77 0 0 0 0 0 2 0 0 0 0 0 1 0 4 0 0 18 0 0 0 1465 0 0 0 7 0 0 14 0 28 0 1 0 0 0 0 0 0 8 35 1 0 0 0 0 0 63 0 0 0 0 0 1 0 0 7 0 0 0 0 0 0 5 0 0 0 0 0 0 0 0 14 113 0 42 0 0 0 0 0 0 0 0 0 5 11 1 0 0 0 1 0 0 6 3 0 0 0 0 0 6 98 3 0 61 0 72 0 0 0 0 0 0 11 59 0 0 3 0 1 0 0 1 0 0 0 0 4 0 0 0 1 0 0 1 0 0 0 0 3 0 1 2 0 8 1 0 0 13 0 2 561 52 0 0 0 0 1 0 0 0 1 1 0 0 0 1 1 0 0 4 0 0 0 0 1 0 0 4 1 0 0 0 0 0 1 0 0 10 0 3 0 272 26 0 0 8 11 0 22 7 3 0 0 
2 90411 0 1 0 0 0 0 6 0 0 1 15 1 0 0 0 0 0 0 1 0 87490 2 0 0 0 0 0 0 0 0 0 0 2 0 0 0 14 0 1 0 0 24 0 0 2 0 0 63 0 0 0 0 0 1 0 0 1 0 1 0 0 15 2 0 18 0 0 0 919 0 0 0 4 0 0 19 1 39 0 0 0 0 0 0 0 6 13 19 1 0 0 0 0 0 48 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 16 131 1 29 0 0 0 0 0 0 0 0 0 8 7 1 0 0 0 0 0 1 7 1 0 0 0 0 2 0 99 4 0 73 0 44 0 0 1 0 0 0 15 57 0 0 0 0 0 0 0 2 0 0 0 0 1 0 0 0 7 0 0 0 2 0 0 0 1 0 4 0 0 9 0 0 0 6 0 1 608 62 0 0 0 1 2 0 1 0 0 0 0 0 0 0 0 0 0 6 0 0 0 0 0 0 0 5 0 0 0 0 0 0 0 0 0 10 0 2 0 344 27 3 0 5 14 0 12 3 1 1 0 
3 74628 1 2 0 1 0 0 12 0 0 0 15 0 0 0 0 2 0 0 0 0 72282 0 0 0 0 4 0 0 0 0 0 0 0 0 0 0 9 0 0 0 0 29 0 0 0 0 0 62 0 0 0 0 0 0 0 0 0 0 0 2 0 3 2 0 15 0 0 0 452 0 0 0 7 0 0 20 3 47 0 3 0 0 0 0 0 1 12 12 0 0 0 1 0 1 35 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 2 0 0 0 0 0 0 9 138 0 15 1 0 0 0 1 0 0 0 0 5 9 0 0 0 0 0 0 0 3 0 0 0 0 0 2 0 66 2 0 61 0 107 0 0 1 1 0 0 9 52 0 0 2 0 1 0 0 1 0 0 0 1 2 0 0 0 4 0 0 0 1 0 0 0 0 0 1 0 0 12 0 0 0 5 0 0 623 63 0 0 0 0 3 0 0 0 2 0 0 0 0 0 0 0 0 4 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 6 0 1 0 260 37 0 0 10 12 0 2 13 0 2 4 
4 55370 0 1 0 2 0 0 5 0 0 0 16 0 0 0 0 1 0 1 0 0 53366 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 7 0 0 0 0 25 0 0 0 0 0 33 1 0 0 0 0 0 0 3 0 0 0 2 0 3 2 0 9 0 0 0 293 0 0 0 6 0 0 5 2 40 0 2 0 0 0 0 1 5 13 21 1 0 0 0 1 1 27 0 0 0 0 0 0 0 0 0 0 0 2 0 0 1 0 0 0 0 0 0 0 0 0 18 135 0 20 0 0 0 0 0 0 0 0 0 5 5 2 0 0 0 0 0 1 3 0 0 0 0 0 0 3 54 4 0 35 0 75 0 0 0 2 0 0 6 39 0 1 6 0 0 0 0 0 0 0 0 0 3 0 0 0 4 1 0 0 0 0 0 0 0 0 2 1 0 4 0 0 0 6 0 0 583 56 0 0 0 0 1 0 0 0 3 0 0 0 0 1 0 0 0 8 0 0 0 1 0 0 0 6 0 0 0 0 0 0 0 0 0 5 0 1 0 245 25 1 0 21 14 0 7 10 0 1 14 
5 35503 0 0 0 1 0 1 4 0 0 0 8 0 0 0 0 2 0 0 0 0 33790 0 0 1 0 7 0 0 0 0 0 0 0 0 0 0 4 0 1 0 0 27 0 0 0 0 0 32 1 0 0 0 0 1 0 0 0 0 0 1 0 10 2 0 8 0 0 0 232 0 0 0 3 0 0 11 1 40 0 2 0 0 0 0 0 18 7 14 1 0 2 0 0 2 16 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 1 11 138 0 3 0 0 0 0 1 0 0 0 0 4 0 0 0 0 0 0 0 2 5 1 0 0 0 0 0 6 29 3 0 20 0 56 0 0 0 1 1 0 8 31 0 0 2 0 0 0 0 2 0 0 0 0 8 0 0 0 2 0 0 0 0 0 0 0 1 0 2 3 0 1 0 0 1 7 0 0 481 52 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 5 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 14 0 2 0 213 30 3 0 14 11 0 8 10 0 0 22 
6 20612 0 0 0 3 0 0 3 0 0 0 1 0 0 0 0 1 0 0 0 0 19207 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 22 0 0 0 0 0 35 0 0 0 0 0 0 0 0 0 0 0 2 0 4 1 0 5 0 0 0 240 0 0 0 4 0 0 11 0 44 0 3 0 0 0 0 1 22 7 18 3 0 0 0 0 1 56 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 12 77 2 9 0 0 0 0 5 0 0 0 0 3 6 1 0 0 0 0 0 1 9 0 0 0 0 0 0 1 10 3 1 10 0 60 0 0 1 1 0 0 3 14 0 0 0 0 0 0 0 3 0 0 0 0 1 0 0 0 3 1 0 1 1 0 0 0 0 2 2 5 0 0 0 0 0 11 0 0 265 31 0 0 0 0 0 0 2 0 6 1 0 0 0 0 6 0 0 4 0 0 0 0 0 0 0 10 1 0 0 0 0 0 0 0 0 27 0 1 0 144 30 1 0 24 17 0 4 11 0 1 27 
7 14804 0 3 0 4 0 0 17 0 0 0 3 0 0 0 0 0 0 2 0 0 13222 0 0 0 0 12 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 19 0 0 0 0 0 29 0 0 0 0 0 2 0 0 2 0 0 0 0 1 0 0 4 0 0 0 475 0 0 0 1 0 0 6 6 44 0 6 0 0 0 0 1 18 4 42 0 0 0 0 2 0 65 0 1 1 0 0 2 0 0 0 0 12 1 0 0 0 1 0 0 0 0 0 0 0 0 13 75 1 24 0 0 0 0 3 0 0 0 0 2 6 0 3 0 0 0 0 7 4 0 0 0 0 1 2 10 7 1 2 7 0 32 0 0 0 2 7 0 7 6 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 1 1 0 0 1 0 0 0 1 0 4 4 0 3 0 0 2 17 0 0 188 17 0 0 1 0 1 0 0 0 7 0 0 0 0 0 3 0 0 11 0 0 0 0 0 0 0 4 0 0 0 0 0 0 1 0 0 30 0 1 0 105 24 0 0 24 16 0 4 9 11 2 31 
8 8612 0 0 0 4 1 0 7 0 0 0 4 1 0 0 0 0 0 0 0 0 7362 0 0 0 0 4 0 1 0 0 0 0 0 0 0 0 0 0 3 0 0 15 0 0 0 0 0 33 0 0 0 0 0 1 0 1 0 0 2 1 9 0 0 0 2 0 0 0 546 0 0 1 3 0 0 1 1 33 0 2 0 1 0 0 0 16 2 21 0 0 0 0 0 4 66 0 0 0 0 0 1 0 0 1 0 1 0 0 0 0 1 0 0 0 0 0 0 0 1 3 20 0 37 0 0 0 0 1 0 0 0 0 0 22 0 1 0 0 0 0 8 4 0 0 0 0 0 0 2 3 3 1 8 0 12 0 0 0 0 1 0 4 5 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 4 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 2 33 0 1 76 13 0 0 0 0 0 0 4 0 13 2 0 0 0 0 2 0 0 1 0 0 2 0 1 0 0 1 0 0 0 0 0 0 0 0 0 24 0 1 0 39 5 3 0 17 8 0 5 5 5 0 16 
9 15322 1 0 1 2 0 0 7 0 0 0 1 0 0 0 0 0 0 2 0 0 13857 0 0 0 0 5 0 2 0 0 0 0 1 0 0 0 1 0 0 0 0 11 0 0 0 0 0 47 0 0 0 0 0 4 0 1 0 0 3 0 2 1 0 0 0 0 0 0 743 0 0 0 1 0 0 0 7 28 0 4 0 0 0 0 2 25 1 30 0 0 0 0 1 0 104 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 3 0 1 0 0 0 1 0 0 10 14 2 36 0 0 0 0 4 0 0 0 0 0 5 3 4 0 0 2 0 8 3 0 0 0 0 1 0 6 2 1 1 6 0 5 0 0 0 1 2 0 0 9 0 1 0 1 2 0 0 0 0 0 0 0 1 0 0 0 2 0 0 1 0 0 0 0 0 0 4 0 0 1 0 0 3 27 0 0 51 12 0 0 0 0 0 0 0 0 13 0 0 1 0 0 3 0 0 6 0 0 0 0 1 0 0 3 0 0 0 0 0 0 0 0 0 26 0 2 0 34 16 1 0 9 15 0 9 4 2 0 17 
