hr total blank BD BF BG BA BB BE BL BM BN BO BH BI BJ BT JM BV BW WS BQ BR BS JE BY BZ RU RW RS LT RE TM TJ RO TK GW GU GT GS GR GQ GP JP GY GG GF GE GD GB GA GN GM GL GI GH OM TN JO WF HR HT HU HK HN HM VE PR PS PW PT KN AF IQ PA PF PG PE PK PH PN PL PM ZM EH EE EG ZA EC IT VN SB ET SO ZW SA ES ER ME MD MG MF MA MC UZ MM ML MO MN MH MK MU MT MW MV MQ MP MS MR IM UG MY MX IL FR AW SH AX SJ FI FJ FK FM FO NI NL NO NA VU NC NE NF NG NZ NP NR NU CK XK CI CH CO CN CM CL CC CA CG CF CD CZ CY CX CR PY CW CV CU SZ SY SX KG KE SS SR KI KH SV KM ST SK KR SI KP KW SN SM SL SC KZ KY SG SE SD DO DM DJ DK DE YE DZ US UY YT UM LB LC LA TV TW TT TR LK LI LV TO TL LU LR LS TH TF TG TD TC LY VA VC AE AD AG VG AI VI IS IR AM AL AO AN AQ AS AR AU AT IO IN TZ AZ IE ID UA QA MZ 
0 886 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 27 0 601 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 19 0 0 0 0 0 9 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 1 0 17 0 0 0 1 2 0 0 1 0 0 0 0 0 0 3 0 1 6 0 0 0 0 1 0 0 0 53 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 2 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 5 0 0 0 7 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 8 0 0 0 0 0 0 0 0 2 0 0 29 0 0 0 0 0 0 0 0 0 0 0 0 7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 2 0 0 1 0 0 3 0 59 0 0 
1 1178 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 17 0 767 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 18 0 0 0 3 0 25 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5 0 0 2 0 17 0 0 0 0 0 0 0 5 0 0 0 0 0 1 3 0 0 0 0 0 0 0 1 0 0 0 101 0 3 0 0 0 0 0 0 0 0 0 0 0 0 11 2 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 8 0 5 0 11 0 0 0 8 2 0 0 0 0 0 0 0 0 0 3 0 0 0 0 2 0 0 0 0 4 0 0 0 0 0 0 0 18 0 1 0 0 0 0 0 3 5 0 0 30 0 0 0 0 0 2 0 0 0 0 3 0 3 0 0 0 0 0 7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5 6 0 0 0 0 0 3 2 61 0 0 
2 1252 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 26 0 889 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 11 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 3 0 2 0 0 0 1 0 0 0 1 1 0 0 0 0 0 7 0 0 0 0 0 0 0 1 0 0 0 114 0 3 0 0 0 0 0 0 0 0 0 0 2 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 3 0 5 0 3 0 0 0 4 0 0 0 0 0 0 0 0 0 0 9 0 0 0 0 3 0 0 0 0 5 0 0 0 0 0 0 0 33 0 0 1 0 0 0 0 0 0 0 0 42 0 0 0 0 0 0 0 2 0 0 1 0 3 0 0 0 0 0 10 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 6 0 0 0 0 2 0 3 41 0 0 
3 1669 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 37 0 1223 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 24 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 1 3 1 0 0 0 0 0 3 0 0 1 0 0 0 0 3 0 0 0 151 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 8 0 0 0 13 0 0 0 1 1 0 0 0 0 0 0 0 0 0 12 0 0 0 0 0 0 0 0 0 14 0 0 0 0 0 0 0 44 0 0 0 0 0 0 0 0 4 0 0 43 0 0 0 0 0 0 0 0 0 0 0 0 5 0 0 0 0 0 12 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 2 0 2 44 0 0 
4 2374 0 0 0 1 0 0 7 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 126 0 1795 0 0 3 0 0 1 0 0 0 0 0 0 0 0 0 21 0 0 0 4 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 3 2 0 0 0 0 0 0 0 0 0 0 0 0 0 12 0 0 0 141 0 0 0 0 0 0 0 0 0 0 0 0 0 1 4 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 7 0 2 0 13 0 0 0 0 0 0 0 0 0 0 0 0 0 0 20 0 0 0 0 3 0 0 0 0 12 0 0 0 0 0 0 0 48 0 0 0 0 0 0 0 0 2 0 0 31 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 4 1 0 2 0 1 0 0 89 0 0 
5 3393 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 210 0 2605 0 0 2 0 0 0 1 0 0 0 0 0 2 0 0 22 0 0 0 4 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 7 0 0 0 1 1 0 0 8 4 0 0 0 0 0 1 0 0 2 0 0 0 0 5 0 0 0 121 0 1 0 1 0 0 0 0 0 0 0 0 0 2 12 4 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 1 0 2 0 0 0 0 0 0 0 5 0 0 0 15 0 0 0 1 1 0 0 0 0 0 0 0 0 0 19 0 0 0 0 1 0 0 0 0 8 0 0 0 0 0 0 0 77 0 0 5 0 0 0 0 0 5 0 0 27 0 0 0 0 0 0 0 0 0 2 0 0 6 0 0 0 0 0 12 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 5 1 0 0 2 0 2 0 6 163 0 0 
6 4339 0 0 0 4 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 276 0 3263 0 0 0 0 0 1 0 0 0 0 0 0 20 0 0 26 0 0 0 5 0 5 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5 0 0 0 6 0 0 0 6 2 0 0 0 0 0 5 0 0 4 0 0 0 0 4 0 0 0 118 0 2 0 0 0 0 0 0 0 0 0 0 0 3 4 5 0 0 0 0 4 0 0 0 0 0 4 1 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 19 0 0 0 4 0 0 0 9 0 0 0 0 0 0 0 0 0 0 29 0 0 0 0 3 0 0 0 0 15 0 0 0 0 0 0 0 86 0 0 1 0 0 0 0 13 9 0 0 28 0 0 0 0 0 0 0 1 0 1 0 0 11 0 0 0 0 0 10 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 6 0 1 0 8 301 0 0 
7 5375 0 0 0 3 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 356 0 3993 0 5 7 0 0 0 3 0 0 0 0 0 18 0 0 19 0 0 0 6 0 12 0 0 0 0 0 0 0 0 0 0 0 0 6 0 0 0 0 0 0 0 6 0 0 0 0 0 0 0 0 0 0 22 0 0 0 1 4 0 0 8 3 0 0 0 0 0 9 0 0 8 0 0 0 0 9 0 0 0 140 0 7 0 0 0 0 0 0 0 0 0 0 0 0 16 8 0 0 0 0 10 0 0 0 0 0 7 1 0 0 0 0 0 1 1 0 0 0 0 0 0 1 0 13 0 0 0 3 0 0 0 6 7 0 0 0 0 0 0 0 0 0 31 0 0 0 0 0 0 0 0 0 14 0 0 0 0 0 0 0 76 0 0 0 0 0 0 0 14 31 0 0 34 0 0 0 0 0 0 0 3 0 1 1 0 13 0 0 0 0 0 17 0 0 0 0 0 0 0 2 0 0 0 0 0 0 1 3 0 0 0 0 0 1 3 1 0 0 1 3 0 4 400 0 0 
8 4091 0 0 0 7 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 250 0 3067 0 1 6 0 0 0 0 0 0 0 0 0 11 0 0 11 0 0 0 3 0 38 0 0 0 0 0 0 0 0 0 0 0 0 4 0 0 0 0 0 0 0 5 0 0 0 0 0 0 0 0 0 0 18 0 0 0 6 1 1 0 5 0 0 0 0 0 0 13 0 1 4 0 0 0 0 6 0 0 0 65 0 4 0 0 0 1 0 0 0 0 0 0 0 2 17 8 0 0 0 0 5 0 0 0 0 0 4 1 0 0 0 0 0 0 2 0 0 0 0 0 0 2 0 2 0 1 0 8 0 0 0 5 2 0 1 0 0 0 0 0 0 0 15 0 0 0 0 1 0 0 0 0 8 0 0 0 0 0 0 1 128 0 0 0 0 0 0 0 0 9 0 0 11 0 0 0 0 0 0 0 0 0 0 0 0 17 0 0 0 0 0 4 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 1 0 2 0 5 0 2 291 0 0 
9 3952 0 0 0 4 0 0 4 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 268 0 2898 0 1 12 0 0 0 1 0 0 0 0 0 11 0 0 12 0 0 0 4 0 26 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 35 0 0 0 6 1 1 0 14 0 0 0 0 0 0 15 0 2 1 0 0 0 0 2 0 0 0 60 0 7 0 0 0 0 0 0 0 0 0 0 3 1 16 7 0 0 0 0 7 0 0 0 0 0 18 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 15 0 0 0 0 0 0 0 6 0 0 0 0 0 0 0 0 1 0 13 0 0 0 0 0 0 0 0 0 8 0 0 0 0 0 0 0 41 0 0 4 0 0 0 0 1 34 0 0 9 0 0 0 0 0 0 0 2 0 6 0 0 13 0 0 0 0 0 1 0 0 0 0 0 0 0 4 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 1 0 4 0 3 1 4 337 0 0 
