hr total blank BD BF BG BA BB BE BL BM BN BO BH BI BJ BT JM BV BW WS BQ BR BS JE BY BZ RU RW RS LT RE TM TJ RO TK GW GU GT GS GR GQ GP JP GY GG GF GE GD GB GA GN GM GL GI GH OM TN JO WF HR HT HU HK HN HM VE PR PS PW PT KN AF IQ PA PF PG PE PK PH PN PL PM ZM EH EE EG ZA EC IT VN SB ET SO ZW SA ES ER ME MD MG MF MA MC UZ MM ML MO MN MH MK MU MT MW MV MQ MP MS MR IM UG MY MX IL FR AW SH AX SJ FI FJ FK FM FO NI NL NO NA VU NC NE NF NG NZ NP NR NU CK XK CI CH CO CN CM CL CC CA CG CF CD CZ CY CX CR PY CW CV CU SZ SY SX KG KE SS SR KI KH SV KM ST SK KR SI KP KW SN SM SL SC KZ KY SG SE SD DO DM DJ DK DE YE DZ US UY YT UM LB LC LA TV TW TT TR LK LI LV TO TL LU LR LS TH TF TG TD TC LY VA VC AE AD AG VG AI VI IS IR AM AL AO AN AQ AS AR AU AT IO IN TZ AZ IE ID UA QA MZ 
0 5851 0 1 0 0 0 1 2 0 0 0 0 3 0 0 0 2 0 0 0 0 279 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 0 0 0 1 23 0 0 0 0 0 47 0 0 1 0 2 1 0 1 0 0 0 1 0 25 1 0 2 0 0 0 22 0 0 0 1 0 0 7 10 4279 0 0 0 1 0 0 13 20 2 17 0 0 0 0 0 3 21 0 2 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 112 28 0 33 0 0 0 0 1 0 0 1 0 1 4 2 0 0 0 0 0 16 3 0 0 0 0 5 1 0 10 4 0 5 0 79 0 0 0 0 0 0 5 6 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 3 0 0 5 3 0 0 0 0 0 12 1 0 1 0 0 12 3 0 1 500 1 0 0 0 0 0 0 3 1 8 0 0 0 0 0 0 0 0 13 0 0 0 0 0 0 0 14 0 0 0 0 0 0 0 0 0 0 0 0 0 22 30 0 0 19 4 0 5 56 0 7 0 
1 9006 1 1 0 0 0 0 0 0 0 0 0 3 0 0 0 2 0 1 0 0 375 1 0 0 0 2 0 0 0 0 0 0 0 0 0 0 4 0 0 0 0 79 0 0 0 0 0 51 0 0 0 0 0 4 2 0 0 0 0 1 0 27 2 0 10 0 0 1 15 0 0 0 8 0 4 7 13 6818 0 0 0 0 0 0 11 15 0 13 4 0 2 0 1 11 42 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 14 0 1 0 0 0 0 198 29 0 11 1 0 0 0 0 0 0 0 0 4 2 2 1 0 0 0 0 6 7 2 0 0 0 4 0 0 7 4 0 12 0 104 1 0 0 0 0 0 6 12 0 0 0 0 0 1 0 3 0 0 0 2 0 0 0 0 6 0 0 9 4 0 0 0 0 1 21 0 1 7 0 0 2 0 0 0 684 5 0 0 0 1 0 0 5 1 6 2 0 0 0 0 0 0 0 22 0 0 0 0 0 0 0 13 0 0 0 0 0 0 0 0 0 0 0 0 0 59 31 0 0 34 2 0 7 104 0 5 0 
2 9889 0 2 0 0 0 0 0 0 0 3 0 1 0 0 0 1 0 0 1 0 376 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 82 0 0 0 0 0 32 0 0 0 0 0 1 0 0 0 0 0 0 1 26 0 0 4 0 0 0 8 0 0 0 3 0 0 0 14 7707 0 0 0 0 0 0 3 19 2 7 3 0 0 0 0 8 25 0 0 0 0 0 0 0 1 1 0 0 1 0 0 0 0 0 3 1 0 0 0 0 0 243 36 0 7 0 0 0 0 0 0 0 0 0 1 2 0 2 0 0 0 0 2 16 4 0 0 0 14 2 1 7 4 0 5 0 118 0 0 0 0 0 0 3 5 0 0 0 0 0 0 0 24 0 0 0 7 0 0 0 0 9 0 0 1 1 0 0 0 0 2 28 2 0 3 0 0 0 4 0 1 689 2 0 0 2 0 1 0 7 1 6 2 0 0 0 0 0 0 0 29 0 0 0 0 0 0 0 26 0 0 0 0 0 0 0 0 0 0 0 0 0 25 33 1 0 67 3 0 4 87 0 6 0 
3 10679 0 0 0 0 0 0 1 0 0 4 0 0 0 0 0 0 0 0 0 0 319 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6 2 0 0 0 0 48 0 0 0 0 0 22 0 0 0 0 0 2 2 0 2 0 0 1 0 12 1 0 1 0 0 0 2 0 0 0 6 0 7 5 15 8325 0 0 0 0 0 0 4 38 1 7 2 0 0 0 1 8 26 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 1 1 0 2 0 0 0 1 298 28 0 7 0 0 0 0 0 0 0 0 0 1 0 4 0 0 0 0 0 3 6 4 0 0 0 10 0 4 8 9 0 7 0 136 0 0 1 0 0 0 3 9 0 0 0 0 1 0 0 32 0 0 0 2 0 0 0 0 14 0 0 5 1 0 0 0 1 2 51 0 0 3 0 0 0 4 0 0 759 3 0 0 1 0 0 0 6 2 1 1 0 0 0 0 0 0 0 33 0 0 0 0 0 0 0 39 0 0 0 0 0 0 0 0 0 0 0 0 0 24 41 0 0 91 6 0 2 123 0 11 0 
4 11636 0 2 0 0 0 0 3 0 0 4 0 0 0 0 0 1 0 0 0 0 192 1 0 0 1 2 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 67 0 0 0 0 0 17 0 0 1 0 0 0 4 0 2 0 0 0 0 19 3 0 6 0 0 2 2 0 0 2 6 0 0 3 27 9129 0 0 0 0 0 0 4 58 1 9 3 0 0 1 3 13 16 0 0 0 0 0 0 0 0 7 0 1 0 0 0 0 0 0 1 0 1 0 0 0 3 346 46 0 4 1 0 0 0 0 0 0 0 0 2 2 1 1 0 0 0 0 3 11 1 0 0 0 3 0 8 11 3 0 6 0 174 0 0 0 0 1 0 10 6 0 0 0 0 0 0 0 38 0 0 0 2 1 0 0 0 20 0 0 22 1 0 0 0 0 1 55 0 0 3 1 0 0 4 0 0 726 2 0 0 0 0 3 0 12 1 8 1 0 0 0 0 0 0 1 43 0 0 0 0 0 0 0 42 0 0 0 0 0 0 0 0 0 0 0 0 0 23 44 3 0 114 16 0 2 135 0 41 0 
5 11840 0 2 0 0 0 0 1 0 0 2 1 1 0 0 0 1 0 3 0 0 116 0 0 0 0 0 3 0 0 0 0 0 1 0 0 2 0 0 1 0 0 59 0 0 0 0 0 16 0 0 0 0 0 2 4 0 1 0 0 0 0 21 2 0 2 0 0 2 1 0 1 0 3 0 0 6 28 9383 0 1 0 4 0 0 10 115 0 13 4 0 0 1 3 15 18 0 0 0 0 0 0 0 0 2 0 2 0 0 1 0 0 0 3 0 1 0 0 0 5 327 28 1 5 1 0 0 0 0 0 0 0 0 2 4 0 2 0 0 0 0 8 8 4 0 0 0 0 0 1 4 8 0 2 0 142 0 0 0 0 0 0 5 2 0 0 0 0 0 0 0 52 0 0 0 5 2 0 0 0 18 0 0 20 0 0 0 0 0 0 51 1 0 0 0 0 5 6 0 0 655 7 0 0 0 0 1 0 15 0 12 1 0 0 0 0 0 0 0 57 0 0 0 0 1 0 0 68 0 0 0 0 0 0 0 0 0 1 0 1 0 20 57 0 0 139 23 0 1 157 0 41 0 
6 10267 1 1 0 0 0 0 1 0 0 3 0 4 0 0 0 0 0 7 0 0 68 0 0 0 0 2 4 1 0 1 0 0 0 0 0 2 2 0 1 0 0 48 0 0 0 0 0 23 0 0 0 0 0 8 3 0 0 0 0 0 0 20 1 0 1 0 0 1 3 0 0 1 1 0 3 3 47 7790 0 6 0 2 0 0 8 203 0 30 10 0 0 3 6 31 31 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 3 1 0 0 0 0 0 4 344 15 1 10 0 0 0 0 1 0 0 1 0 1 2 0 0 0 0 0 0 29 18 5 0 0 0 2 0 1 3 7 1 3 0 153 0 0 0 0 3 0 0 1 0 0 0 0 0 0 0 66 0 0 0 0 0 0 0 0 13 1 0 14 0 0 0 0 0 0 52 3 0 1 0 0 3 7 0 0 485 1 0 0 2 0 3 0 4 1 17 3 0 0 0 0 0 0 0 64 0 0 0 0 0 0 0 93 0 0 0 0 0 0 1 0 0 1 0 0 0 13 53 0 0 136 41 0 3 140 2 45 0 
7 10895 1 3 0 1 0 0 3 0 0 3 0 1 1 0 0 0 0 10 0 0 41 0 0 0 0 2 3 1 0 0 0 1 5 0 0 0 1 0 0 0 0 63 0 0 0 0 0 46 0 0 0 0 0 4 6 0 2 0 0 0 0 23 0 0 0 0 0 1 2 0 1 2 0 0 1 3 57 8405 0 3 0 1 0 0 13 185 0 33 3 0 0 1 4 32 36 0 0 0 0 0 0 0 0 2 0 2 0 1 0 1 1 0 3 0 2 0 0 0 2 375 17 2 12 0 0 0 0 0 0 0 0 0 2 11 10 3 0 0 0 0 48 17 5 0 0 0 0 0 1 3 5 0 2 0 80 0 0 0 0 3 0 1 4 0 0 0 0 0 0 0 90 0 0 0 0 0 0 0 0 9 2 0 18 0 0 0 0 0 0 57 0 0 1 0 0 3 19 0 0 408 0 0 0 5 0 1 0 15 3 22 2 0 0 0 0 0 0 0 64 0 0 0 0 0 0 0 75 0 0 1 0 0 1 0 0 0 0 0 0 0 12 45 0 0 150 30 0 4 139 0 94 0 
8 7931 0 1 0 1 0 0 2 0 0 1 0 6 0 0 0 0 0 7 1 0 11 0 0 0 0 1 1 0 0 0 0 0 2 0 0 0 0 0 1 0 0 46 0 0 0 0 0 51 0 0 0 0 0 6 1 0 1 0 1 0 0 24 0 0 0 0 0 0 5 0 0 1 2 0 5 1 40 6370 0 2 0 2 0 0 8 120 0 26 6 0 0 5 3 18 44 0 1 0 0 0 1 0 0 1 0 8 1 0 1 0 0 0 1 0 0 0 0 0 1 243 4 0 13 0 0 0 0 2 0 0 0 0 0 11 5 2 0 0 0 0 32 11 1 0 0 0 0 1 1 0 13 0 1 0 27 0 0 1 1 0 0 0 1 0 0 0 1 0 0 0 34 0 0 0 0 0 0 0 0 10 0 1 7 0 0 0 1 2 0 33 6 0 0 0 0 0 11 0 0 208 0 0 0 1 0 0 0 3 0 27 3 0 0 0 0 0 0 0 52 0 0 0 0 0 0 0 32 0 0 0 0 0 0 1 0 0 4 0 0 0 5 30 2 0 89 32 0 5 85 0 35 0 
9 9451 1 3 0 0 0 0 2 0 0 0 0 5 0 0 0 0 0 7 0 0 41 0 0 0 0 1 3 0 0 0 0 0 1 0 0 1 0 0 0 0 0 53 0 0 0 0 0 66 0 0 0 0 0 18 3 0 2 0 1 0 0 27 0 0 1 0 0 0 3 0 0 1 0 0 0 0 39 7837 0 1 0 1 0 0 7 137 0 25 3 0 0 0 5 29 33 0 1 0 0 0 0 0 0 1 0 3 0 0 0 0 0 0 1 1 3 0 0 0 3 250 0 4 16 0 0 0 0 2 0 0 0 0 0 11 6 1 0 0 0 0 36 21 2 0 0 0 3 1 0 0 6 0 0 0 17 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 39 0 0 0 1 0 0 0 0 11 0 0 13 1 0 1 0 0 0 47 2 1 0 0 0 0 6 0 0 126 0 0 0 2 0 0 0 4 0 27 3 0 0 0 0 0 0 1 50 0 0 0 0 0 0 0 77 0 0 0 0 0 0 0 0 0 0 0 0 0 6 45 1 0 87 33 1 6 91 0 18 0 
