hr total blank BD BF BG BA BB BE BL BM BN BO BH BI BJ BT JM BV BW WS BQ BR BS JE BY BZ RU RW RS LT RE TM TJ RO TK GW GU GT GS GR GQ GP JP GY GG GF GE GD GB GA GN GM GL GI GH OM TN JO WF HR HT HU HK HN HM VE PR PS PW PT KN AF IQ PA PF PG PE PK PH PN PL PM ZM EH EE EG ZA EC IT VN SB ET SO ZW SA ES ER ME MD MG MF MA MC UZ MM ML MO MN MH MK MU MT MW MV MQ MP MS MR IM UG MY MX IL FR AW SH AX SJ FI FJ FK FM FO NI NL NO NA VU NC NE NF NG NZ NP NR NU CK XK CI CH CO CN CM CL CC CA CG CF CD CZ CY CX CR PY CW CV CU SZ SY SX KG KE SS SR KI KH SV KM ST SK KR SI KP KW SN SM SL SC KZ KY SG SE SD DO DM DJ DK DE YE DZ US UY YT UM LB LC LA TV TW TT TR LK LI LV TO TL LU LR LS TH TF TG TD TC LY VA VC AE AD AG VG AI VI IS IR AM AL AO AN AQ AS AR AU AT IO IN TZ AZ IE ID UA QA MZ 
0 26986 1 7 0 2 10 12 51 0 1 0 8 22 0 0 0 28 0 0 1 0 4426 14 0 2 0 70 2 113 0 0 0 0 7 1 0 7 38 0 32 0 5 399 1 0 3 1 0 981 0 1 0 0 1 49 9 17 11 0 31 14 4 13 17 0 97 0 0 0 197 0 1 11 80 1 0 87 24 567 0 33 0 2 0 1 227 96 95 153 14 0 0 1 2 448 603 1 30 1 1 0 15 0 2 5 2 0 0 1 1 1 0 0 4 30 0 0 2 0 1 152 679 16 727 1 0 0 0 5 0 0 0 0 15 77 14 1 0 0 0 0 110 30 2 0 0 0 21 10 24 307 25 9 247 0 504 12 0 1 3 8 0 49 80 0 0 3 0 1 0 2 7 0 0 0 3 17 0 0 2 71 12 0 137 16 0 0 0 3 1 19 35 19 47 5 0 5 69 0 39 11585 102 0 0 27 2 3 0 10 24 234 2 0 2 1 0 0 1 0 165 0 0 0 5 40 0 2 40 0 7 3 0 0 9 13 0 2 9 0 0 0 920 219 7 0 203 6 3 117 280 9 20 1 
1 34702 0 22 0 2 9 10 22 0 1 3 12 14 0 2 0 32 0 0 0 0 5813 14 0 1 1 66 1 72 2 0 0 0 3 1 0 2 39 0 16 0 10 610 3 0 0 0 1 693 1 2 0 1 0 26 9 4 6 0 30 25 2 17 13 0 124 0 0 0 121 1 1 21 120 0 2 138 55 860 0 14 0 0 0 0 222 88 129 126 15 0 0 0 2 427 585 0 17 0 0 1 8 0 0 1 3 0 7 0 2 0 2 0 3 14 1 0 4 0 3 269 994 5 492 4 0 0 0 4 0 0 0 0 30 69 4 0 0 1 0 0 57 47 27 0 0 0 20 16 21 423 57 8 340 0 777 0 0 1 1 5 0 73 88 0 0 10 0 3 0 0 11 0 1 0 5 30 0 0 9 77 10 1 142 13 0 0 0 3 0 67 23 9 58 2 0 3 54 1 14 16161 137 0 0 37 6 6 0 21 29 226 9 0 8 1 0 0 0 1 296 0 0 0 4 25 0 1 51 1 3 0 0 0 5 18 0 1 5 0 0 1 1212 291 5 0 551 4 1 83 334 9 15 2 
2 36064 4 29 0 1 0 8 22 0 1 4 17 16 0 1 1 40 0 2 0 0 6305 16 0 1 0 84 1 40 2 3 0 0 8 2 0 3 69 0 15 0 6 694 2 0 2 1 1 484 0 2 0 1 2 19 17 3 1 0 33 10 7 20 29 0 181 0 0 0 91 0 1 12 93 0 1 114 95 1073 0 8 0 0 0 0 112 69 123 80 21 0 0 0 1 394 279 0 3 0 0 0 6 0 16 6 1 0 5 0 1 0 1 0 4 34 1 0 1 0 4 305 981 5 251 4 0 0 0 4 0 0 0 1 35 48 1 0 0 0 0 0 35 33 26 0 0 0 15 9 11 528 52 3 359 0 823 0 0 1 6 10 0 90 144 0 0 6 1 15 0 1 25 0 1 0 13 44 0 0 2 88 0 0 143 9 0 0 0 67 2 61 19 7 49 4 0 1 50 4 13 16964 143 0 0 12 6 2 0 20 34 171 22 0 0 0 0 3 0 0 323 0 0 0 0 17 0 4 130 0 8 6 0 0 0 0 0 0 4 0 0 0 1196 293 10 0 919 5 3 49 406 13 15 1 
3 36336 6 46 0 4 5 9 7 0 1 1 22 22 0 0 0 51 0 0 0 0 5290 29 0 4 1 117 0 17 0 1 0 0 4 0 0 4 55 0 7 0 3 997 0 0 2 0 2 298 0 1 3 0 2 13 42 0 11 0 30 27 3 26 24 0 112 0 0 0 40 0 0 41 45 1 2 91 111 1035 0 4 0 4 0 1 90 124 124 140 25 0 0 1 7 707 228 0 1 0 1 0 0 0 1 6 0 1 6 0 0 1 1 2 8 7 1 0 1 0 4 359 1174 5 139 2 0 0 0 2 0 0 0 0 42 27 7 2 0 0 0 0 53 36 22 0 0 0 3 17 4 417 51 1 307 0 749 0 0 1 2 3 0 74 55 0 0 2 0 22 0 0 67 0 1 0 7 35 0 0 5 96 2 0 131 7 0 0 0 35 5 60 11 9 44 0 0 3 44 1 5 17872 139 0 0 16 1 4 0 28 27 196 14 0 3 0 0 0 0 1 382 0 0 0 1 5 1 2 103 2 6 1 0 0 2 17 1 1 0 0 0 0 1148 290 7 0 1174 10 0 35 488 5 23 2 
4 35324 13 35 0 6 0 5 6 0 2 4 18 25 0 0 1 30 0 0 0 0 4050 9 0 4 0 181 1 15 0 1 1 0 11 1 0 2 62 0 22 0 2 922 0 0 2 2 1 275 0 0 0 0 0 16 73 1 18 0 33 15 0 31 33 0 88 0 0 0 28 1 2 34 35 2 1 98 127 1186 0 4 0 5 0 1 103 367 109 121 27 1 1 0 7 701 194 0 0 0 0 1 4 0 1 18 1 0 9 0 0 1 1 6 8 13 0 0 0 0 13 408 1209 13 120 3 0 0 0 7 3 0 0 1 50 41 2 3 0 1 0 0 57 34 35 0 0 0 6 0 17 410 44 0 230 0 735 1 0 1 2 5 0 88 38 1 0 2 1 0 0 1 92 0 0 0 4 32 0 0 7 92 2 0 208 3 0 0 0 55 0 112 20 13 33 0 0 4 49 1 3 17156 127 0 0 11 2 4 0 33 20 294 20 0 0 0 1 0 0 0 469 0 0 0 0 9 1 0 127 0 10 1 0 0 0 12 0 1 1 0 0 0 977 327 10 0 1423 21 4 13 611 14 46 0 
5 32345 8 32 0 9 2 6 22 0 1 4 7 24 0 0 1 23 0 6 0 0 2538 16 0 14 0 266 1 48 0 2 0 0 15 1 0 7 42 0 26 0 4 851 1 0 0 10 0 291 0 0 0 1 0 29 63 6 13 0 39 11 13 21 18 0 56 0 0 1 42 1 5 67 23 0 2 96 151 1209 0 23 0 5 0 1 125 672 85 185 18 0 1 2 19 778 314 0 4 1 2 0 3 3 11 26 1 0 3 0 0 2 3 3 16 1 2 0 0 0 11 421 1089 20 147 1 0 0 0 11 0 0 0 0 30 59 7 6 0 0 0 0 140 51 26 0 0 0 6 1 18 291 55 5 89 0 640 0 0 11 10 7 0 65 28 0 0 0 3 3 0 0 106 0 0 0 5 22 0 0 5 107 32 0 177 4 0 0 0 25 0 71 33 22 29 4 0 9 116 5 3 14817 113 0 0 26 1 2 0 40 13 499 32 0 5 0 0 0 0 0 601 0 0 0 0 17 0 0 188 0 4 1 0 1 3 25 1 1 6 0 0 1 759 319 14 0 1656 30 4 21 565 27 57 2 
6 27504 12 39 0 11 11 3 38 0 1 1 2 38 0 1 1 17 0 10 0 0 1404 8 0 27 0 384 7 104 4 4 0 0 13 3 0 7 25 0 33 0 2 872 0 0 0 4 1 550 2 0 0 0 1 78 80 12 23 0 69 9 11 32 8 0 74 0 0 0 28 0 0 73 14 0 0 75 207 1096 0 43 0 15 0 1 122 843 34 275 34 1 0 1 17 740 680 0 13 1 0 1 0 0 1 135 0 2 13 0 5 0 5 2 12 2 1 0 0 0 22 381 781 30 312 0 0 0 0 20 0 0 0 0 22 92 17 6 0 0 0 0 191 49 35 0 0 1 0 2 54 128 56 21 57 0 373 0 0 7 10 14 0 31 10 0 0 1 2 3 1 4 106 0 0 0 14 6 0 0 20 92 6 0 195 1 0 2 3 13 0 59 44 18 9 0 0 19 159 0 3 10830 66 0 0 34 2 6 0 28 12 565 24 0 10 0 0 7 1 0 621 0 2 0 0 15 0 0 235 0 2 0 0 0 4 24 4 0 3 0 0 0 446 356 23 0 1494 33 2 30 482 30 43 4 
7 27715 7 45 1 17 39 0 74 0 0 4 9 36 0 1 0 10 0 16 3 0 962 2 0 29 0 393 4 219 4 3 0 8 43 3 0 5 14 0 44 0 0 1038 0 0 0 3 0 1508 2 0 1 0 0 106 80 6 30 0 86 1 11 14 5 0 28 0 0 0 53 0 5 69 14 1 0 30 246 1178 0 83 0 13 5 3 183 900 19 462 21 0 1 9 13 856 1189 0 27 5 1 0 6 1 2 27 0 3 7 0 5 1 4 11 13 1 1 0 0 1 14 441 526 49 858 1 0 1 0 27 0 0 0 0 5 185 20 19 0 0 0 0 273 64 27 0 0 0 6 8 64 65 110 5 39 0 252 1 0 11 23 18 0 22 10 0 0 1 2 1 0 0 126 0 0 0 13 4 0 0 14 138 9 0 282 3 0 2 2 17 0 104 91 24 7 1 0 33 286 6 20 8085 44 0 0 67 0 1 0 42 6 903 14 1 19 1 0 5 1 2 638 0 1 0 1 20 0 0 275 7 0 0 0 0 3 26 1 4 12 0 1 0 340 329 27 0 1353 38 4 58 525 53 46 10 
8 19058 2 46 1 14 24 0 78 0 0 2 1 43 0 1 0 2 0 23 0 0 487 1 0 34 0 298 4 180 5 6 0 1 15 0 0 3 4 0 58 0 3 663 0 0 0 3 0 1635 5 1 2 0 1 110 49 18 36 0 62 0 9 16 2 0 9 0 0 0 61 0 0 50 2 1 2 8 227 997 0 74 0 6 0 2 162 717 26 313 25 0 2 5 14 734 1140 0 18 3 1 0 15 1 1 7 1 0 6 0 5 3 2 4 13 2 0 0 0 2 8 263 163 33 656 0 0 0 0 19 1 0 0 0 1 188 23 8 0 0 0 0 246 47 19 0 0 0 2 6 34 42 46 11 28 0 105 1 0 2 20 18 0 12 8 0 0 0 4 1 0 2 71 0 0 0 6 2 0 0 9 146 6 0 169 5 0 0 1 12 0 40 66 28 0 0 0 20 193 6 32 3810 24 1 0 42 0 2 0 18 1 869 17 0 20 0 0 4 0 0 407 0 0 0 0 19 0 0 210 4 0 0 0 0 3 18 2 8 15 0 0 0 232 238 37 0 985 31 8 146 333 55 39 4 
9 18513 0 35 0 5 20 1 118 0 0 1 0 38 0 1 0 7 1 7 0 0 790 2 0 30 0 319 3 225 4 1 0 0 14 2 0 5 0 0 40 0 0 710 0 1 0 3 1 1979 4 3 0 0 2 111 76 6 29 0 87 1 12 24 1 0 26 0 0 0 60 0 1 51 4 0 0 3 168 1007 0 64 0 6 0 3 192 640 7 420 20 1 3 1 12 654 1282 0 30 2 0 0 8 0 0 6 0 1 0 0 1 2 5 3 9 2 0 0 0 0 12 300 70 27 636 0 0 0 0 24 0 0 0 0 0 201 22 7 0 0 0 0 209 44 19 0 0 1 4 8 49 75 44 12 21 0 82 1 1 10 28 15 0 9 24 0 0 0 1 5 0 8 86 0 0 0 12 0 0 0 5 72 14 0 209 6 0 1 0 4 0 48 78 22 1 0 0 11 259 1 16 2550 24 0 0 26 1 1 0 18 3 792 17 0 13 0 0 8 0 2 411 0 0 0 0 21 2 0 247 10 0 1 0 0 7 26 1 2 4 0 2 0 196 268 34 0 929 35 8 160 302 72 66 6 
10 19821 4 47 0 13 38 1 122 0 0 3 4 47 0 2 0 11 0 7 3 0 1127 0 1 20 0 307 2 223 1 0 0 0 29 1 0 3 2 0 75 0 0 639 0 3 0 5 2 2109 2 1 0 0 1 135 78 12 29 0 59 2 8 27 1 0 32 0 0 0 92 0 1 36 4 0 0 9 166 1336 0 75 0 5 0 5 194 629 23 391 22 0 3 16 13 880 1208 0 25 26 0 0 13 1 2 4 0 3 4 0 8 1 3 3 12 0 2 0 0 2 17 290 64 33 779 0 0 0 0 29 0 0 0 0 3 180 21 12 0 0 1 0 240 29 9 0 0 0 10 4 52 64 33 6 61 0 81 0 0 3 9 19 0 2 23 0 0 1 1 2 0 0 92 0 0 0 4 2 0 0 6 88 14 1 266 6 0 3 1 22 0 60 67 24 6 1 0 14 235 3 25 2251 22 0 0 40 1 5 0 37 11 885 9 0 32 1 0 3 0 0 462 0 1 0 1 20 2 0 259 14 0 1 0 0 5 16 1 3 12 0 0 0 265 330 29 0 939 48 9 188 317 49 53 7 
11 20898 2 33 2 17 45 6 120 0 0 5 12 51 0 0 0 9 0 4 0 0 1563 1 0 19 0 297 2 235 1 1 0 0 34 0 0 4 3 0 72 0 5 682 0 0 0 7 0 2023 3 3 2 0 2 72 65 13 34 0 73 7 11 11 3 0 82 0 0 0 108 2 1 69 19 0 0 21 155 1282 0 79 0 7 0 8 211 550 19 397 26 0 1 1 13 898 1278 0 33 20 2 0 33 0 5 3 1 2 5 0 3 2 2 3 18 2 2 0 0 2 6 284 104 54 706 0 0 1 0 35 0 0 0 0 2 179 25 4 0 1 0 0 201 18 23 0 0 0 7 8 69 128 44 31 146 0 136 1 0 8 23 15 0 8 44 1 0 4 3 3 0 2 63 0 0 0 1 3 0 0 14 77 12 0 284 7 1 2 0 31 1 48 87 24 12 2 0 14 201 3 30 2853 25 0 0 25 1 4 0 68 11 762 11 0 6 0 0 4 0 1 447 0 1 0 2 18 0 0 194 6 2 2 0 0 1 30 1 8 9 0 0 0 324 281 35 0 849 21 10 189 366 74 69 10 
