hr total gv gu gd ga gn gl lg lb la ln lo tt tr ts li lv to lt lu tk th ti tg te ta yi yo de da oj dz st dv qu kn el eo en zh ee za mh eu et es ru rw rm rn ro jv be bg ba wa wo bm bn bo bh bi br bs ja om ms ty oc und tw os or xh ch co ca ce cy cs cr cv cu ve ps pt unknown tl pa pi ak pl hz hy hr iu ht hu hi ho ha he mg uz ml mn mi ik mk ur mt uk mr ug my ki aa ab ae ss af tn vi is in am it iw an ii ia as ar su io av ay az ie id ig sk nl nn no na nb nd ne ng ny vo zu so nr nv sn fr sm fy fa ff fi fj sa fo ka kg ckb kk sr sq ko sv km kl ks kr si kj kw kv ku sl sc ky sg sw se sd 
0 340162 0 7 0 0 0 0 0 0 0 0 3 0 2627 0 0 134 0 147 0 0 1595 0 0 2 50 0 0 699 171 0 0 0 0 0 2 97 0 151166 360 0 0 0 264 469 39315 886 0 0 0 149 0 0 9 0 0 0 0 11 0 0 0 0 0 17756 0 0 0 0 26986 0 0 0 0 0 0 0 0 168 126 0 0 0 0 1 66422 0 5851 3 0 0 360 0 0 0 0 884 111 477 0 0 0 0 0 12 0 0 0 0 77 0 40 11 0 6 0 0 0 0 0 0 0 76 96 5600 2 1614 28 0 0 0 0 8278 0 0 0 0 0 0 0 0 0 619 0 164 0 0 0 51 0 0 0 0 0 0 0 0 4792 0 0 101 0 325 0 0 0 1 0 1 0 18 0 645 219 3 0 0 0 10 0 0 0 0 65 0 0 0 0 0 0 
1 445946 0 8 0 0 0 0 0 0 0 0 1 0 2289 0 0 132 0 179 0 0 2803 0 0 13 121 0 0 776 214 0 0 0 0 0 17 38 0 199311 544 0 0 0 300 651 50785 1178 0 0 0 191 0 0 8 0 0 0 0 12 0 0 0 0 0 28224 0 0 0 0 34702 0 0 4 0 0 0 0 0 248 178 0 0 0 0 1 85982 0 9006 7 0 0 357 0 0 0 0 1216 162 1243 0 0 0 0 0 32 0 0 0 0 149 0 43 25 0 4 0 0 0 0 0 0 0 86 122 8776 1 1572 28 0 0 0 0 7098 0 0 0 0 0 0 0 0 0 722 0 210 0 0 0 168 0 0 0 0 0 0 0 0 4310 0 0 62 0 413 0 0 0 0 0 1 0 21 0 804 278 29 0 0 0 12 0 0 0 0 79 0 0 0 0 0 0 
2 458212 0 17 0 0 0 0 0 0 0 0 5 0 1450 0 0 117 0 193 0 0 3323 0 0 11 152 0 0 688 231 0 0 0 1 0 30 41 0 200848 521 0 0 0 337 745 51304 1252 0 0 0 192 0 0 6 0 0 0 0 27 0 0 0 0 0 32260 0 0 0 0 36064 0 0 10 0 0 0 0 0 247 174 0 0 0 0 3 90411 0 9889 5 0 0 340 0 0 0 0 1223 140 1997 0 0 0 0 0 24 0 0 0 0 142 0 31 46 0 4 0 0 0 0 0 0 0 111 100 10043 1 1415 32 0 0 0 0 5980 0 0 0 0 0 0 0 0 0 612 0 195 0 0 0 133 0 0 0 0 0 0 0 0 3281 0 0 69 0 420 0 0 0 0 0 2 0 6 0 940 255 2 0 0 0 34 0 0 0 0 78 0 0 0 0 0 2 
3 453431 0 23 0 0 0 0 0 0 0 0 4 0 1773 0 0 144 0 185 0 0 4351 0 0 12 159 0 0 744 229 0 0 0 1 0 27 46 0 203906 655 0 0 0 328 836 47725 1669 0 0 0 241 0 0 15 0 0 0 0 49 1 0 0 0 0 39023 0 0 0 0 36336 0 0 18 0 0 0 0 0 236 150 0 0 0 0 1 74628 0 10679 6 0 0 326 0 0 0 0 1388 150 2253 0 0 0 0 0 28 0 0 0 0 214 0 37 54 0 5 0 0 0 0 0 0 0 135 102 10435 0 1154 40 0 0 0 0 7309 0 0 0 0 0 0 0 0 0 572 0 250 0 0 0 125 0 0 0 0 0 0 0 0 2683 0 0 97 0 416 0 0 0 0 0 0 0 6 0 1101 263 0 0 0 0 29 0 0 0 0 58 0 0 0 0 0 1 
4 426511 0 38 0 0 0 0 0 0 0 0 7 0 3582 0 0 179 0 186 0 0 5111 0 0 24 209 0 0 863 223 0 0 0 2 0 41 93 0 198020 697 0 0 0 333 770 42168 2374 0 0 0 211 0 0 9 0 0 0 0 96 0 0 0 0 0 37495 0 0 0 0 35324 0 0 22 0 0 0 0 0 201 166 0 0 0 0 12 55370 0 11636 5 0 0 334 0 1 0 0 1188 165 2439 0 0 0 0 0 69 0 0 0 0 365 0 54 64 0 13 0 0 0 0 0 0 0 146 104 12163 1 1174 86 0 0 0 0 7050 0 0 0 0 0 0 0 0 0 651 0 178 0 0 0 141 0 0 0 0 0 0 0 0 2384 0 0 149 0 544 0 0 0 0 0 0 0 13 0 1233 246 2 0 0 0 26 0 0 0 0 60 0 0 0 0 0 1 
5 383182 0 35 0 0 0 0 0 0 0 0 2 0 4822 0 0 145 0 159 0 0 5199 0 0 23 222 0 0 1661 206 0 0 0 2 0 35 131 0 179343 774 0 0 0 250 762 33411 3393 0 0 0 180 0 0 35 0 0 0 0 94 0 0 0 0 0 37408 0 0 0 0 32345 0 0 25 0 0 0 0 0 208 170 0 0 0 0 10 35503 0 11840 7 0 0 545 0 3 0 0 1085 127 2781 0 0 0 0 0 54 0 0 0 0 425 0 94 94 0 9 0 0 0 0 0 0 0 180 73 12652 2 1631 210 0 0 0 0 8055 0 0 0 0 0 0 0 0 0 982 0 177 0 0 0 124 0 0 0 0 0 0 0 0 2537 0 0 278 0 640 0 0 0 1 0 9 0 9 0 1491 417 0 0 0 0 21 0 0 0 0 72 0 0 0 0 0 4 
6 324793 0 32 0 0 0 0 0 0 0 0 7 0 8286 0 0 136 0 118 0 0 5082 0 0 18 236 0 0 2119 220 0 0 0 0 0 52 183 0 145412 724 0 0 0 219 727 23475 4339 0 0 0 167 0 0 63 0 0 0 0 63 0 0 0 0 0 36326 0 0 0 0 27504 0 0 14 0 0 0 0 0 192 180 0 0 0 0 3 20612 0 10267 9 0 0 801 0 5 0 0 998 141 2841 0 0 0 0 0 64 0 0 0 0 441 0 139 94 0 13 0 0 0 0 0 0 0 195 60 11999 1 2481 349 0 0 0 0 8928 0 0 0 0 0 0 0 0 0 1502 0 180 0 0 0 155 0 0 0 0 0 0 0 0 3512 0 0 227 0 768 0 0 0 1 0 5 0 21 0 1434 549 2 0 0 0 19 0 0 0 0 81 0 0 0 0 0 2 
7 321464 0 29 0 0 0 0 0 0 0 0 7 0 12160 0 0 171 0 131 0 0 5302 0 0 33 253 0 0 2869 271 0 0 0 0 0 32 241 0 134549 812 0 0 0 257 748 19164 5375 0 0 0 197 0 0 92 0 0 0 0 72 0 0 0 0 0 38450 0 0 0 0 27715 0 0 17 0 0 0 0 0 209 246 0 0 0 0 5 14804 0 10895 6 0 0 1164 0 5 0 0 983 176 2625 0 0 0 0 0 69 0 0 0 0 596 0 189 84 0 21 0 0 0 0 0 0 0 132 55 12405 3 3720 302 0 0 0 0 11746 0 0 0 0 0 0 0 0 0 2558 0 254 0 0 0 155 0 0 0 0 0 0 0 0 5296 0 0 317 0 865 0 0 0 1 0 11 0 49 0 1575 850 2 0 0 0 26 0 0 0 0 118 0 0 0 0 0 0 
8 224256 0 17 0 0 0 0 0 0 0 0 5 0 7856 0 0 120 0 88 0 0 3749 0 0 9 140 0 0 2144 289 0 0 0 1 0 29 269 0 90740 503 0 0 0 167 556 11901 4091 0 0 0 143 0 0 78 0 0 0 0 44 0 0 0 0 0 29044 0 0 0 0 19058 0 0 14 0 0 0 0 0 173 161 0 0 0 0 6 8612 0 7931 3 0 0 1001 0 10 0 0 531 161 1725 0 0 0 0 0 46 0 0 0 0 362 0 198 48 0 14 0 0 0 0 0 0 0 126 48 8682 4 3075 183 0 0 0 0 9199 0 0 0 0 0 0 0 0 0 2424 0 220 0 0 0 90 0 0 0 0 0 0 0 0 5322 0 0 245 0 704 0 0 0 0 0 9 0 35 0 1037 707 2 0 0 0 30 0 0 0 0 75 0 0 0 0 0 2 
9 230343 0 9 0 0 0 0 0 0 0 0 1 0 9600 0 0 134 0 98 0 0 3938 0 0 14 110 0 0 2154 264 0 0 0 0 0 28 254 0 83324 505 0 0 0 178 557 12124 3952 0 0 0 168 0 0 87 0 0 0 0 35 0 0 0 0 0 31037 0 0 0 0 18513 0 0 12 0 0 0 0 0 172 167 0 0 0 0 7 15322 0 9451 2 0 0 958 0 3 0 0 515 145 1614 0 0 0 0 0 43 0 0 0 0 405 0 194 39 0 3 0 0 0 0 0 0 0 102 57 8666 0 3022 256 0 0 0 0 10396 0 0 0 0 0 0 0 0 0 2335 0 210 0 0 0 87 0 0 0 0 0 0 0 0 6112 0 0 263 0 663 0 0 0 1 0 3 0 28 0 1135 757 1 0 0 0 12 0 0 0 0 98 0 0 0 0 0 3 
